7975_280063_000000_000000	The apple-woman's expedition had been a success.	The apple woman's expedition had been a success.	false	0	10.17	18.410784
7975_280063_000011_000000	Col. Hays, however, was still anxious to have the other command join him, he having plenty of forage, and being well equipped with ammunition as the result of the capture of Independence a few days before.	col Hays, however, was still anxious to have the other command join him, he having plenty of forage, and being well equipped with ammunition as the result of the capture of Independence a few days before.	false	156.6	167.2	19.625061
7975_280063_000011_000001	Accordingly I was shortly awakened to accompany him to Lone Jack, where he would personally make known the situation to the other colonels.	Accordingly I was shortly awakened to accompany him to Lone Jack, where he would personally make known the situation to the other colonels.	true	167.36	174.28	20.250345
7975_280063_000012_000000	Meantime, however, Major Emory L. Foster, in command at Lexington, had hurried out to find Quantrell, if possible, and avenge Independence. Foster had nearly 1,000 cavalrymen, and two pieces of Rabb's Indiana battery that had already made for itself a name for hard fighting.	Meantime, however, Major Emory l Foster, in command at Lexington, had hurried out to find Quantrell, if possible, and avenge Independence. Foster had nearly one thousand cavalrymen, and two pieces of Rabb's Indiana battery that had already made for itself a name for hard fighting.	false	174.89	190.18	18
7975_280063_000012_000001	He did not dream of the presence of Cockrell and his command until he stumbled upon them in Lone Jack.	He did not dream of the presence of Cockrell and his command until he stumbled upon them in Lone Jack.	false	190.31	195.4	19.771427
7975_280063_000013_000000	At nightfall, the Indiana battery opened on Lone Jack, and the Confederate commands were cut in two, Coffee retreating to the south, while Cockrell withdrew to the west, and when Col.	At nightfall, the Indiana battery opened on Lone Jack, and the Confederate commands were cut in two, Coffee retreating to the south, while Cockrell withdrew to the west, and when col	false	195.95	205.32	18.896376
7975_280063_000013_000001	Hays and I arrived, had his men drawn up in line of battle, while the officers were holding a council in his quarters.	Hays and I arrived, had his men drawn up in line of battle, while the officers were holding a council in his quarters.	true	205.32	210.88	17
7975_280063_000014_000000	"Come in, Colonel Hays," exclaimed Col.	"Come in, Colonel Hays," exclaimed col	false	211.07	212.76	20.000616
7975_280063_000014_000001	Cockrell.	Cockrell.	true	212.76	213.34	19
7975_280063_000014_000002	"We just sent a runner out to look you up.	"We just sent a runner out to look you up.	false	213.38	215.52	19.744799
7975_280063_000014_000003	We want to attack Foster and beat him in the morning. He will just be a nice breakfast spell."	We want to attack Foster and beat him in the morning. He will just be a nice breakfast spell."	true	215.52	219.66	17
7975_280063_000015_000000	Col. Hays sent me back to bring up his command, but on second thought said:	col Hays sent me back to bring up his command, but on second thought said:	false	219.66	223.47	15.421355
7975_280063_000016_000000	"No, Lieutenant, I'll go, too."	"No, Lieutenant, I'll go, too."	true	223.47	225.22	16.39647
7975_280063_000017_000000	On the way back he asked me what I thought about Foster being a "breakfast spell."	On the way back he asked me what I thought about Foster being a "breakfast spell."	true	225.35	229.03	16
7975_280063_000018_000000	"I think he'll be rather tough meat for breakfast," I replied.	"I think he'll be rather tough meat for breakfast," I replied.	false	229.55	232.245	20.169523
7975_280063_000018_000001	"He might be all right for dinner."	"He might be all right for dinner."	true	232.245	233.67	15
7975_280063_000019_000000	But Cockrell and Foster were neighbors in Johnson county, and Cockrell did not have as good an idea of Foster's fighting qualities that night as he did twenty-four hours later.	But Cockrell and Foster were neighbors in Johnson county, and Cockrell did not have as good an idea of Foster's fighting qualities that night as he did twenty four hours later.	false	233.67	242.53	17.20793
7975_280063_000020_000000	The fight started at daybreak, hit or miss, an accidental gunshot giving Foster's men the alarm.	The fight started at daybreak, hit or miss, an accidental gunshot giving Foster's men the alarm.	false	242.84	247.93	17
7975_280063_000020_000001	For five hours it waged, most of the time across the village street, not more than sixty feet wide, and during those five hours every recruit there felt the force of Gen.	For five hours it waged, most of the time across the village street, not more than sixty feet wide, and during those five hours every recruit there felt the force of Gen.	false	248	256.59	19.354733
7975_280063_000020_000002	Sherman's characterization--"War is hell."	Sherman's characterization-"War is hell."	true	256.59	259.75	16.6472
7975_280063_000021_000000	Jackman, with a party of thirty seasoned men, charged the Indiana guns, and captured them, but Major Foster led a gallant charge against the invaders, and recaptured the pieces.	Jackman, with a party of thirty seasoned men, charged the Indiana guns, and captured them, but Major Foster led a gallant charge against the invaders, and recaptured the pieces.	true	259.91	269.44	19.84038
7975_280063_000021_000001	We were out of ammunition, and were helpless, had the fight been pressed.	We were out of ammunition, and were helpless, had the fight been pressed.	true	269.6	272.86	19.975563
7975_280063_000022_000000	Riding to the still house where we had left the wagon munitions we had taken a few days before at Independence, I obtained a fresh supply and started for the action on the gallop.	Riding to the still house where we had left the wagon munitions we had taken a few days before at Independence, I obtained a fresh supply and started for the action on the gallop.	true	273.14	282.31	19
7975_280063_000023_000000	Of that mad ride into the camp I remember little except that I had my horse going at full tilt before I came into the line of fire.	Of that mad ride into the camp one remember little except that I had my horse going at full tilt before I came into the line of fire.	false	282.56	289.48	18
7975_280063_000023_000001	Although the enemy was within 150 yards, I was not wounded.	Although the enemy was within one hundred fifty yards, I was not wounded.	false	289.73	293.205	21
7975_280063_000023_000002	They did mark my clothes in one or two places, however.	They did mark my clothes in one or two places, however.	true	293.205	295.96	20
7975_280063_000024_000000	Major Foster, in a letter to Judge George M. Bennett of Minneapolis, said:	Major Foster, in a letter to Judge George m Bennett of Minneapolis, said:	true	296.33	300.28	20
7975_280063_000025_000000	"During the progress of the fight my attention was called to a young Confederate riding in front of the Confederate line, distributing ammunition to the men from what seemed to be a 'splint basket.' He rode along under a most galling fire from our side the entire length of the Confederate lines, and when he had at last disappeared, our boys recognized his gallantry in ringing cheers.	"During the progress of the fight my attention was called to a young Confederate riding in front of the Confederate line, distributing ammunition to the men from what seemed to be a 'splint basket.' He rode along under a most galling fire from our side the entire length of the Confederate lines, and when he had at last disappeared, our boys recognized his gallantry in ringing cheers.	true	300.8	320.08	20
7975_280063_000025_000001	I was told by some of our men from the western border of the state that they recognized the daring young rider as Cole Younger.	I was told by some of our men from the western border of the state that they recognized the daring young rider as Cole Younger.	false	320.21	326.5	19
7975_280063_000025_000002	About 9:30 a.m., I was shot down.	About nine thirty a m, I was shot down.	true	326.57	329.23	18
7975_280063_000025_000003	The wounded of both forces were gathered up and were placed in houses.	The wounded of both forces were gathered up and were placed in houses.	true	329.3	332.655	21.372932
7975_280063_000025_000004	My brother and I, both supposed to be mortally wounded, were in the same bed.	My brother and I, both supposed to be mortally wounded, were in the same bed.	true	332.655	336.705	18.026392
7975_280063_000025_000005	About an hour after the Confederates left the field, the ranking officer who took command when I became unconscious, gathered his men together and returned to Lexington.	About an hour after the Confederates left the field, the ranking officer who took command when I became unconscious, gathered his men together and returned to Lexington.	true	336.705	345.1	19
7975_280063_000025_000006	Soon after the Confederates returned.	Soon after the Confederates returned.	true	345.35	347.38	23.16988
7975_280063_000025_000007	The first man who entered my room was a guerrilla, followed by a dozen or more men who seemed to obey him.	The first man who entered my room was a guerrilla, followed by a dozen or more men who seemed to obey him.	true	347.45	352.54	18
7975_280063_000025_000008	He was personally known to me and had been my enemy from before the war.	He was personally known to me and had been my enemy from before the war.	true	352.61	356.44	16
7975_280063_000025_000009	He said he and his men had just shot a lieutenant of a Cass county company whom they found wounded and that he would shoot me and my brother.	He said he and his men had just shot a lieutenant of a Cass county company whom they found wounded and that he would shoot me and my brother.	true	356.48	363.13	18
7975_280063_000025_000010	While he was standing over us, threatening us with his drawn pistol, the young man I had seen distributing ammunition along in front of the Confederate line rushed into the room from the west door and seizing the fellow, thrust him out of the room.	While he was standing over us, threatening us with his drawn pistol, the young man I had seen distributing ammunition along in front of the Confederate line rushed into the room from the west door and seizing the fellow, thrust him out of the room.	false	363.41	375.43	19
7975_280063_000025_000011	Several Confederates followed the young Confederate into the room, and I heard them call him Cole Younger.	Several Confederates followed the young Confederate into the room, and I heard them call him Cole Younger.	true	375.59	380.26	18
7975_280063_000025_000012	He (Younger) sent for Col.	He (Younger) sent for col	false	380.36	381.99	17.923668
7975_280063_000025_000013	Cockrell (in command of the Confederate forces) and stated the case to him.	Cockrell (in command of the Confederate forces) and stated the case to him.	true	381.99	386.35	21.802492
7975_280063_000025_000014	He also called the young man Cole Younger and directed him to guard the house, which he did.	He also called the young man Cole Younger and directed him to guard the house, which he did.	true	386.45	391.18	17
7975_280063_000025_000015	My brother had with him about $300, and I had about $700.	My brother had with him about three hundred dollars, and I had about seven hundred dollars.	false	391.31	395.22	19
7975_280063_000025_000016	This money and our revolvers were, with the knowledge and approval of Cole Younger, placed in safe hands, and were finally delivered to my mother in Warrensburg, Mo. Cole Younger was then certainly a high type of manhood, and every inch a soldier, who risked his own life to protect that of wounded and disabled enemies.	This money and our revolvers were, with the knowledge and approval of Cole Younger, placed in safe hands, and were finally delivered to my mother in Warrensburg, Mo. Cole Younger was then certainly a high type of manhood, and every inch a soldier, who risked his own life to protect that of wounded and disabled enemies.	false	395.22	411.76	19.604172
7975_280063_000025_000017	I believe he still retains those qualities and would prove himself as good a citizen as we have among us if set free, and would fight for the Stars and Stripes as fearlessly as he did for the Southern flag. I have never seen him since the battle of Lone Jack.	I believe he still retains those qualities and would prove himself as good a citizen as we have among us if set free, and would fight for the Stars and Stripes as fearlessly as he did for the Southern flag. I have never seen him since the battle of Lone Jack.	true	412.04	425.52	19.815493
7975_280063_000025_000018	I know much of the conditions and circumstances under which the Youngers were placed after the war, and knowing this, I have great sympathy for them.	I know much of the conditions and circumstances under which the Youngers were placed after the war, and knowing this, I have great sympathy for them.	true	425.52	432.64	18.332008
7975_280063_000025_000019	Many men, now prominent and useful citizens of Missouri, were, like the Youngers, unable to return to their homes until some fortunate accident threw them with men they had known before the war, who had influence enough to make easy their return to peace and usefulness.	Many men, now prominent and useful citizens of Missouri, were, like the Youngers, unable to return to their homes until some fortunate accident threw them with men they had known before the war, who had influence enough to make easy their return to peace and usefulness.	false	432.83	446.85	16
7975_280063_000025_000020	If this had occurred to the Youngers, they would have had good homes in Missouri."	If this had occurred to the Youngers, they would have had good homes in Missouri."	false	446.85	450.67	19.927494
7975_280063_000026_000000	It is to Major Foster's surprise of the command at Lone Jack that Kansas City owes its escape from being the scene of a hard battle August 17, 1862.	It is to Major Foster's surprise of the command at Lone Jack that Kansas City owes its escape from being the scene of a hard battle august seventeenth eighteen sixty two.	false	451.07	459.88	18
7975_280063_000027_000000	Quantrell was not in the fight at Lone Jack at all, but Jarrette and Gregg did come up with some of Quantrell's men just at the end and were in the chase back toward Lexington.	Quantrell was not in the fight at Lone Jack at all, but Jarrette and Gregg did come up with some of Quantrell's men just at the end and were in the chase back toward Lexington.	true	460.31	469.21	18.894062
7975_280063_000028_000000	In proportion to the number of men engaged, Lone Jack was one of the hardest fights of the war.	In proportion to the number of men engaged, Lone Jack was one of the hardest fights of the war.	false	469.55	474.37	19.313337
7975_280063_000028_000001	That night there were 136 dead and 550 wounded on the battlefield.	That night there were one hundred thirty six dead and five hundred fifty wounded on the battlefield.	false	474.68	482.49	21.731892
