4350_10919_000001_000000	Chapter 1	Chapter one
4350_10919_000022_000001	The celebrated doctor announced to the princess (a feeling of what was due from him dictated his doing so) that he ought to see the patient once more.	The celebrated doctor announced to the princess (a feeling of what was due from him dictated his doing so) that he ought to see the patient once more.
4350_10919_000024_000000	"Oh, no, only a few details, princess."	"Oh, no, only a few details, princess."
4350_10919_000025_000000	"Come this way."	"Come this way."
4350_10919_000026_000000	And the mother, accompanied by the doctor, went into the drawing room to Kitty.	And the mother, accompanied by the doctor, went into the drawing room to Kitty.
4350_10919_000026_000001	Wasted and flushed, with a peculiar glitter in her eyes, left there by the agony of shame she had been put through, Kitty stood in the middle of the room.	Wasted and flushed, with a peculiar glitter in her eyes, left there by the agony of shame she had been put through, Kitty stood in the middle of the room.
4350_10919_000026_000002	When the doctor came in she flushed crimson, and her eyes filled with tears.	When the doctor came in she flushed crimson, and her eyes filled with tears.
4350_10919_000026_000003	All her illness and treatment struck her as a thing so stupid, ludicrous even!	All her illness and treatment struck her as a thing so stupid, ludicrous even!
4350_10919_000026_000004	Doctoring her seemed to her as absurd as putting together the pieces of a broken vase.	Doctoring her seemed to her as absurd as putting together the pieces of a broken vase.
4350_10919_000026_000005	Her heart was broken. Why would they try to cure her with pills and powders?	Her heart was broken. Why would they try to cure her with pills and powders?
4350_10919_000026_000006	But she could not grieve her mother, especially as her mother considered herself to blame.	But she could not grieve her mother, especially as her mother considered herself to blame.
4350_10919_000028_000000	He sat down with a smile, facing her, felt her pulse, and again began asking her tiresome questions.	He sat down with a smile, facing her, felt her pulse, and again began asking her tiresome questions.
4350_10919_000028_000001	She answered him, and all at once got up, furious.	She answered him, and all at once got up, furious.
4350_10919_000029_000000	"Excuse me, doctor, but there is really no object in this.	"Excuse me, doctor, but there is really no object in this.
4350_10919_000029_000001	This is the third time you've asked me the same thing."	This is the third time you've asked me the same thing."
4350_10919_000030_000000	The celebrated doctor did not take offense.	The celebrated doctor did not take offense.
4350_10919_000031_000001	"However, I had finished..."	"However, I had finished..."
4350_10919_000032_000000	And the doctor began scientifically explaining to the princess, as an exceptionally intelligent woman, the condition of the young princess, and concluded by insisting on the drinking of the waters, which were certainly harmless.	And the doctor began scientifically explaining to the princess, as an exceptionally intelligent woman, the condition of the young princess, and concluded by insisting on the drinking of the waters, which were certainly harmless.
4350_10919_000032_000002	the doctor plunged into deep meditation, as though resolving a weighty problem. Finally his decision was pronounced: they were to go abroad, but to put no faith in foreign quacks, and to apply to him in any need.	the doctor plunged into deep meditation, as though resolving a weighty problem. Finally his decision was pronounced: they were to go abroad, but to put no faith in foreign quacks, and to apply to him in any need.
4350_10919_000033_000000	It seemed as though some piece of good fortune had come to pass after the doctor had gone.	It seemed as though some piece of good fortune had come to pass after the doctor had gone.
4350_10919_000033_000001	The mother was much more cheerful when she went back to her daughter, and Kitty pretended to be more cheerful.	The mother was much more cheerful when she went back to her daughter, and Kitty pretended to be more cheerful.
