4350_10919_000000_000000	PART TWO	PART TWO	false	9.36	17.79	20.631937
4350_10919_000014_000000	"But, you know, there are always moral, spiritual causes at the back in these cases," the family doctor permitted himself to interpolate with a subtle smile.	"But, you know, there are always moral, spiritual causes at the back in these cases," the family doctor permitted himself to interpolate with a subtle smile.	false	201.2	208.24	19.797123
4350_10919_000015_000000	"Yes, that's an understood thing," responded the celebrated physician, again glancing at his watch.	"Yes, that's an understood thing," responded the celebrated physician, again glancing at his watch.	true	208.79	212.98	19.192732
4350_10919_000015_000001	"Beg pardon, is the Yausky bridge done yet, or shall I have to drive around?" he asked.	"Beg pardon, is the Yausky bridge done yet, or shall I have to drive around?" he asked.	true	213.32	217.12	19.886202
4350_10919_000015_000002	"Ah! it is.	"Ah! it is.	true	217.31	218.32	19.495243
4350_10919_000015_000003	Oh, well, then I can do it in twenty minutes.	Oh, well, then I can do it in twenty minutes.	true	218.51	220.48	19.294594
4350_10919_000015_000004	So we were saying the problem may be put thus: to maintain nutrition and to give tone to the nerves.	So we were saying the problem may be put thus: to maintain nutrition and to give tone to the nerves.	true	220.55	225.31	18.771257
4350_10919_000015_000005	The one is in close connection with the other, one must attack both sides at once."	The one is in close connection with the other, one must attack both sides at once."	false	225.38	230.16	18.4561
4350_10919_000016_000000	"And how about a tour abroad?" asked the family doctor.	"And how about a tour abroad?" asked the family doctor.	true	230.16	232.72	21.831442
4350_10919_000017_000000	"I've no liking for foreign tours.	"I've no liking for foreign tours.	true	233.96	235.545	17.636938
4350_10919_000017_000001	And take note: if there is an early stage of tuberculous process, of which we cannot be certain, a foreign tour will be of no use.	And take note: if there is an early stage of tuberculous process, of which we cannot be certain, a foreign tour will be of no use.	false	235.545	241.72	18.714134
4350_10919_000017_000002	What is wanted is means of improving nutrition, and not for lowering it." And the celebrated doctor expounded his plan of treatment with Soden waters, a remedy obviously prescribed primarily on the ground that they could do no harm.	What is wanted is means of improving nutrition, and not for lowering it." And the celebrated doctor expounded his plan of treatment with Soden waters, a remedy obviously prescribed primarily on the ground that they could do no harm.	false	241.79	252.16	18.172709
4350_10919_000018_000000	The family doctor listened attentively and respectfully.	The family doctor listened attentively and respectfully.	true	252.83	255.61	18.600296
4350_10919_000019_000000	"But in favor of foreign travel I would urge the change of habits, the removal from conditions calling up reminiscences.	"But in favor of foreign travel I would urge the change of habits, the removal from conditions calling up reminiscences.	true	256.55	262.15	17.467484
4350_10919_000019_000001	And then the mother wishes it," he added.	And then the mother wishes it," he added.	false	262.55	264.93	19.08995
4350_10919_000020_000000	"Ah!	"Ah!	false	264.93	265.44	22.183064
4350_10919_000020_000001	Well, in that case, to be sure, let them go.	Well, in that case, to be sure, let them go.	true	265.44	267.27	19.236267
4350_10919_000020_000002	Only, those German quacks are mischievous....	Only, those German quacks are mischievous....	true	267.27	269.25	16.55449
4350_10919_000020_000003	They ought to be persuaded....	They ought to be persuaded....	true	269.25	270.61	19.469946
4350_10919_000020_000004	Well, let them go then."	Well, let them go then."	false	271.01	273.03	17.087978
4350_10919_000021_000000	He glanced once more at his watch.	He glanced once more at his watch.	false	273.03	274.6	19.563202
4350_10919_000022_000000	"Oh! time's up already," And he went to the door.	"Oh! time's up already," And he went to the door.	true	275.24	277.45	20.718775
4350_10919_000022_000001	The celebrated doctor announced to the princess (a feeling of what was due from him dictated his doing so) that he ought to see the patient once more.	The celebrated doctor announced to the princess (a feeling of what was due from him dictated his doing so) that he ought to see the patient once more.	true	277.91	285.34	19.538206
4350_10919_000023_000000	"What! another examination!" cried the mother, with horror.	"What! another examination!" cried the mother, with horror.	false	285.68	288.99	19.034203
4350_10919_000024_000000	"Oh, no, only a few details, princess."	"Oh, no, only a few details, princess."	true	288.99	291.04	18.253996
4350_10919_000025_000000	"Come this way."	"Come this way."	true	291.71	292.57	22.73556
4350_10919_000026_000000	And the mother, accompanied by the doctor, went into the drawing room to Kitty.	And the mother, accompanied by the doctor, went into the drawing room to Kitty.	true	293.24	296.8	20.763302
4350_10919_000026_000001	Wasted and flushed, with a peculiar glitter in her eyes, left there by the agony of shame she had been put through, Kitty stood in the middle of the room.	Wasted and flushed, with a peculiar glitter in her eyes, left there by the agony of shame she had been put through, Kitty stood in the middle of the room.	true	297.17	304.57	18.742033
4350_10919_000026_000002	When the doctor came in she flushed crimson, and her eyes filled with tears.	When the doctor came in she flushed crimson, and her eyes filled with tears.	true	304.82	308.56	19.934034
4350_10919_000026_000003	All her illness and treatment struck her as a thing so stupid, ludicrous even!	All her illness and treatment struck her as a thing so stupid, ludicrous even!	true	309.08	313.03	20.706818
4350_10919_000026_000004	Doctoring her seemed to her as absurd as putting together the pieces of a broken vase.	Doctoring her seemed to her as absurd as putting together the pieces of a broken vase.	true	313.22	317.29	17.366304
4350_10919_000026_000005	Her heart was broken. Why would they try to cure her with pills and powders?	Her heart was broken. Why would they try to cure her with pills and powders?	true	317.48	321.34	19.87044
4350_10919_000026_000006	But she could not grieve her mother, especially as her mother considered herself to blame.	But she could not grieve her mother, especially as her mother considered herself to blame.	true	321.59	324.96	18.500328
4350_10919_000027_000000	"May I trouble you to sit down, princess?" the celebrated doctor said to her.	"May I trouble you to sit down, princess?" the celebrated doctor said to her.	false	324.96	329.29	16.807835
4350_10919_000028_000000	He sat down with a smile, facing her, felt her pulse, and again began asking her tiresome questions.	He sat down with a smile, facing her, felt her pulse, and again began asking her tiresome questions.	true	329.9	335.14	19.402098
4350_10919_000028_000001	She answered him, and all at once got up, furious.	She answered him, and all at once got up, furious.	true	335.45	338.32	18.03386
4350_10919_000029_000000	"Excuse me, doctor, but there is really no object in this.	"Excuse me, doctor, but there is really no object in this.	true	339.02	341.65	17.339243
4350_10919_000029_000001	This is the third time you've asked me the same thing."	This is the third time you've asked me the same thing."	true	341.9	344.35	19.606905
4350_10919_000030_000000	The celebrated doctor did not take offense.	The celebrated doctor did not take offense.	true	344.96	346.99	17.51345
4350_10919_000031_000000	"Nervous irritability," he said to the princess, when Kitty had left the room.	"Nervous irritability," he said to the princess, when Kitty had left the room.	false	347.54	351.52	20.571516
4350_10919_000031_000001	"However, I had finished..."	"However, I had finished..."	true	351.77	353.26	20.064878
4350_10919_000032_000000	And the doctor began scientifically explaining to the princess, as an exceptionally intelligent woman, the condition of the young princess, and concluded by insisting on the drinking of the waters, which were certainly harmless.	And the doctor began scientifically explaining to the princess, as an exceptionally intelligent woman, the condition of the young princess, and concluded by insisting on the drinking of the waters, which were certainly harmless.	true	353.27	363.42	18.637276
4350_10919_000032_000001	At the question: Should they go abroad?	At the question: Should they go abroad?	false	363.42	365.835	18.87499
4350_10919_000032_000002	the doctor plunged into deep meditation, as though resolving a weighty problem. Finally his decision was pronounced: they were to go abroad, but to put no faith in foreign quacks, and to apply to him in any need.	the doctor plunged into deep meditation, as though resolving a weighty problem. Finally his decision was pronounced: they were to go abroad, but to put no faith in foreign quacks, and to apply to him in any need.	true	365.835	377.59	19.028841
4350_10919_000033_000000	It seemed as though some piece of good fortune had come to pass after the doctor had gone.	It seemed as though some piece of good fortune had come to pass after the doctor had gone.	true	378.35	382.09	18.438375
4350_10919_000033_000001	The mother was much more cheerful when she went back to her daughter, and Kitty pretended to be more cheerful.	The mother was much more cheerful when she went back to her daughter, and Kitty pretended to be more cheerful.	true	382.46	387.16	18.279259
4350_10919_000033_000002	She had often, almost always, to be pretending now.	She had often, almost always, to be pretending now.	false	387.35	407.37	17.823908
