5484_24317_000001_000000	CHAPTER VII.	CHAPTER seven.
5484_24317_000054_000002	But I tell you"--her deep blue eyes flashed as she spoke--"that so long as you were still a genuine creating artist the case was different. Even while putting the last touches of the file to the Demeter, for which Archias's devout daughter posed as your model, another whom you could not banish from your mind filled your imagination.	But I tell you"--her deep blue eyes flashed as she spoke-"that so long as you were still a genuine creating artist the case was different. Even while putting the last touches of the file to the Demeter, for which Archias's devout daughter posed as your model, another whom you could not banish from your mind filled your imagination.
5484_24317_000054_000003	Though so loud a denial is written on your face, I persist in my conviction, and that no idle delusion ensnares me I can prove!"	Though so loud a denial is written on your face, I persist in my conviction, and that no idle delusion ensnares me I can prove!"
5484_24317_000055_000001	Not the smallest detail of a work produced by the hand of a valued friend escapes my notice, and I perceived it before the Demeter came to the temple and the lofty pedestal.	Not the smallest detail of a work produced by the hand of a valued friend escapes my notice, and I perceived it before the Demeter came to the temple and the lofty pedestal.
5484_24317_000055_000003	How bewildered you look!	How bewildered you look!
5484_24317_000055_000004	Eternal gods!	Eternal gods!
5484_24317_000055_000005	Many things are forgotten after long months have passed, but it will be easy for me to sharpen your memory.	Many things are forgotten after long months have passed, but it will be easy for me to sharpen your memory.
5484_24317_000055_000007	Was it really nothing but foolish vanity that led me to the conviction that you were thinking of me also when you engraved on the ribbon the despised spider-for which, however, I always felt a certain regard--with the delicate web beneath its slender legs?"	Was it really nothing but foolish vanity that led me to the conviction that you were thinking of me also when you engraved on the ribbon the despised spider for which, however, I always felt a certain regard-with the delicate web beneath its slender legs?"
5484_24317_000056_000000	Hitherto Hermon had listened to every word in silence, labouring for breath.	Hitherto Hermon had listened to every word in silence, labouring for breath.
5484_24317_000056_000001	He was transported as if by magic to the hour of his return from Pelusium; he saw himself enter Myrtilus's studio and watch his friend scratch something, he did not know what, upon the ribbon which fastened the bunch of golden grain.	He was transported as if by magic to the hour of his return from Pelusium; he saw himself enter Myrtilus's studio and watch his friend scratch something, he did not know what, upon the ribbon which fastened the bunch of golden grain.
5484_24317_000056_000002	It was--nay, it could have been nothing else--that very spider.	It was-nay, it could have been nothing else-that very spider.
5484_24317_000056_000004	How the exchange had occurred he could not now understand, but to disbelieve that it had taken place would have been madness or self-deception.	How the exchange had occurred he could not now understand, but to disbelieve that it had taken place would have been madness or self deception.
5484_24317_000057_000001	Not he--Myrtilus, and he alone, was the creator of the much-lauded Demeter!	Not he-Myrtilus, and he alone, was the creator of the much lauded Demeter!
5484_24317_000058_000000	This conviction raised a hundred-pound weight from his soul.	This conviction raised a hundred pound weight from his soul.
5484_24317_000059_000000	What was applause!	What was applause!
5484_24317_000059_000001	What was recognition!	What was recognition!
5484_24317_000059_000004	The dead Myrtilus created it!"	The dead Myrtilus created it!"
5484_24317_000060_000001	Only let me get out of doors into the open air!"	Only let me get out of doors into the open air!"
5484_24317_000061_000000	Crates, bewildered and prepared for the worst, obeyed his wish; but Althea and the other guests left behind felt more and more impressed by the suddenly awakened conviction that the hapless blind man had now also become the victim of madness.	Crates, bewildered and prepared for the worst, obeyed his wish; but Althea and the other guests left behind felt more and more impressed by the suddenly awakened conviction that the hapless blind man had now also become the victim of madness.
