3538_163624_000006_000000	THE STORY OF SIGURD	THE STORY OF SIGURD
3538_163624_000064_000003	Then Gunnar tried Sigurd's horse Grani, but he would not move with Gunnar on his back.	Then Gunnar tried Sigurd's horse Grani, but he would not move with Gunnar on his back.
3538_163624_000065_000000	Now Brynhild had no help but to promise she would be his wife, the wife of Gunnar as she supposed, for Sigurd wore Gunnar's shape, and she had sworn to wed whoever should ride the flames.	Now Brynhild had no help but to promise she would be his wife, the wife of Gunnar as she supposed, for Sigurd wore Gunnar's shape, and she had sworn to wed whoever should ride the flames.
3538_163624_000065_000004	'Yet I thought,' she said, 'that no man could have done this deed but Sigurd, Fafnir's bane, who was my true love.	'Yet I thought,' she said, 'that no man could have done this deed but Sigurd, Fafnir's bane, who was my true love.
3538_163624_000065_000005	But he has forgotten me, and my promise I must keep.'	But he has forgotten me, and my promise I must keep.'
3538_163624_000066_000000	So Gunnar and Brynhild were married, though it was not Gunnar but Sigurd in Gunnar's shape, that had ridden the fire.	So Gunnar and Brynhild were married, though it was not Gunnar but Sigurd in Gunnar's shape, that had ridden the fire.
3538_163624_000067_000000	And when the wedding was over and all the feast, then the magic of the witch's wine went out of Sigurd's brain, and he remembered all.	And when the wedding was over and all the feast, then the magic of the witch's wine went out of Sigurd's brain, and he remembered all.
3538_163624_000068_000000	But he was brave, and he spoke not a word of it to the others to make them unhappy.	But he was brave, and he spoke not a word of it to the others to make them unhappy.
3538_163624_000069_000002	For her husband, she said, had ridden through the flame when no other man dared face it.	For her husband, she said, had ridden through the flame when no other man dared face it.
3538_163624_000071_000000	Then Brynhild saw the ring which Sigard had given to Gudrun, and she knew it and knew all, and she turned as pale as a dead woman, and went home.	Then Brynhild saw the ring which Sigard had given to Gudrun, and she knew it and knew all, and she turned as pale as a dead woman, and went home.
3538_163624_000071_000001	All that evening she never spoke.	All that evening she never spoke.
3538_163624_000071_000003	And she said he would never see her glad in his hall, never drinking wine, never playing chess, never embroidering with the golden thread, never speaking words of kindness.	And she said he would never see her glad in his hall, never drinking wine, never playing chess, never embroidering with the golden thread, never speaking words of kindness.
3538_163624_000071_000004	Then she rent all her needlework asunder and wept aloud, so that everyone in the house heard her.	Then she rent all her needlework asunder and wept aloud, so that everyone in the house heard her.
3538_163624_000075_000000	'It is too late.'	'It is too late.'
3538_163624_000076_000000	Then Sigurd was so grieved and his heart so swelled in his breast that it burst the steel rings of his shirt of mail.	Then Sigurd was so grieved and his heart so swelled in his breast that it burst the steel rings of his shirt of mail.
3538_163624_000077_000000	Sigurd went out and Brynhild determined to slay him.	Sigurd went out and Brynhild determined to slay him.
3538_163624_000077_000003	Thus died Sigurd, Fafnir's bane, whom no ten men could have slain in fair fight.	Thus died Sigurd, Fafnir's bane, whom no ten men could have slain in fair fight.
3538_163624_000077_000004	Then Gudrun wakened and saw him dead, and she moaned aloud, and Brynhild heard her and laughed; but the kind horse Grani lay down and died of very grief.	Then Gudrun wakened and saw him dead, and she moaned aloud, and Brynhild heard her and laughed; but the kind horse Grani lay down and died of very grief.
3538_163624_000077_000005	And then Brynhild fell a-weeping till her heart broke.	And then Brynhild fell a weeping till her heart broke.
3538_163624_000077_000007	And the wind bore it blazing out to sea, flaming into the dark.	And the wind bore it blazing out to sea, flaming into the dark.
