7975_280085_000000_000001	A CHASE TO THE DEATH	A CHASE TO THE DEATH
7975_280085_000012_000003	T. L. Vought, B. M. Rice, G. A. Bradford, C. A. Pomeroy and S. J. Severson.	t l Vought, b m Rice, g a Bradford, c a Pomeroy and s j Severson.
7975_280085_000013_000000	Forming in line four paces apart, he ordered them to advance rapidly and concentrate the fire of the whole line the instant the robbers were discovered.	Forming in line four paces apart, he ordered them to advance rapidly and concentrate the fire of the whole line the instant the robbers were discovered.
7975_280085_000014_000000	Meanwhile we were planning, too.	Meanwhile we were planning, too.
7975_280085_000015_000000	"Pitts," I said, "if you want to go out and surrender, go on."	"Pitts," I said, "if you want to go out and surrender, go on."
7975_280085_000016_000000	"I'll not go," he replied, game to the last.	"I'll not go," he replied, game to the last.
7975_280085_000016_000001	"I can die as well as you can."	"I can die as well as you can."
7975_280085_000017_000000	"Make for the horses," I said.	"Make for the horses," I said.
7975_280085_000017_000001	"Every man for himself.	"Every man for himself.
7975_280085_000017_000002	There is no use stopping to pick up a comrade here, for we can't get him through the line. Just charge them and make it if we can."	There is no use stopping to pick up a comrade here, for we can't get him through the line. Just charge them and make it if we can."
7975_280085_000020_000000	"Coward!"	"Coward!"
7975_280085_000021_000000	One of the fellows in the outer line, not brave enough himself to join the volunteers who had come in to beat us out, was not disposed to believe in the surrender, and had his gun levelled on Bob in spite of the handkerchief which was waving as a flag of truce.	One of the fellows in the outer line, not brave enough himself to join the volunteers who had come in to beat us out, was not disposed to believe in the surrender, and had his gun levelled on Bob in spite of the handkerchief which was waving as a flag of truce.
7975_280085_000022_000000	Sheriff Glispin, of Watonwan county, who was taking Bob's pistol from him, was also shouting to the fellow:	Sheriff Glispin, of Watonwan county, who was taking Bob's pistol from him, was also shouting to the fellow:
7975_280085_000023_000000	"Don't shoot him or I'll shoot you."	"Don't shoot him or I'll shoot you."
7975_280085_000024_000000	All of us but Bob had gone down at the first fire.	All of us but Bob had gone down at the first fire.
7975_280085_000025_000000	A bullet had pierced Bob's right lung, but he was the only one left on his feet.	A bullet had pierced Bob's right lung, but he was the only one left on his feet.
7975_280085_000025_000001	His right arm useless, and his pistol empty, he had no choice.	His right arm useless, and his pistol empty, he had no choice.
7975_280085_000026_000000	"I surrender," he had shouted.	"I surrender," he had shouted.
7975_280085_000026_000001	"They're all down but me.	"They're all down but me.
7975_280085_000026_000002	Come on.	Come on.
7975_280085_000026_000003	I'll not shoot."	I'll not shoot."
7975_280085_000027_000000	And Sheriff Glispin's order not to shoot was the beginning of the protectorate that Minnesota people established over us.	And Sheriff Glispin's order not to shoot was the beginning of the protectorate that Minnesota people established over us.
7975_280085_000028_000002	We were taken to his hotel and a guard posted.	We were taken to his hotel and a guard posted.
7975_280085_000029_000000	Then came the talk of mob vengeance we had heard so often in Missouri.	Then came the talk of mob vengeance we had heard so often in Missouri.
7975_280085_000029_000002	Sheriff Glispin swore we would never be mobbed as long as we were his prisoners.	Sheriff Glispin swore we would never be mobbed as long as we were his prisoners.
7975_280085_000031_000000	"If they do come, and I weaken," he said, "you can have your pistols."	"If they do come, and I weaken," he said, "you can have your pistols."
7975_280085_000032_000000	But the only mob that came was the mob of sightseers, reporters and detectives.	But the only mob that came was the mob of sightseers, reporters and detectives.
