6128_63244_000000_000000	Olive Chancellor received this appeal with peculiar feelings.	Olive Chancellor received this appeal with peculiar feelings.	true	102.285	105.69	9
6128_63244_000000_000017	Charlie was a young man in a white overcoat and a paper collar; it was for him, in the last analysis, that they cared much the most.	Charlie was a young man in a white overcoat and a paper collar; it was for him, in the last analysis, that they cared much the most.	false	284.84	292.78	16
6128_63244_000000_000018	They cared far more about Charlie than about the ballot.	They cared far more about Charlie than about the ballot.	true	293.45	296.79	9
6128_63244_000000_000019	Olive Chancellor wondered how Mrs. Farrinder would treat that branch of the question.	Olive Chancellor wondered how mrs Farrinder would treat that branch of the question.	false	296.79	301.78	19.094076
6128_63244_000000_000020	In her researches among her young townswomen she had always found this obtrusive swain planted in her path, and she grew at last to dislike him extremely.	In her researches among her young townswomen she had always found this obtrusive swain planted in her path, and she grew at last to dislike him extremely.	false	302.3	312.43	12
6128_63244_000000_000021	It filled her with exasperation to think that he should be necessary to the happiness of his victims (she had learned that whatever they might talk about with her, it was of him and him only that they discoursed among themselves), and one of the main recommendations of the evening club for her fatigued, underpaid sisters, which it had long been her dream to establish, was that it would in some degree undermine his position--distinct as her prevision might be that he would be in waiting at the door.	It filled her with exasperation to think that he should be necessary to the happiness of his victims (she had learned that whatever they might talk about with her, it was of him and him only that they discoursed among themselves), and one of the main recommendations of the evening club for her fatigued, underpaid sisters, which it had long been her dream to establish, was that it would in some degree undermine his position-distinct as her prevision might be that he would be in waiting at the door.	false	312.86	341.5	15
6128_63244_000000_000022	She hardly knew what to say to Mrs. Farrinder when this momentarily misdirected woman, still preoccupied with the Mill-dam, returned to the charge.	She hardly knew what to say to mrs Farrinder when this momentarily misdirected woman, still preoccupied with the Mill dam, returned to the charge.	false	341.87	351.27	14
6128_63244_000001_000000	"We want labourers in that field, though I know two or three lovely women--sweet _home-women_--moving in circles that are for the most part closed to every new voice, who are doing their best to help on the fight.	"We want labourers in that field, though I know two or three lovely women-sweet underscore home women underscore--moving in circles that are for the most part closed to every new voice, who are doing their best to help on the fight.	false	351.27	365.7	16.880327
6128_63244_000001_000001	I have several names that might surprise you, names well known on State Street.	I have several names that might surprise you, names well known on State Street.	false	365.7	371.35	17.543251
6128_63244_000001_000002	But we can't have too many recruits, especially among those whose refinement is generally acknowledged.	But we can't have too many recruits, especially among those whose refinement is generally acknowledged.	false	371.63	377.64	12
6128_63244_000001_000003	If it be necessary, we are prepared to take certain steps to conciliate the shrinking.	If it be necessary, we are prepared to take certain steps to conciliate the shrinking.	false	377.64	383.2	17.937048
6128_63244_000001_000004	Our movement is for all--it appeals to the most delicate ladies.	Our movement is for all-it appeals to the most delicate ladies.	true	383.45	387.76	16
6128_63244_000001_000005	Raise the standard among them, and bring me a thousand names.	Raise the standard among them, and bring me a thousand names.	true	388.1	391.99	13
6128_63244_000001_000006	I know several that I should like to have.	I know several that I should like to have.	true	392.18	394.45	17
6128_63244_000001_000007	I look after the details as well as the big currents," Mrs. Farrinder added, in a tone as explanatory as could be expected of such a woman, and with a smile of which the sweetness was thrilling to her listener.	I look after the details as well as the big currents," mrs Farrinder added, in a tone as explanatory as could be expected of such a woman, and with a smile of which the sweetness was thrilling to her listener.	false	394.55	407.41	18.178204
6128_63244_000002_000000	"I can't talk to those people, I can't!" said Olive Chancellor, with a face which seemed to plead for a remission of responsibility.	"I can't talk to those people, I can't!" said Olive Chancellor, with a face which seemed to plead for a remission of responsibility.	true	408.2	416.44	14
6128_63244_000002_000001	"I want to give myself up to others; I want to know everything that lies beneath and out of sight, don't you know?	"I want to give myself up to others; I want to know everything that lies beneath and out of sight, don't you know?	false	416.75	423.09	7
6128_63244_000002_000002	I want to enter into the lives of women who are lonely, who are piteous.	I want to enter into the lives of women who are lonely, who are piteous.	false	423.09	427.84	14
6128_63244_000002_000003	I want to be near to them--to help them.	I want to be near to them-to help them.	true	428.27	431.44	20.326292
6128_63244_000002_000004	I want to do something--oh, I should like so to speak!"	I want to do something-oh, I should like so to speak!"	true	431.6	435.75	17
6128_63244_000003_000000	"We should be glad to have you make a few remarks at present," Mrs. Farrinder declared, with a punctuality which revealed the faculty of presiding.	"We should be glad to have you make a few remarks at present," mrs Farrinder declared, with a punctuality which revealed the faculty of presiding.	false	435.75	444.91	16.483568
6128_63244_000004_000000	"Oh dear, no, I can't speak; I have none of that sort of talent.	"Oh dear, no, I can't speak; I have none of that sort of talent.	false	445.55	449.76	11
6128_63244_000004_000001	I have no self-possession, no eloquence; I can't put three words together.	I have no self possession, no eloquence; I can't put three words together.	false	449.76	455.16	19.385592
6128_63244_000004_000002	But I do want to contribute."	But I do want to contribute."	false	455.16	457.53	17.164543
6128_63244_000005_000000	"What _have_ you got?" Mrs. Farrinder inquired, looking at her interlocutress, up and down, with the eye of business, in which there was a certain chill.	"What underscore have underscore you got?" mrs Farrinder inquired, looking at her interlocutress, up and down, with the eye of business, in which there was a certain chill.	false	457.53	468.12	19.011791
6128_63244_000005_000001	"Have you got money?"	"Have you got money?"	true	468.12	469.23	12
6128_63244_000006_000000	Olive was so agitated for the moment with the hope that this great woman would approve of her on the financial side that she took no time to reflect that some other quality might, in courtesy, have been suggested. But she confessed to possessing a certain capital, and the tone seemed rich and deep in which Mrs. Farrinder said to her, "Then contribute that!" She was so good as to develop this idea, and her picture of the part Miss Chancellor might play by making liberal donations to a fund for the diffusion among the women of America of a more adequate conception of their public and private rights--a fund her adviser had herself lately inaugurated--this bold, rapid sketch had the vividness which characterised the speaker's most successful public efforts.	Olive was so agitated for the moment with the hope that this great woman would approve of her on the financial side that she took no time to reflect that some other quality might, in courtesy, have been suggested. But she confessed to possessing a certain capital, and the tone seemed rich and deep in which mrs Farrinder said to her, "Then contribute that!" She was so good as to develop this idea, and her picture of the part Miss Chancellor might play by making liberal donations to a fund for the diffusion among the women of America of a more adequate conception of their public and private rights-a fund her adviser had herself lately inaugurated-this bold, rapid sketch had the vividness which characterised the speaker's most successful public efforts.	false	469.23	518.53	17
6128_63244_000006_000001	It placed Olive under the spell; it made her feel almost inspired.	It placed Olive under the spell; it made her feel almost inspired.	false	519.35	524.44	20.355179
6128_63244_000006_000002	If her life struck others in that way--especially a woman like Mrs. Farrinder, whose horizon was so full--then there must be something for her to do. It was one thing to choose for herself, but now the great representative of the enfranchisement of their sex (from every form of bondage) had chosen for her.	If her life struck others in that way-especially a woman like mrs Farrinder, whose horizon was so full-then there must be something for her to do. It was one thing to choose for herself, but now the great representative of the enfranchisement of their sex (from every form of bondage) had chosen for her.	false	524.87	544.42	14
6128_63244_000007_000000	The barren, gas-lighted room grew richer and richer to her earnest eyes; it seemed to expand, to open itself to the great life of humanity.	The barren, gas lighted room grew richer and richer to her earnest eyes; it seemed to expand, to open itself to the great life of humanity.	false	546.35	556.93	19.319727
6128_63244_000007_000001	The serious, tired people, in their bonnets and overcoats, began to glow like a company of heroes.	The serious, tired people, in their bonnets and overcoats, began to glow like a company of heroes.	false	557.12	565.18	15
6128_63244_000007_000002	Yes, she would do something, Olive Chancellor said to herself; she would do something to brighten the darkness of that dreadful image that was always before her, and against which it seemed to her at times that she had been born to lead a crusade--the image of the unhappiness of women.	Yes, she would do something, Olive Chancellor said to herself; she would do something to brighten the darkness of that dreadful image that was always before her, and against which it seemed to her at times that she had been born to lead a crusade-the image of the unhappiness of women.	false	565.7	582.7	13
6128_63244_000007_000003	The unhappiness of women!	The unhappiness of women!	true	583.4	585.06	14
6128_63244_000007_000004	The voice of their silent suffering was always in her ears, the ocean of tears that they had shed from the beginning of time seemed to pour through her own eyes. Ages of oppression had rolled over them; uncounted millions had lived only to be tortured, to be crucified.	The voice of their silent suffering was always in her ears, the ocean of tears that they had shed from the beginning of time seemed to pour through her own eyes. Ages of oppression had rolled over them; uncounted millions had lived only to be tortured, to be crucified.	false	585.06	604.21	18.320143
6128_63244_000007_000005	They were her sisters, they were her own, and the day of their delivery had dawned.	They were her sisters, they were her own, and the day of their delivery had dawned.	false	604.55	609.79	19.83147
6128_63244_000007_000006	This was the only sacred cause; this was the great, the just revolution.	This was the only sacred cause; this was the great, the just revolution.	false	610.7	615.91	14
6128_63244_000007_000007	It must triumph, it must sweep everything before it; it must exact from the other, the brutal, blood-stained, ravening race, the last particle of expiation!	It must triumph, it must sweep everything before it; it must exact from the other, the brutal, blood stained, ravening race, the last particle of expiation!	false	615.95	627.06	13
6128_63244_000007_000008	It would be the greatest change the world had seen; it would be a new era for the human family, and the names of those who had helped to show the way and lead the squadrons would be the brightest in the tables of fame. They would be names of women weak, insulted, persecuted, but devoted in every pulse of their being to the cause, and asking no better fate than to die for it.	It would be the greatest change the world had seen; it would be a new era for the human family, and the names of those who had helped to show the way and lead the squadrons would be the brightest in the tables of fame. They would be names of women weak, insulted, persecuted, but devoted in every pulse of their being to the cause, and asking no better fate than to die for it.	false	627.06	650.83	17
6128_63244_000007_000009	It was not clear to this interesting girl in what manner such a sacrifice (as this last) would be required of her, but she saw the matter through a kind of sunrise-mist of emotion which made danger as rosy as success.	It was not clear to this interesting girl in what manner such a sacrifice (as this last) would be required of her, but she saw the matter through a kind of sunrise mist of emotion which made danger as rosy as success.	false	651.35	665.11	10
6128_63244_000007_000010	When Miss Birdseye approached, it transfigured her familiar, her comical shape, and made the poor little humanitary hack seem already a martyr.	When Miss Birdseye approached, it transfigured her familiar, her comical shape, and made the poor little humanitary hack seem already a martyr.	false	666.08	675.7	12
6128_63244_000007_000011	Olive Chancellor looked at her with love, remembered that she had never, in her long, unrewarded, weary life, had a thought or an impulse for herself.	Olive Chancellor looked at her with love, remembered that she had never, in her long, unrewarded, weary life, had a thought or an impulse for herself.	false	676.4	686.65	16
6128_63244_000007_000012	She had been consumed by the passion of sympathy; it had crumpled her into as many creases as an old glazed, distended glove.	She had been consumed by the passion of sympathy; it had crumpled her into as many creases as an old glazed, distended glove.	true	686.9	695.83	13
6128_63244_000007_000013	She had been laughed at, but she never knew it; she was treated as a bore, but she never cared.	She had been laughed at, but she never knew it; she was treated as a bore, but she never cared.	true	696.38	702.58	17
6128_63244_000007_000014	She had nothing in the world but the clothes on her back, and when she should go down into the grave she would leave nothing behind her but her grotesque, undistinguished, pathetic little name.	She had nothing in the world but the clothes on her back, and when she should go down into the grave she would leave nothing behind her but her grotesque, undistinguished, pathetic little name.	false	702.92	714.58	15
6128_63244_000007_000015	And yet people said that women were vain, that they were personal, that they were interested!	And yet people said that women were vain, that they were personal, that they were interested!	false	715.43	720.78	17
6128_63244_000007_000016	While Miss Birdseye stood there, asking Mrs. Farrinder if she wouldn't say something, Olive Chancellor tenderly fastened a small battered brooch which confined her collar and which had half detached itself.	While Miss Birdseye stood there, asking mrs Farrinder if she wouldn't say something, Olive Chancellor tenderly fastened a small battered brooch which confined her collar and which had half detached itself.	false	720.78	743.1	17.301666
