8131_117029_000000_000000	Chapter XVII	Chapter seventeen
8131_117029_000011_000000	"On the house, copper," Fats' voice said.	"On the house, copper," Fats' voice said.
8131_117029_000011_000001	The man dropped to another stool, rolling dice casually between his thumbs.	The man dropped to another stool, rolling dice casually between his thumbs.
8131_117029_000011_000002	"And bring out a steak, there!	"And bring out a steak, there!
8131_117029_000011_000003	You look as if you could stand it--and Fats don't forget old friends!"	You look as if you could stand it-and Fats don't forget old friends!"
8131_117029_000012_000001	"Maybe you should have got me that night, Fats."	"Maybe you should have got me that night, Fats."
8131_117029_000013_000001	"That's Mars." He rolled the dice out, then picked them up again.	"That's Mars." He rolled the dice out, then picked them up again.
8131_117029_000013_000002	"Guess I'll have to stick to selling meals, mostly--for a while, at least.	"Guess I'll have to stick to selling meals, mostly-for a while, at least.
8131_117029_000013_000004	Thought you'd be in the chips!"	Thought you'd be in the chips!"
8131_117029_000014_000000	"That's Mars," Gordon echoed the other's comment.	"That's Mars," Gordon echoed the other's comment.
8131_117029_000014_000001	"Why don't you pull off the planet, Fats?	"Why don't you pull off the planet, Fats?
8131_117029_000014_000002	You could go back to Earth, I'd guess."	You could go back to Earth, I'd guess."
8131_117029_000015_000000	The other nodded.	The other nodded.
8131_117029_000015_000001	"Yeah.	"Yeah.
8131_117029_000015_000002	I went back, about ten years ago.	I went back, about ten years ago.
8131_117029_000015_000003	Spent four weeks down there.	Spent four weeks down there.
8131_117029_000015_000005	Guess a man gets used to anything ...	Guess a man gets used to anything ...
8131_117029_000015_000006	Hell, maybe I can hire some bums to sit around and whoop it up when the ships come in, and bill this as a real old Martian den of sin!	Hell, maybe I can hire some bums to sit around and whoop it up when the ships come in, and bill this as a real old Martian den of sin!
8131_117029_000016_000000	Gordon grinned wryly; Fats would probably make more than ever.	Gordon grinned wryly; Fats would probably make more than ever.
8131_117029_000017_000000	He finished the meal, accepted a pack of the Earth cigarettes that sold at a luxury price here, and went out into the thin air of Mars.	He finished the meal, accepted a pack of the Earth cigarettes that sold at a luxury price here, and went out into the thin air of Mars.
8131_117029_000017_000001	It was almost good to get out into the filth of the slums, and be heading back to the still-standing monument of the old Chicken Coop.	It was almost good to get out into the filth of the slums, and be heading back to the still standing monument of the old Chicken Coop.
8131_117029_000017_000002	He headed for the private entrance out of habit, and then shrugged as he realized it was a needless precaution now.	He headed for the private entrance out of habit, and then shrugged as he realized it was a needless precaution now.
8131_117029_000017_000003	He moved up the front steps and through the battered seal.	He moved up the front steps and through the battered seal.
8131_117029_000018_000000	Then he stopped.	Then he stopped.
8131_117029_000018_000001	Security had finally gotten around to him, it seemed. Inside the hallway, the Security man who'd first sent him to Mars was waiting.	Security had finally gotten around to him, it seemed. Inside the hallway, the Security man who'd first sent him to Mars was waiting.
8131_117029_000019_000000	There was a grin on the other's face.	There was a grin on the other's face.
8131_117029_000019_000001	"Hello, Gordon.	"Hello, Gordon.
8131_117029_000019_000002	Finally got our orders for you.	Finally got our orders for you.
8131_117029_000019_000003	It's Mercury!"	It's Mercury!"
8131_117029_000020_000000	Bruce Gordon nodded slowly.	Bruce Gordon nodded slowly.
8131_117029_000020_000001	"All right.	"All right.
8131_117029_000021_000001	He grinned again.	He grinned again.
8131_117029_000021_000002	"We know about Murdoch, and we know where Trench is--but he's a good citizen now, so he can stay there.	"We know about Murdoch, and we know where Trench is-but he's a good citizen now, so he can stay there.
8131_117029_000021_000003	We're not throwing the book at you, Bruce.	We're not throwing the book at you, Bruce.
8131_117029_000021_000004	Damn it, we sent you here to get results, and you got them.	Damn it, we sent you here to get results, and you got them.
8131_117029_000021_000005	We sent twenty others the same way--and they failed.	We sent twenty others the same way-and they failed.
8131_117029_000022_000000	"I wonder if it's worth it," Gordon said slowly.	"I wonder if it's worth it," Gordon said slowly.
8131_117029_000023_000000	The other shook his head.	The other shook his head.
8131_117029_000023_000001	"We can't know in our lifetime.	"We can't know in our lifetime.
8131_117029_000023_000002	All we can do is to hope.	All we can do is to hope.
8131_117029_000023_000003	We'll probably get this Mother Corey and Isaacs elected properly; and for a while, things will improve.	We'll probably get this Mother Corey and Isaacs elected properly; and for a while, things will improve.
8131_117029_000023_000004	But there'll be pushers as long as weak men turn to drugs, and graft as long as voters allow the thing to get out of their hands.	But there'll be pushers as long as weak men turn to drugs, and graft as long as voters allow the thing to get out of their hands.
8131_117029_000023_000005	Let's say you've shifted some of the misery around a bit, and given them a chance to do better.	Let's say you've shifted some of the misery around a bit, and given them a chance to do better.
8131_117029_000023_000006	It's up to them to take it or lose it."	It's up to them to take it or lose it."
8131_117029_000024_000000	"So I get sent to Mercury?"	"So I get sent to Mercury?"
8131_117029_000025_000000	"You can't stay here.	"You can't stay here.
8131_117029_000025_000001	They'll find out too much eventually." He paused, estimating Gordon.	They'll find out too much eventually." He paused, estimating Gordon.
8131_117029_000025_000003	You're a fighter.	You're a fighter.
8131_117029_000025_000004	And there's hell brewing on Mercury--worse than here.	And there's hell brewing on Mercury-worse than here.
8131_117029_000025_000005	We've got permission to send you there, if you'll go.	We've got permission to send you there, if you'll go.
8131_117029_000025_000006	With a yellow ticket, again--but without any razzle-dazzle this time.	With a yellow ticket, again-but without any razzle dazzle this time.
8131_117029_000026_000000	Gordon sighed.	Gordon sighed.
8131_117029_000026_000001	"All right.	"All right.
8131_117029_000026_000002	But I wish you'd tell my wife sometime that--well, that I didn't just run out on her.	But I wish you'd tell my wife sometime that-well, that I didn't just run out on her.
8131_117029_000026_000003	She's had bad luck with men."	She's had bad luck with men."
8131_117029_000027_000000	"She already knows," the Security man said.	"She already knows," the Security man said.
8131_117029_000027_000002	And I've paid her the pay we owe you from the time you began using your badge.	And I've paid her the pay we owe you from the time you began using your badge.
8131_117029_000027_000003	She's out shopping!"	She's out shopping!"
8131_117029_000028_000000	The car pulled up to the waiting rocket, and the Security man helped him up the steps with a perfunctory wish for good luck.	The car pulled up to the waiting rocket, and the Security man helped him up the steps with a perfunctory wish for good luck.
8131_117029_000028_000001	Then Bruce Gordon stopped as great arms surrounded him.	Then Bruce Gordon stopped as great arms surrounded him.
8131_117029_000029_000001	But his old eyes were glinting.	But his old eyes were glinting.
8131_117029_000029_000002	"Did you think we'd let you go without seeing you off, cobber?" he asked.	"Did you think we'd let you go without seeing you off, cobber?" he asked.
8131_117029_000029_000005	Izzy, you tell him."	Izzy, you tell him."
8131_117029_000030_000000	He grabbed Gordon's hand and waddled down the landing plank.	He grabbed Gordon's hand and waddled down the landing plank.
8131_117029_000030_000001	Izzy shook his head.	Izzy shook his head.
8131_117029_000031_000000	"I can't say it, either, gov'nor--but some day, I'm going to have one of those badges myself.	"I can't say it, either, gov'nor-but some day, I'm going to have one of those badges myself.
8131_117029_000031_000001	Like I always said, honesty sure pays, even if it kills you.	Like I always said, honesty sure pays, even if it kills you.
8131_117029_000031_000002	Here!"	Here!"
