8461_258277_000000_000000	When it was the Seven Hundred and Eighteenth Night,	When it was the Seven Hundred and Eighteenth Night,	true	31.8	34.995	24.949158
8461_258277_000001_000010	Presently he met a Kazi, who called to him, saying, "Come hither, O sweet-meat seller!" So he went up to him and setting down his sack laid the tray of sweetmeats upon it and asked, "What dost thou want?" "Halwa and dragees,[FN#256]" answered the Kazi and, taking some in his hand, said, "Both of these are adulterated." Then he brought out sweetmeats from his breast-pocket[FN#257] and gave them to the sweetmeat-seller, saying, "Look at this fashion; how excellent it is!	Presently he met a Kazi, who called to him, saying, "Come hither, O sweet meat seller!" So he went up to him and setting down his sack laid the tray of sweetmeats upon it and asked, "What dost thou want?" "Halwa and dragees,[f n # two hundred fifty six]" answered the Kazi and, taking some in his hand, said, "Both of these are adulterated." Then he brought out sweetmeats from his breast pocket[f n # two hundred fifty seven] and gave them to the sweetmeat seller, saying, "Look at this fashion; how excellent it is!	false	220.19	252.1	22.982155
8461_258277_000001_000011	Eat of it and make the like of it." So he ate and fell down senseless, for the sweetmeats were drugged with Bhang, whereupon the Kazi bundled him into the sack and made off with him, charger and chest and all, to the barrack of the Forty.	Eat of it and make the like of it." So he ate and fell down senseless, for the sweetmeats were drugged with Bhang, whereupon the Kazi bundled him into the sack and made off with him, charger and chest and all, to the barrack of the Forty.	true	252.23	268.3	21.765015
8461_258277_000001_000012	Now the Judge in question was Hasan Shuman and the reason of this was as follows.	Now the Judge in question was Hasan Shuman and the reason of this was as follows.	false	269.51	274.81	19.24437
8461_258277_000001_000013	When Ali had been gone some days in quest of the dress and they heard no news of him, Calamity Ahmad said to his men, "O lads, go and seek for your brother Ali of Cairo." So they sallied forth in quest of him and among the rest Hasan Shuman the Pestilence, disguised in a Kazi's gear.	When Ali had been gone some days in quest of the dress and they heard no news of him, Calamity Ahmad said to his men, "O lads, go and seek for your brother Ali of Cairo." So they sallied forth in quest of him and among the rest Hasan Shuman the Pestilence, disguised in a Kazi's gear.	false	275.27	294.28	22.208591
8461_258277_000001_000014	He came upon the sweetmeat-seller and, knowing him for Ahmad al-Lakit[FN#258] suspected him of having played some trick upon Ali; so he drugged him and did as we have seen.	He came upon the sweetmeat seller and, knowing him for Ahmad al Lakit[f n # two hundred fifty eight] suspected him of having played some trick upon Ali; so he drugged him and did as we have seen.	false	295.43	306.37	22.640953
8461_258277_000001_000015	Mean-while, the other Forty fared about the streets and highways making search in different directions, and amongst them Ali Kitf al-Jamal, who espying a crowd, made towards the people and found the Cairene Ali lying drugged and senseless in their midst.	Mean while, the other Forty fared about the streets and highways making search in different directions, and amongst them Ali k i t f al Jamal, who espying a crowd, made towards the people and found the Cairene Ali lying drugged and senseless in their midst.	false	307.25	323.47	21.820112
8461_258277_000001_000016	So he revived him and he came to himself and seeing the folk flocking around him asked, "Where am I?" Answered Ali Camel-shoulder and his comrades, "We found thee lying here drugged but know not who drugged thee." Quoth Ali, "'Twas a certain sweetmeat-seller who drugged me and took the gear from me; but where is he gone?" Quoth his comrades, "We have seen nothing of him; but come, rise and go home with us." So they returned to the barrack, where they found Ahmad al-Danaf, who greeted Ali and enquired if he had brought the dress.	So he revived him and he came to himself and seeing the folk flocking around him asked, "Where am I?" Answered Ali Camel shoulder and his comrades, "We found thee lying here drugged but know not who drugged thee." Quoth Ali, "'twas a certain sweetmeat seller who drugged me and took the gear from me; but where is he gone?" Quoth his comrades, "We have seen nothing of him; but come, rise and go home with us." So they returned to the barrack, where they found Ahmad al Danaf, who greeted Ali and enquired if he had brought the dress.	false	324.11	361.09	22.106516
8461_258277_000001_000017	He replied, "I was coming hither with it and other matters, including the Jew's head, when a sweetmeat-seller met me and drugged me with Bhang and took them from me." Then he told him the whole tale ending with, "If I come across that man of goodies again, I will requite him." Presently Hasan Shuman came out of a closet and said to him, "Hast thou gotten the gear, O Ali?" So he told him what had befallen him and added, "If I know whither the rascal is gone and where to find the knave, I would pay him out.	He replied, "I was coming hither with it and other matters, including the Jew's head, when a sweetmeat seller met me and drugged me with Bhang and took them from me." Then he told him the whole tale ending with, "If I come across that man of goodies again, I will requite him." Presently Hasan Shuman came out of a closet and said to him, "Hast thou gotten the gear, O Ali?" So he told him what had befallen him and added, "If I know whither the rascal is gone and where to find the knave, I would pay him out.	false	361.46	395.44	22.099333
8461_258277_000001_000018	Knowest thou whither he went?" Answered Hasan, "I know where he is," and opening the door of the closet, showed him the sweetmeat-seller within, drugged and senseless.	Knowest thou whither he went?" Answered Hasan, "I know where he is," and opening the door of the closet, showed him the sweetmeat seller within, drugged and senseless.	true	396.32	406.9	23.98333
8461_258277_000001_000019	Then he aroused him and he opened his eyes and finding himself in presence of Mercury Ali and Calamity Ahmad and the Forty, started up and said, "Where am I and who hath laid hands on me?" Replied Shuman, "'Twas I laid hands on thee;" and Ali cried, "O perfidious wretch, wilt thou play thy pranks on me?" And he would have slain him: but Hasan said to him, "Hold thy hand for this fellow is become thy kinsman." "How my kinsman?" quoth Ali; and quoth Hasan, "This is Ahmad al- Lakit son of Zaynab's sister." Then said Ali to the prisoner, "Why didst thou thus, O Lakit?" and he replied, "My grandmother, Dalilah the Wily, bade me do it; only because Zurayk the fishmonger fore-gathered with the old woman and said, 'Mercury Ali of Cairo is a sharper and a past master in knavery, and he will certainly slay the Jew and bring hither the dress.' So she sent for me and said to me, 'O Ahmad, dost thou know Ali of Cairo?' Answered I, 'Indeed I do and 'twas I directed him to Ahmad al-Danaf's lodging when he first came to Baghdad.' Quoth she, 'Go and set thy nets for him, and if he have brought back the gear, put a cheat on him and take it from him.' So I went round about the highways of the city, till I met a sweetmeat-seller and buying his clothes and stock-in-trade and gear for ten dinars, did what was done." Thereupon quoth Ali, "Go back to thy grandmother and Zurayk, and tell them that I have brought the gear and the Jew's head and tell them to meet me to-morrow at the Caliph's Divan, there to receive Zaynab's dowry." And Calamity Ahmad rejoiced in this and said, "We have not wasted our pains in rearing thee, O Ali!" Next morning Ali took the dress, the charger, the rod and the chains of gold, together with the head of Azariah the Jew mounted on a pike, and went up, accompanied by Ahmad al-Danaf and the Forty, to the Divan, where they kissed ground before the Caliph--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	Then he aroused him and he opened his eyes and finding himself in presence of Mercury Ali and Calamity Ahmad and the Forty, started up and said, "Where am I and who hath laid hands on me?" Replied Shuman, "'twas I laid hands on thee;" and Ali cried, "O perfidious wretch, wilt thou play thy pranks on me?" And he would have slain him: but Hasan said to him, "Hold thy hand for this fellow is become thy kinsman." "How my kinsman?" quoth Ali; and quoth Hasan, "This is Ahmad al Lakit son of Zaynab's sister." Then said Ali to the prisoner, "Why didst thou thus, O Lakit?" and he replied, "My grandmother, Dalilah the Wily, bade me do it; only because Zurayk the fishmonger fore gathered with the old woman and said, 'Mercury Ali of Cairo is a sharper and a past master in knavery, and he will certainly slay the Jew and bring hither the dress.' So she sent for me and said to me, 'O Ahmad, dost thou know Ali of Cairo?' Answered I, 'Indeed I do and 'twas I directed him to Ahmad al Danaf's lodging when he first came to Baghdad.' Quoth she, 'Go and set thy nets for him, and if he have brought back the gear, put a cheat on him and take it from him.' So I went round about the highways of the city, till I met a sweetmeat seller and buying his clothes and stock in trade and gear for ten dinars, did what was done." Thereupon quoth Ali, "Go back to thy grandmother and Zurayk, and tell them that I have brought the gear and the Jew's head and tell them to meet me to morrow at the Caliph's Divan, there to receive Zaynab's dowry." And Calamity Ahmad rejoiced in this and said, "We have not wasted our pains in rearing thee, O Ali!" Next morning Ali took the dress, the charger, the rod and the chains of gold, together with the head of Azariah the Jew mounted on a pike, and went up, accompanied by Ahmad al Danaf and the Forty, to the Divan, where they kissed ground before the Caliph-And Shahrazad perceived the dawn of day and ceased saying her permitted say.	false	407.42	545.92	23.133337
8461_258277_000002_000000	When it was the Seven Hundred and Nineteenth Night,	When it was the Seven Hundred and Nineteenth Night,	true	549.92	553.05	26.91835
8461_258277_000003_000000	She said, It hath reached me, O auspicious King, that when Ali the Cairene went up to the Caliph's Divan, accompanied by his uncle Ahmad al-Danaf and his lads they kissed ground before the Caliph who turned and seeing a youth of the most valiant aspect, enquired of Calamity Ahmad concerning him and he replied, "O Commander of the Faithful, this is Mercury Ali the Egyptian captain of the brave boys of Cairo, and he is the first of my lads." And the Caliph loved him for the valour that shone from between his eyes, testifying for him and not against him.	She said, It hath reached me, O auspicious King, that when Ali the Cairene went up to the Caliph's Divan, accompanied by his uncle Ahmad al Danaf and his lads they kissed ground before the Caliph who turned and seeing a youth of the most valiant aspect, enquired of Calamity Ahmad concerning him and he replied, "O Commander of the Faithful, this is Mercury Ali the Egyptian captain of the brave boys of Cairo, and he is the first of my lads." And the Caliph loved him for the valour that shone from between his eyes, testifying for him and not against him.	false	553.05	590.23	22.462934
8461_258277_000003_000001	Then Ali rose; and, casting the Jew's head down before him, said, "May thine every enemy be like this one, O Prince of True Believers!" Quoth Al-Rashid, "Whose head is this?"; and quoth Ali, "'Tis the head of Azariah the Jew." "Who slew him?" asked the Caliph.	Then Ali rose; and, casting the Jew's head down before him, said, "May thine every enemy be like this one, O Prince of True Believers!" Quoth Al Rashid, "Whose head is this?"; and quoth Ali, "'tis the head of Azariah the Jew." "Who slew him?" asked the Caliph.	true	591.14	612.34	21.410486
8461_258277_000003_000002	So Ali related to him all that had passed, from first to last, and the Caliph said, "I had not thought thou wouldst kill him, for that he was a sorcerer." Ali replied, "O Commander of the Faithful, my Lord made me prevail to his slaughter." Then the Caliph sent the Chief of Police to the Jew's palace, where he found him lying headless; so he laid the body on a bier,[FN#259] and carried it to Al-Rashid, who commanded to burn it.	So Ali related to him all that had passed, from first to last, and the Caliph said, "I had not thought thou wouldst kill him, for that he was a sorcerer." Ali replied, "O Commander of the Faithful, my Lord made me prevail to his slaughter." Then the Caliph sent the Chief of Police to the Jew's palace, where he found him lying headless; so he laid the body on a bier,[f n # two hundred fifty nine] and carried it to Al Rashid, who commanded to burn it.	false	612.71	641.47	23.26839
8461_258277_000003_000003	Whereat, behold, up came Kamar and kissing the ground before the Caliph, informed him that she was the daughter of Jew Azariah and that she had become a Moslemah. Then she renewed her profession of Faith before the Commander of the Faithful and said to him "Be thou my intercessor with Sharper Ali that he take me to wife." She also appointed him her guardian to consent to her marriage with the Cairene, to whom he gave the Jew's palace and all its contents, saying, "Ask a boon of me." Quoth Ali, "I beg of thee to let me stand on thy carpet and eat of thy table;" and quoth the Caliph, "O Ali, hast thou any lads?" He replied, "I have forty lads; but they are in Cairo." Rejoined the Caliph, "Send to Cairo and fetch them hither," presently adding, "But, O Ali, hast thou a barrack for them?" "No," answered Ali; and Hasan Shuman said, "I make him a present of my barrack with all that is therein, O Commander of the Faithful." However, the Caliph retorted, saying, "Thy lodging is thine own, O Hasan;" and he bade his treasurer give the court architect ten thousand dinars, that he might build Ali a hall with four daises and forty sleeping-closets for his lads.	Whereat, behold, up came Kamar and kissing the ground before the Caliph, informed him that she was the daughter of Jew Azariah and that she had become a Moslemah. Then she renewed her profession of Faith before the Commander of the Faithful and said to him "Be thou my intercessor with Sharper Ali that he take me to wife." She also appointed him her guardian to consent to her marriage with the Cairene, to whom he gave the Jew's palace and all its contents, saying, "Ask a boon of me." Quoth Ali, "I beg of thee to let me stand on thy carpet and eat of thy table;" and quoth the Caliph, "O Ali, hast thou any lads?" He replied, "I have forty lads; but they are in Cairo." Rejoined the Caliph, "Send to Cairo and fetch them hither," presently adding, "But, O Ali, hast thou a barrack for them?" "No," answered Ali; and Hasan Shuman said, "I make him a present of my barrack with all that is therein, O Commander of the Faithful." However, the Caliph retorted, saying, "Thy lodging is thine own, O Hasan;" and he bade his treasurer give the court architect ten thousand dinars, that he might build Ali a hall with four daises and forty sleeping closets for his lads.	false	642.14	723.61	23.141508
8461_258277_000003_000004	Then said he, "O Ali, hast thou any further wish, that we may command its fulfilment?". and said Ali, "O King of the age, be thou my intercessor with Dalilah the Wily that she give me her daughter Zaynab to wife and take the dress and gear of Azariah's girl in lieu of dower." Dalilah accepted the Caliph's intercession and accepted the charger and dress and what not, and they drew up the marriage contracts between Ali and Zaynab and Kamar, the Jew's daughter and the broker's daughter and the handmaid.	Then said he, "O Ali, hast thou any further wish, that we may command its fulfilment?". and said Ali, "O King of the age, be thou my intercessor with Dalilah the Wily that she give me her daughter Zaynab to wife and take the dress and gear of Azariah's girl in lieu of dower." Dalilah accepted the Caliph's intercession and accepted the charger and dress and what not, and they drew up the marriage contracts between Ali and Zaynab and Kamar, the Jew's daughter and the broker's daughter and the handmaid.	false	724.67	757.78	23.349361
8461_258277_000003_000005	Moreover, the Caliph assigned him a solde with a table morning and evening, and stipends and allowances for fodder; all of the most liberal.	Moreover, the Caliph assigned him a solde with a table morning and evening, and stipends and allowances for fodder; all of the most liberal.	false	758.69	767.56	22.699766
8461_258277_000003_000006	Then Ali the Cairene fell to making ready for the wedding festivities and, after thirty days, he sent a letter to his comrades in Cairo, wherein he gave them to know of the favours and honours which the Caliph had bestowed upon him and said, "I have married four maidens and needs must ye come to the wedding." So, after a reasonable time the forty lads arrived and they held high festival; he homed them in his barrack and entreated them with the utmost regard and presented them to the Caliph, who bestowed on them robes of honour and largesse.	Then Ali the Cairene fell to making ready for the wedding festivities and, after thirty days, he sent a letter to his comrades in Cairo, wherein he gave them to know of the favours and honours which the Caliph had bestowed upon him and said, "I have married four maidens and needs must ye come to the wedding." So, after a reasonable time the forty lads arrived and they held high festival; he homed them in his barrack and entreated them with the utmost regard and presented them to the Caliph, who bestowed on them robes of honour and largesse.	false	768.74	802	23.64795
8461_258277_000003_000007	Then the tiring-women displayed Zaynab before Ali in the dress of the Jew's daughter, and he went in unto her and found her a pearl unthridden and a filly by all save himself unridden.	Then the tiring women displayed Zaynab before Ali in the dress of the Jew's daughter, and he went in unto her and found her a pearl unthridden and a filly by all save himself unridden.	true	803.18	814.99	20.867664
8461_258277_000003_000008	Then he went in unto the three other maidens and found them accomplished in beauty and loveliness.	Then he went in unto the three other maidens and found them accomplished in beauty and loveliness.	true	816.23	822.25	21.002068
8461_258277_000003_000009	After this it befel that Ali of Cairo was one night on guard by the Caliph who said to him, "I wish thee O Ali, to tell me all that hath befallen thee from first to last with Dalilah the Wily and Zaynab the Coney-catcher and Zurayk the Fishmonger." So Ali related to him all his adventures and the Commander of the Faithful bade record them and lay them up in the royal muniment-rooms.	After this it befel that Ali of Cairo was one night on guard by the Caliph who said to him, "I wish thee O Ali, to tell me all that hath befallen thee from first to last with Dalilah the Wily and Zaynab the Coney catcher and Zurayk the Fishmonger." So Ali related to him all his adventures and the Commander of the Faithful bade record them and lay them up in the royal muniment rooms.	false	823.28	849.61	24.330534
8461_258277_000003_000010	So they wrote down all that had befallen him and kept it in store with other histories for the people of Mohammed the Best of Men.	So they wrote down all that had befallen him and kept it in store with other histories for the people of Mohammed the Best of Men.	false	850.37	858.45	26.859224
8461_258277_000003_000011	And Ali and his wives and comrades abode in all solace of life, and its joyance, till there came to them the Destroyer of Delights and Sunderer of Societies; and Allah (be He extolled and exalted!) is All- knowing![FN#260] And also men relate the tale of	And Ali and his wives and comrades abode in all solace of life, and its joyance, till there came to them the Destroyer of Delights and Sunderer of Societies; and Allah (be He extolled and exalted!) is All knowing![f n # two hundred sixty] And also men relate the tale of	false	858.45	877.56	22.614079
8461_258277_000004_000000	ARDASHIR AND HAYAT AL-NUFUS.[FN#261]	a r d a s h i r AND HAYAT AL n u f u s.[f n # two hundred sixty one]	false	877.56	882.63	27.408293
8461_258277_000005_000000	There was once in the city of Shiraz a mighty King called Sayf al-A'azam Shah, who had grown old, without being blessed with a son.	There was once in the city of Shiraz a mighty King called Sayf al A'azam Shah, who had grown old, without being blessed with a son.	false	882.63	891.34	20.561396
8461_258277_000005_000001	So he summoned the physicists and physicians and said to them, "I am now in years and ye know my case and the state of the kingdom and its ordinance; and I fear for my subjects after me; for that up to this present I have not been vouchsafed a son." Thereupon they replied, "We will compound thee a somewhat of drugs wherein shall be efficacy, if it please Almighty Allah!" So they mixed him drugs, which he used and knew his wife carnally, and she conceived by leave of the Most High Lord, who saith to a thing, "Be," and it becometh. When her months were accomplished, she gave birth to a male child like the moon, whom his father named Ardashir,[FN#262] and he grew up and throve and applied himself to the study of learning and letters, till he attained the age of fifteen.	So he summoned the physicists and physicians and said to them, "I am now in years and ye know my case and the state of the kingdom and its ordinance; and I fear for my subjects after me; for that up to this present I have not been vouchsafed a son." Thereupon they replied, "We will compound thee a somewhat of drugs wherein shall be efficacy, if it please Almighty Allah!" So they mixed him drugs, which he used and knew his wife carnally, and she conceived by leave of the Most High Lord, who saith to a thing, "Be," and it becometh. When her months were accomplished, she gave birth to a male child like the moon, whom his father named Ardashir,[f n # two hundred sixty two] and he grew up and throve and applied himself to the study of learning and letters, till he attained the age of fifteen.	false	892.37	948.97	22.928495
8461_258277_000005_000002	Now there was in Al-Irak a King called Abd al-Kadir who had a daughter, by name Hayat al-Nufus, and she was like the rising full moon, but she had an hatred for men and the folk very hardly dared name mankind in her presence.	Now there was in Al Irak a King called Abd al Kadir who had a daughter, by name Hayat al Nufus, and she was like the rising full moon, but she had an hatred for men and the folk very hardly dared name mankind in her presence.	false	950.3	966.82	25.466934
8461_258277_000005_000003	The Kings of the Chosroes had sought her in marriage of her sire; but, when he spoke with her thereof, she said, "Never will I do this; and if thou force me thereto, I will slay myself." Now Prince Ardashir heard of her fame and fell in love with her and told his father who, seeing his case, took pity on him and promised him day by day that he should marry her.	The Kings of the Chosroes had sought her in marriage of her sire; but, when he spoke with her thereof, she said, "Never will I do this; and if thou force me thereto, I will slay myself." Now Prince Ardashir heard of her fame and fell in love with her and told his father who, seeing his case, took pity on him and promised him day by day that he should marry her.	false	967.79	994.72	23.759544
8461_258277_000005_000004	So he despatched his Wazir to demand her in wedlock, but King Abd al-Kadir refused, and when the Minister returned to King Sayf al-A'azam and acquainted him with what had befallen his mission and the failure thereof, he was wroth with exceeding wrath and cried, "Shall the like of me send to one of the Kings on a requisition and he accomplish it not?" Then he bade a herald make proclamation to his troops, bidding them bring out the tents and equip them for war with all diligence, though they should borrow money for the necessary expenses; and he said, "I will on no wise turn back, till I have laid waste King Abd al-Kadir's dominions and slain his men and plundered his treasures and blotted out his traces!" When the report of this reached Ardashir he rose from his carpet-bed, and going in to his father, kissed ground[FN#263] between his hands and said, "O mighty King, trouble not thyself with aught of this thing"--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	So he despatched his Wazir to demand her in wedlock, but King Abd al Kadir refused, and when the Minister returned to King Sayf al A'azam and acquainted him with what had befallen his mission and the failure thereof, he was wroth with exceeding wrath and cried, "Shall the like of me send to one of the Kings on a requisition and he accomplish it not?" Then he bade a herald make proclamation to his troops, bidding them bring out the tents and equip them for war with all diligence, though they should borrow money for the necessary expenses; and he said, "I will on no wise turn back, till I have laid waste King Abd al Kadir's dominions and slain his men and plundered his treasures and blotted out his traces!" When the report of this reached Ardashir he rose from his carpet bed, and going in to his father, kissed ground[f n # two hundred sixty three] between his hands and said, "O mighty King, trouble not thyself with aught of this thing"--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	false	994.85	1061.77	22.605293
8461_258277_000006_000000	When it was the Seven Hundred and Twentieth Night,	When it was the Seven Hundred and Twentieth Night,	true	1064.51	1067.56	25.716686
8461_258277_000007_000000	She continued, It hath reached me, O auspicious King, that when report of this reached the Prince he went in to his sire the King and, kissing ground between his hands, said, "O mighty King, trouble not thy soul with aught of this thing and levy not thy champions and armies neither spend thy monies. Thou art stronger than he, and if thou loose upon him this thy host, thou wilt lay waste his cities and dominions and spoil his good and slay his strong men and himself; but when his daughter shall come to know what hath befallen her father and his people by reason of her, she will slay herself, and I shall die on her account; for I can never live after her; no, never." Asked the King, "And what then thinkest thou to do, O my son?" and the Prince answered, "I will don a merchant's habit and cast about how I may win to the Princess and compass my desire of her." Quoth Sayf al-A'azam, "Art thou determined upon this?"; and quoth the Prince, "Yes, O my sire;" whereupon the King called to his Wazir, and said to him, "Do thou journey with my son, the core of my heart, and help him to win his will and watch over him and guide him with thy sound judgment, for thou standest to him even in my stead."	She continued, It hath reached me, O auspicious King, that when report of this reached the Prince he went in to his sire the King and, kissing ground between his hands, said, "O mighty King, trouble not thy soul with aught of this thing and levy not thy champions and armies neither spend thy monies. Thou art stronger than he, and if thou loose upon him this thy host, thou wilt lay waste his cities and dominions and spoil his good and slay his strong men and himself; but when his daughter shall come to know what hath befallen her father and his people by reason of her, she will slay herself, and I shall die on her account; for I can never live after her; no, never." Asked the King, "And what then thinkest thou to do, O my son?" and the Prince answered, "I will don a merchant's habit and cast about how I may win to the Princess and compass my desire of her." Quoth Sayf al A'azam, "Art thou determined upon this?"; and quoth the Prince, "Yes, O my sire;" whereupon the King called to his Wazir, and said to him, "Do thou journey with my son, the core of my heart, and help him to win his will and watch over him and guide him with thy sound judgment, for thou standest to him even in my stead."	false	1067.87	1156.21	22.828382
8461_258277_000007_000001	"I hear and obey," answered the Minister; and the King gave his son three hundred thousand dinars in gold and great store of jewels and precious stones and goldsmiths' ware and stuffs and other things of price.	"I hear and obey," answered the Minister; and the King gave his son three hundred thousand dinars in gold and great store of jewels and precious stones and goldsmiths' ware and stuffs and other things of price.	false	1157.63	1170.64	20.572058
8461_258277_000007_000002	Then Prince Ardashir went in to his mother and kissed her hands and asked her blessing.	Then Prince Ardashir went in to his mother and kissed her hands and asked her blessing.	false	1171.97	1176.97	21.579123
8461_258277_000007_000003	She blessed him and, forthright opening her treasures, brought out to him necklaces and trinkets and apparel and all manner of other costly objects hoarded up from the time of the bygone Kings, whose price might not be evened with coin.	She blessed him and, forthright opening her treasures, brought out to him necklaces and trinkets and apparel and all manner of other costly objects hoarded up from the time of the bygone Kings, whose price might not be evened with coin.	false	1177.52	1192.93	25.970938
8461_258277_000007_000004	Moreover, he took with him of his Mamelukes and negro-slaves and cattle all that he needed for the road and clad himself and the Wazir and their company in traders' gear.	Moreover, he took with him of his Mamelukes and negro slaves and cattle all that he needed for the road and clad himself and the Wazir and their company in traders' gear.	true	1194.2	1204.09	24.524294
8461_258277_000007_000005	Then he farewelled his parents and kinsfolk and friends; and, setting out, fared on over wolds and wastes all hours of the day and watches of the night; and whenas the way was longsome upon him he improvised these couplets,	Then he farewelled his parents and kinsfolk and friends; and, setting out, fared on over wolds and wastes all hours of the day and watches of the night; and whenas the way was longsome upon him he improvised these couplets,	false	1205.45	1220.65	23.573637
8461_258277_000008_000000	"My longing bred of love with mine unease for ever grows; * Nor against all the wrongs of time one succourer arose: When Pleiads and the Fishes show in sky the rise I watch, * As worshipper within whose breast a pious burning glows: For Star o' Morn I speer until at last when it is seen, * I'm madded with my passion and my fancy's woes and throes: I swear by you that never from your love have I been loosed; * Naught am I save a watcher who of slumber nothing knows! Though hard appear my hope to win, though languor aye increase, * And after thee my patience fails and ne'er a helper shows; Yet will I wait till Allah shall be pleased to join our loves; * I'll mortify the jealous and I'll mock me of my foes."	"My longing bred of love with mine unease for ever grows; asterisk Nor against all the wrongs of time one succourer arose: When Pleiads and the Fishes show in sky the rise I watch, asterisk As worshipper within whose breast a pious burning glows: For Star o' Morn I speer until at last when it is seen, asterisk I'm madded with my passion and my fancy's woes and throes: I swear by you that never from your love have I been loosed; asterisk Naught am I save a watcher who of slumber nothing knows! Though hard appear my hope to win, though languor aye increase, asterisk And after thee my patience fails and ne'er a helper shows; Yet will I wait till Allah shall be pleased to join our loves; asterisk I'll mortify the jealous and I'll mock me of my foes."	false	1221.98	1280.86	21.979837
