3538_163619_000001_000000	BUSHY BRIDE	BUSHY BRIDE
3538_163619_000049_000000	The man's daughter wept, and was sorely troubled, for Little Snow was the dearest thing she had on earth, but at last she threw him overboard.	The man's daughter wept, and was sorely troubled, for Little Snow was the dearest thing she had on earth, but at last she threw him overboard.
3538_163619_000051_000000	So they sailed onwards a long way farther.	So they sailed onwards a long way farther.
3538_163619_000053_000000	'What is my brother saying?' asked his sister again.	'What is my brother saying?' asked his sister again.
3538_163619_000054_000000	'Now he says that you are to make haste and throw yourself overboard,' answered the step-mother.	'Now he says that you are to make haste and throw yourself overboard,' answered the step mother.
3538_163619_000055_000000	She wept and she wailed, but as her brother had said that, she thought she must do it; so she leaped into the sea.	She wept and she wailed, but as her brother had said that, she thought she must do it; so she leaped into the sea.
3538_163619_000057_000000	But he was very wroth, and none can blame him for that; so he caused the brother to be thrown into a pit full of snakes.	But he was very wroth, and none can blame him for that; so he caused the brother to be thrown into a pit full of snakes.
3538_163619_000058_000000	On the first Thursday night after this, a beautiful maiden came into the kitchen of the palace, and begged the kitchen-maid, who slept there, to lend her a brush.	On the first Thursday night after this, a beautiful maiden came into the kitchen of the palace, and begged the kitchen maid, who slept there, to lend her a brush.
3538_163619_000060_000001	Then she was forced to depart, but as she went she said:	Then she was forced to depart, but as she went she said:
3538_163619_000062_000000	I shall come twice more, and then never again,' said she.	I shall come twice more, and then never again,' said she.
3538_163619_000063_000001	But though he rubbed his eyes and did everything he could to keep himself awake it was all in vain, for the Bushy Bride crooned and sang till his eyes were fast closed, and when the beautiful young maiden came he was sound asleep and snoring.	But though he rubbed his eyes and did everything he could to keep himself awake it was all in vain, for the Bushy Bride crooned and sang till his eyes were fast closed, and when the beautiful young maiden came he was sound asleep and snoring.
3538_163619_000064_000000	This time also, as before, she borrowed a brush and brushed her hair with it, and the gold dropped down as she did it; and again she sent the dog out three times, and when day dawned she departed, but as she was going she said as she had said before, 'I shall come once more, and then never again.'	This time also, as before, she borrowed a brush and brushed her hair with it, and the gold dropped down as she did it; and again she sent the dog out three times, and when day dawned she departed, but as she was going she said as she had said before, 'I shall come once more, and then never again.'
3538_163619_000065_000004	The third time it was just beginning to grow light, and then she said:	The third time it was just beginning to grow light, and then she said:
3538_163619_000067_000000	'Now I shall never come again,' she said, and then she turned to go.	'Now I shall never come again,' she said, and then she turned to go.
