4350_9170_000001_000000	This is absolutely incorrect.	This is absolutely incorrect.
4350_9170_000007_000004	Power is always in the hands of those who control the army, and all men in power--from the Roman Caesars to the Russian and German Emperors--take more interest in their army than in anything, and court popularity in the army, knowing that if that is on their side their power is secure.	Power is always in the hands of those who control the army, and all men in power-from the Roman Caesars to the Russian and German Emperors-take more interest in their army than in anything, and court popularity in the army, knowing that if that is on their side their power is secure.
4350_9170_000011_000000	All the methods of appointing authorities that have been tried, divine right, and election, and heredity, and balloting, and assemblies and parliaments and senate--have all proved ineffectual.	All the methods of appointing authorities that have been tried, divine right, and election, and heredity, and balloting, and assemblies and parliaments and senate-have all proved ineffectual.
4350_9170_000011_000003	Indeed, it could not be otherwise.	Indeed, it could not be otherwise.
4350_9170_000013_000001	Only under those conditions could the social organization be justified.	Only under those conditions could the social organization be justified.
4350_9170_000015_000001	As the disposition of individuals to violence diminished, and as the habits of the people became more civilized, and as power grew more social organization demoralized through lack of restraint, this advantage disappeared.	As the disposition of individuals to violence diminished, and as the habits of the people became more civilized, and as power grew more social organization demoralized through lack of restraint, this advantage disappeared.
4350_9170_000017_000000	This, put simply, is how it has come to pass.	This, put simply, is how it has come to pass.
4350_9170_000018_000002	The larger and stronger groups conquered and absorbed the weaker, and the larger and stronger they became, the more internal feuds disappeared and the more the continuity of the group seemed assured.	The larger and stronger groups conquered and absorbed the weaker, and the larger and stronger they became, the more internal feuds disappeared and the more the continuity of the group seemed assured.
4350_9170_000019_000000	The members of a family or tribe, united into one community, are less hostile among themselves, and families and tribes do not die like one man, but have a continuity of existence.	The members of a family or tribe, united into one community, are less hostile among themselves, and families and tribes do not die like one man, but have a continuity of existence.
4350_9170_000020_000001	It was produced, on one hand, by the natural growth of population, and, on the other, by struggle and conquest.	It was produced, on one hand, by the natural growth of population, and, on the other, by struggle and conquest.
4350_9170_000021_000000	After conquest the power of the emperor puts an end to internal dissensions, and so the state conception of life justifies itself. But this justification is never more than temporary.	After conquest the power of the emperor puts an end to internal dissensions, and so the state conception of life justifies itself. But this justification is never more than temporary.
4350_9170_000021_000001	Internal dissensions disappear only in proportion to the degree of oppression exerted by the authority over the dissentient individuals.	Internal dissensions disappear only in proportion to the degree of oppression exerted by the authority over the dissentient individuals.
4350_9170_000022_000000	Government authority, even if it does suppress private violence, always introduces into the life of men fresh forms of violence, which tend to become greater and greater in proportion to the duration and strength of the government.	Government authority, even if it does suppress private violence, always introduces into the life of men fresh forms of violence, which tend to become greater and greater in proportion to the duration and strength of the government.
4350_9170_000025_000000	And therefore the oppression of the oppressed always goes on growing up to the furthest limit, beyond which it cannot go without killing the goose with the golden eggs.	And therefore the oppression of the oppressed always goes on growing up to the furthest limit, beyond which it cannot go without killing the goose with the golden eggs.
4350_9170_000025_000001	And if the goose lays no more eggs, like the American Indians, negroes, and Fijians, then it is killed in spite of the sincere protests of philanthropists.	And if the goose lays no more eggs, like the American Indians, negroes, and Fijians, then it is killed in spite of the sincere protests of philanthropists.
4350_9170_000026_000000	The most convincing example of this is to be found in the condition of the working classes of our epoch, who are in reality no better than the slaves of ancient times subdued by conquest.	The most convincing example of this is to be found in the condition of the working classes of our epoch, who are in reality no better than the slaves of ancient times subdued by conquest.
4350_9170_000028_000000	So it has always been.	So it has always been.
4350_9170_000030_000000	Such has been and still is the condition of all the oppressed, but hitherto they have not recognized the fact.	Such has been and still is the condition of all the oppressed, but hitherto they have not recognized the fact.
4350_9170_000031_000000	People have believed, as though it were something fully proved, and so needing no proof, that since all nations have hitherto developed in the form of states, that form of organization is an indispensable condition of the development of humanity.	People have believed, as though it were something fully proved, and so needing no proof, that since all nations have hitherto developed in the form of states, that form of organization is an indispensable condition of the development of humanity.
4350_9170_000033_000000	So it was under the Roman emperors and so it is now.	So it was under the Roman emperors and so it is now.
4350_9170_000033_000001	In spite of the fact that the sense of the uselessness and even injurious effects of state violence is more and more penetrating into men's consciousness, things might have gone on in the same way forever if governments were not under the necessity of constantly increasing their armies in order to maintain their power.	In spite of the fact that the sense of the uselessness and even injurious effects of state violence is more and more penetrating into men's consciousness, things might have gone on in the same way forever if governments were not under the necessity of constantly increasing their armies in order to maintain their power.
4350_9170_000035_000000	That has always been necessary, and has become more and more necessary with the increased diffusion of education among the masses, with the improved communication between people of the same and of different nationalities.	That has always been necessary, and has become more and more necessary with the increased diffusion of education among the masses, with the improved communication between people of the same and of different nationalities.
4350_9170_000035_000001	It has become particularly indispensable now in the face of communism, socialism, anarchism, and the labor movement generally.	It has become particularly indispensable now in the face of communism, socialism, anarchism, and the labor movement generally.
4350_9170_000035_000002	Governments feel that it is so, and strengthen the force of their disciplined armies.	Governments feel that it is so, and strengthen the force of their disciplined armies.
4350_9170_000035_000003	[See Footnote]	[See Footnote]
4350_9170_000037_000000	In the German Reichstag not long ago, in reply to a question why funds were needed for raising the salaries of the under-officers, the German Chancellor openly declared that trustworthy under-officers were necessary to contend against socialism.	In the German Reichstag not long ago, in reply to a question why funds were needed for raising the salaries of the under officers, the German Chancellor openly declared that trustworthy under officers were necessary to contend against socialism.
4350_9170_000037_000001	Caprivi only said aloud what every statesman knows and assiduously conceals from the people.	Caprivi only said aloud what every statesman knows and assiduously conceals from the people.
4350_9170_000037_000003	The meaning of Caprivi's speech, put into plain language, is that funds are needed, not to resist foreign foes, but to BUY UNDER-OFFICERS to be ready to act against the enslaved toiling masses.	The meaning of Caprivi's speech, put into plain language, is that funds are needed, not to resist foreign foes, but to BUY UNDER OFFICERS to be ready to act against the enslaved toiling masses.
4350_9170_000038_000000	Caprivi incautiously gave utterance to what everyone knows perfectly well, or at least feels vaguely if he does not recognize it, that is, that the existing order of life is as it is, not, as would be natural and right, because the people wish it to be so, but because it is so maintained by state violence, by the army with its BOUGHT UNDER-OFFICERS and generals.	Caprivi incautiously gave utterance to what everyone knows perfectly well, or at least feels vaguely if he does not recognize it, that is, that the existing order of life is as it is, not, as would be natural and right, because the people wish it to be so, but because it is so maintained by state violence, by the army with its BOUGHT UNDER OFFICERS and generals.
4350_9170_000039_000001	And this abnormal order of things is maintained by the army.	And this abnormal order of things is maintained by the army.
4350_9170_000040_000000	Everyone, if he does not recognize this now, will know that it is so at the first attempt at insubordination or at a revolution of the existing order.	Everyone, if he does not recognize this now, will know that it is so at the first attempt at insubordination or at a revolution of the existing order.
4350_9170_000042_000000	To keep their subjects in oppression and to be able to enjoy the fruits of their labor the government must have armed forces.	To keep their subjects in oppression and to be able to enjoy the fruits of their labor the government must have armed forces.
4350_9170_000043_000000	But there is not only one government.	But there is not only one government.
4350_9170_000043_000002	And so every government needs an army also to protect its booty from its neighbor brigands.	And so every government needs an army also to protect its booty from its neighbor brigands.
4350_9170_000043_000003	Every government is thus involuntarily reduced to the necessity of emulating one another in the increase of their armies.	Every government is thus involuntarily reduced to the necessity of emulating one another in the increase of their armies.
4350_9170_000044_000000	Every increase in the army of one state, with the aim of self-defense against its subjects, becomes a source of danger for neighboring states and calls for a similar increase in their armies.	Every increase in the army of one state, with the aim of self defense against its subjects, becomes a source of danger for neighboring states and calls for a similar increase in their armies.
4350_9170_000046_000000	Both causes, mutually dependent, contribute to the same result at once; troops are required against internal forces and also to keep up a position with other states.	Both causes, mutually dependent, contribute to the same result at once; troops are required against internal forces and also to keep up a position with other states.
4350_9170_000046_000001	One is the result of the other. The despotism of a government always increases with the strength of the army and its external successes, and the aggressiveness of a government increases with its internal despotism.	One is the result of the other. The despotism of a government always increases with the strength of the army and its external successes, and the aggressiveness of a government increases with its internal despotism.
4350_9170_000047_000003	And by this means all citizens are under arms to support the iniquities practiced upon them; all citizens have become their own oppressors.	And by this means all citizens are under arms to support the iniquities practiced upon them; all citizens have become their own oppressors.
4350_9170_000048_000000	Universal military service was an inevitable logical necessity, to which we were bound to come.	Universal military service was an inevitable logical necessity, to which we were bound to come.
4350_9170_000048_000002	This inconsistency has become obvious in universal military service.	This inconsistency has become obvious in universal military service.
4350_9170_000049_000001	But instead of doing that they expose the individuals to the same necessity of strife, substituting strife with individuals of other states for strife with neighbors.	But instead of doing that they expose the individuals to the same necessity of strife, substituting strife with individuals of other states for strife with neighbors.
4350_9170_000053_000000	The taxes raised from the people for war preparations absorb the greater part of the produce of labor which the army ought to defend.	The taxes raised from the people for war preparations absorb the greater part of the produce of labor which the army ought to defend.
4350_9170_000054_000000	The withdrawing of all men from the ordinary course of life destroys the possibility of labor itself.	The withdrawing of all men from the ordinary course of life destroys the possibility of labor itself.
4350_9170_000054_000001	The danger of war, ever ready to break out, renders all reforms of life social life vain and fruitless.	The danger of war, ever ready to break out, renders all reforms of life social life vain and fruitless.
4350_9170_000056_000000	But the fatal significance of universal military service, as the manifestation of the contradiction inherent in the social conception of life, is not only apparent in that.	But the fatal significance of universal military service, as the manifestation of the contradiction inherent in the social conception of life, is not only apparent in that.
4350_9170_000057_000000	Governments assert that armies are needed above all for external defense, but that is not true.	Governments assert that armies are needed above all for external defense, but that is not true.
4350_9170_000058_000001	All civil outbreaks for dynastic or other party reasons, all the executions that follow on such disturbances, all repression of insurrections, and military intervention to break up meetings and to suppress strikes, all forced extortion of taxes, all the iniquitous distributions of land, all the restrictions on labor--are either carried out directly by the military or by the police with the army at their back.	All civil outbreaks for dynastic or other party reasons, all the executions that follow on such disturbances, all repression of insurrections, and military intervention to break up meetings and to suppress strikes, all forced extortion of taxes, all the iniquitous distributions of land, all the restrictions on labor-are either carried out directly by the military or by the police with the army at their back.
4350_9170_000058_000002	Anyone who serves his time in the army shares the responsibility of all these things, about which he is, in some cases, dubious, while very often they are directly opposed to his conscience.	Anyone who serves his time in the army shares the responsibility of all these things, about which he is, in some cases, dubious, while very often they are directly opposed to his conscience.
4350_9170_000058_000004	How can I help asking myself when I take part in such punishments, whether they are just, and whether I ought to assist in carrying them out?	How can I help asking myself when I take part in such punishments, whether they are just, and whether I ought to assist in carrying them out?
4350_9170_000060_000000	The time has come when the ever-growing abuse of power by governments and their struggles with one another has led to their demanding such material and even moral sacrifices from their subjects that everyone is forced to reflect and ask himself, "Can I make these sacrifices?	The time has come when the ever growing abuse of power by governments and their struggles with one another has led to their demanding such material and even moral sacrifices from their subjects that everyone is forced to reflect and ask himself, "Can I make these sacrifices?
4350_9170_000060_000001	And for the sake of what am I making them?	And for the sake of what am I making them?
4350_9170_000060_000002	I am expected for the sake of the state to make these sacrifices, to renounce everything that can be precious to man--peace, family, security, and human dignity." What is this state, for whose sake such terrible sacrifices have to be made?	I am expected for the sake of the state to make these sacrifices, to renounce everything that can be precious to man-peace, family, security, and human dignity." What is this state, for whose sake such terrible sacrifices have to be made?
4350_9170_000060_000003	And why is it so indispensably necessary?	And why is it so indispensably necessary?
4350_9170_000061_000000	"Except for the state," they say, "we should be exposed to the attacks of evil-disposed persons in our own country."	"Except for the state," they say, "we should be exposed to the attacks of evil disposed persons in our own country."
4350_9170_000062_000000	But who are these evil-disposed persons in our midst from whose attacks we are preserved by the state and its army?	But who are these evil disposed persons in our midst from whose attacks we are preserved by the state and its army?
4350_9170_000062_000005	So that the justification of state violence on the ground of the protection it gives us from evil-disposed persons, even if it had some foundation three or four centuries ago, has none whatever now.	So that the justification of state violence on the ground of the protection it gives us from evil disposed persons, even if it had some foundation three or four centuries ago, has none whatever now.
4350_9170_000063_000000	"Except for the state," they tell us, "we should not have any religion, education, culture, means of communication, and so on. Without the state men would not have been able to form the social institutions needed for doing any thing."	"Except for the state," they tell us, "we should not have any religion, education, culture, means of communication, and so on. Without the state men would not have been able to form the social institutions needed for doing any thing."
4350_9170_000063_000001	This argument too was well founded only some centuries ago.	This argument too was well founded only some centuries ago.
4350_9170_000064_000002	Indeed government is more often an obstacle than an assistance in attaining these aims.	Indeed government is more often an obstacle than an assistance in attaining these aims.
4350_9170_000065_000002	In our day governments not only fail to encourage, but directly hinder every movement by which people try to work out new forms of life for themselves.	In our day governments not only fail to encourage, but directly hinder every movement by which people try to work out new forms of life for themselves.
4350_9170_000066_000000	"Without governments nations would be enslaved by their neighbors."	"Without governments nations would be enslaved by their neighbors."
4350_9170_000066_000001	It is scarcely necessary to refute this last argument.	It is scarcely necessary to refute this last argument.
4350_9170_000066_000003	The government, they tell us, with its army, is necessary to defend us from neighboring states who might enslave us.	The government, they tell us, with its army, is necessary to defend us from neighboring states who might enslave us.
4350_9170_000066_000004	But we know this is what all governments say of one another, and yet we know that all the European nations profess the same principles of liberty and fraternity, and therefore stand in no need of protection against one another.	But we know this is what all governments say of one another, and yet we know that all the European nations profess the same principles of liberty and fraternity, and therefore stand in no need of protection against one another.
4350_9170_000066_000005	And if defense against barbarous nations is meant, one-thousandth part of the troops now under arms would be amply sufficient for that purpose.	And if defense against barbarous nations is meant, one thousandth part of the troops now under arms would be amply sufficient for that purpose.
4350_9170_000066_000007	The power of the state, far from being a security against the attacks of our neighbors, exposes us, on the contrary, to much greater danger of such attacks.	The power of the state, far from being a security against the attacks of our neighbors, exposes us, on the contrary, to much greater danger of such attacks.
4350_9170_000067_000001	Even looking at it practically, weighing, that is to say, all the burdens laid on him by the state, no man can fail to see that for him personally to comply with state demands and serve in the army, would, in the majority of cases, be more disadvantageous than to refuse to do so.	Even looking at it practically, weighing, that is to say, all the burdens laid on him by the state, no man can fail to see that for him personally to comply with state demands and serve in the army, would, in the majority of cases, be more disadvantageous than to refuse to do so.
4350_9170_000068_000000	If the majority of men choose to submit rather than to refuse, it is not the result of sober balancing of advantages and disadvantages, but because they are induced by a kind of hypnotizing process practiced upon them.	If the majority of men choose to submit rather than to refuse, it is not the result of sober balancing of advantages and disadvantages, but because they are induced by a kind of hypnotizing process practiced upon them.
4350_9170_000068_000001	In submitting they simply yield to the suggestions given them as orders, without thought or effort of will.	In submitting they simply yield to the suggestions given them as orders, without thought or effort of will.
4350_9170_000068_000002	To resist would need independent thought and effort of which every man is not capable.	To resist would need independent thought and effort of which every man is not capable.
4350_9170_000068_000003	Even apart from the moral significance of compliance or non-compliance, considering material advantage only, non-compliance will be more advantageous in general.	Even apart from the moral significance of compliance or non compliance, considering material advantage only, non compliance will be more advantageous in general.
4350_9170_000070_000004	So much for the comparative disadvantages.	So much for the comparative disadvantages.
4350_9170_000071_000000	The comparative advantages of compliance and non-compliance are as follows:	The comparative advantages of compliance and non compliance are as follows:
