5484_24318_000001_000000	CHAPTER VIII.	CHAPTER eight.
5484_24318_000014_000001	Again he heard the beloved voice, and this time it addressed not only him, but with the utmost haste the commander of the soldiers.	Again he heard the beloved voice, and this time it addressed not only him, but with the utmost haste the commander of the soldiers.
5484_24318_000015_000000	Sometimes with touching entreaty, sometimes with imperious command, she protested, after giving him her name, that this matter could be nothing but an unfortunate mistake.	Sometimes with touching entreaty, sometimes with imperious command, she protested, after giving him her name, that this matter could be nothing but an unfortunate mistake.
5484_24318_000015_000001	Lastly, with earnest warmth, she besought him, before taking the prisoners away, to permit her to speak to the commanding general, Philippus, her father's guest, who, she was certain, was in the palace.	Lastly, with earnest warmth, she besought him, before taking the prisoners away, to permit her to speak to the commanding general, Philippus, her father's guest, who, she was certain, was in the palace.
5484_24318_000015_000002	The blood of these innocent men would be on his head if he did not listen to her representations.	The blood of these innocent men would be on his head if he did not listen to her representations.
5484_24318_000016_000000	"Daphne!" cried Hermon in grateful agitation; but she would not listen to him, and followed the soldier whom the captain detailed to guide her into the palace.	"Daphne!" cried Hermon in grateful agitation; but she would not listen to him, and followed the soldier whom the captain detailed to guide her into the palace.
5484_24318_000017_000000	After a few moments, which the blind artist used to inspire the despairing scholar with courage, the girl returned, and she did not come alone.	After a few moments, which the blind artist used to inspire the despairing scholar with courage, the girl returned, and she did not come alone.
5484_24318_000017_000001	The gray-haired comrade of Alexander accompanied her, and after a few minutes both prisoners were released from their fetters.	The gray haired comrade of Alexander accompanied her, and after a few minutes both prisoners were released from their fetters.
5484_24318_000017_000003	To-morrow you shall confess to me who treacherously directed you to this dangerous path."	To morrow you shall confess to me who treacherously directed you to this dangerous path."
5484_24318_000019_000000	Early the next morning they should be examined, and, if they could clear themselves from the suspicion of belonging to the ranks of the conspirators, released.	Early the next morning they should be examined, and, if they could clear themselves from the suspicion of belonging to the ranks of the conspirators, released.
5484_24318_000020_000000	Daphne again pleaded for the liberation of the prisoners, but Philippus silenced her with the grave exclamation, "The order of the King!"	Daphne again pleaded for the liberation of the prisoners, but Philippus silenced her with the grave exclamation, "The order of the King!"
5484_24318_000021_000000	The old commander offered no objection to her wish to accompany Hermon to prison.	The old commander offered no objection to her wish to accompany Hermon to prison.
5484_24318_000022_000000	The goal of the nocturnal walk, which was close at hand, was reached at the end of a few minutes, and the prisoners were delivered to the commander of the Diadochi.	The goal of the nocturnal walk, which was close at hand, was reached at the end of a few minutes, and the prisoners were delivered to the commander of the Diadochi.
5484_24318_000024_000001	For the first time his lips met hers, he confessed his love, and that he had just regarded death as a deliverer; but his life was now gaining new charm through her affection.	For the first time his lips met hers, he confessed his love, and that he had just regarded death as a deliverer; but his life was now gaining new charm through her affection.
5484_24318_000025_000000	Then Daphne herself threw her arms around his neck with fervent devotion.	Then Daphne herself threw her arms around his neck with fervent devotion.
5484_24318_000026_000001	In spite of his deep mental distress, he could have shouted aloud in his delight and gratitude.	In spite of his deep mental distress, he could have shouted aloud in his delight and gratitude.
5484_24318_000026_000002	He might now have been permitted to bind forever to his life the woman who had just rescued him from the greatest danger, but the confession he must make to his fellow-artists in the palaestra the following morning still sealed his lips.	He might now have been permitted to bind forever to his life the woman who had just rescued him from the greatest danger, but the confession he must make to his fellow artists in the palaestra the following morning still sealed his lips.
5484_24318_000026_000004	Words can not express the strength of my devotion, but for that very reason I must do what duty commands before I ask the question, 'Will you join your fate to mine?'"	Words can not express the strength of my devotion, but for that very reason I must do what duty commands before I ask the question, 'Will you join your fate to mine?'"
5484_24318_000027_000000	"I love you and have loved you always!" Daphne exclaimed tenderly.	"I love you and have loved you always!" Daphne exclaimed tenderly.
5484_24318_000027_000001	"What more is needed?"	"What more is needed?"
5484_24318_000028_000000	But Hermon, with drooping head, murmured: "To-morrow I shall no longer be what I am now.	But Hermon, with drooping head, murmured: "To morrow I shall no longer be what I am now.
5484_24318_000029_000000	Then Daphne raised her face to his, asking, "So the Demeter is the work of Myrtilus?"	Then Daphne raised her face to his, asking, "So the Demeter is the work of Myrtilus?"
5484_24318_000030_000000	"Certainly," he answered firmly.	"Certainly," he answered firmly.
5484_24318_000030_000001	"It is the work of Myrtilus."	"It is the work of Myrtilus."
5484_24318_000031_000000	"Oh, my poor, deceived love!" cried Daphne, strongly agitated, in a tone of the deepest sorrow.	"Oh, my poor, deceived love!" cried Daphne, strongly agitated, in a tone of the deepest sorrow.
5484_24318_000031_000001	"What a terrible ordeal again awaits you!	"What a terrible ordeal again awaits you!
5484_24318_000031_000003	It seems nevertheless as if I ought to rejoice, for you and your art have not spoken to me even a single moment from this much-lauded work."	It seems nevertheless as if I ought to rejoice, for you and your art have not spoken to me even a single moment from this much lauded work."
5484_24318_000032_000002	But only wait, wait!	But only wait, wait!
5484_24318_000032_000003	Soon-to-morrow even--there will be no one in Alexandria who can accuse me of deserting my own honest aspiration, and, if the gods will only restore my sight and the ability to use my hands as a sculptor, then, girl, then--"	Soon to morrow even-there will be no one in Alexandria who can accuse me of deserting my own honest aspiration, and, if the gods will only restore my sight and the ability to use my hands as a sculptor, then, girl, then-"
5484_24318_000034_000000	The time allowed had expired.	The time allowed had expired.
5484_24318_000035_000000	Hermon again warmly embraced Daphne, saying: "Then go!	Hermon again warmly embraced Daphne, saying: "Then go!
5484_24318_000035_000001	Nothing can cloud what these brief moments have bestowed.	Nothing can cloud what these brief moments have bestowed.
5484_24318_000035_000002	I must remain blind; but you have restored the lost sight to my poor darkened soul.	I must remain blind; but you have restored the lost sight to my poor darkened soul.
5484_24318_000035_000004	Many will not believe me, and even your father will perhaps consider it a disgrace to give his arm to his scorned, calumniated nephew to guide him home.	Many will not believe me, and even your father will perhaps consider it a disgrace to give his arm to his scorned, calumniated nephew to guide him home.
5484_24318_000035_000005	Bring this before your mind, and everything else that you must accept with it, if you consent, when the time arrives, to become mine. Conceal and palliate nothing!	Bring this before your mind, and everything else that you must accept with it, if you consent, when the time arrives, to become mine. Conceal and palliate nothing!
5484_24318_000037_000000	When Thyone in her presence heard from Gras that Hermon intended to go to Proclus's banquet, she started up in horror, exclaiming, "Then the unfortunate man is lost!"	When Thyone in her presence heard from Gras that Hermon intended to go to Proclus's banquet, she started up in horror, exclaiming, "Then the unfortunate man is lost!"
5484_24318_000038_000000	Her husband, who had long trusted even the gravest secrets to his discreet old wife, had informed her of the terrible office the King had confided to him.	Her husband, who had long trusted even the gravest secrets to his discreet old wife, had informed her of the terrible office the King had confided to him.
5484_24318_000039_000000	Then Daphne, on her knees, besought the matron to tell her what threatened Hermon, and succeeded in persuading her to speak.	Then Daphne, on her knees, besought the matron to tell her what threatened Hermon, and succeeded in persuading her to speak.
5484_24318_000042_000000	Grateful and moved by joyous hopes, he informed Daphne of the words of the oracle, which had imprinted themselves upon his memory.	Grateful and moved by joyous hopes, he informed Daphne of the words of the oracle, which had imprinted themselves upon his memory.
5484_24318_000043_000000	She, too, quickly retained them, and murmured softly:	She, too, quickly retained them, and murmured softly:
5484_24318_000044_000000	"Noise and dazzling radiance are hostile to the purer light, Morning and day will rise quietly from the starving sand."	"Noise and dazzling radiance are hostile to the purer light, Morning and day will rise quietly from the starving sand."
5484_24318_000046_000000	Perhaps it would be well for him to leave Alexandria now, and she described how much benefit she had received while hunting from the silence of the wilderness, when she had left the noise of the city behind her.	Perhaps it would be well for him to leave Alexandria now, and she described how much benefit she had received while hunting from the silence of the wilderness, when she had left the noise of the city behind her.
5484_24318_000047_000000	The lovers took leave of each other with one last kiss, and the final words of the departing girl echoed consolingly in the blind man's heart, "The more they take from you, the more closely I will cling to you."	The lovers took leave of each other with one last kiss, and the final words of the departing girl echoed consolingly in the blind man's heart, "The more they take from you, the more closely I will cling to you."
5484_24318_000051_000000	Yet he was forced to advise the blind sculptor to leave Alexandria.	Yet he was forced to advise the blind sculptor to leave Alexandria.
5484_24318_000052_000003	Daphne, of course, would accompany him.	Daphne, of course, would accompany him.
5484_24318_000053_000000	The prisoner listened in surprise and anxiety.	The prisoner listened in surprise and anxiety.
5484_24318_000054_000000	His uncle driven from his secure possessions to distant lands!	His uncle driven from his secure possessions to distant lands!
5484_24318_000054_000001	Daphne taken from him, he knew not whither nor for how long a time, after he had just been assured of her great love!	Daphne taken from him, he knew not whither nor for how long a time, after he had just been assured of her great love!
5484_24318_000054_000002	He himself on the way to expose himself to the malice and mockery of the whole city!	He himself on the way to expose himself to the malice and mockery of the whole city!
5484_24318_000058_000000	The old man's conversation with Hermon was interrupted by the functionaries who subjected him and Crates to the examination.	The old man's conversation with Hermon was interrupted by the functionaries who subjected him and Crates to the examination.
5484_24318_000064_000000	On the way his heart throbbed almost to bursting.	On the way his heart throbbed almost to bursting.
5484_24318_000065_000000	Even Daphne's image, and what threatened her father, and her with him, receded far into the background.	Even Daphne's image, and what threatened her father, and her with him, receded far into the background.
5484_24318_000067_000000	Yet no!	Yet no!
5484_24318_000068_000000	Did he still possess the right to award this noble branch to any one?	Did he still possess the right to award this noble branch to any one?
5484_24318_000068_000001	He was appearing before his companions only to give truth its just due.	He was appearing before his companions only to give truth its just due.
5484_24318_000068_000002	It was repulsive to endow this explanation of an unfortunate error with a captivating aspect by any theatrical adornment.	It was repulsive to endow this explanation of an unfortunate error with a captivating aspect by any theatrical adornment.
5484_24318_000071_000000	The Egyptian obeyed, and his master crossed the wide space, strewn with sand, and approached the stage which had been erected for the festal performances.	The Egyptian obeyed, and his master crossed the wide space, strewn with sand, and approached the stage which had been erected for the festal performances.
5484_24318_000072_000000	Even had his eyes retained the power of sight, his blood was coursing so wildly through his veins that he might perhaps have been unable to distinguish the statues around him and the thousands of spectators, who, crowded closely together, richly garlanded, their cheeks glowing with enthusiasm, surrounded the arena.	Even had his eyes retained the power of sight, his blood was coursing so wildly through his veins that he might perhaps have been unable to distinguish the statues around him and the thousands of spectators, who, crowded closely together, richly garlanded, their cheeks glowing with enthusiasm, surrounded the arena.
5484_24318_000076_000003	Even while he believed himself to be the creator of the Demeter, he had been seriously troubled by the praise of so many critics, because it had exposed him to the suspicion of having become faithless to his art and his nature.	Even while he believed himself to be the creator of the Demeter, he had been seriously troubled by the praise of so many critics, because it had exposed him to the suspicion of having become faithless to his art and his nature.
5484_24318_000076_000004	In the name of the dead, he thanked his dear comrades for the enthusiastic appreciation his masterpiece had found.	In the name of the dead, he thanked his dear comrades for the enthusiastic appreciation his masterpiece had found.
5484_24318_000076_000005	Honour to Myrtilus and his art, but he trusted this noble festal assemblage would pardon the unintentional deception, and aid his prayer for recovery.	Honour to Myrtilus and his art, but he trusted this noble festal assemblage would pardon the unintentional deception, and aid his prayer for recovery.
5484_24318_000077_000001	We will beseech the immortals with prayers and sacrifices to restore sight to your artist eyes.	We will beseech the immortals with prayers and sacrifices to restore sight to your artist eyes.
5484_24318_000079_000000	When he again descended to the arena new plaudits rose; but soon hisses and other signs of disapproval blended with them, which increased in strength and number when a well known critic, who had written a learned treatise concerning the relation of the Demeter to Hermon's earlier works, expressed his annoyance in a loud whistle.	When he again descended to the arena new plaudits rose; but soon hisses and other signs of disapproval blended with them, which increased in strength and number when a well known critic, who had written a learned treatise concerning the relation of the Demeter to Hermon's earlier works, expressed his annoyance in a loud whistle.
5484_24318_000080_000000	Probably every man thought that, in the same situation, he would have done the same yet not only justice--nay, compassion--dictated showing the blind artist that they believed in and would sustain him.	Probably every man thought that, in the same situation, he would have done the same yet not only justice-nay, compassion-dictated showing the blind artist that they believed in and would sustain him.
5484_24318_000080_000001	The ill-disposed insisted that Hermon had only done what duty commanded the meanest man, and the fact that he had deceived all Alexandria still remained.	The ill disposed insisted that Hermon had only done what duty commanded the meanest man, and the fact that he had deceived all Alexandria still remained.
