3005_163399_000016_000000	"Don't say yes'msay Aunt Sally.	"Don't say yes'm  say Aunt Sally.
3005_163399_000016_000001	Where'd she get aground?"	Where'd she get aground?"
3005_163399_000017_000000	I didn't rightly know what to say, because I didn't know whether the boat would be coming up the river or down.	I didn't rightly know what to say, because I didn't know whether the boat would be coming up the river or down.
3005_163399_000017_000001	But I go a good deal on instinct; and my instinct said she would be coming upfrom down towards Orleans.	But I go a good deal on instinct; and my instinct said she would be coming up  from down towards Orleans.
3005_163399_000017_000002	That didn't help me much, though; for I didn't know the names of bars down that way.	That didn't help me much, though; for I didn't know the names of bars down that way.
3005_163399_000017_000003	I see I'd got to invent a bar, or forget the name of the one we got aground onorNow I struck an idea, and fetched it out:	I see I'd got to invent a bar, or forget the name of the one we got aground on  or  Now I struck an idea, and fetched it out:
3005_163399_000018_000000	"It warn't the groundingthat didn't keep us back but a little.	"It warn't the grounding  that didn't keep us back but a little.
3005_163399_000018_000001	We blowed out a cylinder-head."	We blowed out a cylinder head."
3005_163399_000019_000000	"Good gracious! anybody hurt?"	"Good gracious! anybody hurt?"
3005_163399_000020_000000	"No'm. Killed a nigger."	"No'm. Killed a nigger."
3005_163399_000021_000000	"Well, it's lucky; because sometimes people do get hurt.	"Well, it's lucky; because sometimes people do get hurt.
3005_163399_000021_000002	And I think he died afterwards.	And I think he died afterwards.
3005_163399_000021_000003	He was a Baptist.	He was a Baptist.
3005_163399_000021_000004	Your uncle Silas knowed a family in Baton Rouge that knowed his people very well.	Your uncle Silas knowed a family in Baton Rouge that knowed his people very well.
3005_163399_000021_000006	Mortification set in, and they had to amputate him.	Mortification set in, and they had to amputate him.
3005_163399_000021_000007	But it didn't save him.	But it didn't save him.
3005_163399_000021_000008	Yes, it was mortificationthat was it.	Yes, it was mortification  that was it.
3005_163399_000021_000009	He turned blue all over, and died in the hope of a glorious resurrection.	He turned blue all over, and died in the hope of a glorious resurrection.
3005_163399_000021_000010	They say he was a sight to look at.	They say he was a sight to look at.
3005_163399_000021_000011	Your uncle's been up to the town every day to fetch you.	Your uncle's been up to the town every day to fetch you.
3005_163399_000021_000012	And he's gone again, not more'n an hour ago; he'll be back any minute now.	And he's gone again, not more'n an hour ago; he'll be back any minute now.
3005_163399_000021_000013	You must a met him on the road, didn't you?oldish man, with a"	You must a met him on the road, didn't you?  oldish man, with a  "
3005_163399_000022_000000	"No, I didn't see nobody, Aunt Sally.	"No, I didn't see nobody, Aunt Sally.
3005_163399_000024_000000	"Nobody."	"Nobody."
3005_163399_000026_000000	"Not where I hid it I reckon it won't," I says.	"Not where I hid it I reckon it won't," I says.
3005_163399_000027_000000	"How'd you get your breakfast so early on the boat?"	"How'd you get your breakfast so early on the boat?"
3005_163399_000028_000000	It was kinder thin ice, but I says:	It was kinder thin ice, but I says:
3005_163399_000030_000000	I was getting so uneasy I couldn't listen good.	I was getting so uneasy I couldn't listen good.
3005_163399_000030_000001	I had my mind on the children all the time; I wanted to get them out to one side and pump them a little, and find out who I was.	I had my mind on the children all the time; I wanted to get them out to one side and pump them a little, and find out who I was.
3005_163399_000030_000002	But I couldn't get no show, Mrs. Phelps kept it up and run on so.	But I couldn't get no show, mrs Phelps kept it up and run on so.
3005_163399_000032_000000	Well, I see I was up a stumpand up it good.	Well, I see I was up a stump  and up it good.
3005_163399_000032_000002	I see it warn't a bit of use to try to go aheadI'd got to throw up my hand.	I see it warn't a bit of use to try to go ahead  I'd got to throw up my hand.
3005_163399_000032_000003	So I says to myself, here's another place where I got to resk the truth. I opened my mouth to begin; but she grabbed me and hustled me in behind the bed, and says:	So I says to myself, here's another place where I got to resk the truth. I opened my mouth to begin; but she grabbed me and hustled me in behind the bed, and says:
3005_163399_000033_000002	Don't you let on you're here.	Don't you let on you're here.
3005_163399_000033_000003	I'll play a joke on him. Children, don't you say a word."	I'll play a joke on him. Children, don't you say a word."
3005_163399_000034_000000	I see I was in a fix now.	I see I was in a fix now.
3005_163399_000035_000001	Mrs. Phelps she jumps for him, and says:	mrs Phelps she jumps for him, and says:
3005_163399_000036_000000	"Has he come?"	"Has he come?"
3005_163399_000037_000000	"No," says her husband.	"No," says her husband.
3005_163399_000039_000000	"I can't imagine," says the old gentleman; "and I must say it makes me dreadful uneasy."	"I can't imagine," says the old gentleman; "and I must say it makes me dreadful uneasy."
3005_163399_000040_000000	"Uneasy!" she says; "I'm ready to go distracted!	"Uneasy!" she says; "I'm ready to go distracted!
3005_163399_000042_000002	You must a missed him.	You must a missed him.
3005_163399_000042_000003	He"	He  "
3005_163399_000043_000000	"Oh, don't distress me any more'n I'm already distressed.	"Oh, don't distress me any more'n I'm already distressed.
3005_163399_000043_000004	Sally, it's terriblejust terriblesomething's happened to the boat, sure!"	Sally, it's terrible  just terrible  something's happened to the boat, sure!"
3005_163399_000044_000000	"Why, Silas!	"Why, Silas!
3005_163399_000044_000001	Look yonder!up the road!ain't that somebody coming?"	Look yonder!  up the road!  ain't that somebody coming?"
3005_163399_000045_000000	He sprung to the window at the head of the bed, and that give Mrs. Phelps the chance she wanted.	He sprung to the window at the head of the bed, and that give mrs Phelps the chance she wanted.
3005_163399_000045_000001	She stooped down quick at the foot of the bed and give me a pull, and out I come; and when he turned back from the window there she stood, a-beaming and a-smiling like a house afire, and I standing pretty meek and sweaty alongside.	She stooped down quick at the foot of the bed and give me a pull, and out I come; and when he turned back from the window there she stood, a beaming and a smiling like a house afire, and I standing pretty meek and sweaty alongside.
3005_163399_000045_000002	The old gentleman stared, and says:	The old gentleman stared, and says:
3005_163399_000046_000000	"Why, who's that?"	"Why, who's that?"
3005_163399_000048_000000	"I hain't no idea.	"I hain't no idea.
3005_163399_000050_000000	By jings, I most slumped through the floor!	By jings, I most slumped through the floor!
3005_163399_000050_000001	But there warn't no time to swap knives; the old man grabbed me by the hand and shook, and kept on shaking; and all the time how the woman did dance around and laugh and cry; and then how they both did fire off questions about Sid, and Mary, and the rest of the tribe.	But there warn't no time to swap knives; the old man grabbed me by the hand and shook, and kept on shaking; and all the time how the woman did dance around and laugh and cry; and then how they both did fire off questions about Sid, and Mary, and the rest of the tribe.
3005_163399_000051_000000	But if they was joyful, it warn't nothing to what I was; for it was like being born again, I was so glad to find out who I was.	But if they was joyful, it warn't nothing to what I was; for it was like being born again, I was so glad to find out who I was.
3005_163399_000051_000004	If I'd a called it a bolthead it would a done just as well.	If I'd a called it a bolthead it would a done just as well.
3005_163399_000052_000000	Now I was feeling pretty comfortable all down one side, and pretty uncomfortable all up the other.	Now I was feeling pretty comfortable all down one side, and pretty uncomfortable all up the other.
3005_163399_000052_000001	Being Tom Sawyer was easy and comfortable, and it stayed easy and comfortable till by and by I hear a steamboat coughing along down the river.	Being Tom Sawyer was easy and comfortable, and it stayed easy and comfortable till by and by I hear a steamboat coughing along down the river.
3005_163399_000052_000002	Then I says to myself, s'pose Tom Sawyer comes down on that boat?	Then I says to myself, s'pose Tom Sawyer comes down on that boat?
3005_163399_000052_000003	And s'pose he steps in here any minute, and sings out my name before I can throw him a wink to keep quiet?	And s'pose he steps in here any minute, and sings out my name before I can throw him a wink to keep quiet?
3005_163399_000053_000001	I must go up the road and waylay him.	I must go up the road and waylay him.
3005_163399_000053_000002	So I told the folks I reckoned I would go up to the town and fetch down my baggage.	So I told the folks I reckoned I would go up to the town and fetch down my baggage.
