3005_163399_000000_000000	CHAPTER XXXII.	CHAPTER thirty two.	false	1.2	28.335	19.340063
3005_163399_000006_000000	A nigger woman come tearing out of the kitchen with a rolling-pin in her hand, singing out, "Begone _you_ Tige! you Spot! begone sah!" and she fetched first one and then another of them a clip and sent them howling, and then the rest followed; and the next second half of them come back, wagging their tails around me, and making friends with me.	A nigger woman come tearing out of the kitchen with a rolling pin in her hand, singing out, "Begone underscore you underscore t i g e! you Spot! begone s a h!" and she fetched first one and then another of them a clip and sent them howling, and then the rest followed; and the next second half of them come back, wagging their tails around me, and making friends with me.	false	223.67	246.61	20.956297
3005_163399_000006_000001	There ain't no harm in a hound, nohow.	There ain't no harm in a hound, nohow.	true	246.74	249.22	18.57004
3005_163399_000007_000000	And behind the woman comes a little nigger girl and two little nigger boys without anything on but tow-linen shirts, and they hung on to their mother's gown, and peeped out from behind her at me, bashful, the way they always do.	And behind the woman comes a little nigger girl and two little nigger boys without anything on but tow linen shirts, and they hung on to their mother's gown, and peeped out from behind her at me, bashful, the way they always do.	true	250.46	264.4	18.853003
3005_163399_000007_000001	And here comes the white woman running from the house, about forty-five or fifty year old, bareheaded, and her spinning-stick in her hand; and behind her comes her little white children, acting the same way the little niggers was doing.	And here comes the white woman running from the house, about forty five or fifty year old, bareheaded, and her spinning stick in her hand; and behind her comes her little white children, acting the same way the little niggers was doing.	false	264.71	279.45	20.898415
3005_163399_000007_000002	She was smiling all over so she could hardly standand says:	She was smiling all over so she could hardly stand  and says:	true	279.45	283.63	16
3005_163399_000008_000000	"It's _you_, at last!_ain't_ it?"	"It's underscore you underscore, at last!underscore ain't underscore it?"	false	284.06	286.77	22.757048
3005_163399_000009_000000	I out with a "Yes'm" before I thought.	I out with a "Yes'm" before I thought.	false	286.77	290.65	19.0747
3005_163399_000010_000000	She grabbed me and hugged me tight; and then gripped me by both hands and shook and shook; and the tears come in her eyes, and run down over; and she couldn't seem to hug and shake enough, and kept saying, "You don't look as much like your mother as I reckoned you would; but law sakes, I don't care for that, I'm so glad to see you!	She grabbed me and hugged me tight; and then gripped me by both hands and shook and shook; and the tears come in her eyes, and run down over; and she couldn't seem to hug and shake enough, and kept saying, "You don't look as much like your mother as I reckoned you would; but law sakes, I don't care for that, I'm so glad to see you!	true	291.23	311.82	18
3005_163399_000010_000001	Dear, dear, it does seem like I could eat you up!	Dear, dear, it does seem like I could eat you up!	false	311.82	315.43	20.006645
3005_163399_000010_000002	Children, it's your cousin Tom!tell him howdy."	Children, it's your cousin Tom!  tell him howdy."	true	315.5	318.91	22.226345
3005_163399_000011_000000	But they ducked their heads, and put their fingers in their mouths, and hid behind her.	But they ducked their heads, and put their fingers in their mouths, and hid behind her.	true	319.64	323.74	15
3005_163399_000011_000001	So she run on:	So she run on:	true	323.81	325.18	16
3005_163399_000012_000000	"Lize, hurry up and get him a hot breakfast right awayor did you get your breakfast on the boat?"	"Lize, hurry up and get him a hot breakfast right away  or did you get your breakfast on the boat?"	true	325.67	331.51	20.743322
3005_163399_000013_000000	I said I had got it on the boat.	I said I had got it on the boat.	true	332.45	334.57	16.730625
3005_163399_000013_000001	So then she started for the house, leading me by the hand, and the children tagging after.	So then she started for the house, leading me by the hand, and the children tagging after.	true	334.88	340	12
3005_163399_000013_000002	When we got there she set me down in a split-bottomed chair, and set herself down on a little low stool in front of me, holding both of my hands, and says:	When we got there she set me down in a split bottomed chair, and set herself down on a little low stool in front of me, holding both of my hands, and says:	true	340.13	349.3	15
3005_163399_000014_000000	"Now I can have a _good_ look at you; and, laws-a-me, I've been hungry for it a many and a many a time, all these long years, and it's come at last!	"Now I can have a underscore good underscore look at you; and, laws a me, I've been hungry for it a many and a many a time, all these long years, and it's come at last!	false	349.61	359.86	19.637568
3005_163399_000014_000001	We been expecting you a couple of days and more.	We been expecting you a couple of days and more.	true	360.05	362.74	20
3005_163399_000014_000002	What kep' you?boat get aground?"	What k e p' you?  boat get aground?"	false	362.99	365.35	24.450315
3005_163399_000015_000000	"Yes'mshe"	"Yes'm  she  "	true	365.87	367.39	17.907629
3005_163399_000016_000000	"Don't say yes'msay Aunt Sally.	"Don't say yes'm  say Aunt Sally.	true	367.7	370.39	19.460249
3005_163399_000016_000001	Where'd she get aground?"	Where'd she get aground?"	true	370.64	372.19	19.241882
3005_163399_000017_000000	I didn't rightly know what to say, because I didn't know whether the boat would be coming up the river or down.	I didn't rightly know what to say, because I didn't know whether the boat would be coming up the river or down.	true	373.01	378.7	12
3005_163399_000017_000001	But I go a good deal on instinct; and my instinct said she would be coming upfrom down towards Orleans.	But I go a good deal on instinct; and my instinct said she would be coming up  from down towards Orleans.	true	379.19	386.5	19.04699
3005_163399_000017_000002	That didn't help me much, though; for I didn't know the names of bars down that way.	That didn't help me much, though; for I didn't know the names of bars down that way.	true	386.81	391.42	17
3005_163399_000017_000003	I see I'd got to invent a bar, or forget the name of the one we got aground onorNow I struck an idea, and fetched it out:	I see I'd got to invent a bar, or forget the name of the one we got aground on  or  Now I struck an idea, and fetched it out:	true	391.61	400.57	18.379103
3005_163399_000018_000000	"It warn't the groundingthat didn't keep us back but a little.	"It warn't the grounding  that didn't keep us back but a little.	true	401.24	405.55	21.709618
3005_163399_000018_000001	We blowed out a cylinder-head."	We blowed out a cylinder head."	true	405.59	407.47	16
3005_163399_000019_000000	"Good gracious! anybody hurt?"	"Good gracious! anybody hurt?"	true	407.84	410.29	15
3005_163399_000020_000000	"No'm. Killed a nigger."	"No'm. Killed a nigger."	true	410.6	412.54	17.51176
3005_163399_000021_000000	"Well, it's lucky; because sometimes people do get hurt.	"Well, it's lucky; because sometimes people do get hurt.	true	412.97	416.62	18
3005_163399_000021_000001	Two years ago last Christmas your uncle Silas was coming up from Newrleans on the old Lally Rook, and she blowed out a cylinder-head and crippled a man.	Two years ago last Christmas your uncle Silas was coming up from Newrleans on the old Lally Rook, and she blowed out a cylinder head and crippled a man.	false	416.81	426.4	17
3005_163399_000021_000002	And I think he died afterwards.	And I think he died afterwards.	true	426.56	428.5	20.007637
3005_163399_000021_000003	He was a Baptist.	He was a Baptist.	true	428.6	429.97	25.73375
3005_163399_000021_000004	Your uncle Silas knowed a family in Baton Rouge that knowed his people very well.	Your uncle Silas knowed a family in Baton Rouge that knowed his people very well.	true	430.01	434.5	16
3005_163399_000021_000005	Yes, I remember now, he _did_ die.	Yes, I remember now, he underscore did underscore die.	false	434.81	438.03	19.369352
3005_163399_000021_000006	Mortification set in, and they had to amputate him.	Mortification set in, and they had to amputate him.	true	438.03	441.34	19
3005_163399_000021_000007	But it didn't save him.	But it didn't save him.	true	441.56	442.96	18.189331
3005_163399_000021_000008	Yes, it was mortificationthat was it.	Yes, it was mortification  that was it.	true	442.97	446.02	17.383055
3005_163399_000021_000009	He turned blue all over, and died in the hope of a glorious resurrection.	He turned blue all over, and died in the hope of a glorious resurrection.	true	446.18	450.43	12
3005_163399_000021_000010	They say he was a sight to look at.	They say he was a sight to look at.	true	450.65	452.83	15
3005_163399_000021_000011	Your uncle's been up to the town every day to fetch you.	Your uncle's been up to the town every day to fetch you.	true	453.02	455.92	16
3005_163399_000021_000012	And he's gone again, not more'n an hour ago; he'll be back any minute now.	And he's gone again, not more'n an hour ago; he'll be back any minute now.	true	455.93	460.84	16
3005_163399_000021_000013	You must a met him on the road, didn't you?oldish man, with a"	You must a met him on the road, didn't you?  oldish man, with a  "	true	460.91	464.77	15
3005_163399_000022_000000	"No, I didn't see nobody, Aunt Sally.	"No, I didn't see nobody, Aunt Sally.	true	465.68	468.25	10
3005_163399_000022_000001	The boat landed just at daylight, and I left my baggage on the wharf-boat and went looking around the town and out a piece in the country, to put in the time and not get here too soon; and so I come down the back way."	The boat landed just at daylight, and I left my baggage on the wharf boat and went looking around the town and out a piece in the country, to put in the time and not get here too soon; and so I come down the back way."	false	468.38	481.21	14
3005_163399_000023_000000	"Who'd you give the baggage to?"	"Who'd you give the baggage to?"	false	481.94	483.61	17
3005_163399_000024_000000	"Nobody."	"Nobody."	true	483.83	484.78	15
3005_163399_000025_000000	"Why, child, it 'll be stole!"	"Why, child, it 'l l be stole!"	false	485.06	487.06	15
3005_163399_000026_000000	"Not where I hid it I reckon it won't," I says.	"Not where I hid it I reckon it won't," I says.	true	487.19	489.85	13
3005_163399_000027_000000	"How'd you get your breakfast so early on the boat?"	"How'd you get your breakfast so early on the boat?"	true	490.4	492.88	10
3005_163399_000028_000000	It was kinder thin ice, but I says:	It was kinder thin ice, but I says:	true	493.79	496.48	14
3005_163399_000029_000000	"The captain see me standing around, and told me I better have something to eat before I went ashore; so he took me in the texas to the officers' lunch, and give me all I wanted."	"The captain see me standing around, and told me I better have something to eat before I went ashore; so he took me in the texas to the officers' lunch, and give me all I wanted."	false	496.73	507.16	12
3005_163399_000030_000000	I was getting so uneasy I couldn't listen good.	I was getting so uneasy I couldn't listen good.	true	507.98	510.915	12
3005_163399_000030_000001	I had my mind on the children all the time; I wanted to get them out to one side and pump them a little, and find out who I was.	I had my mind on the children all the time; I wanted to get them out to one side and pump them a little, and find out who I was.	true	510.915	518.68	13
3005_163399_000030_000002	But I couldn't get no show, Mrs. Phelps kept it up and run on so.	But I couldn't get no show, mrs Phelps kept it up and run on so.	true	518.84	523.36	17
3005_163399_000030_000003	Pretty soon she made the cold chills streak all down my back, because she says:	Pretty soon she made the cold chills streak all down my back, because she says:	false	523.61	528.52	8
3005_163399_000031_000000	"But here we're a-running on this way, and you hain't told me a word about Sis, nor any of them.	"But here we're a running on this way, and you hain't told me a word about Sis, nor any of them.	false	529.13	535.39	15
3005_163399_000031_000001	Now I'll rest my works a little, and you start up yourn; just tell me _everything_tell me all about 'm all every one of 'm; and how they are, and what they're doing, and what they told you to tell me; and every last thing you can think of."	Now I'll rest my works a little, and you start up yourn; just tell me underscore everything underscore tell me all about 'm all every one of 'm; and how they are, and what they're doing, and what they told you to tell me; and every last thing you can think of."	false	535.52	550.6	17
3005_163399_000032_000000	Well, I see I was up a stumpand up it good.	Well, I see I was up a stump  and up it good.	true	550.97	555.1	19.974695
3005_163399_000032_000001	Providence had stood by me this fur all right, but I was hard and tight aground now.	Providence had stood by me this fur all right, but I was hard and tight aground now.	false	555.2	560.38	14
3005_163399_000032_000002	I see it warn't a bit of use to try to go aheadI'd got to throw up my hand.	I see it warn't a bit of use to try to go ahead  I'd got to throw up my hand.	true	560.75	565.72	13
3005_163399_000032_000003	So I says to myself, here's another place where I got to resk the truth. I opened my mouth to begin; but she grabbed me and hustled me in behind the bed, and says:	So I says to myself, here's another place where I got to resk the truth. I opened my mouth to begin; but she grabbed me and hustled me in behind the bed, and says:	true	565.94	576.55	14
3005_163399_000033_000000	"Here he comes!	"Here he comes!	false	576.74	577.965	18.10875
3005_163399_000033_000001	Stick your head down lowerthere, that'll do; you can't be seen now.	Stick your head down lower  there, that'll do; you can't be seen now.	false	577.965	582.67	17
3005_163399_000033_000002	Don't you let on you're here.	Don't you let on you're here.	true	582.86	584.44	13
3005_163399_000033_000003	I'll play a joke on him. Children, don't you say a word."	I'll play a joke on him. Children, don't you say a word."	true	584.45	588.25	14
3005_163399_000034_000000	I see I was in a fix now.	I see I was in a fix now.	true	588.92	591.01	12
3005_163399_000034_000001	But it warn't no use to worry; there warn't nothing to do but just hold still, and try and be ready to stand from under when the lightning struck.	But it warn't no use to worry; there warn't nothing to do but just hold still, and try and be ready to stand from under when the lightning struck.	false	591.08	598.87	13
3005_163399_000035_000000	I had just one little glimpse of the old gentleman when he come in; then the bed hid him.	I had just one little glimpse of the old gentleman when he come in; then the bed hid him.	false	599.36	604.69	12
3005_163399_000035_000001	Mrs. Phelps she jumps for him, and says:	mrs Phelps she jumps for him, and says:	true	604.97	607.63	13
3005_163399_000036_000000	"Has he come?"	"Has he come?"	true	608.21	609.37	19.94623
3005_163399_000037_000000	"No," says her husband.	"No," says her husband.	true	609.65	611.32	9
3005_163399_000038_000000	"Good-_ness_ gracious!" she says, "what in the warld can have become of him?"	"Good underscore ness underscore gracious!" she says, "what in the warld can have become of him?"	false	611.69	616.87	18.89497
3005_163399_000039_000000	"I can't imagine," says the old gentleman; "and I must say it makes me dreadful uneasy."	"I can't imagine," says the old gentleman; "and I must say it makes me dreadful uneasy."	true	617	622.09	13
3005_163399_000040_000000	"Uneasy!" she says; "I'm ready to go distracted!	"Uneasy!" she says; "I'm ready to go distracted!	true	622.28	626.055	17.622969
3005_163399_000040_000001	He _must_ a come; and you've missed him along the road.	He underscore must underscore a come; and you've missed him along the road.	false	626.055	629.415	20
3005_163399_000040_000002	I _know_ it's sosomething tells me so."	I underscore know underscore it's so  something tells me so."	false	629.415	632.2	13
3005_163399_000041_000000	"Why, Sally, I _couldn't_ miss him along the road_you_ know that."	"Why, Sally, I underscore couldn't underscore miss him along the road underscore you underscore know that."	false	632.57	636.64	15
3005_163399_000042_000000	"But oh, dear, dear, what _will_ Sis say!	"But oh, dear, dear, what underscore will underscore Sis say!	false	636.95	640.245	14
3005_163399_000042_000001	He must a come!	He must a come!	false	640.245	641.475	17
3005_163399_000042_000002	You must a missed him.	You must a missed him.	true	641.475	642.765	16
3005_163399_000042_000003	He"	He  "	true	642.765	643.42	22.694185
3005_163399_000043_000000	"Oh, don't distress me any more'n I'm already distressed.	"Oh, don't distress me any more'n I'm already distressed.	true	644.51	647.86	12
3005_163399_000043_000001	I don't know what in the world to make of it.	I don't know what in the world to make of it.	false	647.93	649.99	17
3005_163399_000043_000002	I'm at my wit's end, and I don't mind acknowledging 't I'm right down scared.	I'm at my wit's end, and I don't mind acknowledging 't I'm right down scared.	false	650.06	654.855	13
3005_163399_000043_000003	But there's no hope that he's come; for he _couldn't_ come and me miss him.	But there's no hope that he's come; for he underscore couldn't underscore come and me miss him.	false	654.855	658.66	14
3005_163399_000043_000004	Sally, it's terriblejust terriblesomething's happened to the boat, sure!"	Sally, it's terrible  just terrible  something's happened to the boat, sure!"	true	659.09	663.43	16
3005_163399_000044_000000	"Why, Silas!	"Why, Silas!	true	664.04	665.205	18.232927
3005_163399_000044_000001	Look yonder!up the road!ain't that somebody coming?"	Look yonder!  up the road!  ain't that somebody coming?"	true	665.205	668.41	22
3005_163399_000045_000000	He sprung to the window at the head of the bed, and that give Mrs. Phelps the chance she wanted.	He sprung to the window at the head of the bed, and that give mrs Phelps the chance she wanted.	true	668.9	673.96	14
3005_163399_000045_000001	She stooped down quick at the foot of the bed and give me a pull, and out I come; and when he turned back from the window there she stood, a-beaming and a-smiling like a house afire, and I standing pretty meek and sweaty alongside.	She stooped down quick at the foot of the bed and give me a pull, and out I come; and when he turned back from the window there she stood, a beaming and a smiling like a house afire, and I standing pretty meek and sweaty alongside.	true	673.97	687.1	15
3005_163399_000045_000002	The old gentleman stared, and says:	The old gentleman stared, and says:	true	687.17	689.35	15
3005_163399_000046_000000	"Why, who's that?"	"Why, who's that?"	true	689.78	691.45	20.914165
3005_163399_000047_000000	"Who do you reckon 't is?"	"Who do you reckon 't is?"	false	691.88	694.62	16.489023
3005_163399_000048_000000	"I hain't no idea.	"I hain't no idea.	true	694.62	695.955	12
3005_163399_000048_000001	Who _is_ it?"	Who underscore is underscore it?"	false	695.955	697.26	13
3005_163399_000049_000000	"It's _Tom Sawyer!_"	"It's underscore Tom Sawyer!underscore"	false	697.26	699.66	15
3005_163399_000050_000000	By jings, I most slumped through the floor!	By jings, I most slumped through the floor!	true	699.66	702.37	9
3005_163399_000050_000001	But there warn't no time to swap knives; the old man grabbed me by the hand and shook, and kept on shaking; and all the time how the woman did dance around and laugh and cry; and then how they both did fire off questions about Sid, and Mary, and the rest of the tribe.	But there warn't no time to swap knives; the old man grabbed me by the hand and shook, and kept on shaking; and all the time how the woman did dance around and laugh and cry; and then how they both did fire off questions about Sid, and Mary, and the rest of the tribe.	true	702.59	719.26	18
3005_163399_000051_000000	But if they was joyful, it warn't nothing to what I was; for it was like being born again, I was so glad to find out who I was.	But if they was joyful, it warn't nothing to what I was; for it was like being born again, I was so glad to find out who I was.	true	719.81	727.84	13
3005_163399_000051_000001	Well, they froze to me for two hours; and at last, when my chin was so tired it couldn't hardly go any more, I had told them more about my familyI mean the Sawyer familythan ever happened to any six Sawyer families.	Well, they froze to me for two hours; and at last, when my chin was so tired it couldn't hardly go any more, I had told them more about my family  I mean the Sawyer family  than ever happened to any six Sawyer families.	false	728.09	741.31	14
3005_163399_000051_000002	And I explained all about how we blowed out a cylinder-head at the mouth of White River, and it took us three days to fix it.	And I explained all about how we blowed out a cylinder head at the mouth of White River, and it took us three days to fix it.	false	741.5	748.24	15
3005_163399_000051_000003	Which was all right, and worked first-rate; because _they_ didn't know but what it would take three days to fix it.	Which was all right, and worked first rate; because underscore they underscore didn't know but what it would take three days to fix it.	false	748.49	754.57	18
3005_163399_000051_000004	If I'd a called it a bolthead it would a done just as well.	If I'd a called it a bolthead it would a done just as well.	true	754.61	757.9	15
3005_163399_000052_000000	Now I was feeling pretty comfortable all down one side, and pretty uncomfortable all up the other.	Now I was feeling pretty comfortable all down one side, and pretty uncomfortable all up the other.	true	758.54	763.81	22
3005_163399_000052_000001	Being Tom Sawyer was easy and comfortable, and it stayed easy and comfortable till by and by I hear a steamboat coughing along down the river.	Being Tom Sawyer was easy and comfortable, and it stayed easy and comfortable till by and by I hear a steamboat coughing along down the river.	true	763.97	772.69	19
3005_163399_000052_000002	Then I says to myself, s'pose Tom Sawyer comes down on that boat?	Then I says to myself, s'pose Tom Sawyer comes down on that boat?	true	772.91	777.34	21.062897
3005_163399_000052_000003	And s'pose he steps in here any minute, and sings out my name before I can throw him a wink to keep quiet?	And s'pose he steps in here any minute, and sings out my name before I can throw him a wink to keep quiet?	true	777.62	783.7	19
3005_163399_000053_000000	Well, I couldn't _have_ it that way; it wouldn't do at all.	Well, I couldn't underscore have underscore it that way; it wouldn't do at all.	false	784.07	788.11	20.315983
3005_163399_000053_000001	I must go up the road and waylay him.	I must go up the road and waylay him.	true	788.27	790.66	23.10148
3005_163399_000053_000002	So I told the folks I reckoned I would go up to the town and fetch down my baggage.	So I told the folks I reckoned I would go up to the town and fetch down my baggage.	true	790.79	795.73	18
3005_163399_000053_000003	The old gentleman was for going along with me, but I said no, I could drive the horse myself, and I druther he wouldn't take no trouble about me.	The old gentleman was for going along with me, but I said no, I could drive the horse myself, and I druther he wouldn't take no trouble about me.	false	796.1	815.73	17.39828
