6070_86744_000000_000000	Chapter 38.	Chapter thirty eight.	false	0.36	9.075	21.530327
6070_86744_000006_000000	"I am wholly a stranger to Paris--it is a city I have never yet seen."	"I am wholly a stranger to Paris-it is a city I have never yet seen."	true	218.45	223.15	21.333351
6070_86744_000007_000000	"Is it possible," exclaimed Albert, "that you have reached your present age without visiting the finest capital in the world?	"Is it possible," exclaimed Albert, "that you have reached your present age without visiting the finest capital in the world?	true	223.58	231.28	21.937592
6070_86744_000007_000001	I can scarcely credit it."	I can scarcely credit it."	false	231.38	234.36	19.085669
6070_86744_000008_000000	"Nevertheless, it is quite true; still, I agree with you in thinking that my present ignorance of the first city in Europe is a reproach to me in every way, and calls for immediate correction; but, in all probability, I should have performed so important, so necessary a duty, as that of making myself acquainted with the wonders and beauties of your justly celebrated capital, had I known any person who would have introduced me into the fashionable world, but unfortunately I possessed no acquaintance there, and, of necessity, was compelled to abandon the idea."	"Nevertheless, it is quite true; still, I agree with you in thinking that my present ignorance of the first city in Europe is a reproach to me in every way, and calls for immediate correction; but, in all probability, I should have performed so important, so necessary a duty, as that of making myself acquainted with the wonders and beauties of your justly celebrated capital, had I known any person who would have introduced me into the fashionable world, but unfortunately I possessed no acquaintance there, and, of necessity, was compelled to abandon the idea."	true	234.36	272.62	20.884842
6070_86744_000009_000000	"So distinguished an individual as yourself," cried Albert, "could scarcely have required an introduction."	"So distinguished an individual as yourself," cried Albert, "could scarcely have required an introduction."	true	273.35	280.57	21
6070_86744_000010_000000	"You are most kind; but as regards myself, I can find no merit I possess, save that, as a millionaire, I might have become a partner in the speculations of M. Aguado and M. Rothschild; but as my motive in travelling to your capital would not have been for the pleasure of dabbling in stocks, I stayed away till some favorable chance should present itself of carrying my wish into execution.	"You are most kind; but as regards myself, I can find no merit I possess, save that, as a millionaire, I might have become a partner in the speculations of m Aguado and m Rothschild; but as my motive in travelling to your capital would not have been for the pleasure of dabbling in stocks, I stayed away till some favorable chance should present itself of carrying my wish into execution.	false	280.88	307.12	18
6070_86744_000010_000001	Your offer, however, smooths all difficulties, and I have only to ask you, my dear M. de Morcerf" (these words were accompanied by a most peculiar smile), "whether you undertake, upon my arrival in France, to open to me the doors of that fashionable world of which I know no more than a Huron or a native of Cochin-China?"	Your offer, however, smooths all difficulties, and I have only to ask you, my dear m de Morcerf" (these words were accompanied by a most peculiar smile), "whether you undertake, upon my arrival in France, to open to me the doors of that fashionable world of which I know no more than a Huron or a native of Cochin China?"	false	307.25	329.59	21
6070_86744_000011_000000	"Oh, that I do, and with infinite pleasure," answered Albert; "and so much the more readily as a letter received this morning from my father summons me to Paris, in consequence of a treaty of marriage (my dear Franz, do not smile, I beg of you) with a family of high standing, and connected with the very cream of Parisian society."	"Oh, that I do, and with infinite pleasure," answered Albert; "and so much the more readily as a letter received this morning from my father summons me to Paris, in consequence of a treaty of marriage (my dear Franz, do not smile, I beg of you) with a family of high standing, and connected with the very cream of Parisian society."	false	329.6	351.34	20.677826
6070_86744_000012_000000	"Connected by marriage, you mean," said Franz, laughingly.	"Connected by marriage, you mean," said Franz, laughingly.	true	352.04	356.02	20.866112
6070_86744_000013_000000	"Well, never mind how it is," answered Albert, "it comes to the same thing in the end.	"Well, never mind how it is," answered Albert, "it comes to the same thing in the end.	false	356.48	361.72	20
6070_86744_000013_000001	Perhaps by the time you return to Paris, I shall be quite a sober, staid father of a family!	Perhaps by the time you return to Paris, I shall be quite a sober, staid father of a family!	true	361.88	367.8	16
6070_86744_000013_000002	A most edifying representative I shall make of all the domestic virtues--don't you think so?	A most edifying representative I shall make of all the domestic virtues-don't you think so?	false	367.8	373.72	20
6070_86744_000013_000003	But as regards your wish to visit our fine city, my dear count, I can only say that you may command me and mine to any extent you please."	But as regards your wish to visit our fine city, my dear count, I can only say that you may command me and mine to any extent you please."	true	374.15	383.22	18
6070_86744_000014_000000	"Then it is settled," said the count, "and I give you my solemn assurance that I only waited an opportunity like the present to realize plans that I have long meditated." Franz did not doubt that these plans were the same concerning which the count had dropped a few words in the grotto of Monte Cristo, and while the Count was speaking the young man watched him closely, hoping to read something of his purpose in his face, but his countenance was inscrutable especially when, as in the present case, it was veiled in a sphinx-like smile.	"Then it is settled," said the count, "and I give you my solemn assurance that I only waited an opportunity like the present to realize plans that I have long meditated." Franz did not doubt that these plans were the same concerning which the count had dropped a few words in the grotto of Monte Cristo, and while the Count was speaking the young man watched him closely, hoping to read something of his purpose in his face, but his countenance was inscrutable especially when, as in the present case, it was veiled in a sphinx like smile.	false	383.22	417.79	20.817122
6070_86744_000014_000001	"But tell me now, count," exclaimed Albert, delighted at the idea of having to chaperon so distinguished a person as Monte Cristo; "tell me truly whether you are in earnest, or if this project of visiting Paris is merely one of the chimerical and uncertain air castles of which we make so many in the course of our lives, but which, like a house built on the sand, is liable to be blown over by the first puff of wind?"	"But tell me now, count," exclaimed Albert, delighted at the idea of having to chaperon so distinguished a person as Monte Cristo; "tell me truly whether you are in earnest, or if this project of visiting Paris is merely one of the chimerical and uncertain air castles of which we make so many in the course of our lives, but which, like a house built on the sand, is liable to be blown over by the first puff of wind?"	false	418.88	446.11	20
6070_86744_000015_000000	"I pledge you my honor," returned the count, "that I mean to do as I have said; both inclination and positive necessity compel me to visit Paris."	"I pledge you my honor," returned the count, "that I mean to do as I have said; both inclination and positive necessity compel me to visit Paris."	true	446.81	456.07	20
6070_86744_000016_000000	"When do you propose going thither?"	"When do you propose going thither?"	true	456.65	458.8	25.100397
6070_86744_000017_000000	"Have you made up your mind when you shall be there yourself?"	"Have you made up your mind when you shall be there yourself?"	true	459.47	462.31	18
6070_86744_000018_000000	"Certainly I have; in a fortnight or three weeks' time, that is to say, as fast as I can get there!"	"Certainly I have; in a fortnight or three weeks' time, that is to say, as fast as I can get there!"	true	462.59	469.03	19.73662
6070_86744_000019_000000	"Nay," said the Count; "I will give you three months ere I join you; you see I make an ample allowance for all delays and difficulties.	"Nay," said the Count; "I will give you three months ere I join you; you see I make an ample allowance for all delays and difficulties.	true	469.22	477.46	18
6070_86744_000020_000000	"And in three months' time," said Albert, "you will be at my house?"	"And in three months' time," said Albert, "you will be at my house?"	true	477.98	481.39	20
6070_86744_000021_000000	"Shall we make a positive appointment for a particular day and hour?" inquired the count; "only let me warn you that I am proverbial for my punctilious exactitude in keeping my engagements."	"Shall we make a positive appointment for a particular day and hour?" inquired the count; "only let me warn you that I am proverbial for my punctilious exactitude in keeping my engagements."	false	481.76	493.54	21.122763
6070_86744_000022_000000	"Day for day, hour for hour," said Albert; "that will suit me to a dot."	"Day for day, hour for hour," said Albert; "that will suit me to a dot."	true	493.7	498.7	22.444103
6070_86744_000023_000000	"So be it, then," replied the count, and extending his hand towards a calendar, suspended near the chimney-piece, he said, "to-day is the 21st of February;" and drawing out his watch, added, "it is exactly half-past ten o'clock.	"So be it, then," replied the count, and extending his hand towards a calendar, suspended near the chimney piece, he said, "to day is the twenty first of February;" and drawing out his watch, added, "it is exactly half past ten o'clock.	true	499.16	514.87	20.597164
6070_86744_000023_000001	Now promise me to remember this, and expect me the 21st of May at the same hour in the forenoon."	Now promise me to remember this, and expect me the twenty first of May at the same hour in the forenoon."	false	514.91	522.405	19
6070_86744_000024_000000	"Capital," exclaimed Albert; "your breakfast shall be waiting."	"Capital," exclaimed Albert; "your breakfast shall be waiting."	true	522.405	526.66	22.743298
6070_86744_000025_000000	"Where do you live?"	"Where do you live?"	true	527.06	528.3	21.865181
6070_86744_000026_000000	"No. 27, Rue du Helder."	"no twenty seven, Rue du Helder."	false	528.3	531.49	20.230835
6070_86744_000027_000000	"Have you bachelor's apartments there?	"Have you bachelor's apartments there?	true	531.83	534.06	19
6070_86744_000027_000001	I hope my coming will not put you to any inconvenience."	I hope my coming will not put you to any inconvenience."	true	534.06	537.31	19
6070_86744_000028_000000	"I reside in my father's house, but occupy a pavilion at the farther side of the court-yard, entirely separated from the main building."	"I reside in my father's house, but occupy a pavilion at the farther side of the court yard, entirely separated from the main building."	true	537.62	545.98	20.291008
6070_86744_000029_000000	"Quite sufficient," replied the count, as, taking out his tablets, he wrote down "No. 27, Rue du Helder, 21st May, half-past ten in the morning."	"Quite sufficient," replied the count, as, taking out his tablets, he wrote down "no twenty seven, Rue du Helder, the twenty first of may, half past ten in the morning."	false	546.38	558.28	21.828974
6070_86744_000030_000000	"Now then," said the count, returning his tablets to his pocket, "make yourself perfectly easy; the hand of your time-piece will not be more accurate in marking the time than myself."	"Now then," said the count, returning his tablets to his pocket, "make yourself perfectly easy; the hand of your time piece will not be more accurate in marking the time than myself."	true	559.34	571.21	20
6070_86744_000031_000000	"Shall I see you again ere my departure?" asked Albert.	"Shall I see you again ere my departure?" asked Albert.	true	571.76	574.99	19.377316
6070_86744_000032_000000	"That depends; when do you leave?"	"That depends; when do you leave?"	true	575.33	577.66	16
6070_86744_000033_000000	"To-morrow evening, at five o'clock."	"To morrow evening, at five o'clock."	true	578.03	580.24	21.310902
6070_86744_000034_000000	"In that case I must say adieu to you, as I am compelled to go to Naples, and shall not return hither before Saturday evening or Sunday morning.	"In that case I must say adieu to you, as I am compelled to go to Naples, and shall not return hither before Saturday evening or Sunday morning.	true	580.49	589.27	16
6070_86744_000034_000001	And you, baron," pursued the count, addressing Franz, "do you also depart to-morrow?"	And you, baron," pursued the count, addressing Franz, "do you also depart to morrow?"	false	589.67	595.09	21.38412
6070_86744_000035_000000	"Yes."	"Yes."	true	595.22	596.05	24.646482
6070_86744_000036_000000	"For France?"	"For France?"	true	596.21	597.28	20.015066
6070_86744_000037_000000	"No, for Venice; I shall remain in Italy for another year or two."	"No, for Venice; I shall remain in Italy for another year or two."	true	597.44	601.45	17
6070_86744_000038_000000	"Then we shall not meet in Paris?"	"Then we shall not meet in Paris?"	true	602.15	604.18	20.843224
6070_86744_000039_000000	"I fear I shall not have that honor."	"I fear I shall not have that honor."	true	604.46	606.64	22.930916
6070_86744_000040_000000	"Well, since we must part," said the count, holding out a hand to each of the young men, "allow me to wish you both a safe and pleasant journey." It was the first time the hand of Franz had come in contact with that of the mysterious individual before him, and unconsciously he shuddered at its touch, for it felt cold and icy as that of a corpse. "Let us understand each other," said Albert; "it is agreed--is it not?--that you are to be at No. 27, in the Rue du Helder, on the 21st of May, at half-past ten in the morning, and your word of honor passed for your punctuality?"	"Well, since we must part," said the count, holding out a hand to each of the young men, "allow me to wish you both a safe and pleasant journey." It was the first time the hand of Franz had come in contact with that of the mysterious individual before him, and unconsciously he shuddered at its touch, for it felt cold and icy as that of a corpse. "Let us understand each other," said Albert; "it is agreed-is it not?--that you are to be at no twenty seven, in the Rue du Helder, on the twenty first of May, at half past ten in the morning, and your word of honor passed for your punctuality?"	false	607.28	644.83	20.466396
6070_86744_000041_000000	"The 21st of May, at half-past ten in the morning, Rue du Helder, No. 27," replied the Count.	"The twenty first of May, at half past ten in the morning, Rue du Helder, no twenty seven," replied the Count.	false	645.44	652.72	17
6070_86744_000041_000001	The young men then rose, and bowing to the count, quitted the room.	The young men then rose, and bowing to the count, quitted the room.	true	653	657.16	19
6070_86744_000041_000002	"What is the matter?" asked Albert of Franz, when they had returned to their own apartments; "you seem more than commonly thoughtful."	"What is the matter?" asked Albert of Franz, when they had returned to their own apartments; "you seem more than commonly thoughtful."	true	657.71	665.8	21.986904
6070_86744_000042_000000	"I will confess to you, Albert," replied Franz, "the count is a very singular person, and the appointment you have made to meet him in Paris fills me with a thousand apprehensions."	"I will confess to you, Albert," replied Franz, "the count is a very singular person, and the appointment you have made to meet him in Paris fills me with a thousand apprehensions."	true	666.59	677.92	20.680439
6070_86744_000043_000000	"My dear fellow," exclaimed Albert, "what can there possibly be in that to excite uneasiness?	"My dear fellow," exclaimed Albert, "what can there possibly be in that to excite uneasiness?	false	678.59	685.03	20.963991
6070_86744_000043_000001	Why, you must have lost your senses."	Why, you must have lost your senses."	true	685.43	687.88	19
6070_86744_000044_000000	"Whether I am in my senses or not," answered Franz, "that is the way I feel."	"Whether I am in my senses or not," answered Franz, "that is the way I feel."	true	688.19	692.56	19
6070_86744_000045_000000	"Listen to me, Franz," said Albert; "I am glad that the occasion has presented itself for saying this to you, for I have noticed how cold you are in your bearing towards the count, while he, on the other hand, has always been courtesy itself to us.	"Listen to me, Franz," said Albert; "I am glad that the occasion has presented itself for saying this to you, for I have noticed how cold you are in your bearing towards the count, while he, on the other hand, has always been courtesy itself to us.	false	693.17	708.25	18
6070_86744_000045_000001	Have you anything particular against him?"	Have you anything particular against him?"	true	708.53	711.37	24.5576
6070_86744_000046_000000	"Possibly."	"Possibly."	true	711.65	712.66	19.581392
6070_86744_000047_000000	"Did you ever meet him previously to coming hither?"	"Did you ever meet him previously to coming hither?"	true	713.48	716.32	22.343231
6070_86744_000048_000000	"I have."	"I have."	true	716.57	717.55	22.689798
6070_86744_000049_000000	"And where?"	"And where?"	true	717.71	718.6	23.279144
6070_86744_000050_000000	"Will you promise me not to repeat a single word of what I am about to tell you?"	"Will you promise me not to repeat a single word of what I am about to tell you?"	false	719.39	723.67	19
6070_86744_000051_000000	"I promise."	"I promise."	true	723.89	725.05	19.10815
6070_86744_000052_000000	"Upon your honor?"	"Upon your honor?"	true	725.12	726.4	16.24486
6070_86744_000053_000000	"Upon my honor."	"Upon my honor."	true	726.47	727.78	19.972086
6070_86744_000054_000000	"Then listen to me." Franz then related to his friend the history of his excursion to the Island of Monte Cristo and of his finding a party of smugglers there, and the two Corsican bandits with them.	"Then listen to me." Franz then related to his friend the history of his excursion to the Island of Monte Cristo and of his finding a party of smugglers there, and the two Corsican bandits with them.	false	728.06	740.92	21.156118
6070_86744_000054_000001	He dwelt with considerable force and energy on the almost magical hospitality he had received from the count, and the magnificence of his entertainment in the grotto of the "Thousand and One Nights." He recounted, with circumstantial exactitude, all the particulars of the supper, the hashish, the statues, the dream, and how, at his awakening, there remained no proof or trace of all these events, save the small yacht, seen in the distant horizon driving under full sail toward Porto-Vecchio.	He dwelt with considerable force and energy on the almost magical hospitality he had received from the count, and the magnificence of his entertainment in the grotto of the "Thousand and One Nights." He recounted, with circumstantial exactitude, all the particulars of the supper, the hashish, the statues, the dream, and how, at his awakening, there remained no proof or trace of all these events, save the small yacht, seen in the distant horizon driving under full sail toward Porto Vecchio.	false	741.41	774.99	20.993406
6070_86744_000054_000002	Then he detailed the conversation overheard by him at the Colosseum, between the count and Vampa, in which the count had promised to obtain the release of the bandit Peppino,--an engagement which, as our readers are aware, he most faithfully fulfilled.	Then he detailed the conversation overheard by him at the Colosseum, between the count and Vampa, in which the count had promised to obtain the release of the bandit Peppino,--an engagement which, as our readers are aware, he most faithfully fulfilled.	true	774.99	792.79	21.98984
6070_86744_000054_000003	At last he arrived at the adventure of the preceding night, and the embarrassment in which he found himself placed by not having sufficient cash by six or seven hundred piastres to make up the sum required, and finally of his application to the count and the picturesque and satisfactory result that followed.	At last he arrived at the adventure of the preceding night, and the embarrassment in which he found himself placed by not having sufficient cash by six or seven hundred piastres to make up the sum required, and finally of his application to the count and the picturesque and satisfactory result that followed.	true	793.37	813.46	20.63788
6070_86744_000054_000004	Albert listened with the most profound attention.	Albert listened with the most profound attention.	true	814.01	817.39	21.60581
6070_86744_000054_000005	"Well," said he, when Franz had concluded, "what do you find to object to in all you have related?	"Well," said he, when Franz had concluded, "what do you find to object to in all you have related?	true	818.33	825.22	21.061428
6070_86744_000054_000006	The count is fond of travelling, and, being rich, possesses a vessel of his own.	The count is fond of travelling, and, being rich, possesses a vessel of his own.	true	825.47	831.13	22.280907
6070_86744_000054_000007	Go but to Portsmouth or Southampton, and you will find the harbors crowded with the yachts belonging to such of the English as can afford the expense, and have the same liking for this amusement.	Go but to Portsmouth or Southampton, and you will find the harbors crowded with the yachts belonging to such of the English as can afford the expense, and have the same liking for this amusement.	false	831.32	842.65	18
6070_86744_000054_000008	Now, by way of having a resting-place during his excursions, avoiding the wretched cookery--which has been trying its best to poison me during the last four months, while you have manfully resisted its effects for as many years,--and obtaining a bed on which it is possible to slumber, Monte Cristo has furnished for himself a temporary abode where you first found him; but, to prevent the possibility of the Tuscan government taking a fancy to his enchanted palace, and thereby depriving him of the advantages naturally expected from so large an outlay of capital, he has wisely enough purchased the island, and taken its name. Just ask yourself, my good fellow, whether there are not many persons of our acquaintance who assume the names of lands and properties they never in their lives were masters of?"	Now, by way of having a resting place during his excursions, avoiding the wretched cookery-which has been trying its best to poison me during the last four months, while you have manfully resisted its effects for as many years,--and obtaining a bed on which it is possible to slumber, Monte Cristo has furnished for himself a temporary abode where you first found him; but, to prevent the possibility of the Tuscan government taking a fancy to his enchanted palace, and thereby depriving him of the advantages naturally expected from so large an outlay of capital, he has wisely enough purchased the island, and taken its name. Just ask yourself, my good fellow, whether there are not many persons of our acquaintance who assume the names of lands and properties they never in their lives were masters of?"	false	842.78	893.83	19
6070_86744_000055_000000	"But," said Franz, "the Corsican bandits that were among the crew of his vessel?"	"But," said Franz, "the Corsican bandits that were among the crew of his vessel?"	true	894.59	899.38	18
6070_86744_000056_000000	"Why, really the thing seems to me simple enough.	"Why, really the thing seems to me simple enough.	true	899.45	902.98	19.511408
6070_86744_000056_000001	Nobody knows better than yourself that the bandits of Corsica are not rogues or thieves, but purely and simply fugitives, driven by some sinister motive from their native town or village, and that their fellowship involves no disgrace or stigma; for my own part, I protest that, should I ever go to Corsica, my first visit, ere even I presented myself to the mayor or prefect, should be to the bandits of Colomba, if I could only manage to find them; for, on my conscience, they are a race of men I admire greatly."	Nobody knows better than yourself that the bandits of Corsica are not rogues or thieves, but purely and simply fugitives, driven by some sinister motive from their native town or village, and that their fellowship involves no disgrace or stigma; for my own part, I protest that, should I ever go to Corsica, my first visit, ere even I presented myself to the mayor or prefect, should be to the bandits of Colomba, if I could only manage to find them; for, on my conscience, they are a race of men I admire greatly."	true	902.99	938.2	20.845537
6070_86744_000057_000000	"Still," persisted Franz, "I suppose you will allow that such men as Vampa and his band are regular villains, who have no other motive than plunder when they seize your person.	"Still," persisted Franz, "I suppose you will allow that such men as Vampa and his band are regular villains, who have no other motive than plunder when they seize your person.	true	938.3	949.875	20
6070_86744_000057_000001	How do you explain the influence the count evidently possessed over those ruffians?"	How do you explain the influence the count evidently possessed over those ruffians?"	true	949.875	955.27	20
6070_86744_000058_000000	"My good friend, as in all probability I own my present safety to that influence, it would ill become me to search too closely into its source; therefore, instead of condemning him for his intimacy with outlaws, you must give me leave to excuse any little irregularity there may be in such a connection; not altogether for preserving my life, for my own idea was that it never was in much danger, but certainly for saving me 4,000 piastres, which, being translated, means neither more nor less than 24,000 livres of our money--a sum at which, most assuredly, I should never have been estimated in France, proving most indisputably," added Albert with a laugh, "that no prophet is honored in his own country."	"My good friend, as in all probability I own my present safety to that influence, it would ill become me to search too closely into its source; therefore, instead of condemning him for his intimacy with outlaws, you must give me leave to excuse any little irregularity there may be in such a connection; not altogether for preserving my life, for my own idea was that it never was in much danger, but certainly for saving me four thousand piastres, which, being translated, means neither more nor less than twenty four thousand livres of our money-a sum at which, most assuredly, I should never have been estimated in France, proving most indisputably," added Albert with a laugh, "that no prophet is honored in his own country."	false	956.09	1005.37	20.787193
6070_86744_000059_000000	"Talking of countries," replied Franz, "of what country is the count, what is his native tongue, whence does he derive his immense fortune, and what were those events of his early life--a life as marvellous as unknown--that have tinctured his succeeding years with so dark and gloomy a misanthropy?	"Talking of countries," replied Franz, "of what country is the count, what is his native tongue, whence does he derive his immense fortune, and what were those events of his early life-a life as marvellous as unknown-that have tinctured his succeeding years with so dark and gloomy a misanthropy?	false	1005.59	1025.38	20
6070_86744_000059_000001	Certainly these are questions that, in your place, I should like to have answered."	Certainly these are questions that, in your place, I should like to have answered."	true	1025.66	1030.03	17
6070_86744_000060_000000	"My dear Franz," replied Albert, "when, upon receipt of my letter, you found the necessity of asking the count's assistance, you promptly went to him, saying, 'My friend Albert de Morcerf is in danger; help me to deliver him.' Was not that nearly what you said?"	"My dear Franz," replied Albert, "when, upon receipt of my letter, you found the necessity of asking the count's assistance, you promptly went to him, saying, 'My friend Albert de Morcerf is in danger; help me to deliver him.' Was not that nearly what you said?"	true	1030.34	1048.03	21.064356
6070_86744_000061_000000	"It was."	"It was."	true	1048.22	1049.05	24.809647
6070_86744_000062_000000	"Well, then, did he ask you, 'Who is M. Albert de Morcerf? how does he come by his name--his fortune?	"Well, then, did he ask you, 'Who is m Albert de Morcerf? how does he come by his name-his fortune?	false	1049.69	1056.67	15
6070_86744_000062_000001	what are his means of existence?	what are his means of existence?	true	1057.07	1059.15	18.448294
6070_86744_000062_000002	what is his birthplace! of what country is he a native?' Tell me, did he put all these questions to you?"	what is his birthplace! of what country is he a native?' Tell me, did he put all these questions to you?"	false	1059.15	1065.16	21.794394
6070_86744_000063_000000	"I confess he asked me none."	"I confess he asked me none."	true	1065.5	1067.47	20.830278
6070_86744_000064_000000	"No; he merely came and freed me from the hands of Signor Vampa, where, I can assure you, in spite of all my outward appearance of ease and unconcern, I did not very particularly care to remain.	"No; he merely came and freed me from the hands of Signor Vampa, where, I can assure you, in spite of all my outward appearance of ease and unconcern, I did not very particularly care to remain.	true	1067.9	1081.29	20.92999
6070_86744_000064_000001	Now, then, Franz, when, for services so promptly and unhesitatingly rendered, he but asks me in return to do for him what is done daily for any Russian prince or Italian nobleman who may pass through Paris--merely to introduce him into society--would you have me refuse?	Now, then, Franz, when, for services so promptly and unhesitatingly rendered, he but asks me in return to do for him what is done daily for any Russian prince or Italian nobleman who may pass through Paris-merely to introduce him into society-would you have me refuse?	true	1081.29	1100.74	17
6070_86744_000064_000002	My good fellow, you must have lost your senses to think it possible I could act with such cold-blooded policy." And this time it must be confessed that, contrary to the usual state of affairs in discussions between the young men, the effective arguments were all on Albert's side.	My good fellow, you must have lost your senses to think it possible I could act with such cold blooded policy." And this time it must be confessed that, contrary to the usual state of affairs in discussions between the young men, the effective arguments were all on Albert's side.	false	1101.05	1117.93	21.3334
6070_86744_000065_000000	"Well," said Franz with a sigh, "do as you please my dear viscount, for your arguments are beyond my powers of refutation.	"Well," said Franz with a sigh, "do as you please my dear viscount, for your arguments are beyond my powers of refutation.	true	1118.27	1126.15	16
6070_86744_000065_000001	Still, in spite of all, you must admit that this Count of Monte Cristo is a most singular personage."	Still, in spite of all, you must admit that this Count of Monte Cristo is a most singular personage."	true	1126.58	1133.23	15
6070_86744_000066_000000	"He is a philanthropist," answered the other; "and no doubt his motive in visiting Paris is to compete for the Monthyon prize, given, as you are aware, to whoever shall be proved to have most materially advanced the interests of virtue and humanity.	"He is a philanthropist," answered the other; "and no doubt his motive in visiting Paris is to compete for the Monthyon prize, given, as you are aware, to whoever shall be proved to have most materially advanced the interests of virtue and humanity.	true	1133.66	1148.32	17
6070_86744_000066_000001	If my vote and interest can obtain it for him, I will readily give him the one and promise the other.	If my vote and interest can obtain it for him, I will readily give him the one and promise the other.	true	1148.84	1155.28	20
6070_86744_000066_000002	And now, my dear Franz, let us talk of something else.	And now, my dear Franz, let us talk of something else.	true	1155.59	1159.15	21.244545
6070_86744_000066_000003	Come, shall we take our luncheon, and then pay a last visit to St. Peter's?" Franz silently assented; and the following afternoon, at half-past five o'clock, the young men parted.	Come, shall we take our luncheon, and then pay a last visit to saint Peter's?" Franz silently assented; and the following afternoon, at half past five o'clock, the young men parted.	true	1159.15	1170.58	20.622946
6070_86744_000066_000004	Albert de Morcerf to return to Paris, and Franz d'Epinay to pass a fortnight at Venice.	Albert de Morcerf to return to Paris, and Franz d'Epinay to pass a fortnight at Venice.	true	1170.92	1176.73	21.3919
