2414_128291_000000_000000	LXVIII.	l x v i i i.	false	0	6.63	24.258612
2414_128291_000014_000001	Art thou not the voluntary beggar who once cast away great riches,--	Art thou not the voluntary beggar who once cast away great riches,--	false	360.63	366.73	24.12231
2414_128291_000015_000000	--Who was ashamed of his riches and of the rich, and fled to the poorest to bestow upon them his abundance and his heart?	--Who was ashamed of his riches and of the rich, and fled to the poorest to bestow upon them his abundance and his heart?	true	367.55	377.86	24.76067
2414_128291_000015_000001	But they received him not."	But they received him not."	true	378.38	380.08	22.203068
2414_128291_000016_000000	"But they received me not," said the voluntary beggar, "thou knowest it, forsooth.	"But they received me not," said the voluntary beggar, "thou knowest it, forsooth.	true	382.07	388.63	24.933401
2414_128291_000016_000001	So I went at last to the animals and to those kine."	So I went at last to the animals and to those kine."	false	389.21	393.3	23.17656
2414_128291_000017_000000	"Then learnedst thou," interrupted Zarathustra, "how much harder it is to give properly than to take properly, and that bestowing well is an ART--the last, subtlest master-art of kindness."	"Then learnedst thou," interrupted Zarathustra, "how much harder it is to give properly than to take properly, and that bestowing well is an ART-the last, subtlest master art of kindness."	false	393.3	413.65	23.346622
2414_128291_000018_000000	"Especially nowadays," answered the voluntary beggar: "at present, that is to say, when everything low hath become rebellious and exclusive and haughty in its manner--in the manner of the populace.	"Especially nowadays," answered the voluntary beggar: "at present, that is to say, when everything low hath become rebellious and exclusive and haughty in its manner-in the manner of the populace.	false	416.27	432.4	23.256445
2414_128291_000019_000000	For the hour hath come, thou knowest it forsooth, for the great, evil, long, slow mob-and-slave-insurrection: it extendeth and extendeth!	For the hour hath come, thou knowest it forsooth, for the great, evil, long, slow mob and slave insurrection: it extendeth and extendeth!	false	434.48	448.14	22.401443
2414_128291_000020_000000	Now doth it provoke the lower classes, all benevolence and petty giving; and the overrich may be on their guard!	Now doth it provoke the lower classes, all benevolence and petty giving; and the overrich may be on their guard!	false	448.14	460.53	24.790339
2414_128291_000021_000000	Whoever at present drip, like bulgy bottles out of all-too-small necks:--of such bottles at present one willingly breaketh the necks.	Whoever at present drip, like bulgy bottles out of all too small necks:--of such bottles at present one willingly breaketh the necks.	false	460.53	474.01	24.878117
2414_128291_000022_000000	Wanton avidity, bilious envy, careworn revenge, populace-pride: all these struck mine eye.	Wanton avidity, bilious envy, careworn revenge, populace pride: all these struck mine eye.	false	475.43	485.98	24.22301
2414_128291_000022_000001	It is no longer true that the poor are blessed. The kingdom of heaven, however, is with the kine."	It is no longer true that the poor are blessed. The kingdom of heaven, however, is with the kine."	false	486.56	494.55	23.771954
2414_128291_000023_000000	"And why is it not with the rich?" asked Zarathustra temptingly, while he kept back the kine which sniffed familiarly at the peaceful one.	"And why is it not with the rich?" asked Zarathustra temptingly, while he kept back the kine which sniffed familiarly at the peaceful one.	false	494.55	509.68	22.55888
2414_128291_000024_000000	"Why dost thou tempt me?" answered the other.	"Why dost thou tempt me?" answered the other.	false	511.46	516.22	23.87697
2414_128291_000024_000001	"Thou knowest it thyself better even than I. What was it drove me to the poorest, O Zarathustra? Was it not my disgust at the richest?	"Thou knowest it thyself better even than i What was it drove me to the poorest, O Zarathustra? Was it not my disgust at the richest?	false	516.71	528.1	23.410288
2414_128291_000025_000000	--At the culprits of riches, with cold eyes and rank thoughts, who pick up profit out of all kinds of rubbish--at this rabble that stinketh to heaven,	--At the culprits of riches, with cold eyes and rank thoughts, who pick up profit out of all kinds of rubbish-at this rabble that stinketh to heaven,	true	529.22	541.68	24.616423
2414_128291_000026_000000	--At this gilded, falsified populace, whose fathers were pickpockets, or carrion-crows, or rag-pickers, with wives compliant, lewd and forgetful:--for they are all of them not far different from harlots--	--At this gilded, falsified populace, whose fathers were pickpockets, or carrion crows, or rag pickers, with wives compliant, lewd and forgetful:--for they are all of them not far different from harlots-	false	541.68	562.18	24.565197
2414_128291_000027_000000	Populace above, populace below!	Populace above, populace below!	false	563.81	566.8	26.941648
2414_128291_000027_000001	What are 'poor' and 'rich' at present! That distinction did I unlearn,--then did I flee away further and ever further, until I came to those kine."	What are 'poor' and 'rich' at present! That distinction did I unlearn,--then did I flee away further and ever further, until I came to those kine."	false	567.2	581.43	23.214737
2414_128291_000028_000000	Thus spake the peaceful one, and puffed himself and perspired with his words: so that the kine wondered anew.	Thus spake the peaceful one, and puffed himself and perspired with his words: so that the kine wondered anew.	false	581.43	592.48	23.7476
2414_128291_000028_000001	Zarathustra, however, kept looking into his face with a smile, all the time the man talked so severely--and shook silently his head.	Zarathustra, however, kept looking into his face with a smile, all the time the man talked so severely-and shook silently his head.	false	593.3	605.59	22.132923
2414_128291_000029_000000	"Thou doest violence to thyself, thou Preacher-on-the-Mount, when thou usest such severe words.	"Thou doest violence to thyself, thou Preacher on the Mount, when thou usest such severe words.	false	608.06	615.67	23.075583
2414_128291_000029_000001	For such severity neither thy mouth nor thine eye have been given thee.	For such severity neither thy mouth nor thine eye have been given thee.	false	616.61	624.07	25.047457
2414_128291_000030_000000	Nor, methinketh, hath thy stomach either: unto IT all such rage and hatred and foaming-over is repugnant.	Nor, methinketh, hath thy stomach either: unto i t all such rage and hatred and foaming over is repugnant.	false	625.13	636.12	26.135456
2414_128291_000030_000001	Thy stomach wanteth softer things: thou art not a butcher.	Thy stomach wanteth softer things: thou art not a butcher.	false	636.12	643.33	23.692142
2414_128291_000031_000000	Rather seemest thou to me a plant-eater and a root-man.	Rather seemest thou to me a plant eater and a root man.	false	644.54	649.33	23.655882
2414_128291_000031_000001	Perhaps thou grindest corn.	Perhaps thou grindest corn.	false	649.61	651.97	24.788183
2414_128291_000031_000002	Certainly, however, thou art averse to fleshly joys, and thou lovest honey."	Certainly, however, thou art averse to fleshly joys, and thou lovest honey."	false	652.73	660.58	25.68545
2414_128291_000032_000000	"Thou hast divined me well," answered the voluntary beggar, with lightened heart.	"Thou hast divined me well," answered the voluntary beggar, with lightened heart.	false	662.81	669.31	23.882866
2414_128291_000032_000001	"I love honey, I also grind corn; for I have sought out what tasteth sweetly and maketh pure breath:	"I love honey, I also grind corn; for I have sought out what tasteth sweetly and maketh pure breath:	false	669.53	679.39	24.083847
2414_128291_000033_000000	--Also what requireth a long time, a day's-work and a mouth's-work for gentle idlers and sluggards.	--Also what requireth a long time, a day's work and a mouth's work for gentle idlers and sluggards.	false	680.93	690.75	21.630291
2414_128291_000034_000000	Furthest, to be sure, have those kine carried it: they have devised ruminating and lying in the sun.	Furthest, to be sure, have those kine carried it: they have devised ruminating and lying in the sun	false	690.75	700	19.929523
2414_128291_000034_000001	They also abstain from all heavy thoughts which inflate the heart."	They also abstain from all heavy thoughts which inflate the heart."	false	700.31	706.06	25.134424
2414_128291_000035_000000	--"Well!" said Zarathustra, "thou shouldst also see MINE animals, mine eagle and my serpent,--their like do not at present exist on earth.	--"Well!" said Zarathustra, "thou shouldst also see MINE animals, mine eagle and my serpent,--their like do not at present exist on earth.	false	707.24	721.62	22.43041
2414_128291_000036_000000	Behold, thither leadeth the way to my cave: be to-night its guest.	Behold, thither leadeth the way to my cave: be to night its guest.	true	721.62	729.1	23.682806
2414_128291_000036_000001	And talk to mine animals of the happiness of animals,--	And talk to mine animals of the happiness of animals,--	false	729.38	821.91	22.137098
