6070_86745_000000_000000	Chapter 39.	Chapter thirty nine.	false	0.33	20.535	21.464941
6070_86745_000002_000015	On the walls, over the doors, on the ceiling, were swords, daggers, Malay creeses, maces, battle-axes; gilded, damasked, and inlaid suits of armor; dried plants, minerals, and stuffed birds, their flame-colored wings outspread in motionless flight, and their beaks forever open.	On the walls, over the doors, on the ceiling, were swords, daggers, Malay creeses, maces, battle axes; gilded, damasked, and inlaid suits of armor; dried plants, minerals, and stuffed birds, their flame colored wings outspread in motionless flight, and their beaks forever open.	true	414.14	437.47	22.245747
6070_86745_000002_000016	This was Albert's favorite lounging place.	This was Albert's favorite lounging place.	true	438.02	440.71	22.133984
6070_86745_000003_000000	However, the morning of the appointment, the young man had established himself in the small salon down-stairs.	However, the morning of the appointment, the young man had established himself in the small salon down stairs.	true	441.35	448.38	19
6070_86745_000003_000001	There, on a table, surrounded at some distance by a large and luxurious divan, every species of tobacco known,--from the yellow tobacco of Petersburg to the black of Sinai, and so on along the scale from Maryland and Porto-Rico, to Latakia,--was exposed in pots of crackled earthenware of which the Dutch are so fond; beside them, in boxes of fragrant wood, were ranged, according to their size and quality, pueros, regalias, havanas, and manillas; and, in an open cabinet, a collection of German pipes, of chibouques, with their amber mouth-pieces ornamented with coral, and of narghiles, with their long tubes of morocco, awaiting the caprice or the sympathy of the smokers.	There, on a table, surrounded at some distance by a large and luxurious divan, every species of tobacco known,--from the yellow tobacco of Petersburg to the black of Sinai, and so on along the scale from Maryland and Porto Rico, to Latakia,--was exposed in pots of crackled earthenware of which the Dutch are so fond; beside them, in boxes of fragrant wood, were ranged, according to their size and quality, pueros, regalias, havanas, and manillas; and, in an open cabinet, a collection of German pipes, of chibouques, with their amber mouth pieces ornamented with coral, and of narghiles, with their long tubes of morocco, awaiting the caprice or the sympathy of the smokers.	false	448.38	503.68	22.916866
6070_86745_000003_000002	Albert had himself presided at the arrangement, or, rather, the symmetrical derangement, which, after coffee, the guests at a breakfast of modern days love to contemplate through the vapor that escapes from their mouths, and ascends in long and fanciful wreaths to the ceiling. At a quarter to ten, a valet entered; he composed, with a little groom named John, and who only spoke English, all Albert's establishment, although the cook of the hotel was always at his service, and on great occasions the count's chasseur also.	Albert had himself presided at the arrangement, or, rather, the symmetrical derangement, which, after coffee, the guests at a breakfast of modern days love to contemplate through the vapor that escapes from their mouths, and ascends in long and fanciful wreaths to the ceiling. At a quarter to ten, a valet entered; he composed, with a little groom named john, and who only spoke English, all Albert's establishment, although the cook of the hotel was always at his service, and on great occasions the count's chasseur also.	false	503.99	543.49	21.522402
6070_86745_000003_000003	This valet, whose name was Germain, and who enjoyed the entire confidence of his young master, held in one hand a number of papers, and in the other a packet of letters, which he gave to Albert.	This valet, whose name was Germain, and who enjoyed the entire confidence of his young master, held in one hand a number of papers, and in the other a packet of letters, which he gave to Albert.	false	543.5	559.41	21.159382
6070_86745_000003_000004	Albert glanced carelessly at the different missives, selected two written in a small and delicate hand, and enclosed in scented envelopes, opened them and perused their contents with some attention.	Albert glanced carelessly at the different missives, selected two written in a small and delicate hand, and enclosed in scented envelopes, opened them and perused their contents with some attention.	false	559.41	573.58	22.361906
6070_86745_000003_000005	"How did these letters come?" said he.	"How did these letters come?" said he.	true	573.89	576.46	21.668568
6070_86745_000004_000000	"One by the post, Madame Danglars' footman left the other."	"One by the post, Madame Danglars' footman left the other."	true	577.01	581.38	21.901873
6070_86745_000005_000000	"Let Madame Danglars know that I accept the place she offers me in her box.	"Let Madame Danglars know that I accept the place she offers me in her box.	true	582.26	587.53	20
6070_86745_000005_000001	Wait; then, during the day, tell Rosa that when I leave the Opera I will sup with her as she wishes.	Wait; then, during the day, tell Rosa that when I leave the Opera I will sup with her as she wishes.	true	587.63	594.97	20.975973
6070_86745_000005_000002	Take her six bottles of different wine--Cyprus, sherry, and Malaga, and a barrel of Ostend oysters; get them at Borel's, and be sure you say they are for me."	Take her six bottles of different wine-Cyprus, sherry, and Malaga, and a barrel of Ostend oysters; get them at Borel's, and be sure you say they are for me."	true	595.43	607.23	20.610115
6070_86745_000006_000000	"At what o'clock, sir, do you breakfast?"	"At what o'clock, sir, do you breakfast?"	false	607.23	611.17	21.08386
6070_86745_000007_000000	"What time is it now?"	"What time is it now?"	true	611.42	612.94	22.77413
6070_86745_000008_000000	"A quarter to ten."	"A quarter to ten."	true	613.28	614.8	23.080963
6070_86745_000009_000000	"Very well, at half past ten.	"Very well, at half past ten.	true	615.35	617.38	26.303547
6070_86745_000009_000001	Debray will, perhaps, be obliged to go to the minister--and besides" (Albert looked at his tablets), "it is the hour I told the count, 21st May, at half past ten; and though I do not much rely upon his promise, I wish to be punctual.	Debray will, perhaps, be obliged to go to the minister-and besides" (Albert looked at his tablets), "it is the hour I told the count, the twenty first of may, at half past ten; and though I do not much rely upon his promise, I wish to be punctual.	false	617.69	634.9	23.759737
6070_86745_000009_000002	Is the countess up yet?"	Is the countess up yet?"	true	635.3	637.24	23.102558
6070_86745_000010_000000	"If you wish, I will inquire."	"If you wish, I will inquire."	true	637.67	639.82	20.449572
6070_86745_000011_000000	"Yes, ask her for one of her liqueur cellarets, mine is incomplete; and tell her I shall have the honor of seeing her about three o'clock, and that I request permission to introduce some one to her." The valet left the room.	"Yes, ask her for one of her liqueur cellarets, mine is incomplete; and tell her I shall have the honor of seeing her about three o'clock, and that I request permission to introduce some one to her." The valet left the room.	true	640.25	655.5	21.300488
6070_86745_000011_000001	Albert threw himself on the divan, tore off the cover of two or three of the papers, looked at the theatre announcements, made a face seeing they gave an opera, and not a ballet; hunted vainly amongst the advertisements for a new tooth-powder of which he had heard, and threw down, one after the other, the three leading papers of Paris, muttering, "These papers become more and more stupid every day." A moment after, a carriage stopped before the door, and the servant announced M. Lucien Debray.	Albert threw himself on the divan, tore off the cover of two or three of the papers, looked at the theatre announcements, made a face seeing they gave an opera, and not a ballet; hunted vainly amongst the advertisements for a new tooth powder of which he had heard, and threw down, one after the other, the three leading papers of Paris, muttering, "These papers become more and more stupid every day." A moment after, a carriage stopped before the door, and the servant announced m Lucien Debray.	false	655.5	691.57	22.181835
6070_86745_000011_000002	A tall young man, with light hair, clear gray eyes, and thin and compressed lips, dressed in a blue coat with beautifully carved gold buttons, a white neckcloth, and a tortoiseshell eye-glass suspended by a silken thread, and which, by an effort of the superciliary and zygomatic muscles, he fixed in his eye, entered, with a half-official air, without smiling or speaking.	A tall young man, with light hair, clear gray eyes, and thin and compressed lips, dressed in a blue coat with beautifully carved gold buttons, a white neckcloth, and a tortoiseshell eye glass suspended by a silken thread, and which, by an effort of the superciliary and zygomatic muscles, he fixed in his eye, entered, with a half official air, without smiling or speaking.	false	691.85	721	22.420767
6070_86745_000011_000003	"Good-morning, Lucien, good-morning," said Albert; "your punctuality really alarms me.	"Good morning, Lucien, good morning," said Albert; "your punctuality really alarms me.	false	721.64	728.35	20.74562
6070_86745_000011_000004	What do I say?	What do I say?	true	728.48	729.73	25.99159
6070_86745_000011_000005	punctuality!	punctuality!	true	729.8	731.05	24.76257
6070_86745_000011_000006	You, whom I expected last, you arrive at five minutes to ten, when the time fixed was half-past!	You, whom I expected last, you arrive at five minutes to ten, when the time fixed was half past!	true	731.12	738.64	24.914888
6070_86745_000011_000007	Has the ministry resigned?"	Has the ministry resigned?"	true	738.77	740.83	20.545885
6070_86745_000012_000000	"No, my dear fellow," returned the young man, seating himself on the divan; "reassure yourself; we are tottering always, but we never fall, and I begin to believe that we shall pass into a state of immobility, and then the affairs of the Peninsula will completely consolidate us."	"No, my dear fellow," returned the young man, seating himself on the divan; "reassure yourself; we are tottering always, but we never fall, and I begin to believe that we shall pass into a state of immobility, and then the affairs of the Peninsula will completely consolidate us."	true	741.38	759.76	22.023722
6070_86745_000013_000000	"Ah, true; you drive Don Carlos out of Spain."	"Ah, true; you drive Don Carlos out of Spain."	true	759.83	764.085	23.882555
6070_86745_000014_000000	"No, no, my dear fellow, do not confound our plans.	"No, no, my dear fellow, do not confound our plans.	true	764.085	767.76	17
6070_86745_000014_000001	We take him to the other side of the French frontier, and offer him hospitality at Bourges."	We take him to the other side of the French frontier, and offer him hospitality at Bourges."	false	767.76	773.97	23.361622
6070_86745_000015_000000	"At Bourges?"	"At Bourges?"	false	773.97	776.04	21.102777
6070_86745_000016_000000	"Yes, he has not much to complain of; Bourges is the capital of Charles VII.	"Yes, he has not much to complain of; Bourges is the capital of Charles the seventh.	false	776.04	781.96	20.983152
6070_86745_000016_000001	Do you not know that all Paris knew it yesterday, and the day before it had already transpired on the Bourse, and M. Danglars (I do not know by what means that man contrives to obtain intelligence as soon as we do) made a million!"	Do you not know that all Paris knew it yesterday, and the day before it had already transpired on the Bourse, and m Danglars (I do not know by what means that man contrives to obtain intelligence as soon as we do) made a million!"	false	782.12	798.52	21.690002
6070_86745_000017_000000	"And you another order, for I see you have a blue ribbon at your button-hole."	"And you another order, for I see you have a blue ribbon at your button hole."	true	799.01	804.13	20.51102
6070_86745_000018_000000	"Yes; they sent me the order of Charles III.," returned Debray, carelessly.	"Yes; they sent me the order of Charles the third.," returned Debray, carelessly.	true	804.74	810.85	22.885025
6070_86745_000019_000000	"Come, do not affect indifference, but confess you were pleased to have it."	"Come, do not affect indifference, but confess you were pleased to have it."	true	811.4	816.52	24.37234
6070_86745_000020_000000	"Oh, it is very well as a finish to the toilet.	"Oh, it is very well as a finish to the toilet.	true	817.25	821.05	22.405102
6070_86745_000020_000001	It looks very neat on a black coat buttoned up."	It looks very neat on a black coat buttoned up."	true	821.24	824.685	24.392872
6070_86745_000021_000000	"And makes you resemble the Prince of Wales or the Duke of Reichstadt."	"And makes you resemble the Prince of Wales or the Duke of Reichstadt."	true	824.685	829.36	19
6070_86745_000022_000000	"It is for that reason you see me so early."	"It is for that reason you see me so early."	true	829.94	832.78	18.9651
6070_86745_000023_000000	"Because you have the order of Charles III., and you wish to announce the good news to me?"	"Because you have the order of Charles the third., and you wish to announce the good news to me?"	true	833.15	838.51	18
6070_86745_000024_000000	"No, because I passed the night writing letters,--five and twenty despatches.	"No, because I passed the night writing letters,--five and twenty despatches.	true	839.18	845.11	25.289803
6070_86745_000024_000001	I returned home at daybreak, and strove to sleep; but my head ached and I got up to have a ride for an hour.	I returned home at daybreak, and strove to sleep; but my head ached and I got up to have a ride for an hour.	true	845.27	853.72	24.84684
6070_86745_000024_000002	At the Bois de Boulogne, ennui and hunger attacked me at once,--two enemies who rarely accompany each other, and who are yet leagued against me, a sort of Carlo-republican alliance.	At the Bois de Boulogne, ennui and hunger attacked me at once,--two enemies who rarely accompany each other, and who are yet leagued against me, a sort of Carlo republican alliance.	true	853.91	868.36	23.056051
6070_86745_000024_000003	I then recollected you gave a breakfast this morning, and here I am.	I then recollected you gave a breakfast this morning, and here I am.	true	868.46	872.89	19
6070_86745_000024_000004	I am hungry, feed me; I am bored, amuse me."	I am hungry, feed me; I am bored, amuse me."	true	872.99	876.97	22.562704
6070_86745_000025_000000	"It is my duty as your host," returned Albert, ringing the bell, while Lucien turned over, with his gold-mounted cane, the papers that lay on the table.	"It is my duty as your host," returned Albert, ringing the bell, while Lucien turned over, with his gold mounted cane, the papers that lay on the table.	false	877.52	888.69	22.295113
6070_86745_000025_000001	"Germain, a glass of sherry and a biscuit.	"Germain, a glass of sherry and a biscuit.	false	888.69	892.66	21.53845
6070_86745_000025_000002	In the meantime, my dear Lucien, here are cigars--contraband, of course--try them, and persuade the minister to sell us such instead of poisoning us with cabbage leaves."	In the meantime, my dear Lucien, here are cigars-contraband, of course-try them, and persuade the minister to sell us such instead of poisoning us with cabbage leaves."	true	892.82	904.96	21.646378
6070_86745_000026_000000	"Peste, I will do nothing of the kind; the moment they come from government you would find them execrable.	"Peste, I will do nothing of the kind; the moment they come from government you would find them execrable.	true	905.48	913.15	22.944857
6070_86745_000026_000001	Besides, that does not concern the home but the financial department.	Besides, that does not concern the home but the financial department.	true	913.46	918.01	19.499605
6070_86745_000026_000002	Address yourself to M. Humann, section of the indirect contributions, corridor A., No. 26."	Address yourself to m Humann, section of the indirect contributions, corridor a, no twenty six."	false	918.29	926.62	21.85705
6070_86745_000027_000000	"On my word," said Albert, "you astonish me by the extent of your knowledge.	"On my word," said Albert, "you astonish me by the extent of your knowledge.	false	926.96	932.46	21
6070_86745_000027_000001	Take a cigar."	Take a cigar."	true	932.46	933.58	20
6070_86745_000028_000000	"Really, my dear Albert," replied Lucien, lighting a manilla at a rose-colored taper that burnt in a beautifully enamelled stand--"how happy you are to have nothing to do.	"Really, my dear Albert," replied Lucien, lighting a manilla at a rose colored taper that burnt in a beautifully enamelled stand-"how happy you are to have nothing to do.	false	933.92	946.84	23
6070_86745_000028_000001	You do not know your own good fortune!"	You do not know your own good fortune!"	false	947.45	951.24	17.995466
6070_86745_000029_000000	"And what would you do, my dear diplomatist," replied Morcerf, with a slight degree of irony in his voice, "if you did nothing?	"And what would you do, my dear diplomatist," replied Morcerf, with a slight degree of irony in his voice, "if you did nothing?	true	951.24	960.88	21.98414
6070_86745_000029_000001	What? private secretary to a minister, plunged at once into European cabals and Parisian intrigues; having kings, and, better still, queens, to protect, parties to unite, elections to direct; making more use of your cabinet with your pen and your telegraph than Napoleon did of his battle-fields with his sword and his victories; possessing five and twenty thousand francs a year, besides your place; a horse, for which Chateau-Renaud offered you four hundred louis, and which you would not part with; a tailor who never disappoints you; with the opera, the jockey-club, and other diversions, can you not amuse yourself?	What? private secretary to a minister, plunged at once into European cabals and Parisian intrigues; having kings, and, better still, queens, to protect, parties to unite, elections to direct; making more use of your cabinet with your pen and your telegraph than Napoleon did of his battle fields with his sword and his victories; possessing five and twenty thousand francs a year, besides your place; a horse, for which Chateau Renaud offered you four hundred louis, and which you would not part with; a tailor who never disappoints you; with the opera, the jockey club, and other diversions, can you not amuse yourself?	false	960.89	1010.11	21.901323
6070_86745_000029_000002	Well, I will amuse you."	Well, I will amuse you."	false	1010.18	1221.96	21.144754
