1998_15444_000001_000001	He should make inquiries as to symptoms, and time at which food or medicine was last taken.	He should make inquiries as to symptoms, and time at which food or medicine was last taken.
1998_15444_000004_000000	The modes of treatment may be ranged under three heads: (1) To eliminate the poison; (2) to antagonize its action; (3) to avert the tendency to death.	The modes of treatment may be ranged under three heads: (one) To eliminate the poison; (two) to antagonize its action; (three) to avert the tendency to death.
1998_15444_000005_000001	The first indication is met by the administration of emetics, to produce vomiting, or by the application of the stomach-tube.	The first indication is met by the administration of emetics, to produce vomiting, or by the application of the stomach tube.
1998_15444_000005_000002	The best emetic is that which is at hand.	The best emetic is that which is at hand.
1998_15444_000005_000003	If there is a choice, give apomorphine hypodermically.	If there is a choice, give apomorphine hypodermically.
1998_15444_000005_000004	The dose for an adult is 10 minims.	The dose for an adult is ten minims.
1998_15444_000005_000005	It may be given in the form of the injection of the Pharmacopoeia, or preferably as a tablet dissolved in water.	It may be given in the form of the injection of the Pharmacopoeia, or preferably as a tablet dissolved in water.
1998_15444_000005_000006	Apomorphine is not allied in physiological action to morphine, and may be given in cases of narcotic poisoning. Sulphate of zinc, salt-and-water, ipecacuanha, and mustard, are all useful as emetics.	Apomorphine is not allied in physiological action to morphine, and may be given in cases of narcotic poisoning. Sulphate of zinc, salt and water, ipecacuanha, and mustard, are all useful as emetics.
1998_15444_000005_000007	Tickling the fauces with a feather may excite vomiting.	Tickling the fauces with a feather may excite vomiting.
1998_15444_000006_000000	In using the elastic stomach-tube, some fluid should be introduced into the stomach before attempting to empty it, or a portion of the mucous membrane may be sucked into the aperture.	In using the elastic stomach tube, some fluid should be introduced into the stomach before attempting to empty it, or a portion of the mucous membrane may be sucked into the aperture.
1998_15444_000006_000001	The tube should be examined to see that it is not broken or cracked, as accidents have happened from neglecting this precaution.	The tube should be examined to see that it is not broken or cracked, as accidents have happened from neglecting this precaution.
1998_15444_000007_000001	The second indication is met by the administration of the appropriate antidote.	The second indication is met by the administration of the appropriate antidote.
1998_15444_000007_000003	In the absence of a hypodermic syringe, the remedy may be given by the rectum.	In the absence of a hypodermic syringe, the remedy may be given by the rectum.
1998_15444_000007_000005	Antidotes may act (1) chemically, by forming harmless compounds, as lime in oxalic acid poisoning; (2) physiologically, the drug which is administered neutralizing more or less completely the poison which has been absorbed; (3) physically, as charcoal.	Antidotes may act (one) chemically, by forming harmless compounds, as lime in oxalic acid poisoning; (two) physiologically, the drug which is administered neutralizing more or less completely the poison which has been absorbed; (three) physically, as charcoal.
1998_15444_000007_000006	Every doctor should provide himself with an antidote case.	Every doctor should provide himself with an antidote case.
1998_15444_000007_000007	The various antidotes will be mentioned under their respective poisons.	The various antidotes will be mentioned under their respective poisons.
1998_15444_000008_000001	To avert the tendency to death, we must endeavour to palliate the symptoms and neutralize the effects of the poison.	To avert the tendency to death, we must endeavour to palliate the symptoms and neutralize the effects of the poison.
1998_15444_000008_000003	In the case of narcotics and depressing agents, stimulants, electricity, and cold affusions, may be found useful.	In the case of narcotics and depressing agents, stimulants, electricity, and cold affusions, may be found useful.
1998_15444_000008_000004	We should endeavour to promote the elimination of the poison from the body by stimulating the secretions.	We should endeavour to promote the elimination of the poison from the body by stimulating the secretions.
1998_15444_000009_000000	VIII.--DETECTION OF POISONS	eight.--DETECTION OF POISONS
1998_15444_000010_000000	Notice the smell, colour, and general appearance, of the matter submitted for examination.	Notice the smell, colour, and general appearance, of the matter submitted for examination.
1998_15444_000010_000001	The odour may show the presence of prussic acid, alcohol, opium, or phosphorus.	The odour may show the presence of prussic acid, alcohol, opium, or phosphorus.
1998_15444_000010_000002	The colour may indicate salts of copper, cantharides, etc.	The colour may indicate salts of copper, cantharides, etc
1998_15444_000010_000003	Seeds of plants may be found.	Seeds of plants may be found.
1998_15444_000011_000000	This examination having been made, the contents of the alimentary canal, and any other substances to be examined, must be submitted to chemical processes.	This examination having been made, the contents of the alimentary canal, and any other substances to be examined, must be submitted to chemical processes.
1998_15444_000012_000000	Simple filtration will sometimes suffice to separate the required substance; in other cases dialysis will be necessary, in order that crystalloid substances may be separated from colloid bodies.	Simple filtration will sometimes suffice to separate the required substance; in other cases dialysis will be necessary, in order that crystalloid substances may be separated from colloid bodies.
1998_15444_000013_000000	In the case of volatile substances distillation will be required.	In the case of volatile substances distillation will be required.
1998_15444_000013_000003	The flask is heated in a water-bath, and the vapours condensed by a Liebig's condenser.	The flask is heated in a water bath, and the vapours condensed by a Liebig's condenser.
1998_15444_000013_000004	In the case of phosphorus the condenser should be of glass, and the process of distillation conducted in the dark, so that the luminosity of the phosphorus may be noted.	In the case of phosphorus the condenser should be of glass, and the process of distillation conducted in the dark, so that the luminosity of the phosphorus may be noted.
1998_15444_000014_000003	Make a solution of the contents of the stomach or solid organs minced very fine by digesting them with acidulated alcohol or water and filtering.	Make a solution of the contents of the stomach or solid organs minced very fine by digesting them with acidulated alcohol or water and filtering.
1998_15444_000014_000004	The filtrate is shaken with ether to remove fat, etc., the ether separated, the watery solution neutralized with soda, and then shaken with ether, which removes the alkaloid in a more or less impure condition.	The filtrate is shaken with ether to remove fat, etc, the ether separated, the watery solution neutralized with soda, and then shaken with ether, which removes the alkaloid in a more or less impure condition.
1998_15444_000014_000007	On the evaporation of the alcohol the resinous and fatty matters separate.	On the evaporation of the alcohol the resinous and fatty matters separate.
1998_15444_000014_000008	Filter through a filter moistened with water.	Filter through a filter moistened with water.
1998_15444_000014_000009	Evaporate the filtrate to a syrup, and extract with successive portions of absolute alcohol.	Evaporate the filtrate to a syrup, and extract with successive portions of absolute alcohol.
1998_15444_000014_000011	Evaporate filtrate to dryness, and dissolve residue in water, the solution being made distinctly acid.	Evaporate filtrate to dryness, and dissolve residue in water, the solution being made distinctly acid.
1998_15444_000014_000013	Separate the ethereal solution and evaporate.	Separate the ethereal solution and evaporate.
1998_15444_000014_000015	The ether floats on the surface, holding the alkaloids, except morphine, in solution. (5) A part of this ethereal solution is poured into a watch-glass and allowed to evaporate.	The ether floats on the surface, holding the alkaloids, except morphine, in solution. (five) A part of this ethereal solution is poured into a watch glass and allowed to evaporate.
1998_15444_000014_000016	If the alkaloid is volatile, oily streaks appear on the glass; if not volatile, crystalline traces will be visible.	If the alkaloid is volatile, oily streaks appear on the glass; if not volatile, crystalline traces will be visible.
1998_15444_000015_000001	To purify it, add a small quantity of dilute sulphuric acid, and, after evaporating to three-quarters of its bulk, add a saturated solution of carbonate of potash or soda.	To purify it, add a small quantity of dilute sulphuric acid, and, after evaporating to three quarters of its bulk, add a saturated solution of carbonate of potash or soda.
1998_15444_000015_000002	Absolute alcohol will then dissolve out the alkaloid, and leave it on evaporation in a crystalline form.	Absolute alcohol will then dissolve out the alkaloid, and leave it on evaporation in a crystalline form.
1998_15444_000017_000000	In order to isolate an inorganic substance from organic matter, Fresenius's method is adopted.	In order to isolate an inorganic substance from organic matter, Fresenius's method is adopted.
1998_15444_000017_000002	Treat this with excess of bisulphate of sodium, then saturate with sulphuretted hydrogen until metals are thrown down as sulphides. These may be collected and tested.	Treat this with excess of bisulphate of sodium, then saturate with sulphuretted hydrogen until metals are thrown down as sulphides. These may be collected and tested.
1998_15444_000017_000005	The residue of the material after digestion with hydrochloric acid and potassium chlorate may have to be examined for silver, lead, and barium.	The residue of the material after digestion with hydrochloric acid and potassium chlorate may have to be examined for silver, lead, and barium.
