6128_63241_000000_000000	"I have told him you are a radical, and you may tell him, if you like, that I am a painted Jezebel.	"I have told him you are a radical, and you may tell him, if you like, that I am a painted Jezebel.	false	0	1.35	6
6128_63241_000000_000012	"I am glad I haven't opinions that prevent my dressing in the evening!" she declared from the doorway.	"I am glad I haven't opinions that prevent my dressing in the evening!" she declared from the doorway.	false	17.58	20.97	18.049608
6128_63241_000000_000013	"The amount of thought they give to their clothing, the people who are afraid of looking frivolous!"	"The amount of thought they give to their clothing, the people who are afraid of looking frivolous!"	false	20.97	24.9	17.09445
6128_63241_000001_000000	II	two	false	24.9	25.125	-20
6128_63241_000002_000000	Whether much or little consideration had been directed to the result, Miss Chancellor certainly would not have incurred this reproach.	Whether much or little consideration had been directed to the result, Miss Chancellor certainly would not have incurred this reproach.	true	25.125	32.59	15
6128_63241_000002_000001	She was habited in a plain dark dress, without any ornaments, and her smooth, colourless hair was confined as carefully as that of her sister was encouraged to stray.	She was habited in a plain dark dress, without any ornaments, and her smooth, colourless hair was confined as carefully as that of her sister was encouraged to stray.	true	32.93	44.47	18
6128_63241_000002_000002	She had instantly seated herself, and while Mrs. Luna talked she kept her eyes on the ground, glancing even less toward Basil Ransom than toward that woman of many words.	She had instantly seated herself, and while mrs Luna talked she kept her eyes on the ground, glancing even less toward Basil Ransom than toward that woman of many words.	false	45.5	56.29	15
6128_63241_000002_000003	The young man was therefore free to look at her; a contemplation which showed him that she was agitated and trying to conceal it.	The young man was therefore free to look at her; a contemplation which showed him that she was agitated and trying to conceal it.	true	57.17	64.96	17
6128_63241_000002_000004	He wondered why she was agitated, not foreseeing that he was destined to discover, later, that her nature was like a skiff in a stormy sea.	He wondered why she was agitated, not foreseeing that he was destined to discover, later, that her nature was like a skiff in a stormy sea.	true	65.78	75.25	18.825556
6128_63241_000002_000005	Even after her sister had passed out of the room she sat there with her eyes turned away, as if there had been a spell upon her which forbade her to raise them.	Even after her sister had passed out of the room she sat there with her eyes turned away, as if there had been a spell upon her which forbade her to raise them.	false	76.04	86.89	20
6128_63241_000002_000006	Miss Olive Chancellor, it may be confided to the reader, to whom in the course of our history I shall be under the necessity of imparting much occult information, was subject to fits of tragic shyness, during which she was unable to meet even her own eyes in the mirror.	Miss Olive Chancellor, it may be confided to the reader, to whom in the course of our history I shall be under the necessity of imparting much occult information, was subject to fits of tragic shyness, during which she was unable to meet even her own eyes in the mirror.	true	87.89	105.82	17.95649
6128_63241_000002_000007	One of these fits had suddenly seized her now, without any obvious cause, though, indeed, Mrs. Luna had made it worse by becoming instantly so personal.	One of these fits had suddenly seized her now, without any obvious cause, though, indeed, mrs Luna had made it worse by becoming instantly so personal.	true	106.94	116.68	14
6128_63241_000002_000008	There was nothing in the world so personal as Mrs. Luna; her sister could have hated her for it if she had not forbidden herself this emotion as directed to individuals.	There was nothing in the world so personal as mrs Luna; her sister could have hated her for it if she had not forbidden herself this emotion as directed to individuals.	true	117.17	127.84	17.489004
6128_63241_000002_000009	Basil Ransom was a young man of first-rate intelligence, but conscious of the narrow range, as yet, of his experience.	Basil Ransom was a young man of first rate intelligence, but conscious of the narrow range, as yet, of his experience.	false	129.95	138.25	18.091963
6128_63241_000002_000010	He was on his guard against generalisations which might be hasty; but he had arrived at two or three that were of value to a gentleman lately admitted to the New York bar and looking out for clients.	He was on his guard against generalisations which might be hasty; but he had arrived at two or three that were of value to a gentleman lately admitted to the New York bar and looking out for clients.	true	139.31	151.78	15
6128_63241_000002_000011	One of them was to the effect that the simplest division it is possible to make of the human race is into the people who take things hard and the people who take them easy.	One of them was to the effect that the simplest division it is possible to make of the human race is into the people who take things hard and the people who take them easy.	true	152.69	162.46	17
6128_63241_000002_000012	He perceived very quickly that Miss Chancellor belonged to the former class.	He perceived very quickly that Miss Chancellor belonged to the former class.	true	162.98	167.65	17
6128_63241_000002_000013	This was written so intensely in her delicate face that he felt an unformulated pity for her before they had exchanged twenty words.	This was written so intensely in her delicate face that he felt an unformulated pity for her before they had exchanged twenty words.	true	168.17	177.1	18.899906
6128_63241_000002_000014	He himself, by nature, took things easy; if he had put on the screw of late, it was after reflexion, and because circumstances pressed him close.	He himself, by nature, took things easy; if he had put on the screw of late, it was after reflexion, and because circumstances pressed him close.	false	177.8	188.62	19.77898
6128_63241_000002_000015	But this pale girl, with her light-green eyes, her pointed features and nervous manner, was visibly morbid; it was as plain as day that she was morbid.	But this pale girl, with her light green eyes, her pointed features and nervous manner, was visibly morbid; it was as plain as day that she was morbid.	true	189.47	200.14	18.949081
6128_63241_000002_000016	Poor Ransom announced this fact to himself as if he had made a great discovery; but in reality he had never been so "Boeotian" as at that moment.	Poor Ransom announced this fact to himself as if he had made a great discovery; but in reality he had never been so "Boeotian" as at that moment.	false	200.9	211	18.355385
6128_63241_000002_000017	It proved nothing of any importance, with regard to Miss Chancellor, to say that she was morbid; any sufficient account of her would lie very much to the rear of that.	It proved nothing of any importance, with regard to Miss Chancellor, to say that she was morbid; any sufficient account of her would lie very much to the rear of that.	true	211.82	221.26	17
6128_63241_000002_000018	Why was she morbid, and why was her morbidness typical? Ransom might have exulted if he had gone back far enough to explain that mystery.	Why was she morbid, and why was her morbidness typical? Ransom might have exulted if he had gone back far enough to explain that mystery.	false	222.02	231.64	18.325289
6128_63241_000002_000019	The women he had hitherto known had been mainly of his own soft clime, and it was not often they exhibited the tendency he detected (and cursorily deplored) in Mrs. Luna's sister.	The women he had hitherto known had been mainly of his own soft clime, and it was not often they exhibited the tendency he detected (and cursorily deplored) in mrs Luna's sister.	true	232.25	244.66	18
6128_63241_000002_000020	That was the way he liked them--not to think too much, not to feel any responsibility for the government of the world, such as he was sure Miss Chancellor felt.	That was the way he liked them-not to think too much, not to feel any responsibility for the government of the world, such as he was sure Miss Chancellor felt.	true	245.36	255.82	19.485891
6128_63241_000002_000021	If they would only be private and passive, and have no feeling but for that, and leave publicity to the sex of tougher hide!	If they would only be private and passive, and have no feeling but for that, and leave publicity to the sex of tougher hide!	true	256.61	263.83	17
6128_63241_000002_000022	Ransom was pleased with the vision of that remedy; it must be repeated that he was very provincial.	Ransom was pleased with the vision of that remedy; it must be repeated that he was very provincial.	true	264.29	271.24	19.328194
6128_63241_000003_000000	These considerations were not present to him as definitely as I have written them here; they were summed up in the vague compassion which his cousin's figure excited in his mind, and which was yet accompanied with a sensible reluctance to know her better, obvious as it was that with such a face as that she must be remarkable.	These considerations were not present to him as definitely as I have written them here; they were summed up in the vague compassion which his cousin's figure excited in his mind, and which was yet accompanied with a sensible reluctance to know her better, obvious as it was that with such a face as that she must be remarkable.	false	272.96	292.6	17
6128_63241_000003_000001	He was sorry for her, but he saw in a flash that no one could help her: that was what made her tragic.	He was sorry for her, but he saw in a flash that no one could help her: that was what made her tragic.	true	293.6	301.33	19.361761
6128_63241_000003_000002	He had not, seeking his fortune, come away from the blighted South, which weighed upon his heart, to look out for tragedies; at least he didn't want them outside of his office in Pine Street.	He had not, seeking his fortune, come away from the blighted South, which weighed upon his heart, to look out for tragedies; at least he didn't want them outside of his office in Pine Street.	true	302.15	314.77	19.093092
6128_63241_000003_000003	He broke the silence ensuing upon Mrs. Luna's departure by one of the courteous speeches to which blighted regions may still encourage a tendency, and presently found himself talking comfortably enough with his hostess. Though he had said to himself that no one could help her, the effect of his tone was to dispel her shyness; it was her great advantage (for the career she had proposed to herself) that in certain conditions she was liable suddenly to become bold.	He broke the silence ensuing upon mrs Luna's departure by one of the courteous speeches to which blighted regions may still encourage a tendency, and presently found himself talking comfortably enough with his hostess. Though he had said to himself that no one could help her, the effect of his tone was to dispel her shyness; it was her great advantage (for the career she had proposed to herself) that in certain conditions she was liable suddenly to become bold.	false	316.19	346	17.483469
6128_63241_000003_000004	She was reassured at finding that her visitor was peculiar; the way he spoke told her that it was no wonder he had fought on the Southern side.	She was reassured at finding that her visitor was peculiar; the way he spoke told her that it was no wonder he had fought on the Southern side.	true	346.4	355.3	19.035568
6128_63241_000003_000005	She had never yet encountered a personage so exotic, and she always felt more at her ease in the presence of anything strange.	She had never yet encountered a personage so exotic, and she always felt more at her ease in the presence of anything strange.	true	356.03	364.06	17
6128_63241_000003_000006	It was the usual things of life that filled her with silent rage; which was natural enough, inasmuch as, to her vision, almost everything that was usual was iniquitous.	It was the usual things of life that filled her with silent rage; which was natural enough, inasmuch as, to her vision, almost everything that was usual was iniquitous.	true	364.7	374.83	18
6128_63241_000003_000007	She had no difficulty in asking him now whether he would not stay to dinner--she hoped Adeline had given him her message.	She had no difficulty in asking him now whether he would not stay to dinner-she hoped Adeline had given him her message.	true	375.71	382.69	17
6128_63241_000003_000008	It had been when she was upstairs with Adeline, as his card was brought up, a sudden and very abnormal inspiration to offer him this (for her) really ultimate favour; nothing could be further from her common habit than to entertain alone, at any repast, a gentleman she had never seen.	It had been when she was upstairs with Adeline, as his card was brought up, a sudden and very abnormal inspiration to offer him this (for her) really ultimate favour; nothing could be further from her common habit than to entertain alone, at any repast, a gentleman she had never seen.	false	383.3	402.19	17
6128_63241_000004_000000	It was the same sort of impulse that had moved her to write to Basil Ransom, in the spring, after hearing accidentally that he had come to the North and intended, in New York, to practise his profession.	It was the same sort of impulse that had moved her to write to Basil Ransom, in the spring, after hearing accidentally that he had come to the North and intended, in New York, to practise his profession.	true	403.64	415.75	17
6128_63241_000004_000001	It was her nature to look out for duties, to appeal to her conscience for tasks.	It was her nature to look out for duties, to appeal to her conscience for tasks.	false	416.54	421.66	18.071167
6128_63241_000004_000002	This attentive organ, earnestly consulted, had represented to her that he was an offshoot of the old slave-holding oligarchy which, within her own vivid remembrance, had plunged the country into blood and tears, and that, as associated with such abominations, he was not a worthy object of patronage for a person whose two brothers--her only ones--had given up life for the Northern cause.	This attentive organ, earnestly consulted, had represented to her that he was an offshoot of the old slave holding oligarchy which, within her own vivid remembrance, had plunged the country into blood and tears, and that, as associated with such abominations, he was not a worthy object of patronage for a person whose two brothers-her only ones-had given up life for the Northern cause.	false	422.06	447.25	18.453997
6128_63241_000004_000003	It reminded her, however, on the other hand, that he too had been much bereaved, and, moreover, that he had fought and offered his own life, even if it had not been taken.	It reminded her, however, on the other hand, that he too had been much bereaved, and, moreover, that he had fought and offered his own life, even if it had not been taken.	false	447.89	460.03	20.179298
6128_63241_000004_000004	She could not defend herself against a rich admiration--a kind of tenderness of envy--of any one who had been so happy as to have that opportunity. The most secret, the most sacred hope of her nature was that she might some day have such a chance, that she might be a martyr and die for something.	She could not defend herself against a rich admiration-a kind of tenderness of envy-of any one who had been so happy as to have that opportunity. The most secret, the most sacred hope of her nature was that she might some day have such a chance, that she might be a martyr and die for something.	false	460.88	482.77	18.635687
6128_63241_000004_000005	Basil Ransom had lived, but she knew he had lived to see bitter hours.	Basil Ransom had lived, but she knew he had lived to see bitter hours.	false	483.41	487.93	17.201353
6128_63241_000004_000006	His family was ruined; they had lost their slaves, their property, their friends and relations, their home; had tasted of all the cruelty of defeat.	His family was ruined; they had lost their slaves, their property, their friends and relations, their home; had tasted of all the cruelty of defeat.	true	488.42	498.52	18.388966
6128_63241_000004_000007	He had tried for a while to carry on the plantation himself, but he had a millstone of debt round his neck, and he longed for some work which would transport him to the haunts of men.	He had tried for a while to carry on the plantation himself, but he had a millstone of debt round his neck, and he longed for some work which would transport him to the haunts of men.	false	499.25	510.1	18.033188
6128_63241_000004_000008	The State of Mississippi seemed to him the state of despair; so he surrendered the remnants of his patrimony to his mother and sisters, and, at nearly thirty years of age, alighted for the first time in New York, in the costume of his province, with fifty dollars in his pocket and a gnawing hunger in his heart.	The State of Mississippi seemed to him the state of despair; so he surrendered the remnants of his patrimony to his mother and sisters, and, at nearly thirty years of age, alighted for the first time in New York, in the costume of his province, with fifty dollars in his pocket and a gnawing hunger in his heart.	true	511.07	531.51	18.440777
6128_63241_000005_000000	That this incident had revealed to the young man his ignorance of many things--only, however, to make him say to himself, after the first angry blush, that here he would enter the game and here he would win it--so much Olive Chancellor could not know; what was sufficient for her was that he had rallied, as the French say, had accepted the accomplished fact, had admitted that North and South were a single, indivisible political organism.	That this incident had revealed to the young man his ignorance of many things-only, however, to make him say to himself, after the first angry blush, that here he would enter the game and here he would win it-so much Olive Chancellor could not know; what was sufficient for her was that he had rallied, as the French say, had accepted the accomplished fact, had admitted that North and South were a single, indivisible political organism.	false	531.51	561.79	17.959965
6128_63241_000005_000001	Their cousinship--that of Chancellors and Ransoms--was not very close; it was the kind of thing that one might take up or leave alone, as one pleased.	Their cousinship-that of Chancellors and Ransoms-was not very close; it was the kind of thing that one might take up or leave alone, as one pleased.	false	562.43	571.69	18.45311
6128_63241_000005_000002	It was "in the female line," as Basil Ransom had written, in answering her letter with a good deal of form and flourish; he spoke as if they had been royal houses.	It was "in the female line," as Basil Ransom had written, in answering her letter with a good deal of form and flourish; he spoke as if they had been royal houses.	true	571.91	581.92	18
6128_63241_000005_000003	Her mother had wished to take it up; it was only the fear of seeming patronising to people in misfortune that had prevented her from writing to Mississippi. If it had been possible to send Mrs. Ransom money, or even clothes, she would have liked that; but she had no means of ascertaining how such an offering would be taken.	Her mother had wished to take it up; it was only the fear of seeming patronising to people in misfortune that had prevented her from writing to Mississippi. If it had been possible to send mrs Ransom money, or even clothes, she would have liked that; but she had no means of ascertaining how such an offering would be taken.	false	582.8	602.2	16.310337
6128_63241_000005_000004	By the time Basil came to the North--making advances, as it were--Mrs.	By the time Basil came to the North-making advances, as it were-mrs	true	602.75	607.68	19.10691
6128_63241_000005_000005	Chancellor had passed away; so it was for Olive, left alone in the little house in Charles Street (Adeline being in Europe), to decide.	Chancellor had passed away; so it was for Olive, left alone in the little house in Charles Street (Adeline being in Europe), to decide.	true	607.68	616.75	20.785318
6128_63241_000006_000000	She knew what her mother would have done, and that helped her decision; for her mother always chose the positive course.	She knew what her mother would have done, and that helped her decision; for her mother always chose the positive course.	true	618.35	625.27	18.72621
6128_63241_000006_000001	Olive had a fear of everything, but her greatest fear was of being afraid.	Olive had a fear of everything, but her greatest fear was of being afraid.	false	625.97	631.3	18.727886
6128_63241_000006_000002	She wished immensely to be generous, and how could one be generous unless one ran a risk?	She wished immensely to be generous, and how could one be generous unless one ran a risk?	false	631.79	637	16
6128_63241_000006_000003	She had erected it into a sort of rule of conduct that whenever she saw a risk she was to take it; and she had frequent humiliations at finding herself safe after all.	She had erected it into a sort of rule of conduct that whenever she saw a risk she was to take it; and she had frequent humiliations at finding herself safe after all.	true	637.7	648.73	17.755257
6128_63241_000006_000004	She was perfectly safe after writing to Basil Ransom; and, indeed, it was difficult to see what he could have done to her except thank her (he was only exceptionally superlative) for her letter, and assure her that he would come and see her the first time his business (he was beginning to get a little) should take him to Boston.	She was perfectly safe after writing to Basil Ransom; and, indeed, it was difficult to see what he could have done to her except thank her (he was only exceptionally superlative) for her letter, and assure her that he would come and see her the first time his business (he was beginning to get a little) should take him to Boston.	true	649.43	667.81	18.988178
6128_63241_000006_000005	He had now come, in redemption of his grateful vow, and even this did not make Miss Chancellor feel that she had courted danger.	He had now come, in redemption of his grateful vow, and even this did not make Miss Chancellor feel that she had courted danger.	false	668.54	677.32	19.23727
6128_63241_000006_000006	She saw (when once she had looked at him) that he would not put those worldly interpretations on things which, with her, it was both an impulse and a principle to defy.	She saw (when once she had looked at him) that he would not put those worldly interpretations on things which, with her, it was both an impulse and a principle to defy.	true	677.75	687.82	17
6128_63241_000006_000007	He was too simple--too Mississippian--for that; she was almost disappointed.	He was too simple-too Mississippian-for that; she was almost disappointed.	true	688.4	694.33	20.202667
6128_63241_000006_000008	She certainly had not hoped that she might have struck him as making unwomanly overtures (Miss Chancellor hated this epithet almost as much as she hated its opposite); but she had a presentiment that he would be too good-natured, primitive to that degree.	She certainly had not hoped that she might have struck him as making unwomanly overtures (Miss Chancellor hated this epithet almost as much as she hated its opposite); but she had a presentiment that he would be too good-natured, primitive to that degree.	false	694.97	711.46	18.557087
6128_63241_000006_000009	Of all things in the world, contention was most sweet to her (though why it is hard to imagine, for it always cost her tears, headaches, a day or two in bed, acute emotion), and it was very possible Basil Ransom would not care to contend.	Of all things in the world, contention was most sweet to her (though why it is hard to imagine, for it always cost her tears, headaches, a day or two in bed, acute emotion), and it was very possible Basil Ransom would not care to contend.	false	712.01	728.05	18.563433
6128_63241_000006_000010	Nothing could be more displeasing than this indifference when people didn't agree with you.	Nothing could be more displeasing than this indifference when people didn't agree with you.	true	728.9	733.9	15
6128_63241_000006_000011	That he should agree she did not in the least expect of him; how could a Mississippian agree?	That he should agree she did not in the least expect of him; how could a Mississippian agree?	false	734.36	739.57	17.381863
6128_63241_000006_000012	If she had supposed he would agree, she would not have written to him.	If she had supposed he would agree, she would not have written to him.	false	739.85	748.53	18.655466
