6938_70848_000000_000000	Chapter XII	Chapter twelve	false	1.8	17.94	25.421324
6938_70848_000004_000000	I sat one evening in a _traktir_--a kind of lower-class inn--across the street from the gates of Smolny; a low-ceilinged, loud place called "Uncle Tom's Cabin," much frequented by Red Guards.	I sat one evening in a underscore traktir underscore--a kind of lower class inn-across the street from the gates of Smolny; a low ceilinged, loud place called "Uncle Tom's Cabin," much frequented by Red Guards.	false	85.61	99.12	25.400003
6938_70848_000004_000001	They crowded it now, packed close around the little tables with their dirty table-cloths and enormous china tea-pots, filling the place with foul cigarette-smoke, while the harassed waiters ran about crying _"Seichass!	They crowded it now, packed close around the little tables with their dirty table cloths and enormous china tea pots, filling the place with foul cigarette smoke, while the harassed waiters ran about crying underscore"Seichass!	false	99.12	114.24	24.760944
6938_70848_000004_000002	Seichass!_ In a minute!	Seichass!underscore In a minute!	false	114.24	115.65	23.648619
6938_70848_000004_000003	Right away!"	Right away!"	true	115.65	116.53	21
6938_70848_000005_000000	In one corner sat a man in the uniform of a captain, addressing the assembly, which interrupted him at every few words.	In one corner sat a man in the uniform of a captain, addressing the assembly, which interrupted him at every few words.	false	117.02	125.05	23
6938_70848_000006_000000	"You are no better than murderers!" he cried.	"You are no better than murderers!" he cried.	true	125.45	128.385	20
6938_70848_000006_000001	"Shooting down your Russian brothers on the streets!"	"Shooting down your Russian brothers on the streets!"	true	128.385	131.14	16
6938_70848_000007_000000	"When did we do that?" asked a worker.	"When did we do that?" asked a worker.	false	131.45	133.995	27.588058
6938_70848_000008_000000	"Last Sunday you did it, when the _yunkers_--"	"Last Sunday you did it, when the underscore yunkers underscore--"	false	133.995	136.98	31
6938_70848_000009_000000	"Well, didn't they shoot us?" One man exhibited his arm in a sling. "Haven't I got something to remember them by, the devils?"	"Well, didn't they shoot us?" One man exhibited his arm in a sling. "Haven't I got something to remember them by, the devils?"	false	136.98	144.46	18
6938_70848_000010_000000	The captain shouted at the top of his voice.	The captain shouted at the top of his voice.	true	144.86	147.33	28
6938_70848_000010_000001	"You should remain neutral!	"You should remain neutral!	false	147.33	149.04	16
6938_70848_000010_000002	You should remain neutral!	You should remain neutral!	true	149.04	150.85	14
6938_70848_000010_000003	Who are you to destroy the legal Government?	Who are you to destroy the legal Government?	true	151.34	153.81	24
6938_70848_000010_000004	Who is Lenin?	Who is Lenin?	false	153.81	154.635	18
6938_70848_000010_000005	A German--"	A German-"	true	154.635	155.46	19.764904
6938_70848_000011_000000	"Who are you?	"Who are you?	true	155.46	156.285	22.78643
6938_70848_000011_000001	A counter-revolutionist!	A counter revolutionist!	false	156.285	157.77	19.72142
6938_70848_000011_000002	A provocator!" they bellowed at him.	A provocator!" they bellowed at him.	false	157.77	161.91	27.813404
6938_70848_000012_000000	When he could make himself heard the captain stood up.	When he could make himself heard the captain stood up.	false	161.91	165.33	29.90151
6938_70848_000012_000001	"All right!" said he.	"All right!" said he.	true	165.33	166.81	27.604782
6938_70848_000012_000002	"You call yourselves the people of Russia.	"You call yourselves the people of Russia.	true	167.12	169.35	23.82991
6938_70848_000012_000003	But you're _not_ the people of Russia.	But you're underscore not underscore the people of Russia.	false	169.35	171.51	21
6938_70848_000012_000004	The _peasants_ are the people of Russia.	The underscore peasants underscore are the people of Russia.	false	171.51	173.745	24.843033
6938_70848_000012_000005	Wait until the peasants--"	Wait until the peasants-"	true	173.745	175.09	25.783382
6938_70848_000013_000000	"Yes," they cried, "wait until the peasants speak.	"Yes," they cried, "wait until the peasants speak.	true	175.16	178.03	27.37368
6938_70848_000013_000001	We know what the peasants will say....	We know what the peasants will say....	false	178.22	180	21.155914
6938_70848_000013_000002	Aren't they workingmen like ourselves?"	Aren't they workingmen like ourselves?"	true	180	182.41	18
6938_70848_000014_000000	In the long run, everything depended upon the peasants.	In the long run, everything depended upon the peasants.	false	182.75	185.97	22
6938_70848_000014_000001	While the peasants had been politically backward, still they had their own peculiar ideas, and they constituted more than eighty per cent of the people of Russia.	While the peasants had been politically backward, still they had their own peculiar ideas, and they constituted more than eighty per cent of the people of Russia.	true	185.97	195.4	25.913305
6938_70848_000014_000002	The Bolsheviki had a comparatively small following among the peasants; and a permanent dictatorship of Russia by the industrial workers was impossible....	The Bolsheviki had a comparatively small following among the peasants; and a permanent dictatorship of Russia by the industrial workers was impossible....	false	195.83	205.21	20
6938_70848_000014_000003	The traditional peasant party was the Socialist Revolutionary party; of all the parties now supporting the Soviet Government, the Left Socialist Revolutionaries were the logical inheritors of peasant leadership--and the Left Socialist Revolutionaries, who were at the mercy of the organised city proletariat, desperately needed the backing of the peasants....	The traditional peasant party was the Socialist Revolutionary party; of all the parties now supporting the Soviet Government, the Left Socialist Revolutionaries were the logical inheritors of peasant leadership-and the Left Socialist Revolutionaries, who were at the mercy of the organised city proletariat, desperately needed the backing of the peasants....	false	205.43	227.83	23
6938_70848_000015_000000	Meanwhile Smolny had not neglected the peasants.	Meanwhile Smolny had not neglected the peasants.	false	228.2	231.285	16
6938_70848_000015_000001	After the Land decree, one of the first actions of the new _Tsay-ee-kah_ had been to call a Congress of Peasants, over the head of the Executive Committee of the Peasants' Soviets.	After the Land decree, one of the first actions of the new underscore Tsay ee kah underscore had been to call a Congress of Peasants, over the head of the Executive Committee of the Peasants' Soviets.	false	231.285	241.96	21
6938_70848_000015_000002	A few days later was issued detailed Regulations for the _Volost_ (Township) Land Committees, followed by Lenin's "Instruction to Peasants," (See App.	A few days later was issued detailed Regulations for the underscore Volost underscore (Township) Land Committees, followed by Lenin's "Instruction to Peasants," (See App.	false	242.21	252	23.755377
6938_70848_000015_000003	XII, Sect. 1) which explained the Bolshevik revolution and the new Government in simple terms; and on November 16th, Lenin and Miliutin published the "Instructions to Provincial Emissaries," of whom thousands were sent by the Soviet Government into the villages.	twelve, Sect. one) which explained the Bolshevik revolution and the new Government in simple terms; and on november sixteenth, Lenin and Miliutin published the "Instructions to Provincial Emissaries," of whom thousands were sent by the Soviet Government into the villages.	false	252	269.73	21
6938_70848_000016_000000	1.	one.	false	269.73	270.33	-20
6938_70848_000016_000001	Upon his arrival in the province to which he is accredited, the emissary should call a joint meeting of the Central Executive Committees of the Soviets of Workers', Soldiers' and Peasants' Deputies, to whom he should make a report on the agrarian laws, and then demand that a joint plenary session of the Soviets be summoned....	Upon his arrival in the province to which he is accredited, the emissary should call a joint meeting of the Central Executive Committees of the Soviets of Workers', Soldiers' and Peasants' Deputies, to whom he should make a report on the agrarian laws, and then demand that a joint plenary session of the Soviets be summoned....	false	270.33	291.93	23.644392
6938_70848_000017_000000	2.	two.	false	291.93	292.5	4
6938_70848_000017_000001	He must study the aspects of the agrarian problem in the province.	He must study the aspects of the agrarian problem in the province.	true	292.5	296.28	17
6938_70848_000018_000000	a.	a.	false	296.28	296.79	5
6938_70848_000018_000001	Has the land-owners' property been taken over, and if so, in what districts?	Has the land owners' property been taken over, and if so, in what districts?	false	296.79	302.04	23.528002
6938_70848_000019_000000	b.	b.	false	302.04	302.46	4
6938_70848_000019_000001	Who administers the confiscated land--the former proprietor, or the Land Committees?	Who administers the confiscated land-the former proprietor, or the Land Committees?	true	302.46	308.43	26.072783
6938_70848_000020_000000	c.	c.	false	308.43	308.85	3
6938_70848_000020_000001	What has been done with the agricultural machinery and with the farm-animals?	What has been done with the agricultural machinery and with the farm animals?	true	308.85	313.32	19
6938_70848_000021_000000	3.	three.	false	313.32	313.74	6
6938_70848_000021_000001	Has the ground cultivated by the peasants been augmented?	Has the ground cultivated by the peasants been augmented?	true	313.74	317.16	22
6938_70848_000022_000000	4.	four.	false	317.16	317.37	14
6938_70848_000022_000001	How much and in what respect does the amount of land now under cultivation differ from the amount fixed by the Government as an average minimum?	How much and in what respect does the amount of land now under cultivation differ from the amount fixed by the Government as an average minimum?	true	317.37	326.19	20
6938_70848_000023_000000	5.	five.	false	326.19	326.58	12
6938_70848_000023_000001	The emissary must insist that, after the peasants have received the land, it is imperative that they increase the amount of cultivated land as quickly as possible, and that they hasten the sending of grain to the cities, as the only means of avoiding famine.	The emissary must insist that, after the peasants have received the land, it is imperative that they increase the amount of cultivated land as quickly as possible, and that they hasten the sending of grain to the cities, as the only means of avoiding famine.	false	326.58	342.27	22
6938_70848_000024_000000	6.	six.	false	342.27	342.72	30.357851
6938_70848_000024_000001	What are the measures projected or put into effect for the transfer of land from the land-owners to the Land Committees and similar bodies appointed by the Soviets?	What are the measures projected or put into effect for the transfer of land from the land owners to the Land Committees and similar bodies appointed by the Soviets?	false	342.72	353.1	25.094997
6938_70848_000025_000000	7.	seven.	false	353.1	353.34	-20
6938_70848_000025_000001	It is desirable that agricultural properties well appointed and well organised should be administered by Soviets composed of the regular employees of those properties, under the direction of competent agricultural scientists.	It is desirable that agricultural properties well appointed and well organised should be administered by Soviets composed of the regular employees of those properties, under the direction of competent agricultural scientists.	true	353.34	367.57	24
6938_70848_000026_000000	All through the villages a ferment of change was going on, caused not only by the electrifying action of the Land decree, but also by thousands of revolutionary-minded peasant-soldiers returning from the front....	All through the villages a ferment of change was going on, caused not only by the electrifying action of the Land decree, but also by thousands of revolutionary minded peasant soldiers returning from the front....	false	367.76	381.03	21
6938_70848_000026_000001	These men, especially, welcomed the call to a Congress of Peasants.	These men, especially, welcomed the call to a Congress of Peasants.	false	381.03	385.63	25.309366
6938_70848_000027_000000	Like the old _Tsay-ee-kah_ in the matter of the second Congress of Workers' and Soldiers' Soviets, the Executive Committee tried to prevent the Peasant Congress summoned by Smolny.	Like the old underscore Tsay ee kah underscore in the matter of the second Congress of Workers' and Soldiers' Soviets, the Executive Committee tried to prevent the Peasant Congress summoned by Smolny.	false	385.88	396.75	23
6938_70848_000027_000001	And like the old _Tsay-ee-kah,_ finding its resistance futile, the Executive Committee sent frantic telegrams ordering the election of Conservative delegates.	And like the old underscore Tsay ee kah,underscore finding its resistance futile, the Executive Committee sent frantic telegrams ordering the election of Conservative delegates.	false	396.75	406.63	22
6938_70848_000027_000002	Word was even spread among the peasants that the Congress would meet at Moghilev, and some delegates went there; but by November 23d about four hundred had gathered in Petrograd, and the party caucuses had begun....	Word was even spread among the peasants that the Congress would meet at Moghilev, and some delegates went there; but by November twenty three d about four hundred had gathered in Petrograd, and the party caucuses had begun....	false	406.64	421.41	26.409369
6938_70848_000028_000000	The first session took place in the Alexander Hall of the Duma building, and the first vote showed that more than half of all the delegates were Left Socialist Revolutionaries, while the Bolsheviki controlled a bare fifth, the conservative Socialist Revolutionaries a quarter, and all the rest were united only in their opposition to the old Executive Committee, dominated by Avksentiev, Tchaikovsky and Peshekhonov....	The first session took place in the Alexander Hall of the Duma building, and the first vote showed that more than half of all the delegates were Left Socialist Revolutionaries, while the Bolsheviki controlled a bare fifth, the conservative Socialist Revolutionaries a quarter, and all the rest were united only in their opposition to the old Executive Committee, dominated by Avksentiev, Tchaikovsky and Peshekhonov....	false	421.41	449.28	24.092157
6938_70848_000029_000000	The great hall was jammed with people and shaken with continual clamour; deep, stubborn bitterness divided the delegates into angry groups.	The great hall was jammed with people and shaken with continual clamour; deep, stubborn bitterness divided the delegates into angry groups.	true	449.28	457.75	23
6938_70848_000029_000001	To the right was a sprinkling of officers' epaulettes, and the patriarchal, bearded faces of the older, more substantial peasants; in the centre were a few peasants, non-commissioned officers, and some soldiers; and on the left almost all the delegates wore the uniforms of common soldiers.	To the right was a sprinkling of officers' epaulettes, and the patriarchal, bearded faces of the older, more substantial peasants; in the centre were a few peasants, non-commissioned officers, and some soldiers; and on the left almost all the delegates wore the uniforms of common soldiers.	false	457.88	477.36	23
6938_70848_000029_000002	These last were the young generation, who had been serving in the army....	These last were the young generation, who had been serving in the army....	false	477.36	481.69	17.808786
6938_70848_000029_000003	The galleries were thronged with workers--who, in Russia, still remember their peasant origin....	The galleries were thronged with workers-who, in Russia, still remember their peasant origin....	true	481.85	487.6	19.861525
6938_70848_000030_000000	Unlike the old _Tsay-ee-kah,_ the Executive Committee, in opening the session, did not recognise the Congress as official; the official Congress was called for December 13th; amid a hurricane of applause and angry cries, the speaker declared that this gathering was merely "Extraordinary Conference"...	Unlike the old underscore Tsay ee kah,underscore the Executive Committee, in opening the session, did not recognise the Congress as official; the official Congress was called for december thirteenth; amid a hurricane of applause and angry cries, the speaker declared that this gathering was merely "Extraordinary Conference"...	false	487.97	507.43	23.626307
6938_70848_000030_000001	But the "Extraordinary Conference" soon showed its attitude toward the Executive Committee by electing as presiding officer Maria Spiridonova, leader of the Left Socialist Revolution aries.	But the "Extraordinary Conference" soon showed its attitude toward the Executive Committee by electing as presiding officer Maria Spiridonova, leader of the Left Socialist Revolution aries.	false	507.59	522.42	24.594599
6938_70848_000031_000000	Most of the first day was taken up by a violent debate as to whether the representatives of _Volost_ Soviets should be seated, or only delegates from the Provincial bodies; and just as in the Workers' and Soldiers' Congress, an overwhelming majority declared in favour of the widest possible representation.	Most of the first day was taken up by a violent debate as to whether the representatives of underscore Volost underscore Soviets should be seated, or only delegates from the Provincial bodies; and just as in the Workers' and Soldiers' Congress, an overwhelming majority declared in favour of the widest possible representation.	false	522.42	541.71	22
6938_70848_000031_000001	Whereupon the old Executive Committee left the hall....	Whereupon the old Executive Committee left the hall....	true	541.71	544.93	23
6938_70848_000032_000000	Almost immediately it was evident that most of the delegates were hostile to the Government of the People's Commissars.	Almost immediately it was evident that most of the delegates were hostile to the Government of the People's Commissars.	false	545.12	552.51	25
6938_70848_000032_000001	Zinoviev, attempting to speak for the Bolsheviki, was hooted down, and as he left the platform, amid laughter, there were cries, "There's how a People's Commissar sits in a mudpuddle!"	Zinoviev, attempting to speak for the Bolsheviki, was hooted down, and as he left the platform, amid laughter, there were cries, "There's how a People's Commissar sits in a mudpuddle!"	false	552.51	565.8	25.94964
6938_70848_000033_000000	"We Left Socialist Revolutionaries refuse," cried Nazariev, a delegate from the Provinces, "to recognise this so-called Workers' and Peasants' Government until the peasants are represented in it. At present it is nothing but a dictatorship of the workers....	"We Left Socialist Revolutionaries refuse," cried Nazariev, a delegate from the Provinces, "to recognise this so-called Workers' and Peasants' Government until the peasants are represented in it. At present it is nothing but a dictatorship of the workers....	false	565.8	582.21	24.001337
6938_70848_000033_000001	We insist upon the formation of a new Government which will represent the entire democracy!"	We insist upon the formation of a new Government which will represent the entire democracy!"	false	582.21	588.28	24
6938_70848_000034_000000	The reactionary delegates shrewdly fostered this feeling, declaring, in the face of protests from the Bolshevik benches, that the Council of People's Commissars intended either to control the Congress or dissolve it by force of arms--an announcement which was received by the peasants with bursts of fury....	The reactionary delegates shrewdly fostered this feeling, declaring, in the face of protests from the Bolshevik benches, that the Council of People's Commissars intended either to control the Congress or dissolve it by force of arms-an announcement which was received by the peasants with bursts of fury....	false	588.62	608.11	24.938225
6938_70848_000035_000000	On the third day Lenin suddenly mounted the tribune; for ten minutes the room went mad.	On the third day Lenin suddenly mounted the tribune; for ten minutes the room went mad.	false	608.69	614.32	26
6938_70848_000035_000001	"Down with him!" they shrieked.	"Down with him!" they shrieked.	false	614.63	616.56	27.289738
6938_70848_000035_000002	"We will not listen to any of your People's Commissars!	"We will not listen to any of your People's Commissars!	false	616.56	620.4	27.365421
6938_70848_000035_000003	We don't recognise your Government!"	We don't recognise your Government!"	true	620.4	622.81	25.067068
6938_70848_000036_000000	Lenin stood there quite calmly, gripping the desk with both hands, his little eyes thoughtfully surveying the tumult beneath.	Lenin stood there quite calmly, gripping the desk with both hands, his little eyes thoughtfully surveying the tumult beneath.	false	623.12	631.35	29.183622
6938_70848_000036_000001	Finally, except for the right side of the hall, the demonstration wore itself out somewhat.	Finally, except for the right side of the hall, the demonstration wore itself out somewhat.	true	631.35	638.11	25
6938_70848_000037_000000	"I do not come here as a member of the Council of People's Commissars," said Lenin, and waited again for the noise to subside, "but as a member of the Bolshevik faction, duly elected to this Congress." And he held his credentials up to that all might see them.	"I do not come here as a member of the Council of People's Commissars," said Lenin, and waited again for the noise to subside, "but as a member of the Bolshevik faction, duly elected to this Congress." And he held his credentials up to that all might see them.	false	638.48	656.44	23.666643
6938_70848_000038_000000	"However," he went on, in an unmoved voice, "nobody will deny that the present Government of Russia has been formed by the Bolshevik party--" he had to wait a moment, "so that for all purposes it is the same thing...." Here the right benches broke into deafening clamour, but the centre and left were curious, and compelled silence.	"However," he went on, in an unmoved voice, "nobody will deny that the present Government of Russia has been formed by the Bolshevik party-" he had to wait a moment, "so that for all purposes it is the same thing...." Here the right benches broke into deafening clamour, but the centre and left were curious, and compelled silence.	true	656.51	678.03	24.290012
6938_70848_000039_000000	Lenin's argument was simple.	Lenin's argument was simple.	true	678.03	679.875	19
6938_70848_000039_000001	"Tell me frankly, you peasants, to whom we have given the lands of the _pomieshtchiki;_ do you want now to prevent the workers from getting control of industry?	"Tell me frankly, you peasants, to whom we have given the lands of the underscore pomieshtchiki;underscore do you want now to prevent the workers from getting control of industry?	false	679.875	689.98	22
6938_70848_000039_000002	This is class war.	This is class war.	false	690.23	691.71	20.537407
6938_70848_000039_000003	The _pomieshtchiki_ of course oppose the peasants, and the manufactures oppose the workers.	The underscore pomieshtchiki underscore of course oppose the peasants, and the manufactures oppose the workers.	false	691.71	697	23
6938_70848_000039_000004	Are you going to allow the ranks of the proletariat to be divided?	Are you going to allow the ranks of the proletariat to be divided?	true	697.34	701.49	26.41441
6938_70848_000039_000005	Which side will you be on?	Which side will you be on?	false	701.49	703.65	22
6938_70848_000040_000000	"We, the Bolsheviki, are the party of the proletariat--of the peasant proletariat as well as the industrial proletariat.	"We, the Bolsheviki, are the party of the proletariat-of the peasant proletariat as well as the industrial proletariat.	false	703.65	710.91	25
6938_70848_000040_000001	We, the Bolsheviki, are the protectors of the Soviets--of the Peasants' Soviets as well as those of the Workers and Soldiers.	We, the Bolsheviki, are the protectors of the Soviets-of the Peasants' Soviets as well as those of the Workers and Soldiers.	false	710.91	718.75	25.791437
6938_70848_000040_000002	The present Government is a Government of Soviets; we have not only invited the Peasants' Soviets to join that Government, but we have also invited representatives of the Left Socialist Revolutionaries to enter the Council of People's Commissars....	The present Government is a Government of Soviets; we have not only invited the Peasants' Soviets to join that Government, but we have also invited representatives of the Left Socialist Revolutionaries to enter the Council of People's Commissars....	false	719.03	733.68	24.908747
6938_70848_000041_000000	"The Soviets are the most perfect representatives of the people--of the workers in the factories and mines, of the workers in the fields.	"The Soviets are the most perfect representatives of the people-of the workers in the factories and mines, of the workers in the fields.	false	733.68	741.67	25
6938_70848_000041_000001	Anybody who attempts to destroy the Soviets is guilty of an anti-democratic and counter-revolutionary act.	Anybody who attempts to destroy the Soviets is guilty of an anti democratic and counter revolutionary act.	true	741.8	748.03	22
6938_70848_000041_000002	And I serve notice here on you, comrades _Right_ Socialist Revolutionaries--and on you, Messrs.	And I serve notice here on you, comrades underscore Right underscore Socialist Revolutionaries-and on you, Messrs.	false	748.19	753.81	15
6938_70848_000041_000003	Cadets--that if the Constituent Assembly attempts to destroy the Soviets, we shall not permit the Constituent Assembly to do this thing!"	Cadets-that if the Constituent Assembly attempts to destroy the Soviets, we shall not permit the Constituent Assembly to do this thing!"	false	753.81	762.135	25
6938_70848_000042_000000	On the afternoon of November 25th Tchernov arrived in hot haste from Moghilev, summoned by the Executive Committee.	On the afternoon of november twenty fifth t chernov arrived in hot haste from Moghilev, summoned by the Executive Committee.	false	762.135	769.68	20
6938_70848_000042_000001	Only two months before considered an extreme revolutionist, and very popular with the peasants, he was now called to check the dangerous drift of the Congress toward the Left.	Only two months before considered an extreme revolutionist, and very popular with the peasants, he was now called to check the dangerous drift of the Congress toward the Left.	true	769.68	780.765	24.754541
6938_70848_000042_000002	Upon his arrival Tchernov was arrested and taken to Smolny, where, after a short conversation, he was released.	Upon his arrival t chernov was arrested and taken to Smolny, where, after a short conversation, he was released.	false	780.765	788.32	23.88126
6938_70848_000043_000000	His first act was to bitterly rebuke the Executive Committee for leaving the Congress.	His first act was to bitterly rebuke the Executive Committee for leaving the Congress.	true	788.48	793.53	21
6938_70848_000043_000001	They agreed to return, and Tchernov entered the hall, welcomed with great applause by the majority, and the hoots and jeers of the Bolsheviki.	They agreed to return, and t chernov entered the hall, welcomed with great applause by the majority, and the hoots and jeers of the Bolsheviki.	false	793.53	802.3	25
6938_70848_000044_000000	"Comrades!	"Comrades!	true	802.61	803.5	26.764486
6938_70848_000044_000001	I have been away.	I have been away.	false	803.6	804.9	18.35102
6938_70848_000044_000002	I participated in the Conference of the Twelfth Army on the question of calling a Congress of all the Peasant delegates of the armies of the Western Front, and I know very little about the insurrection which occurred here--"	I participated in the Conference of the Twelfth Army on the question of calling a Congress of all the Peasant delegates of the armies of the Western Front, and I know very little about the insurrection which occurred here-"	false	804.9	818.02	24
6938_70848_000045_000000	Zinoviev rose in his seat, and shouted, "Yes, you were away--for a few minutes!" Fearful tumult.	Zinoviev rose in his seat, and shouted, "Yes, you were away-for a few minutes!" Fearful tumult.	false	818.84	825.135	18
6938_70848_000045_000001	Cries, "Down with the Bolsheviki!"	Cries, "Down with the Bolsheviki!"	true	825.135	827.37	25.374826
6938_70848_000046_000000	Tchernov continued.	t chernov continued.	false	827.37	829.095	35.174393
6938_70848_000046_000001	"The accusation that I helped lead an army on Petrograd has no foundation, and is entirely false.	"The accusation that I helped lead an army on Petrograd has no foundation, and is entirely false.	false	829.095	836.53	23.618952
6938_70848_000046_000002	Where does such an accusation come from?	Where does such an accusation come from?	true	836.66	839.355	24
6938_70848_000046_000003	Show me the source!"	Show me the source!"	true	839.355	840.57	16
6938_70848_000047_000000	Zinoviev: "_Izviestia_ and _Dielo Naroda_--your own paper--that's where it comes from!"	Zinoviev: "underscore Izviestia underscore and underscore Dielo Naroda underscore--your own paper-that's where it comes from!"	false	840.57	847.47	26.65504
6938_70848_000048_000000	Tchernov's wide face, with the small eyes, waving hair and greyish beard, became red with wrath, but he controlled himself and went on. "I repeat, I know practically nothing about what has happened here, and I did not lead any army except this army, (he pointed to the peasant delegates), which I am largely responsible for bringing here!" Laughter, and shouts of "Bravo!"	Tchernov's wide face, with the small eyes, waving hair and greyish beard, became red with wrath, but he controlled himself and went on. "I repeat, I know practically nothing about what has happened here, and I did not lead any army except this army, (he pointed to the peasant delegates), which I am largely responsible for bringing here!" Laughter, and shouts of "Bravo!"	false	847.47	871.29	25.52271
6938_70848_000049_000000	"Upon my return I visited Smolny.	"Upon my return I visited Smolny.	false	871.29	874.2	24
6938_70848_000049_000001	No such accusation was made against me there....	No such accusation was made against me there....	false	874.2	876.96	14
6938_70848_000049_000002	After a brief conversation I left--and that's all! Let any one present make such an accusation!"	After a brief conversation I left-and that's all! Let any one present make such an accusation!"	true	876.96	882.97	23
6938_70848_000050_000000	An uproar followed, in which the Bolsheviki and some of the Left Socialist Revolutionaries were on their feet all at once, shaking their fists and yelling, and the rest of the assembly tried to yell them down.	An uproar followed, in which the Bolsheviki and some of the Left Socialist Revolutionaries were on their feet all at once, shaking their fists and yelling, and the rest of the assembly tried to yell them down.	false	883.16	896.41	21.78888
6938_70848_000051_000000	"This is an outrage, not a session!" cried Tchernov, and he left the hall; the meeting was adjourned because of the noise and disorder....	"This is an outrage, not a session!" cried t chernov, and he left the hall; the meeting was adjourned because of the noise and disorder....	false	896.54	904.93	22
6938_70848_000052_000000	Meanwhile, the question of the status of the Executive Committee was agitating all minds.	Meanwhile, the question of the status of the Executive Committee was agitating all minds.	true	905.15	910.54	23
6938_70848_000052_000001	By declaring the assembly "Extraordinary Conference," it had been planned to block the reelection of the Executive Committee.	By declaring the assembly "Extraordinary Conference," it had been planned to block the reelection of the Executive Committee.	true	910.76	918.13	23.865
6938_70848_000052_000002	But this worked both ways; the Left Socialist Revolutionists decided that if the Congress had no power over the Executive Committee, then the Executive Committee had no power over the Congress.	But this worked both ways; the Left Socialist Revolutionists decided that if the Congress had no power over the Executive Committee, then the Executive Committee had no power over the Congress.	true	918.38	930.13	24.59209
6938_70848_000052_000003	On November 25th the assembly resolved that the powers of the Executive Committee be assumed by the Extraordinary Conference, in which only members of the Executive who had been elected as delegates might vote....	On november twenty fifth the assembly resolved that the powers of the Executive Committee be assumed by the Extraordinary Conference, in which only members of the Executive who had been elected as delegates might vote....	false	930.26	942.885	22
6938_70848_000053_000000	The next day, in spite of the bitter opposition of the Bolsheviki, the resolution was amended to give all the members of the Executive Committee, whether elected as delegates or not, voice and vote in the assembly.	The next day, in spite of the bitter opposition of the Bolsheviki, the resolution was amended to give all the members of the Executive Committee, whether elected as delegates or not, voice and vote in the assembly.	false	942.885	955.9	24
6938_70848_000054_000000	On the 27th occurred the debate on the Land question, which revealed the differences between the agrarian programme of the Bolsheviki and the Left Socialist Revolutionaries.	On the twenty seventh occurred the debate on the Land question, which revealed the differences between the agrarian programme of the Bolsheviki and the Left Socialist Revolutionaries.	true	955.97	966.73	21
6938_70848_000055_000000	Kolchinsky, for the Left Socialist Revolutionaries, outlined the history of the Land question during the Revolution.	Kolchinsky, for the Left Socialist Revolutionaries, outlined the history of the Land question during the Revolution.	false	967.01	974.02	19
6938_70848_000055_000001	The first Congress of Peasants' Soviets, he said, had voted a precise and formal resolution in favour of putting the landed estates immediately into the hands of the Land Committees.	The first Congress of Peasants' Soviets, he said, had voted a precise and formal resolution in favour of putting the landed estates immediately into the hands of the Land Committees.	false	974.36	986.61	24.536045
6938_70848_000055_000002	But the directors of the Revolution, and the bourgeois in the Government, had insisted that the question could not be solved until the Constituent Assembly met....	But the directors of the Revolution, and the bourgeois in the Government, had insisted that the question could not be solved until the Constituent Assembly met....	false	986.61	996.19	23
6938_70848_000055_000003	The second period of the Revolution, the period of "compromise," was signalled by the entrance of Tchernov into the Cabinet.	The second period of the Revolution, the period of "compromise," was signalled by the entrance of t chernov into the Cabinet.	false	996.59	1004.29	22.73491
