3080_5040_000000_000000	I promised in my last to write again before I went out of town, and now I'll be as good as my word.	I promised in my last to write again before I went out of town, and now I'll be as good as my word.	false	27.135	34	22.14112
3080_5040_000011_000001	_Pardon, mon Cher Coeur, on m'attend.	underscore Pardon, mon Cher Coeur, on m'attend.	false	495.51	498.75	23.355478
3080_5040_000011_000002	Adieu, mon Ame.	Adieu, mon Ame.	false	498.75	500.01	30.090126
3080_5040_000011_000003	Je vous souhait tout ce que vous desire._	Je vous souhait tout c e que vous desire.underscore	false	500.01	506.04	17.596323
3080_5040_000012_000000	_Letter 63._	underscore Letter sixty three.underscore	false	506.04	508.98	20.620083
3080_5040_000013_000000	_July the 4th_ [1654].	underscore July the fourth underscore [sixteen fifty four].	false	508.98	512.29	21.361692
3080_5040_000014_000000	Because you find fault with my other letters, this is like to be shorter than they; I did not intend it so though, I can assure you.	Because you find fault with my other letters, this is like to be shorter than they; I did not intend it so though, I can assure you.	true	514.16	522.19	22.543455
3080_5040_000014_000001	But last night my brother told me he did not send his till ten o'clock this morning, and now he calls for mine at seven, before I am up; and I can only be allowed time to tell you that I am in Kent, and in a house so strangely crowded with company that I am weary as a dog already, though I have been here but three or four days; that all their mirth has not mended my humour, and that I am here the same I was in other places; that I hope, merely because you bid me, and lose that hope as often as I consider anything but yours.	But last night my brother told me he did not send his till ten o'clock this morning, and now he calls for mine at seven, before I am up; and I can only be allowed time to tell you that I am in Kent, and in a house so strangely crowded with company that I am weary as a dog already, though I have been here but three or four days; that all their mirth has not mended my humour, and that I am here the same I was in other places; that I hope, merely because you bid me, and lose that hope as often as I consider anything but yours.	false	522.8	556.92	22.938854
3080_5040_000014_000002	Would I were easy of belief! they say one is so to all that one desires.	Would I were easy of belief! they say one is so to all that one desires.	false	556.92	564.75	17.955301
3080_5040_000014_000003	I do not find it, though I am told I was so extremely when I believed you loved me.	I do not find it, though I am told I was so extremely when I believed you loved me.	true	564.75	569.83	24.941885
3080_5040_000014_000004	That I would not find, and you have only power to make me think it.	That I would not find, and you have only power to make me think it.	true	570.77	575.11	23.38406
3080_5040_000014_000005	But I am called upon.	But I am called upon.	true	575.81	577.12	25.384703
3080_5040_000014_000006	How fain I would say more; yet 'tis all but the saying with more circumstance than I am	How fain I would say more; yet 'tis all but the saying with more circumstance than I am	false	577.55	588	20.291746
3080_5040_000015_000000	Yours.	Yours.	false	588	588.975	-20
3080_5040_000016_000000	[Directed.] For your master.	[Directed.] For your master.	true	588.975	590.73	24.685549
3080_5040_000017_000000	_Letter 64._	underscore Letter sixty four.underscore	false	590.73	595.29	17.335363
3080_5040_000018_000000	I see you can chide when you please, and with authority; but I deserve it, I confess, and all I can say for myself is, that my fault proceeded from a very good principle in me.	I see you can chide when you please, and with authority; but I deserve it, I confess, and all I can say for myself is, that my fault proceeded from a very good principle in me.	false	595.29	607.6	23.244831
3080_5040_000018_000001	I am apt to speak what I think; and to you have so accustomed myself to discover all my heart that I do not believe it will ever be in my power to conceal a thought from you. Therefore I am afraid you must resolve to be vexed with all my senseless apprehensions as my brother Peyton is with some of his wife's, who is thought a very good woman, but the most troublesome one in a coach that ever was.	I am apt to speak what I think; and to you have so accustomed myself to discover all my heart that I do not believe it will ever be in my power to conceal a thought from you. Therefore I am afraid you must resolve to be vexed with all my senseless apprehensions as my brother Peyton is with some of his wife's, who is thought a very good woman, but the most troublesome one in a coach that ever was.	false	608.69	637.09	23.388971
3080_5040_000018_000002	We dare not let our tongues lie more on one side of our mouths than t'other for fear of overturning it.	We dare not let our tongues lie more on one side of our mouths than t'other for fear of overturning it.	false	638.3	644.77	21.715248
3080_5040_000018_000003	You are satisfied, I hope, ere this that I 'scaped drowning.	You are satisfied, I hope, ere this that I 'scaped drowning.	false	645.86	649.6	25.22464
3080_5040_000018_000004	However, 'tis not amiss that my will made you know now how to dispose of all my wealth whensoever I die.	However, 'tis not amiss that my will made you know now how to dispose of all my wealth whensoever I die.	true	650.3	657.22	23.191303
3080_5040_000018_000005	But I am troubled much you should make so ill a journey to so little purpose; indeed, I writ by the first post after my arrival here, and cannot imagine how you came to miss of my letters.	But I am troubled much you should make so ill a journey to so little purpose; indeed, I writ by the first post after my arrival here, and cannot imagine how you came to miss of my letters.	false	658.25	670.38	25.769684
3080_5040_000018_000006	Is your father returned yet, and do you think of coming over immediately?	Is your father returned yet, and do you think of coming over immediately?	false	670.38	675.73	20.344889
3080_5040_000018_000007	How welcome you will be. But, alas!	How welcome you will be. But, alas!	true	676.31	679.75	21.565691
3080_5040_000018_000008	I cannot talk on't at the rate that you do.	I cannot talk on't at the rate that you do.	true	679.88	682.42	29.203722
3080_5040_000018_000009	I am sensible that such an absence is misfortune enough, but I dare not promise myself that it will conclude ours; and 'tis more my belief that you yourself speak it rather to encourage me, and to your wishes than your hopes.	I am sensible that such an absence is misfortune enough, but I dare not promise myself that it will conclude ours; and 'tis more my belief that you yourself speak it rather to encourage me, and to your wishes than your hopes.	false	683.06	697.24	22.304537
3080_5040_000019_000000	My humour is so ill at present, that I dare say no more lest you chide me again.	My humour is so ill at present, that I dare say no more lest you chide me again.	true	698.78	704.16	23.6158
3080_5040_000019_000001	I find myself fit for nothing but to converse with a lady below, that is fallen out with all the world because her husband and she cannot agree.	I find myself fit for nothing but to converse with a lady below, that is fallen out with all the world because her husband and she cannot agree.	false	704.16	713.05	22.428278
3080_5040_000019_000002	'Tis the pleasantest thing that can be to hear us discourse.	'tis the pleasantest thing that can be to hear us discourse.	true	714.08	717.73	25.142685
3080_5040_000019_000003	She takes great pains to dissuade me from ever marrying, and says I am the veriest fool that ever lived if I do not take her counsel. Now we do not absolutely agree in that point, but I promise her never to marry unless I can find such a husband as I describe to her, and she believes is never to be found; so that, upon the matter, we differ very little.	She takes great pains to dissuade me from ever marrying, and says I am the veriest fool that ever lived if I do not take her counsel. Now we do not absolutely agree in that point, but I promise her never to marry unless I can find such a husband as I describe to her, and she believes is never to be found; so that, upon the matter, we differ very little.	false	718.16	741.34	22.848448
3080_5040_000019_000004	Whensoever she is accused of maintaining opinions very destructive of society, and absolutely prejudicial to all the young people of both sexes that live in the house, she calls out me to be her second, and by it has lost me the favour of all our young gallants, who have got a custom of expressing anything that is nowhere but in fiction by the name of "Mrs. O----'s husband." For my life I cannot beat into their heads a passion that must be subject to no decay, an even perfect kindness that must last perpetually, without the least intermission. They laugh to hear me say that one unkind word would destroy all the satisfaction of my life, and that I should expect our kindness should increase every day, if it were possible, but never lessen.	Whensoever she is accused of maintaining opinions very destructive of society, and absolutely prejudicial to all the young people of both sexes that live in the house, she calls out me to be her second, and by it has lost me the favour of all our young gallants, who have got a custom of expressing anything that is nowhere but in fiction by the name of "mrs O----'s husband." For my life I cannot beat into their heads a passion that must be subject to no decay, an even perfect kindness that must last perpetually, without the least intermission. They laugh to hear me say that one unkind word would destroy all the satisfaction of my life, and that I should expect our kindness should increase every day, if it were possible, but never lessen.	false	742.46	794.32	23.336992
3080_5040_000019_000005	All this is perfect nonsense in their opinion; but I should not doubt the convincing them if I could hope to be so happy as to be	All this is perfect nonsense in their opinion; but I should not doubt the convincing them if I could hope to be so happy as to be	true	795.23	803.68	23.475101
3080_5040_000020_000000	Yours.	Yours.	true	803.99	804.63	22.347597
3080_5040_000021_000000	_Letter 65._--Of William Lilly, a noted and extraordinary character of that day, the following account is taken from his own _Life and Times_, a lively book, full of amusing lies and astrological gossip, in which the author describes himself as a student of the Black Art.	underscore Letter sixty five.underscore--Of William Lilly, a noted and extraordinary character of that day, the following account is taken from his own underscore Life and Times underscore, a lively book, full of amusing lies and astrological gossip, in which the author describes himself as a student of the Black Art.	false	804.63	807.63	23.007046
3080_5040_000021_000001	He was born in 1602 at Diseworth, an obscure town in the north of Leicestershire. His family appear to have been yeomen in this town for many generations. Passing over the measles of his infancy, and other trivial details of childhood, which he describes minutely, we find him as a boy at Ashby-de-la-Zouche, where he is the pupil of one Mr. John Brinsley.	He was born in sixteen o two at Diseworth, an obscure town in the north of Leicestershire. His family appear to have been yeomen in this town for many generations. Passing over the measles of his infancy, and other trivial details of childhood, which he describes minutely, we find him as a boy at Ashby de la Zouche, where he is the pupil of one mr john Brinsley.	false	807.63	808.98	20.521067
3080_5040_000021_000002	Here he learned Latin and Greek, and began to study Hebrew.	Here he learned Latin and Greek, and began to study Hebrew.	false	808.98	809.13	-20
3080_5040_000021_000003	In the sixteenth year of his age he was greatly troubled with dreams concerning his damnation or salvation; and at the age of eighteen he returned to his father's house, and there kept a school in great penury.	In the sixteenth year of his age he was greatly troubled with dreams concerning his damnation or salvation; and at the age of eighteen he returned to his father's house, and there kept a school in great penury.	false	809.13	809.7	-20
3080_5040_000021_000004	He then appears to have come up to London, leaving his father in a debtor's prison, and proceeded in pursuit of fortune with a new suit of clothes and seven shillings and sixpence in his pocket.	He then appears to have come up to London, leaving his father in a debtor's prison, and proceeded in pursuit of fortune with a new suit of clothes and seven shillings and sixpence in his pocket.	false	809.7	810.21	-20
3080_5040_000021_000005	In London he entered the service of one Gilbert Wright, an independent citizen of small means and smaller education.	In London he entered the service of one Gilbert Wright, an independent citizen of small means and smaller education.	false	810.21	810.48	-20
3080_5040_000021_000006	To him Lilly was both man-servant and secretary.	To him Lilly was both man servant and secretary.	false	810.48	810.63	-7
3080_5040_000021_000007	The second Mrs. Wright seems to have had a taste for astrology, and consulted some of the quacks who then preyed on the silly women of the city.	The second mrs Wright seems to have had a taste for astrology, and consulted some of the quacks who then preyed on the silly women of the city.	false	810.63	811.02	2
3080_5040_000021_000008	She was very fond of young Lilly, who attended her in her last illness, and, in return for his care and attention, she bequeathed to him several "sigils" or talismanic seals.	She was very fond of young Lilly, who attended her in her last illness, and, in return for his care and attention, she bequeathed to him several "sigils" or talismanic seals.	false	811.02	811.47	-20
3080_5040_000021_000009	Probably it was the foolishness of this poor woman that first suggested to Lilly the advantages to be gained from the profession of astrology.	Probably it was the foolishness of this poor woman that first suggested to Lilly the advantages to be gained from the profession of astrology.	false	811.47	811.83	22.619005
3080_5040_000021_000010	Mr. Wright married a third wife, and soon afterwards died, leaving his widow comfortably off.	mr Wright married a third wife, and soon afterwards died, leaving his widow comfortably off.	false	811.83	812.04	11
3080_5040_000021_000011	She fell in love with Lilly, who married her in 1627, and for five years, until her death, they lived happily together.	She fell in love with Lilly, who married her in sixteen twenty seven, and for five years, until her death, they lived happily together.	false	812.04	812.94	22.41578
3080_5040_000021_000012	Lilly was now a man of means, and was enabled to study that science which he afterwards practised with so much success.	Lilly was now a man of means, and was enabled to study that science which he afterwards practised with so much success.	false	812.94	813.06	-20
3080_5040_000021_000013	There were a good many professors of the black art at this date, and Lilly studied under one Evans, a scoundrelly ex-parson from Wales, until, according to Lilly's own account, he discovered Evans to be the cheat he undoubtedly was.	There were a good many professors of the black art at this date, and Lilly studied under one Evans, a scoundrelly ex parson from Wales, until, according to Lilly's own account, he discovered Evans to be the cheat he undoubtedly was.	false	813.06	813.3	-20
3080_5040_000021_000014	Lilly, when he set up for himself, wrote many astrological works, which seem to have been very successful. He was known and visited by all the great men of the day, and probably had brains enough only to prophesy when he knew.	Lilly, when he set up for himself, wrote many astrological works, which seem to have been very successful. He was known and visited by all the great men of the day, and probably had brains enough only to prophesy when he knew.	false	813.3	813.57	-20
3080_5040_000021_000015	His description of his political creed is beautifully characteristic of the man: "I was more Cavalier than Round-head, and so taken notice of; but afterwards I engaged body and soul in the cause of the Parliament, but still with much affection to his Majesty's person and unto Monarchy, which I ever loved and approved beyond any government whatsoever." Lilly was, in a word, a self-seeking but successful knave.	His description of his political creed is beautifully characteristic of the man: "I was more Cavalier than Round head, and so taken notice of; but afterwards I engaged body and soul in the cause of the Parliament, but still with much affection to his Majesty's person and unto Monarchy, which I ever loved and approved beyond any government whatsoever." Lilly was, in a word, a self seeking but successful knave.	false	813.57	813.96	-20
3080_5040_000021_000016	People who had been robbed, women in love, men in debt, all in trouble and doubt, from the King downwards, sought his aid.	People who had been robbed, women in love, men in debt, all in trouble and doubt, from the King downwards, sought his aid.	false	813.96	814.11	-20
3080_5040_000021_000017	He pretended to be a man of science, not a man gifted with supernatural powers.	He pretended to be a man of science, not a man gifted with supernatural powers.	false	814.11	814.2	-20
3080_5040_000021_000018	Whether he succeeded in believing in astrology and deceiving himself, it is impossible to say; he was probably too clever for that, but he deceived others admirably, and was one of the noted and most successful of the old astrologers.	Whether he succeeded in believing in astrology and deceiving himself, it is impossible to say; he was probably too clever for that, but he deceived others admirably, and was one of the noted and most successful of the old astrologers.	false	814.2	814.425	13
3080_5040_000022_000000	How long this letter will be I cannot tell.	How long this letter will be I cannot tell.	true	814.425	817.63	26.286613
3080_5040_000022_000001	You shall have all the time that is allowed me, but upon condition that you shall not examine the sense on't too strictly, for you must know I want sleep extremely.	You shall have all the time that is allowed me, but upon condition that you shall not examine the sense on't too strictly, for you must know I want sleep extremely.	true	818.63	829.99	22.793638
3080_5040_000022_000002	The sun was up an hour before I went to bed to-day, and this is not the first time I have done this since I came hither.	The sun was up an hour before I went to bed to day, and this is not the first time I have done this since I came hither.	true	830.78	836.61	24.53731
3080_5040_000022_000003	'Twill not be for your advantage that I should stay here long; for, in earnest, I shall be good for nothing if I do.	'Twill not be for your advantage that I should stay here long; for, in earnest, I shall be good for nothing if I do.	false	836.61	844.45	21.56127
3080_5040_000022_000004	We go abroad all day and play all night, and say our prayers when we have time.	We go abroad all day and play all night, and say our prayers when we have time.	true	845.3	850.81	25.52321
3080_5040_000022_000005	Well, in sober earnest now, I would not live thus a twelvemonth to gain all that the King has lost, unless it were to give it him again.	Well, in sober earnest now, I would not live thus a twelvemonth to gain all that the King has lost, unless it were to give it him again.	true	851.84	860.83	22.98413
3080_5040_000022_000006	'Tis a miracle to me how my brother endures it.	'tis a miracle to me how my brother endures it.	true	861.86	864.6	25.977346
3080_5040_000022_000007	'Tis as contrary to his humour as darkness is to light, and only shows the power he lets his wife have over him.	'tis as contrary to his humour as darkness is to light, and only shows the power he lets his wife have over him.	false	864.6	872.58	20.841436
3080_5040_000022_000008	Will you be so good-natured?	Will you be so good-natured?	false	872.58	875.47	15.179506
3080_5040_000022_000009	He has certainly as great a kindness for her as can be, and, to say truth, not without reason; but all the people that ever I saw, I do not like his carriage towards her.	He has certainly as great a kindness for her as can be, and, to say truth, not without reason; but all the people that ever I saw, I do not like his carriage towards her.	true	876.56	889.21	22.146587
3080_5040_000022_000010	He is perpetually wrangling and finding fault, and to a person that did not know him would appear the worst husband and the most imperious in the world.	He is perpetually wrangling and finding fault, and to a person that did not know him would appear the worst husband and the most imperious in the world.	true	889.73	899.8	23.51801
3080_5040_000022_000011	He is so amongst his children too, though he loves them passionately.	He is so amongst his children too, though he loves them passionately.	true	900.38	904.03	21.481428
3080_5040_000022_000012	He has one son, and 'tis the finest boy that e'er you saw, and has a noble spirit, but yet stands in that awe of his father that one word from him is as much as twenty whippings.	He has one son, and 'tis the finest boy that e'er you saw, and has a noble spirit, but yet stands in that awe of his father that one word from him is as much as twenty whippings.	false	904.91	1049.97	23.279356
