3005_163389_000000_000000	Well, by and by somebody said Sherburn ought to be lynched.	Well, by and by somebody said Sherburn ought to be lynched.	false	0	8.445	13
3005_163389_000012_000003	I ain't opposed to spending money on circuses when there ain't no other way, but there ain't no use in _wasting_ it on them.	I ain't opposed to spending money on circuses when there ain't no other way, but there ain't no use in underscore wasting underscore it on them.	false	372.05	378.76	10
3005_163389_000013_000000	It was a real bully circus.	It was a real bully circus.	true	379.55	381.88	10
3005_163389_000013_000001	It was the splendidest sight that ever was when they all come riding in, two and two, a gentleman and lady, side by side, the men just in their drawers and undershirts, and no shoes nor stirrups, and resting their hands on their thighs easy and comfortablethere must a been twenty of themand every lady with a lovely complexion, and perfectly beautiful, and looking just like a gang of real sure-enough queens, and dressed in clothes that cost millions of dollars, and just littered with diamonds.	It was the splendidest sight that ever was when they all come riding in, two and two, a gentleman and lady, side by side, the men just in their drawers and undershirts, and no shoes nor stirrups, and resting their hands on their thighs easy and comfortable  there must a been twenty of them  and every lady with a lovely complexion, and perfectly beautiful, and looking just like a gang of real sure enough queens, and dressed in clothes that cost millions of dollars, and just littered with diamonds.	false	382.19	416.89	12
3005_163389_000013_000002	It was a powerful fine sight; I never see anything so lovely.	It was a powerful fine sight; I never see anything so lovely.	false	417.53	423.09	16
3005_163389_000013_000003	And then one by one they got up and stood, and went a-weaving around the ring so gentle and wavy and graceful, the men looking ever so tall and airy and straight, with their heads bobbing and skimming along, away up there under the tent-roof, and every lady's rose-leafy dress flapping soft and silky around her hips, and she looking like the most loveliest parasol.	And then one by one they got up and stood, and went a weaving around the ring so gentle and wavy and graceful, the men looking ever so tall and airy and straight, with their heads bobbing and skimming along, away up there under the tent roof, and every lady's rose leafy dress flapping soft and silky around her hips, and she looking like the most loveliest parasol.	false	423.09	448.21	12
3005_163389_000014_000000	And then faster and faster they went, all of them dancing, first one foot out in the air and then the other, the horses leaning more and more, and the ringmaster going round and round the center-pole, cracking his whip and shouting "Hi!hi!" and the clown cracking jokes behind him; and by and by all hands dropped the reins, and every lady put her knuckles on her hips and every gentleman folded his arms, and then how the horses did lean over and hump themselves!	And then faster and faster they went, all of them dancing, first one foot out in the air and then the other, the horses leaning more and more, and the ringmaster going round and round the center pole, cracking his whip and shouting "Hi!  hi!" and the clown cracking jokes behind him; and by and by all hands dropped the reins, and every lady put her knuckles on her hips and every gentleman folded his arms, and then how the horses did lean over and hump themselves!	false	448.97	482.47	15
3005_163389_000014_000001	And so one after the other they all skipped off into the ring, and made the sweetest bow I ever see, and then scampered out, and everybody clapped their hands and went just about wild.	And so one after the other they all skipped off into the ring, and made the sweetest bow I ever see, and then scampered out, and everybody clapped their hands and went just about wild.	true	482.75	494.8	12
3005_163389_000015_000000	Well, all through the circus they done the most astonishing things; and all the time that clown carried on so it most killed the people.	Well, all through the circus they done the most astonishing things; and all the time that clown carried on so it most killed the people.	true	495.83	504.7	16
3005_163389_000015_000001	The ringmaster couldn't ever say a word to him but he was back at him quick as a wink with the funniest things a body ever said; and how he ever _could_ think of so many of them, and so sudden and so pat, was what I couldn't noway understand.	The ringmaster couldn't ever say a word to him but he was back at him quick as a wink with the funniest things a body ever said; and how he ever underscore could underscore think of so many of them, and so sudden and so pat, was what I couldn't noway understand.	false	505.28	520.66	11
3005_163389_000015_000002	Why, I couldn't a thought of them in a year. And by and by a drunk man tried to get into the ringsaid he wanted to ride; said he could ride as well as anybody that ever was.	Why, I couldn't a thought of them in a year. And by and by a drunk man tried to get into the ring  said he wanted to ride; said he could ride as well as anybody that ever was.	false	521	533.2	17
3005_163389_000015_000003	They argued and tried to keep him out, but he wouldn't listen, and the whole show come to a standstill.	They argued and tried to keep him out, but he wouldn't listen, and the whole show come to a standstill.	false	533.51	541.77	18.494656
3005_163389_000015_000004	Then the people begun to holler at him and make fun of him, and that made him mad, and he begun to rip and tear; so that stirred up the people, and a lot of men begun to pile down off of the benches and swarm towards the ring, saying, "Knock him down! throw him out!" and one or two women begun to scream.	Then the people begun to holler at him and make fun of him, and that made him mad, and he begun to rip and tear; so that stirred up the people, and a lot of men begun to pile down off of the benches and swarm towards the ring, saying, "Knock him down! throw him out!" and one or two women begun to scream.	false	541.77	563.44	15
3005_163389_000015_000005	So, then, the ringmaster he made a little speech, and said he hoped there wouldn't be no disturbance, and if the man would promise he wouldn't make no more trouble he would let him ride if he thought he could stay on the horse. So everybody laughed and said all right, and the man got on.	So, then, the ringmaster he made a little speech, and said he hoped there wouldn't be no disturbance, and if the man would promise he wouldn't make no more trouble he would let him ride if he thought he could stay on the horse. So everybody laughed and said all right, and the man got on.	false	563.84	581.35	14
3005_163389_000015_000006	The minute he was on, the horse begun to rip and tear and jump and cavort around, with two circus men hanging on to his bridle trying to hold him, and the drunk man hanging on to his neck, and his heels flying in the air every jump, and the whole crowd of people standing up shouting and laughing till tears rolled down.	The minute he was on, the horse begun to rip and tear and jump and cavort around, with two circus men hanging on to his bridle trying to hold him, and the drunk man hanging on to his neck, and his heels flying in the air every jump, and the whole crowd of people standing up shouting and laughing till tears rolled down.	false	582.08	602.89	16
3005_163389_000015_000007	And at last, sure enough, all the circus men could do, the horse broke loose, and away he went like the very nation, round and round the ring, with that sot laying down on him and hanging to his neck, with first one leg hanging most to the ground on one side, and then t'other one on t'other side, and the people just crazy.	And at last, sure enough, all the circus men could do, the horse broke loose, and away he went like the very nation, round and round the ring, with that sot laying down on him and hanging to his neck, with first one leg hanging most to the ground on one side, and then t'other one on t'other side, and the people just crazy.	false	603.26	625.63	14
3005_163389_000015_000008	It warn't funny to me, though; I was all of a tremble to see his danger. But pretty soon he struggled up astraddle and grabbed the bridle, a-reeling this way and that; and the next minute he sprung up and dropped the bridle and stood! and the horse a-going like a house afire too.	It warn't funny to me, though; I was all of a tremble to see his danger. But pretty soon he struggled up astraddle and grabbed the bridle, a reeling this way and that; and the next minute he sprung up and dropped the bridle and stood! and the horse a going like a house afire too.	true	626.36	643.84	17
3005_163389_000015_000009	He just stood up there, a-sailing around as easy and comfortable as if he warn't ever drunk in his lifeand then he begun to pull off his clothes and sling them.	He just stood up there, a sailing around as easy and comfortable as if he warn't ever drunk in his life  and then he begun to pull off his clothes and sling them.	false	644.27	653.8	13
3005_163389_000015_000010	He shed them so thick they kind of clogged up the air, and altogether he shed seventeen suits.	He shed them so thick they kind of clogged up the air, and altogether he shed seventeen suits.	true	654.38	660.73	12
3005_163389_000015_000011	And, then, there he was, slim and handsome, and dressed the gaudiest and prettiest you ever saw, and he lit into that horse with his whip and made him fairly humand finally skipped off, and made his bow and danced off to the dressing-room, and everybody just a-howling with pleasure and astonishment.	And, then, there he was, slim and handsome, and dressed the gaudiest and prettiest you ever saw, and he lit into that horse with his whip and made him fairly hum  and finally skipped off, and made his bow and danced off to the dressing room, and everybody just a howling with pleasure and astonishment.	true	661.34	681.82	17
3005_163389_000016_000000	Then the ringmaster he see how he had been fooled, and he _was_ the sickest ringmaster you ever see, I reckon.	Then the ringmaster he see how he had been fooled, and he underscore was underscore the sickest ringmaster you ever see, I reckon.	false	682.1	689.65	12
3005_163389_000016_000001	Why, it was one of his own men!	Why, it was one of his own men!	true	690.08	692.77	11
3005_163389_000016_000002	He had got up that joke all out of his own head, and never let on to nobody.	He had got up that joke all out of his own head, and never let on to nobody.	true	693.08	697.99	14
3005_163389_000016_000003	Well, I felt sheepish enough to be took in so, but I wouldn't a been in that ringmaster's place, not for a thousand dollars.	Well, I felt sheepish enough to be took in so, but I wouldn't a been in that ringmaster's place, not for a thousand dollars.	false	698.3	707.62	13
3005_163389_000016_000004	I don't know; there may be bullier circuses than what that one was, but I never struck them yet.	I don't know; there may be bullier circuses than what that one was, but I never struck them yet.	true	708.02	714.91	18
3005_163389_000016_000005	Anyways, it was plenty good enough for _me_; and wherever I run across it, it can have all of _my_ custom every time.	Anyways, it was plenty good enough for underscore me underscore; and wherever I run across it, it can have all of underscore my underscore custom every time.	false	715.13	724.24	15
3005_163389_000017_000000	Well, that night we had _our_ show; but there warn't only about twelve people therejust enough to pay expenses.	Well, that night we had underscore our underscore show; but there warn't only about twelve people there  just enough to pay expenses.	false	725.09	732.97	15
3005_163389_000017_000001	And they laughed all the time, and that made the duke mad; and everybody left, anyway, before the show was over, but one boy which was asleep.	And they laughed all the time, and that made the duke mad; and everybody left, anyway, before the show was over, but one boy which was asleep.	true	733.46	743.65	14.709258
3005_163389_000017_000002	So the duke said these Arkansaw lunkheads couldn't come up to Shakespeare; what they wanted was low comedyand maybe something ruther worse than low comedy, he reckoned.	So the duke said these Arkansaw lunkheads couldn't come up to Shakespeare; what they wanted was low comedy  and maybe something ruther worse than low comedy, he reckoned.	true	743.9	754.48	17
3005_163389_000017_000003	He said he could size their style.	He said he could size their style.	true	755.24	757.42	13
3005_163389_000017_000004	So next morning he got some big sheets of wrapping paper and some black paint, and drawed off some handbills, and stuck them up all over the village.	So next morning he got some big sheets of wrapping paper and some black paint, and drawed off some handbills, and stuck them up all over the village.	true	757.7	767.8	16
3005_163389_000017_000005	The bills said:	The bills said:	true	767.99	769.23	14
3005_163389_000018_000000	CHAPTER XXIII.	CHAPTER twenty three.	false	769.23	769.44	-20
3005_163389_000019_000000	WELL, all day him and the king was hard at it, rigging up a stage and a curtain and a row of candles for footlights; and that night the house was jam full of men in no time.	WELL, all day him and the king was hard at it, rigging up a stage and a curtain and a row of candles for footlights; and that night the house was jam full of men in no time.	false	769.44	773.34	19.823547
3005_163389_000019_000001	When the place couldn't hold no more, the duke he quit tending door and went around the back way and come on to the stage and stood up before the curtain and made a little speech, and praised up this tragedy, and said it was the most thrillingest one that ever was; and so he went on a-bragging about the tragedy, and about Edmund Kean the Elder, which was to play the main principal part in it; and at last when he'd got everybody's expectations up high enough, he rolled up the curtain, and the next minute the king come a-prancing out on all fours, naked; and he was painted all over, ring-streaked-and-striped, all sorts of colors, as splendid as a rainbow.	When the place couldn't hold no more, the duke he quit tending door and went around the back way and come on to the stage and stood up before the curtain and made a little speech, and praised up this tragedy, and said it was the most thrillingest one that ever was; and so he went on a bragging about the tragedy, and about Edmund Kean the Elder, which was to play the main principal part in it; and at last when he'd got everybody's expectations up high enough, he rolled up the curtain, and the next minute the king come a prancing out on all fours, naked; and he was painted all over, ring streaked and striped, all sorts of colors, as splendid as a rainbow.	false	773.34	798.33	18
3005_163389_000019_000002	Andbut never mind the rest of his outfit; it was just wild, but it was awful funny.	And  but never mind the rest of his outfit; it was just wild, but it was awful funny.	false	798.33	804.78	17
3005_163389_000019_000003	The people most killed themselves laughing; and when the king got done capering and capered off behind the scenes, they roared and clapped and stormed and haw-hawed till he come back and done it over again, and after that they made him do it another time.	The people most killed themselves laughing; and when the king got done capering and capered off behind the scenes, they roared and clapped and stormed and haw hawed till he come back and done it over again, and after that they made him do it another time.	false	804.78	815.73	16.356403
3005_163389_000019_000004	Well, it would make a cow laugh to see the shines that old idiot cut.	Well, it would make a cow laugh to see the shines that old idiot cut.	false	815.73	817.05	5
