3005_163389_000001_000000	CHAPTER XXII.	CHAPTER twenty two.
3005_163389_000014_000001	And so one after the other they all skipped off into the ring, and made the sweetest bow I ever see, and then scampered out, and everybody clapped their hands and went just about wild.	And so one after the other they all skipped off into the ring, and made the sweetest bow I ever see, and then scampered out, and everybody clapped their hands and went just about wild.
3005_163389_000015_000000	Well, all through the circus they done the most astonishing things; and all the time that clown carried on so it most killed the people.	Well, all through the circus they done the most astonishing things; and all the time that clown carried on so it most killed the people.
3005_163389_000015_000008	It warn't funny to me, though; I was all of a tremble to see his danger. But pretty soon he struggled up astraddle and grabbed the bridle, a-reeling this way and that; and the next minute he sprung up and dropped the bridle and stood! and the horse a-going like a house afire too.	It warn't funny to me, though; I was all of a tremble to see his danger. But pretty soon he struggled up astraddle and grabbed the bridle, a reeling this way and that; and the next minute he sprung up and dropped the bridle and stood! and the horse a going like a house afire too.
3005_163389_000015_000010	He shed them so thick they kind of clogged up the air, and altogether he shed seventeen suits.	He shed them so thick they kind of clogged up the air, and altogether he shed seventeen suits.
3005_163389_000015_000011	And, then, there he was, slim and handsome, and dressed the gaudiest and prettiest you ever saw, and he lit into that horse with his whip and made him fairly humand finally skipped off, and made his bow and danced off to the dressing-room, and everybody just a-howling with pleasure and astonishment.	And, then, there he was, slim and handsome, and dressed the gaudiest and prettiest you ever saw, and he lit into that horse with his whip and made him fairly hum  and finally skipped off, and made his bow and danced off to the dressing room, and everybody just a howling with pleasure and astonishment.
3005_163389_000016_000001	Why, it was one of his own men!	Why, it was one of his own men!
3005_163389_000016_000002	He had got up that joke all out of his own head, and never let on to nobody.	He had got up that joke all out of his own head, and never let on to nobody.
3005_163389_000016_000004	I don't know; there may be bullier circuses than what that one was, but I never struck them yet.	I don't know; there may be bullier circuses than what that one was, but I never struck them yet.
3005_163389_000017_000001	And they laughed all the time, and that made the duke mad; and everybody left, anyway, before the show was over, but one boy which was asleep.	And they laughed all the time, and that made the duke mad; and everybody left, anyway, before the show was over, but one boy which was asleep.
3005_163389_000017_000002	So the duke said these Arkansaw lunkheads couldn't come up to Shakespeare; what they wanted was low comedyand maybe something ruther worse than low comedy, he reckoned.	So the duke said these Arkansaw lunkheads couldn't come up to Shakespeare; what they wanted was low comedy  and maybe something ruther worse than low comedy, he reckoned.
3005_163389_000017_000003	He said he could size their style.	He said he could size their style.
3005_163389_000017_000004	So next morning he got some big sheets of wrapping paper and some black paint, and drawed off some handbills, and stuck them up all over the village.	So next morning he got some big sheets of wrapping paper and some black paint, and drawed off some handbills, and stuck them up all over the village.
3005_163389_000017_000005	The bills said:	The bills said:
