2609_157645_000000_000000	For thy sake, TOBACCO, I Would do anything but die.	For thy sake, TOBACCO, I Would do anything but die.	false	10.02	29.77	21.718786
2609_157645_000024_000001	The parish registers of that village bear witness to repeated disputes between the parson and bell-ringers and the parishioners generally in 1748-1754.	The parish registers of that village bear witness to repeated disputes between the parson and bell ringers and the parishioners generally in seventeen forty eight to seventeen fifty four.	false	767.36	779.7	13
2609_157645_000024_000002	In 1752 it was noted that a sermon had been preached after a funeral "to a noisy congregation." On another occasion, says the register, "the ringers and other inhabitants disturbed the service from the beginning of prayers to the end of the sermon, by ringing the bells, and going into the gallery to spit below"; while at yet another time "a fellow came into church with a pot of beer and a pipe," and remained "smoking in his own pew until the end of the sermon." Going to church at Hayes in those days must have been quite an exciting experience.	In seventeen fifty two it was noted that a sermon had been preached after a funeral "to a noisy congregation." On another occasion, says the register, "the ringers and other inhabitants disturbed the service from the beginning of prayers to the end of the sermon, by ringing the bells, and going into the gallery to spit below"; while at yet another time "a fellow came into church with a pot of beer and a pipe," and remained "smoking in his own pew until the end of the sermon." Going to church at Hayes in those days must have been quite an exciting experience.	false	779.7	817.84	18
2609_157645_000024_000003	No one knew what might happen next.	No one knew what might happen next.	true	818.06	820.08	12
2609_157645_000025_000000	In remote English and Welsh parishes men seem occasionally to have smoked in churches without any intention of being irreverent, and without any consciousness that they were doing anything unusual.	In remote English and Welsh parishes men seem occasionally to have smoked in churches without any intention of being irreverent, and without any consciousness that they were doing anything unusual.	false	820.08	835.12	18.849825
2609_157645_000025_000001	Canon Atkinson, in his delightful book "Forty Years in a Moorland Parish," tells how, when he first went to Danby in Cleveland--then very remote from the great world--and had to take his first funeral, he found inside the church the parish clerk, who was also parish schoolmaster by the way, sitting in the sunny embrasure of the west window with his hat on and comfortably smoking his pipe.	Canon Atkinson, in his delightful book "Forty Years in a Moorland Parish," tells how, when he first went to Danby in Cleveland-then very remote from the great world-and had to take his first funeral, he found inside the church the parish clerk, who was also parish schoolmaster by the way, sitting in the sunny embrasure of the west window with his hat on and comfortably smoking his pipe.	false	835.58	865.6	20.178747
2609_157645_000025_000002	A correspondent of the _Times_ in 1895 mentioned that his mother had told him how she remembered seeing smoking in a Welsh church about 1850--"The Communion table stood in the aisle, and the farmers were in the habit of putting their hats upon it, and when the sermon began they lit their pipes and smoked, but without any idea of irreverence." In an Essex church about 1861, a visitor had pointed out to him various nooks in the gallery where short pipes were stowed away, which he was informed the old men smoked during service; and several of the pews in the body of the church contained triangular wooden spittoons filled with sawdust.	A correspondent of the underscore Times underscore in eighteen ninety five mentioned that his mother had told him how she remembered seeing smoking in a Welsh church about eighteen fifty--"The Communion table stood in the aisle, and the farmers were in the habit of putting their hats upon it, and when the sermon began they lit their pipes and smoked, but without any idea of irreverence." In an Essex church about eighteen sixty one, a visitor had pointed out to him various nooks in the gallery where short pipes were stowed away, which he was informed the old men smoked during service; and several of the pews in the body of the church contained triangular wooden spittoons filled with sawdust.	false	865.91	913.33	19
2609_157645_000026_000000	A clergyman has put it on record that when he went in 1873 as curate-in-charge to an out-of-the-way Norfolk village, at his first early celebration he arrived in church about 7.45 A.M., and, he says, "to my amazement saw five old men sitting round the stove in the nave with their hats on, smoking their pipes.	A clergyman has put it on record that when he went in eighteen seventy three as curate in charge to an out of the way Norfolk village, at his first early celebration he arrived in church about seven forty five a m, and, he says, "to my amazement saw five old men sitting round the stove in the nave with their hats on, smoking their pipes.	false	913.91	938.29	18
2609_157645_000026_000001	I expostulated with them quite quietly, but they left the church before service and never came again.	I expostulated with them quite quietly, but they left the church before service and never came again.	false	938.48	945.93	20.708488
2609_157645_000026_000002	I discovered afterwards that they had been regular communicants, and that my predecessor always distributed the offertory to the poor present immediately after the service.	I discovered afterwards that they had been regular communicants, and that my predecessor always distributed the offertory to the poor present immediately after the service.	false	945.93	958.48	20.425879
2609_157645_000026_000003	When these men, in the course of my remonstrance found that I was not going to continue the custom, they no longer cared to be communicants."	When these men, in the course of my remonstrance found that I was not going to continue the custom, they no longer cared to be communicants."	false	958.97	968.02	15
2609_157645_000027_000000	Nowadays, if smoking takes place in church at all, it can only be done with intentional irreverence; and it is painful to think that even at the present day there are people in whom a feeling of reverence and decency is so far lacking as to lead them to desecrate places of worship.	Nowadays, if smoking takes place in church at all, it can only be done with intentional irreverence; and it is painful to think that even at the present day there are people in whom a feeling of reverence and decency is so far lacking as to lead them to desecrate places of worship.	false	968.96	988.39	19
2609_157645_000027_000001	The Vicar of Lancaster, at his Easter vestry meeting in 1913, complained of bank-holiday visitors to the parish church who ate their lunch, smoked, and wore their hats while looking round the building. It is absurd to suppose that these people were unconscious of the impropriety of their conduct.	The Vicar of Lancaster, at his Easter vestry meeting in nineteen thirteen, complained of bank holiday visitors to the parish church who ate their lunch, smoked, and wore their hats while looking round the building. It is absurd to suppose that these people were unconscious of the impropriety of their conduct.	false	988.49	1017.54	18.737907
