3538_163622_000004_000000	THE SEVEN FOALS	THE SEVEN FOALS
3538_163622_000034_000000	The two brothers laughed at him, and his father and mother begged him not to go, but all to no purpose, and Cinderlad set out on his way.	The two brothers laughed at him, and his father and mother begged him not to go, but all to no purpose, and Cinderlad set out on his way.
3538_163622_000034_000001	So when he had walked the whole day, he too came to the King's palace as darkness began to fall.	So when he had walked the whole day, he too came to the King's palace as darkness began to fall.
3538_163622_000035_000000	There stood the King outside on the steps, and he asked whither he was bound.	There stood the King outside on the steps, and he asked whither he was bound.
3538_163622_000036_000000	'I am walking about in search of a place,' said Cinderlad.	'I am walking about in search of a place,' said Cinderlad.
3538_163622_000038_000000	So Cinderlad told him whence he came, and that he was brother to the two who had watched the seven foals for the King, and then he inquired if he might be allowed to try to watch them on the following day.	So Cinderlad told him whence he came, and that he was brother to the two who had watched the seven foals for the King, and then he inquired if he might be allowed to try to watch them on the following day.
3538_163622_000043_000001	When he had run thus for a long time, he too came to the cleft in the rock.	When he had run thus for a long time, he too came to the cleft in the rock.
3538_163622_000043_000002	There the old hag was once more sitting spinning from her distaff, and she cried to Cinderlad;	There the old hag was once more sitting spinning from her distaff, and she cried to Cinderlad;
3538_163622_000048_000000	And thus they journeyed onwards a long, long way.	And thus they journeyed onwards a long, long way.
3538_163622_000050_000000	'No,' said Cinderlad.	'No,' said Cinderlad.
3538_163622_000051_000000	So they journeyed onwards a good bit farther.	So they journeyed onwards a good bit farther.
3538_163622_000053_000000	'Oh, no,' said the lad.	'Oh, no,' said the lad.
3538_163622_000055_000000	'Dost thou see anything now?'	'Dost thou see anything now?'
3538_163622_000057_000000	'Yes, that is where we are to go in,' said the Foal.	'Yes, that is where we are to go in,' said the Foal.
3538_163622_000059_000000	'Canst thou wield that sword?' asked the Foal.	'Canst thou wield that sword?' asked the Foal.
3538_163622_000060_000000	Cinderlad tried, but could not do it; so he had to take a draught from the pitcher, and then one more, and after that still another, and then he was able to wield the sword with perfect ease.	Cinderlad tried, but could not do it; so he had to take a draught from the pitcher, and then one more, and after that still another, and then he was able to wield the sword with perfect ease.
3538_163622_000062_000000	Cinderlad promised to do this, and then they went on farther.	Cinderlad promised to do this, and then they went on farther.
3538_163622_000063_000000	When they had travelled a long, long way, the Foal said:	When they had travelled a long, long way, the Foal said:
3538_163622_000064_000000	'Dost thou see anything?'	'Dost thou see anything?'
3538_163622_000065_000000	'No,' said Cinderlad.	'No,' said Cinderlad.
3538_163622_000066_000000	So they went on a great distance farther.	So they went on a great distance farther.
3538_163622_000067_000000	'And now?' inquired the Foal, 'seest thou nothing now?'	'And now?' inquired the Foal, 'seest thou nothing now?'
3538_163622_000068_000000	'Alas! no,' said Cinderlad.	'Alas! no,' said Cinderlad.
3538_163622_000069_000000	So they travelled onwards again, for many and many a mile, over hill and dale.	So they travelled onwards again, for many and many a mile, over hill and dale.
3538_163622_000070_000000	'Now, then,' said the Foal, 'dost thou not see anything now?'	'Now, then,' said the Foal, 'dost thou not see anything now?'
3538_163622_000072_000000	'That is a river,' said the Foal, 'and we have to cross it.'	'That is a river,' said the Foal, 'and we have to cross it.'
3538_163622_000075_000000	When the Foals got into the churchyard they turned into men and looked like the sons of a king, and their clothes were so magnificent that they shone with splendour, and they went into the church and received bread and wine from the priest, who was standing before the altar, and Cinderlad went in too.	When the Foals got into the churchyard they turned into men and looked like the sons of a king, and their clothes were so magnificent that they shone with splendour, and they went into the church and received bread and wine from the priest, who was standing before the altar, and Cinderlad went in too.
3538_163622_000077_000000	It was all but dark when they got back to the King at nightfall, and he himself was standing in the courtyard waiting for them.	It was all but dark when they got back to the King at nightfall, and he himself was standing in the courtyard waiting for them.
3538_163622_000078_000000	'Hast thou watched well and faithfully the whole day?' said the King to Cinderlad.	'Hast thou watched well and faithfully the whole day?' said the King to Cinderlad.
3538_163622_000079_000000	'I have done my best,' replied Cinderlad.	'I have done my best,' replied Cinderlad.
3538_163622_000082_000000	'Yes, diligently and faithfully hast thou watched,' said the King, 'and thou shalt have the Princess and half the kingdom.'	'Yes, diligently and faithfully hast thou watched,' said the King, 'and thou shalt have the Princess and half the kingdom.'
3538_163622_000083_000000	So all was made ready for the wedding, and the King said that it was to be so stately and magnificent that everyone should hear of it, and everyone inquire about it.	So all was made ready for the wedding, and the King said that it was to be so stately and magnificent that everyone should hear of it, and everyone inquire about it.
