6432_63723_000001_000000	THE ODD COIN	THE ODD COIN
6432_63723_000034_000000	"Why did she take him?"	"Why did she take him?"
6432_63723_000035_000000	To this was the answer--whispered:	To this was the answer-whispered:
6432_63723_000036_000000	"Money!"	"Money!"
6432_63723_000037_000000	And, in a way, it was true.	And, in a way, it was true.
6432_63723_000037_000002	She also saw an opportunity of paying old debts and reaping some revenges.	She also saw an opportunity of paying old debts and reaping some revenges.
6432_63723_000038_000001	After the marriage, which was a brilliant and gay one, if not happy, the Larch hotel--it could hardly be called a home--became the scene of many festive occasions.	After the marriage, which was a brilliant and gay one, if not happy, the Larch hotel-it could hardly be called a home-became the scene of many festive occasions.
6432_63723_000039_000000	Langford Larch could not himself be called a drinking man. Occasionally, as almost perforce he had to, he drank a little wine. But he was never noticeably drunk.	Langford Larch could not himself be called a drinking man. Occasionally, as almost perforce he had to, he drank a little wine. But he was never noticeably drunk.
6432_63723_000039_000001	Nor was that side of his business ever accentuated.	Nor was that side of his business ever accentuated.
6432_63723_000040_000000	Gradually there had come about little whispers that Cynthia Larch had made a mistake in her marriage.	Gradually there had come about little whispers that Cynthia Larch had made a mistake in her marriage.
6432_63723_000040_000001	There was little that was tangible--mere gossip--a hint that she would have been happier with some one else, though he had not so much money as had Larch.	There was little that was tangible-mere gossip-a hint that she would have been happier with some one else, though he had not so much money as had Larch.
6432_63723_000041_000000	The rumors floated about a bit, seemed to sink, and then started off at full steam just before the news of the separation became public.	The rumors floated about a bit, seemed to sink, and then started off at full steam just before the news of the separation became public.
6432_63723_000042_000000	But, for a time, the entertainments were kept up, and Cynthia, lovelier than ever, presided at her husband's table, graced it with her presence, and laughed and smiled at the men and women who came to partake of their lavish hospitality.	But, for a time, the entertainments were kept up, and Cynthia, lovelier than ever, presided at her husband's table, graced it with her presence, and laughed and smiled at the men and women who came to partake of their lavish hospitality.
6432_63723_000044_000001	And that behind the laughter in her eyes was the shadow of a skeleton at the feast.	And that behind the laughter in her eyes was the shadow of a skeleton at the feast.
6432_63723_000044_000003	Mrs. Larch, resuming, her maiden name, it was announced, had gone to a quiet place to rest.	mrs Larch, resuming, her maiden name, it was announced, had gone to a quiet place to rest.
6432_63723_000045_000002	It was all due to a misunderstanding, he said.	It was all due to a misunderstanding, he said.
6432_63723_000046_000001	For the papers of her testimony had been sealed, and it was only by a sharp trick on the part of Daley that he got access to them.	For the papers of her testimony had been sealed, and it was only by a sharp trick on the part of Daley that he got access to them.
6432_63723_000046_000002	Incidentally the vice chancelor was furious when it became known that the documents had been inspected by a reporter, but then it was too late.	Incidentally the vice chancelor was furious when it became known that the documents had been inspected by a reporter, but then it was too late.
6432_63723_000049_000002	And it was whispered about:	And it was whispered about:
6432_63723_000050_000000	"Larch is lushing!"	"Larch is lushing!"
6432_63723_000051_000000	Meanwhile Colonel Ashley was a very busy man, and to no one did he tell very much about his activities.	Meanwhile Colonel Ashley was a very busy man, and to no one did he tell very much about his activities.
6432_63723_000051_000001	He saw Darcy frequently at the jail, and to that young man's pleadings that something be done, always returned the answer:	He saw Darcy frequently at the jail, and to that young man's pleadings that something be done, always returned the answer:
6432_63723_000052_000000	"Don't worry!	"Don't worry!
6432_63723_000052_000001	It will come out all right!"	It will come out all right!"
6432_63723_000053_000000	"But Amy--and the disgrace?"	"But Amy-and the disgrace?"
6432_63723_000054_000000	"She doesn't consider herself disgraced, and you shouldn't.	"She doesn't consider herself disgraced, and you shouldn't.
6432_63723_000054_000001	The best of police headquarters or prosecutor's detectives make mistakes.	The best of police headquarters or prosecutor's detectives make mistakes.
6432_63723_000054_000002	I'm going to rectify them.	I'm going to rectify them.
6432_63723_000054_000003	But it will take time."	But it will take time."
6432_63723_000055_000000	"Do you know who killed my cousin?"	"Do you know who killed my cousin?"
6432_63723_000056_000000	"I think I do."	"I think I do."
6432_63723_000057_000000	"Then for the love of--"	"Then for the love of-"
6432_63723_000058_000000	"I can't tell you yet, Darcy.	"I can't tell you yet, Darcy.
6432_63723_000058_000001	All in good time.	All in good time.
6432_63723_000059_000000	"You've got a friend in her of whom you may be proud.	"You've got a friend in her of whom you may be proud.
6432_63723_000059_000001	And her father, too--he's with you from the drop of the flag, he told me.	And her father, too-he's with you from the drop of the flag, he told me.
6432_63723_000059_000002	Quite a racing man he is, a gentleman and a fine judge not only of whisky, which is good in its place, but of horses and men, too.	Quite a racing man he is, a gentleman and a fine judge not only of whisky, which is good in its place, but of horses and men, too.
6432_63723_000059_000003	Darcy, you've got good friends!"	Darcy, you've got good friends!"
6432_63723_000061_000000	"Thanks.	"Thanks.
6432_63723_000061_000002	All in good time.	All in good time.
6432_63723_000061_000003	I'm working several ends, and they all must be fitted together, like the old jigsaw puzzle, before I can act.	I'm working several ends, and they all must be fitted together, like the old jigsaw puzzle, before I can act.
6432_63723_000061_000004	Besides, anything I could say now wouldn't set you free.	Besides, anything I could say now wouldn't set you free.
6432_63723_000061_000005	You can't get out before a trial or before I can produce some one on whom I can actually fasten the murder.	You can't get out before a trial or before I can produce some one on whom I can actually fasten the murder.
6432_63723_000061_000006	And I can't do that yet.	And I can't do that yet.
6432_63723_000061_000007	You aren't the only suspect, though.	You aren't the only suspect, though.
6432_63723_000061_000008	There's Harry King, still locked up--"	There's Harry King, still locked up-"
6432_63723_000063_000000	"He isn't?" cried the old detective, and there was surprise in his voice.	"He isn't?" cried the old detective, and there was surprise in his voice.
6432_63723_000064_000000	"No.	"no
6432_63723_000064_000001	He was bailed out to-day.	He was bailed out to day.
6432_63723_000064_000002	I thought you knew it."	I thought you knew it."
6432_63723_000065_000000	"I didn't.	"I didn't.
6432_63723_000065_000001	I'm glad you told me, though.	I'm glad you told me, though.
6432_63723_000065_000002	So King got bail!	So King got bail!
6432_63723_000065_000003	Who put it up?	Who put it up?
6432_63723_000066_000000	"Larch!"	"Larch!"
6432_63723_000067_000000	"The hotel keeper?"	"The hotel keeper?"
6432_63723_000068_000000	"So I understand.	"So I understand.
6432_63723_000068_000001	They took Harry away a while ago.	They took Harry away a while ago.
6432_63723_000068_000002	I wish I had been in his shoes."	I wish I had been in his shoes."
6432_63723_000069_000000	"I'm glad you're not.	"I'm glad you're not.
6432_63723_000069_000001	I don't imagine, for a moment, that fool King had a hand in this affair.	I don't imagine, for a moment, that fool King had a hand in this affair.
6432_63723_000069_000003	But his are pretty uncertain shoes to be in just the same.	But his are pretty uncertain shoes to be in just the same.
6432_63723_000069_000004	Now cheer up!	Now cheer up!
6432_63723_000069_000006	So cheer up, and I'll do the best I can for you.	So cheer up, and I'll do the best I can for you.
6432_63723_000070_000000	"Only that I--" Darcy hesitated and grew red.	"Only that I-" Darcy hesitated and grew red.
6432_63723_000071_000000	"I guess I understand," said the colonel with a laugh.	"I guess I understand," said the colonel with a laugh.
6432_63723_000071_000001	"I'll tell her!"	"I'll tell her!"
6432_63723_000072_000001	A number of "men about town," as they liked to be called, were in, and Colonel Ashley was sipping his julep when there entered Mr. Kettridge, the relative of Mrs. Darcy, whose jewelry shop he was managing pending a settlement of her estate.	A number of "men about town," as they liked to be called, were in, and Colonel Ashley was sipping his julep when there entered mr Kettridge, the relative of mrs Darcy, whose jewelry shop he was managing pending a settlement of her estate.
6432_63723_000073_000000	"Good evening, Colonel," he called genially.	"Good evening, Colonel," he called genially.
6432_63723_000073_000001	"Will you join me in a Welsh rabbit?"	"Will you join me in a Welsh rabbit?"
6432_63723_000074_000000	"Thank you, no. I'm afraid my digestion isn't quite up to that, as I've had to cut out my fishing of late.	"Thank you, no I'm afraid my digestion isn't quite up to that, as I've had to cut out my fishing of late.
6432_63723_000075_000001	They had become friends since the colonel's first visit to the store, and the friendship had grown as they found they had congenial tastes.	They had become friends since the colonel's first visit to the store, and the friendship had grown as they found they had congenial tastes.
6432_63723_000076_000000	The evening passed pleasantly for them.	The evening passed pleasantly for them.
6432_63723_000076_000001	They talked of much, including the murder, and the colonel was more than pleased to find that the jeweler had no very strong suspicion against young Darcy.	They talked of much, including the murder, and the colonel was more than pleased to find that the jeweler had no very strong suspicion against young Darcy.
6432_63723_000077_000000	"I've known him from a boy," said Mr. Kettridge, "and, though he has his faults, a crime such as this would be almost impossible to him, no matter what motive, such as the dispute over money or his sweetheart. He may be guilty, but I doubt it."	"I've known him from a boy," said mr Kettridge, "and, though he has his faults, a crime such as this would be almost impossible to him, no matter what motive, such as the dispute over money or his sweetheart. He may be guilty, but I doubt it."
6432_63723_000078_000000	"My idea, exactly," returned the colonel.	"My idea, exactly," returned the colonel.
6432_63723_000078_000001	"Now as to certain matters in the store on the morning of the murder.	"Now as to certain matters in the store on the morning of the murder.
6432_63723_000078_000002	The stopped clocks, for instance.	The stopped clocks, for instance.
6432_63723_000078_000003	Have you any theory--"	Have you any theory-"
6432_63723_000079_000000	Came, at that instant, fairly bursting into the quiet grill room, some "jolly good fellows," to take them at their own valuation.	Came, at that instant, fairly bursting into the quiet grill room, some "jolly good fellows," to take them at their own valuation.
6432_63723_000079_000001	There were three of them, the center figure being that of Harry King, and he was very much intoxicated.	There were three of them, the center figure being that of Harry King, and he was very much intoxicated.
6432_63723_000080_000000	"Hello, Harry!	"Hello, Harry!
6432_63723_000081_000000	King regarded his questioner gravely, as though deeply pondering over the matter.	King regarded his questioner gravely, as though deeply pondering over the matter.
6432_63723_000081_000001	It was often characteristic of him that, though he became very much intoxicated, yet, at times, under such conditions, Harry King's language approached the cultured, rather than degenerated into the common talk of the ordinary drunk.	It was often characteristic of him that, though he became very much intoxicated, yet, at times, under such conditions, Harry King's language approached the cultured, rather than degenerated into the common talk of the ordinary drunk.
6432_63723_000081_000002	That is not always, but sometimes.	That is not always, but sometimes.
6432_63723_000081_000003	It happened to be so now.	It happened to be so now.
6432_63723_000082_000000	"I beg your pardon?" he said, in the cultured tones he knew so well how to use, yet of which he made so little use of late.	"I beg your pardon?" he said, in the cultured tones he knew so well how to use, yet of which he made so little use of late.
6432_63723_000083_000000	"I said, where have you been?" remarked the other.	"I said, where have you been?" remarked the other.
6432_63723_000083_000001	"We've missed you."	"We've missed you."
6432_63723_000084_000000	"I have been spending a week end in the country," King remarked, with biting sarcasm.	"I have been spending a week end in the country," King remarked, with biting sarcasm.
6432_63723_000085_000000	There was a laugh at this, for scarcely one in the gilded grill but knew where King had been, and whither he was going.	There was a laugh at this, for scarcely one in the gilded grill but knew where King had been, and whither he was going.
6432_63723_000088_000000	"Why Polonius?" some one asked.	"Why Polonius?" some one asked.
6432_63723_000089_000000	"Because, dear friend," replied King softly, "he somewhat resembles a certain person here, who talks too much, but who is not so wise as he thinks.	"Because, dear friend," replied King softly, "he somewhat resembles a certain person here, who talks too much, but who is not so wise as he thinks.
