4198_12281_000000_000000	Chapter 1.XXVI.	Chapter one.twenty six.	false	0.87	2.22	11
4198_12281_000002_000009	Then immediately in all disorder, without keeping either rank or file, they took the fields one amongst another, wasting, spoiling, destroying, and making havoc of all wherever they went, not sparing poor nor rich, privileged or unprivileged places, church nor laity, drove away oxen and cows, bulls, calves, heifers, wethers, ewes, lambs, goats, kids, hens, capons, chickens, geese, ganders, goslings, hogs, swine, pigs, and such like; beating down the walnuts, plucking the grapes, tearing the hedges, shaking the fruit-trees, and committing such incomparable abuses, that the like abomination was never heard of.	Then immediately in all disorder, without keeping either rank or file, they took the fields one amongst another, wasting, spoiling, destroying, and making havoc of all wherever they went, not sparing poor nor rich, privileged or unprivileged places, church nor laity, drove away oxen and cows, bulls, calves, heifers, wethers, ewes, lambs, goats, kids, hens, capons, chickens, geese, ganders, goslings, hogs, swine, pigs, and such like; beating down the walnuts, plucking the grapes, tearing the hedges, shaking the fruit trees, and committing such incomparable abuses, that the like abomination was never heard of.	false	17.13	17.19	-14
4198_12281_000002_000010	Nevertheless, they met with none to resist them, for everyone submitted to their mercy, beseeching them that they might be dealt with courteously in regard that they had always carried themselves as became good and loving neighbours, and that they had never been guilty of any wrong or outrage done upon them, to be thus suddenly surprised, troubled, and disquieted, and that, if they would not desist, God would punish them very shortly.	Nevertheless, they met with none to resist them, for everyone submitted to their mercy, beseeching them that they might be dealt with courteously in regard that they had always carried themselves as became good and loving neighbours, and that they had never been guilty of any wrong or outrage done upon them, to be thus suddenly surprised, troubled, and disquieted, and that, if they would not desist, God would punish them very shortly.	false	17.19	32.13	17
4198_12281_000002_000011	To which expostulations and remonstrances no other answer was made, but that they would teach them to eat cakes.	To which expostulations and remonstrances no other answer was made, but that they would teach them to eat cakes.	false	32.13	37.08	16
4198_12281_000003_000000	Chapter 1.XXVII.	Chapter one.twenty seven.	false	37.08	38.62	14
4198_12281_000004_000000	How a monk of Seville saved the close of the abbey from being ransacked by the enemy.	How a monk of Seville saved the close of the abbey from being ransacked by the enemy.	true	39.02	46.74	18
4198_12281_000005_000000	[Illustration: The Monks Knew Not--1-27-060]	[Illustration: The Monks Knew Not-january twenty seventh sixty]	false	46.74	47.565	0
4198_12281_000006_000000	So much they did, and so far they went pillaging and stealing, that at last they came to Seville, where they robbed both men and women, and took all they could catch: nothing was either too hot or too heavy for them. Although the plague was there in the most part of all the houses, they nevertheless entered everywhere, then plundered and carried away all that was within, and yet for all this not one of them took any hurt, which is a most wonderful case.	So much they did, and so far they went pillaging and stealing, that at last they came to Seville, where they robbed both men and women, and took all they could catch: nothing was either too hot or too heavy for them. Although the plague was there in the most part of all the houses, they nevertheless entered everywhere, then plundered and carried away all that was within, and yet for all this not one of them took any hurt, which is a most wonderful case.	false	47.565	82.57	17.749336
4198_12281_000006_000001	For the curates, vicars, preachers, physicians, chirurgeons, and apothecaries, who went to visit, to dress, to cure, to heal, to preach unto and admonish those that were sick, were all dead of the infection, and these devilish robbers and murderers caught never any harm at all.	For the curates, vicars, preachers, physicians, chirurgeons, and apothecaries, who went to visit, to dress, to cure, to heal, to preach unto and admonish those that were sick, were all dead of the infection, and these devilish robbers and murderers caught never any harm at all.	false	82.94	112.54	19.04501
4198_12281_000006_000002	Whence comes this to pass, my masters?	Whence comes this to pass, my masters?	true	113.18	116.83	21.04903
4198_12281_000006_000003	I beseech you think upon it.	I beseech you think upon it.	false	117.17	120.27	15.321335
4198_12281_000006_000004	The town being thus pillaged, they went unto the abbey with a horrible noise and tumult, but they found it shut and made fast against them.	The town being thus pillaged, they went unto the abbey with a horrible noise and tumult, but they found it shut and made fast against them.	true	120.27	130.45	18.816525
4198_12281_000006_000005	Whereupon the body of the army marched forward towards a pass or ford called the Gue de Vede, except seven companies of foot and two hundred lancers, who, staying there, broke down the walls of the close, to waste, spoil, and make havoc of all the vines and vintage within that place.	Whereupon the body of the army marched forward towards a pass or ford called the Gue de Vede, except seven companies of foot and two hundred lancers, who, staying there, broke down the walls of the close, to waste, spoil, and make havoc of all the vines and vintage within that place.	true	130.94	154.15	17.952904
4198_12281_000006_000006	The monks (poor devils) knew not in that extremity to which of all their sancts they should vow themselves.	The monks (poor devils) knew not in that extremity to which of all their sancts they should vow themselves.	false	154.31	163.84	17
4198_12281_000006_000007	Nevertheless, at all adventures they rang the bells ad capitulum capitulantes.	Nevertheless, at all adventures they rang the bells ad capitulum capitulantes.	true	164.03	171.79	19.124554
4198_12281_000006_000008	There it was decreed that they should make a fair procession, stuffed with good lectures, prayers, and litanies contra hostium insidias, and jolly responses pro pace.	There it was decreed that they should make a fair procession, stuffed with good lectures, prayers, and litanies contra hostium insidias, and jolly responses pro pace.	false	172.16	187.2	18.537884
4198_12281_000007_000000	There was then in the abbey a claustral monk, called Friar John of the funnels and gobbets, in French des entoumeures, young, gallant, frisk, lusty, nimble, quick, active, bold, adventurous, resolute, tall, lean, wide-mouthed, long-nosed, a fair despatcher of morning prayers, unbridler of masses, and runner over of vigils; and, to conclude summarily in a word, a right monk, if ever there was any, since the monking world monked a monkery: for the rest, a clerk even to the teeth in matter of breviary. This monk, hearing the noise that the enemy made within the enclosure of the vineyard, went out to see what they were doing; and perceiving that they were cutting and gathering the grapes, whereon was grounded the foundation of all their next year's wine, returned unto the choir of the church where the other monks were, all amazed and astonished like so many bell-melters.	There was then in the abbey a claustral monk, called Friar john of the funnels and gobbets, in French des entoumeures, young, gallant, frisk, lusty, nimble, quick, active, bold, adventurous, resolute, tall, lean, wide mouthed, long nosed, a fair despatcher of morning prayers, unbridler of masses, and runner over of vigils; and, to conclude summarily in a word, a right monk, if ever there was any, since the monking world monked a monkery: for the rest, a clerk even to the teeth in matter of breviary. This monk, hearing the noise that the enemy made within the enclosure of the vineyard, went out to see what they were doing; and perceiving that they were cutting and gathering the grapes, whereon was grounded the foundation of all their next year's wine, returned unto the choir of the church where the other monks were, all amazed and astonished like so many bell melters.	false	187.2	260.7	18.383804
4198_12281_000007_000001	Whom when he heard sing, im, nim, pe, ne, ne, ne, ne, nene, tum, ne, num, num, ini, i mi, co, o, no, o, o, neno, ne, no, no, no, rum, nenum, num: It is well shit, well sung, said he.	Whom when he heard sing, im, nim, pe, ne, ne, ne, ne, nene, tum, ne, num, num, ini, i mi, co, o, no, o, o, neno, ne, no, no, no, rum, nenum, num: It is well shit, well sung, said he.	false	260.7	291.31	13
4198_12281_000007_000002	By the virtue of God, why do not you sing, Panniers, farewell, vintage is done?	By the virtue of God, why do not you sing, Panniers, farewell, vintage is done?	true	291.74	299.26	17.321459
4198_12281_000007_000003	The devil snatch me, if they be not already within the middle of our close, and cut so well both vines and grapes, that, by Cod's body, there will not be found for these four years to come so much as a gleaning in it.	The devil snatch me, if they be not already within the middle of our close, and cut so well both vines and grapes, that, by Cod's body, there will not be found for these four years to come so much as a gleaning in it.	false	299.99	315.49	18.796007
4198_12281_000007_000004	By the belly of Sanct James, what shall we poor devils drink the while?	By the belly of Sanct james, what shall we poor devils drink the while?	false	316.28	321.07	14
4198_12281_000007_000005	Lord God! da mihi potum.	Lord God! da mihi potum.	true	321.47	324.52	20.250223
4198_12281_000007_000006	Then said the prior of the convent: What should this drunken fellow do here?	Then said the prior of the convent: What should this drunken fellow do here?	true	325.1	330.67	20.470331
4198_12281_000007_000007	let him be carried to prison for troubling the divine service.	let him be carried to prison for troubling the divine service.	true	331.04	335.565	19
4198_12281_000007_000008	Nay, said the monk, the wine service, let us behave ourselves so that it be not troubled; for you yourself, my lord prior, love to drink of the best, and so doth every honest man.	Nay, said the monk, the wine service, let us behave ourselves so that it be not troubled; for you yourself, my lord prior, love to drink of the best, and so doth every honest man.	true	335.565	350.44	19.383686
4198_12281_000007_000009	Never yet did a man of worth dislike good wine, it is a monastical apophthegm.	Never yet did a man of worth dislike good wine, it is a monastical apophthegm.	false	351.14	359.11	19.300213
4198_12281_000007_000010	But these responses that you chant here, by G--, are not in season.	But these responses that you chant here, by G-, are not in season.	false	359.66	366.19	20.277407
4198_12281_000007_000011	Wherefore is it, that our devotions were instituted to be short in the time of harvest and vintage, and long in the advent, and all the winter?	Wherefore is it, that our devotions were instituted to be short in the time of harvest and vintage, and long in the advent, and all the winter?	true	367.1	378.49	19.367325
4198_12281_000007_000012	The late friar, Massepelosse, of good memory, a true zealous man, or else I give myself to the devil, of our religion, told me, and I remember it well, how the reason was, that in this season we might press and make the wine, and in winter whiff it up. Hark you, my masters, you that love the wine, Cop's body, follow me; for Sanct Anthony burn me as freely as a faggot, if they get leave to taste one drop of the liquor that will not now come and fight for relief of the vine. Hog's belly, the goods of the church!	The late friar, Massepelosse, of good memory, a true zealous man, or else I give myself to the devil, of our religion, told me, and I remember it well, how the reason was, that in this season we might press and make the wine, and in winter whiff it up. Hark you, my masters, you that love the wine, Cop's body, follow me; for Sanct Anthony burn me as freely as a faggot, if they get leave to taste one drop of the liquor that will not now come and fight for relief of the vine. Hog's belly, the goods of the church!	false	379.22	421.29	19.21347
4198_12281_000007_000013	Ha, no, no. What the devil, Sanct Thomas of England was well content to die for them; if I died in the same cause, should not I be a sanct likewise?	Ha, no, no What the devil, Sanct Thomas of England was well content to die for them; if I died in the same cause, should not I be a sanct likewise?	false	421.29	434.68	18.588139
4198_12281_000007_000014	Yes. Yet shall not I die there for all this, for it is I that must do it to others and send them a-packing.	Yes. Yet shall not I die there for all this, for it is I that must do it to others and send them a packing.	false	435.23	445.03	18.59869
4198_12281_000008_000000	As he spake this he threw off his great monk's habit, and laid hold upon the staff of the cross, which was made of the heart of a sorbapple-tree, it being of the length of a lance, round, of a full grip, and a little powdered with lilies called flower de luce, the workmanship whereof was almost all defaced and worn out.	As he spake this he threw off his great monk's habit, and laid hold upon the staff of the cross, which was made of the heart of a sorbapple tree, it being of the length of a lance, round, of a full grip, and a little powdered with lilies called flower de luce, the workmanship whereof was almost all defaced and worn out.	false	445.85	471.16	19.159065
4198_12281_000008_000001	Thus went he out in a fair long-skirted jacket, putting his frock scarfwise athwart his breast, and in this equipage, with his staff, shaft or truncheon of the cross, laid on so lustily, brisk, and fiercely upon his enemies, who, without any order, or ensign, or trumpet, or drum, were busied in gathering the grapes of the vineyard.	Thus went he out in a fair long skirted jacket, putting his frock scarfwise athwart his breast, and in this equipage, with his staff, shaft or truncheon of the cross, laid on so lustily, brisk, and fiercely upon his enemies, who, without any order, or ensign, or trumpet, or drum, were busied in gathering the grapes of the vineyard.	false	471.71	498.93	19.125174
4198_12281_000008_000002	For the cornets, guidons, and ensign-bearers had laid down their standards, banners, and colours by the wall sides: the drummers had knocked out the heads of their drums on one end to fill them with grapes: the trumpeters were loaded with great bundles of bunches and huge knots of clusters: in sum, everyone of them was out of array, and all in disorder. He hurried, therefore, upon them so rudely, without crying gare or beware, that he overthrew them like hogs, tumbled them over like swine, striking athwart and alongst, and by one means or other laid so about him, after the old fashion of fencing, that to some he beat out their brains, to others he crushed their arms, battered their legs, and bethwacked their sides till their ribs cracked with it.	For the cornets, guidons, and ensign bearers had laid down their standards, banners, and colours by the wall sides: the drummers had knocked out the heads of their drums on one end to fill them with grapes: the trumpeters were loaded with great bundles of bunches and huge knots of clusters: in sum, everyone of them was out of array, and all in disorder. He hurried, therefore, upon them so rudely, without crying gare or beware, that he overthrew them like hogs, tumbled them over like swine, striking athwart and alongst, and by one means or other laid so about him, after the old fashion of fencing, that to some he beat out their brains, to others he crushed their arms, battered their legs, and bethwacked their sides till their ribs cracked with it.	false	498.93	555.75	18.898989
4198_12281_000008_000003	To others again he unjointed the spondyles or knuckles of the neck, disfigured their chaps, gashed their faces, made their cheeks hang flapping on their chin, and so swinged and balammed them that they fell down before him like hay before a mower.	To others again he unjointed the spondyles or knuckles of the neck, disfigured their chaps, gashed their faces, made their cheeks hang flapping on their chin, and so swinged and balammed them that they fell down before him like hay before a mower.	false	555.75	574.29	17
4198_12281_000008_000004	To some others he spoiled the frame of their kidneys, marred their backs, broke their thigh-bones, pashed in their noses, poached out their eyes, cleft their mandibles, tore their jaws, dung in their teeth into their throat, shook asunder their omoplates or shoulder-blades, sphacelated their shins, mortified their shanks, inflamed their ankles, heaved off of the hinges their ishies, their sciatica or hip-gout, dislocated the joints of their knees, squattered into pieces the boughts or pestles of their thighs, and so thumped, mauled and belaboured them everywhere, that never was corn so thick and threefold threshed upon by ploughmen's flails as were the pitifully disjointed members of their mangled bodies under the merciless baton of the cross.	To some others he spoiled the frame of their kidneys, marred their backs, broke their thigh bones, pashed in their noses, poached out their eyes, cleft their mandibles, tore their jaws, dung in their teeth into their throat, shook asunder their omoplates or shoulder blades, sphacelated their shins, mortified their shanks, inflamed their ankles, heaved off of the hinges their ishies, their sciatica or hip gout, dislocated the joints of their knees, squattered into pieces the boughts or pestles of their thighs, and so thumped, mauled and belaboured them everywhere, that never was corn so thick and threefold threshed upon by ploughmen's flails as were the pitifully disjointed members of their mangled bodies under the merciless baton of the cross.	false	574.29	641.23	17
4198_12281_000008_000005	If any offered to hide himself amongst the thickest of the vines, he laid him squat as a flounder, bruised the ridge of his back, and dashed his reins like a dog.	If any offered to hide himself amongst the thickest of the vines, he laid him squat as a flounder, bruised the ridge of his back, and dashed his reins like a dog.	true	641.57	655.78	18.16628
4198_12281_000008_000006	If any thought by flight to escape, he made his head to fly in pieces by the lamboidal commissure, which is a seam in the hinder part of the skull.	If any thought by flight to escape, he made his head to fly in pieces by the lamboidal commissure, which is a seam in the hinder part of the skull.	false	656.12	667.42	17.275444
4198_12281_000008_000007	If anyone did scramble up into a tree, thinking there to be safe, he rent up his perinee, and impaled him in at the fundament.	If anyone did scramble up into a tree, thinking there to be safe, he rent up his perinee, and impaled him in at the fundament.	false	667.52	679	20
4198_12281_000008_000008	If any of his old acquaintance happened to cry out, Ha, Friar John, my friend Friar John, quarter, quarter, I yield myself to you, to you I render myself!	If any of his old acquaintance happened to cry out, Ha, Friar john, my friend Friar john, quarter, quarter, I yield myself to you, to you I render myself!	false	679.67	690.85	19.513329
4198_12281_000008_000009	So thou shalt, said he, and must, whether thou wouldst or no, and withal render and yield up thy soul to all the devils in hell; then suddenly gave them dronos, that is, so many knocks, thumps, raps, dints, thwacks, and bangs, as sufficed to warn Pluto of their coming and despatch them a-going.	So thou shalt, said he, and must, whether thou wouldst or no, and withal render and yield up thy soul to all the devils in hell; then suddenly gave them dronos, that is, so many knocks, thumps, raps, dints, thwacks, and bangs, as sufficed to warn Pluto of their coming and despatch them a going.	false	691.58	719.26	19.046326
4198_12281_000008_000010	If any was so rash and full of temerity as to resist him to his face, then was it he did show the strength of his muscles, for without more ado he did transpierce him, by running him in at the breast, through the mediastine and the heart.	If any was so rash and full of temerity as to resist him to his face, then was it he did show the strength of his muscles, for without more ado he did transpierce him, by running him in at the breast, through the mediastine and the heart.	false	719.87	739.51	17.857424
4198_12281_000008_000011	Others, again, he so quashed and bebumped, that, with a sound bounce under the hollow of their short ribs, he overturned their stomachs so that they died immediately.	Others, again, he so quashed and bebumped, that, with a sound bounce under the hollow of their short ribs, he overturned their stomachs so that they died immediately.	false	740.27	753.97	18.39102
4198_12281_000008_000012	To some, with a smart souse on the epigaster, he would make their midriff swag, then, redoubling the blow, gave them such a homepush on the navel that he made their puddings to gush out.	To some, with a smart souse on the epigaster, he would make their midriff swag, then, redoubling the blow, gave them such a homepush on the navel that he made their puddings to gush out.	false	754.88	770.2	18.134119
4198_12281_000008_000013	To others through their ballocks he pierced their bumgut, and left not bowel, tripe, nor entrail in their body that had not felt the impetuosity, fierceness, and fury of his violence.	To others through their ballocks he pierced their bumgut, and left not bowel, tripe, nor entrail in their body that had not felt the impetuosity, fierceness, and fury of his violence.	true	770.75	788.29	17.207594
4198_12281_000008_000014	Believe, that it was the most horrible spectacle that ever one saw.	Believe, that it was the most horrible spectacle that ever one saw.	true	788.63	796.15	18.658316
4198_12281_000008_000015	Some cried unto Sanct Barbe, others to St. George.	Some cried unto Sanct Barbe, others to saint George.	false	796.61	801.66	20.59004
4198_12281_000008_000016	O the holy Lady Nytouch, said one, the good Sanctess; O our Lady of Succours, said another, help, help!	O the holy Lady n y touch, said one, the good Sanctess; O our Lady of Succours, said another, help, help!	false	801.66	813.79	20.083698
4198_12281_000008_000017	Others cried, Our Lady of Cunaut, of Loretto, of Good Tidings, on the other side of the water St. Mary Over.	Others cried, Our Lady of Cunaut, of Loretto, of Good Tidings, on the other side of the water saint Mary Over.	false	814.34	824.47	18.849213
4198_12281_000008_000018	Some vowed a pilgrimage to St. James, and others to the holy handkerchief at Chamberry, which three months after that burnt so well in the fire that they could not get one thread of it saved.	Some vowed a pilgrimage to saint James, and others to the holy handkerchief at Chamberry, which three months after that burnt so well in the fire that they could not get one thread of it saved.	false	825.2	840.16	19.237093
4198_12281_000008_000019	Others sent up their vows to St. Cadouin, others to St. John d'Angely, and to St. Eutropius of Xaintes.	Others sent up their vows to st Cadouin, others to saint John d'Angely, and to st Eutropius of Xaintes.	false	840.83	852.15	19.08013
4198_12281_000008_000020	Others again invoked St. Mesmes of Chinon, St. Martin of Candes, St. Clouaud of Sinays, the holy relics of Laurezay, with a thousand other jolly little sancts and santrels. Some died without speaking, others spoke without dying; some died in speaking, others spoke in dying.	Others again invoked st Mesmes of Chinon, saint Martin of Candes, st Clouaud of Sinays, the holy relics of Laurezay, with a thousand other jolly little sancts and santrels. Some died without speaking, others spoke without dying; some died in speaking, others spoke in dying.	false	852.15	881.65	18.608574
4198_12281_000008_000021	Others shouted as loud as they could Confession, Confession, Confiteor, Miserere, In manus!	Others shouted as loud as they could Confession, Confession, Confiteor, Miserere, In manus!	true	882.32	894.52	18.396858
4198_12281_000008_000022	So great was the cry of the wounded, that the prior of the abbey with all his monks came forth, who, when they saw these poor wretches so slain amongst the vines, and wounded to death, confessed some of them.	So great was the cry of the wounded, that the prior of the abbey with all his monks came forth, who, when they saw these poor wretches so slain amongst the vines, and wounded to death, confessed some of them.	true	895.34	910.56	17.521488
4198_12281_000008_000023	But whilst the priests were busied in confessing them, the little monkies ran all to the place where Friar John was, and asked him wherein he would be pleased to require their assistance.	But whilst the priests were busied in confessing them, the little monkies ran all to the place where Friar john was, and asked him wherein he would be pleased to require their assistance.	false	910.56	924.43	19.089806
4198_12281_000008_000024	To which he answered that they should cut the throats of those he had thrown down upon the ground.	To which he answered that they should cut the throats of those he had thrown down upon the ground.	true	924.77	931.84	16
4198_12281_000008_000025	They presently, leaving their outer habits and cowls upon the rails, began to throttle and make an end of those whom he had already crushed.	They presently, leaving their outer habits and cowls upon the rails, began to throttle and make an end of those whom he had already crushed.	false	932.3	942.52	15
4198_12281_000008_000026	Can you tell with what instruments they did it?	Can you tell with what instruments they did it?	false	943.79	947.61	23.542278
4198_12281_000008_000027	With fair gullies, which are little hulchbacked demi-knives, the iron tool whereof is two inches long, and the wooden handle one inch thick, and three inches in length, wherewith the little boys in our country cut ripe walnuts in two while they are yet in the shell, and pick out the kernel, and they found them very fit for the expediting of that weasand-slitting exploit.	With fair gullies, which are little hulchbacked demi knives, the iron tool whereof is two inches long, and the wooden handle one inch thick, and three inches in length, wherewith the little boys in our country cut ripe walnuts in two while they are yet in the shell, and pick out the kernel, and they found them very fit for the expediting of that weasand slitting exploit.	false	947.61	978.25	17.939428
4198_12281_000008_000028	In the meantime Friar John, with his formidable baton of the cross, got to the breach which the enemies had made, and there stood to snatch up those that endeavoured to escape.	In the meantime Friar john, with his formidable baton of the cross, got to the breach which the enemies had made, and there stood to snatch up those that endeavoured to escape.	false	978.86	993.58	19
4198_12281_000008_000029	Some of the monkitos carried the standards, banners, ensigns, guidons, and colours into their cells and chambers to make garters of them.	Some of the monkitos carried the standards, banners, ensigns, guidons, and colours into their cells and chambers to make garters of them.	false	994.1	1005.07	15
4198_12281_000008_000030	But when those that had been shriven would have gone out at the gap of the said breach, the sturdy monk quashed and felled them down with blows, saying, These men have had confession and are penitent souls; they have got their absolution and gained the pardons; they go into paradise as straight as a sickle, or as the way is to Faye (like Crooked-Lane at Eastcheap).	But when those that had been shriven would have gone out at the gap of the said breach, the sturdy monk quashed and felled them down with blows, saying, These men have had confession and are penitent souls; they have got their absolution and gained the pardons; they go into paradise as straight as a sickle, or as the way is to Faye (like Crooked Lane at Eastcheap).	true	1006.25	1035.22	17.915905
4198_12281_000008_000031	Thus by his prowess and valour were discomfited all those of the army that entered into the close of the abbey, unto the number of thirteen thousand, six hundred, twenty and two, besides the women and little children, which is always to be understood.	Thus by his prowess and valour were discomfited all those of the army that entered into the close of the abbey, unto the number of thirteen thousand, six hundred, twenty and two, besides the women and little children, which is always to be understood.	false	1035.71	1057.09	17.02536
4198_12281_000008_000032	Never did Maugis the Hermit bear himself more valiantly with his bourdon or pilgrim's staff against the Saracens, of whom is written in the Acts of the four sons of Aymon, than did this monk against his enemies with the staff of the cross.	Never did Maugis the Hermit bear himself more valiantly with his bourdon or pilgrim's staff against the Saracens, of whom is written in the Acts of the four sons of Aymon, than did this monk against his enemies with the staff of the cross.	false	1057.82	1083.06	17.945585
