7975_280057_000005_000001	BOYHOOD DAYS	BOYHOOD DAYS
7975_280057_000010_000010	Mrs. Washington Wells and her son, Samuel, on the road home from Kansas City to Lee's Summit, recognized the body as that of my father.	mrs Washington Wells and her son, Samuel, on the road home from Kansas City to Lee's Summit, recognized the body as that of my father.
7975_280057_000010_000013	Walley and his gang of the Missouri Militia, whose hands are stained with the blood of my father.	Walley and his gang of the Missouri Militia, whose hands are stained with the blood of my father.
7975_280057_000013_000000	Walley afterwards caused the arrest of my cousins fearing that they had recognized him and his men.	Walley afterwards caused the arrest of my cousins fearing that they had recognized him and his men.
7975_280057_000013_000001	These young women were thrown into an old rickety, two-story house, located between 14th and 15th streets on Grand avenue, Kansas City, Mo.	These young women were thrown into an old rickety, two story house, located between fourteenth and fifteenth streets on Grand avenue, kansas city missouri.
7975_280057_000013_000002	Twenty-five other women were also prisoners there at that time, including three of my own sisters.	Twenty five other women were also prisoners there at that time, including three of my own sisters.
7975_280057_000013_000003	The down-stairs was used as a grocery store.	The down stairs was used as a grocery store.
7975_280057_000013_000004	After six months of living death in this trap, the house was secretly undermined and fell with the prisoners, only five of whom escaped injury or death.	After six months of living death in this trap, the house was secretly undermined and fell with the prisoners, only five of whom escaped injury or death.
7975_280057_000013_000005	It was noted that the groceryman had moved his stock of groceries from the building in time to save it from ruin, showing that the wrecking of the house was planned in cold blood, with the murder of my sisters and cousins and the other unfortunate women in mind.	It was noted that the groceryman had moved his stock of groceries from the building in time to save it from ruin, showing that the wrecking of the house was planned in cold blood, with the murder of my sisters and cousins and the other unfortunate women in mind.
7975_280057_000013_000007	Mrs. McCorkle jumped from the window of the house and escaped.	mrs McCorkle jumped from the window of the house and escaped.
7975_280057_000013_000009	A Virginian by birth, and a school teacher for many years in various parts of Missouri, he was well known throughout the state as an active sympathizer with the South.	A Virginian by birth, and a school teacher for many years in various parts of Missouri, he was well known throughout the state as an active sympathizer with the South.
7975_280057_000013_000010	His home was friendly to every Confederate soldier and scout in the West. Information, newspapers, and the like, left there, were certain to be kept for the right hands.	His home was friendly to every Confederate soldier and scout in the West. Information, newspapers, and the like, left there, were certain to be kept for the right hands.
7975_280057_000014_000000	In September 1863, soldiers ransacked the Harris home, stole everything they considered valuable, and burned the house.	In september eighteen sixty three, soldiers ransacked the Harris home, stole everything they considered valuable, and burned the house.
7975_280057_000014_000001	A daughter, Kate, who was asleep upstairs, was rescued from the flames by her sister.	A daughter, Kate, who was asleep upstairs, was rescued from the flames by her sister.
7975_280057_000014_000002	As the raiders left, one of them shouted:	As the raiders left, one of them shouted:
7975_280057_000015_000001	Why don't you call on Cole Younger now?"	Why don't you call on Cole Younger now?"
7975_280057_000016_000000	Among the women who lost their lives was Miss Josephine Anderson, whose cruel death simply blighted her brother's life and so filled him with determination to revenge that he afterward became the most desperate of desperate men.	Among the women who lost their lives was Miss Josephine Anderson, whose cruel death simply blighted her brother's life and so filled him with determination to revenge that he afterward became the most desperate of desperate men.
7975_280057_000016_000001	"Quantrell sometimes spares, but Anderson never," became a tradition of the Kansas line.	"Quantrell sometimes spares, but Anderson never," became a tradition of the Kansas line.
7975_280057_000016_000002	Before he died in a skirmish with Northern troops in 1864, he had tied fifty-three knots in a silken cord which he carried in his buckskin pouch.	Before he died in a skirmish with Northern troops in eighteen sixty four, he had tied fifty three knots in a silken cord which he carried in his buckskin pouch.
7975_280057_000017_000000	Every knot represented a human life.	Every knot represented a human life.
7975_280057_000018_000000	Anderson was then ripe for the raid on Lawrence.	Anderson was then ripe for the raid on Lawrence.
7975_280057_000019_000000	All this was cruelty, indeed, and enough to harden and embitter the softest of hearts, but it was mild compared with the continuous suffering and torture imposed upon my mother during the years from 1862 to 1870.	All this was cruelty, indeed, and enough to harden and embitter the softest of hearts, but it was mild compared with the continuous suffering and torture imposed upon my mother during the years from eighteen sixty two to eighteen seventy.
7975_280057_000020_000000	After the murder of my father she was so annoyed at her home in Harrisonville that she sought peace at her country residence eight and a half miles north of town.	After the murder of my father she was so annoyed at her home in Harrisonville that she sought peace at her country residence eight and a half miles north of town.
7975_280057_000020_000003	Nothing could have proved her faithfulness more effectually than an incident connected with one of my stolen visits home.	Nothing could have proved her faithfulness more effectually than an incident connected with one of my stolen visits home.
7975_280057_000020_000004	I went home one night to get medicine for the boys wounded in the battle of Lone Jack whom I was nursing in the woods some miles away.	I went home one night to get medicine for the boys wounded in the battle of Lone Jack whom I was nursing in the woods some miles away.
7975_280057_000020_000005	As I sat talking with my mother two of my brothers watched at the windows.	As I sat talking with my mother two of my brothers watched at the windows.
7975_280057_000020_000006	There was soon the dreaded cry, "the militia are surrounding the house," and in the excitement which followed, "Suse" dashed open the door to find a score of bayonets in her face.	There was soon the dreaded cry, "the militia are surrounding the house," and in the excitement which followed, "Suse" dashed open the door to find a score of bayonets in her face.
7975_280057_000021_000000	Two months after this incident the same persecutors again entered our home in the dead of the night, and, at the point of a pistol, tried to force my mother to set fire to her own home.	Two months after this incident the same persecutors again entered our home in the dead of the night, and, at the point of a pistol, tried to force my mother to set fire to her own home.
7975_280057_000021_000002	This they agreed to do on condition that she put the torch to her house at daybreak.	This they agreed to do on condition that she put the torch to her house at daybreak.
7975_280057_000022_000000	I have always felt that the exposure to which she was subjected on this cruel journey, too hard even for a man to take, was the direct cause of her death.	I have always felt that the exposure to which she was subjected on this cruel journey, too hard even for a man to take, was the direct cause of her death.
7975_280057_000022_000001	From Harrisonville she went to Waverly, where she was hounded continually.	From Harrisonville she went to Waverly, where she was hounded continually.
7975_280057_000022_000002	One of the conditions upon which her life was spared was that she would report at Lexington weekly.	One of the conditions upon which her life was spared was that she would report at Lexington weekly.
7975_280057_000023_000000	One of the numerous books purporting to be a history of my life states with the utmost soberness that, as a boy, I was cruel to dumb animals and to my schoolmates, and, as for my teachers, to them I was a continual trouble and annoyance.	One of the numerous books purporting to be a history of my life states with the utmost soberness that, as a boy, I was cruel to dumb animals and to my schoolmates, and, as for my teachers, to them I was a continual trouble and annoyance.
7975_280057_000023_000001	A hundred of my friends and schoolmates will bear me out in the statement that, far from being cruel to either dumb animals or human beings, I was always regarded as kind and considerate to both.	A hundred of my friends and schoolmates will bear me out in the statement that, far from being cruel to either dumb animals or human beings, I was always regarded as kind and considerate to both.
7975_280057_000024_000000	One of my old school-teachers, whom I have never seen since the spring or summer of 1862, is Stephen B. Elkins, senator from West Virginia.	One of my old school teachers, whom I have never seen since the spring or summer of eighteen sixty two, is Stephen b Elkins, senator from West Virginia.
7975_280057_000025_000001	They were good people and among the pioneers on the western border of Missouri.	They were good people and among the pioneers on the western border of Missouri.
7975_280057_000025_000002	The Younger brothers maintained a good reputation in the community where they lived and were well esteemed, as were their parents, for their good conduct and character.	The Younger brothers maintained a good reputation in the community where they lived and were well esteemed, as were their parents, for their good conduct and character.
7975_280057_000025_000004	On reaching the camp the first person I saw whom I knew was Cole Younger.	On reaching the camp the first person I saw whom I knew was Cole Younger.
7975_280057_000025_000005	When I was taken prisoner, I expected to be shot without ceremony.	When I was taken prisoner, I expected to be shot without ceremony.
7975_280057_000025_000006	As soon as I saw Cole Younger I felt a sense of relief because I had known him and his parents long and favorably, and as soon as I got a chance I told him frankly what I feared and that I hoped he would manage to take care of me and save me from being killed.	As soon as I saw Cole Younger I felt a sense of relief because I had known him and his parents long and favorably, and as soon as I got a chance I told him frankly what I feared and that I hoped he would manage to take care of me and save me from being killed.
7975_280057_000025_000007	He assured me he would do all he could to protect me. Cole Younger told Quantrell that my father and brother were in the rebel army and were good fighters, and that I had stayed at home to take care of my mother; that I was a good fellow and a non-combatant.	He assured me he would do all he could to protect me. Cole Younger told Quantrell that my father and brother were in the rebel army and were good fighters, and that I had stayed at home to take care of my mother; that I was a good fellow and a non combatant.
7975_280057_000025_000008	This occurred just before I entered the Union army, and it was generally known, and I am sure Cole knew, that I was strongly for the Union and about to enter the army.	This occurred just before I entered the Union army, and it was generally known, and I am sure Cole knew, that I was strongly for the Union and about to enter the army.
