2033_164916_000000_000000	"'Twas as I feared the coming ills discerning: * But unto Allah we are all returning."	"'twas as I feared the coming ills discerning: asterisk But unto Allah we are all returning."	false	0	7.17	22.569263
2033_164916_000001_000012	And amongst them were some who would have chosen the cadet, Zau Al-Makan, for, quoth they, his name be Light of the Place, and he hath a sister Nuzhat al-Zaman highs, the Delight of the Time; but they set out five years ago for Al-Hijaz and none wotteth what is become of them." When the Chamberlain heard this, he knew; that his wife had told him the truth of her adventures; and he grieved with sore grief for the death of King Omar, albeit he joyed with exceeding joy, especially at the arrival of Zau al-Makan, for that he would now become Sultan of Baghdad in his father's stead--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	And amongst them were some who would have chosen the cadet, Zau Al Makan, for, quoth they, his name be Light of the Place, and he hath a sister Nuzhat al Zaman highs, the Delight of the Time; but they set out five years ago for Al Hijaz and none wotteth what is become of them." When the Chamberlain heard this, he knew; that his wife had told him the truth of her adventures; and he grieved with sore grief for the death of King Omar, albeit he joyed with exceeding joy, especially at the arrival of Zau al Makan, for that he would now become Sultan of Baghdad in his father's stead-And Shahrazad perceived the dawn of day and ceased saying her permitted say.	false	362.34	421.05	22.724474
2033_164916_000002_000000	When it was the Seventy-seventh Night,	When it was the Seventy seventh Night,	false	421.05	425.82	22.976885
2033_164916_000003_000000	She said, It hath reached me, O auspicious King, that when Sharrkan's Chamberlain heard of the death of King Omar bin al- Nu'uman he mourned, but he rejoiced because of his wife and her brother Zau al-Makan who would become Sultan of Baghdad in his father's stead.	She said, It hath reached me, O auspicious King, that when Sharrkan's Chamberlain heard of the death of King Omar bin al Nu'uman he mourned, but he rejoiced because of his wife and her brother Zau al Makan who would become Sultan of Baghdad in his father's stead.	false	425.82	451.5	21.454031
2033_164916_000003_000001	So he turned to the Wazir Dandan and said to him, "Verily your tale is a wonder of wonders!	So he turned to the Wazir Dandan and said to him, "Verily your tale is a wonder of wonders!	false	451.5	462.57	22.492064
2033_164916_000003_000002	Know, O Chief Wazir, that here, where you have encountered me, Allah hath given you rest from fatigue and bringeth you your desire after the easiest of fashions, for that His Almighty Will restoreth to you Zau al-Makan and his sister Nuzhat al-Zaman; whereby we will settle the matter as we easily can." When the Minister heard these words he rejoiced with great joy and said, "O Chamberlain, tell me the tale of the twain and what befel them and the cause of their long absence." So he repeated to him the whole story and told him that Nuzhat al-Zaman was his wife and related to him the adventures of Zau al-Makan from first to last.	Know, O Chief Wazir, that here, where you have encountered me, Allah hath given you rest from fatigue and bringeth you your desire after the easiest of fashions, for that His Almighty Will restoreth to you Zau al Makan and his sister Nuzhat al Zaman; whereby we will settle the matter as we easily can." When the Minister heard these words he rejoiced with great joy and said, "O Chamberlain, tell me the tale of the twain and what befel them and the cause of their long absence." So he repeated to him the whole story and told him that Nuzhat al Zaman was his wife and related to him the adventures of Zau al Makan from first to last.	false	462.57	510.69	22.833187
2033_164916_000003_000003	As soon as he had ended his tale, the Wazir sent for the Emirs and Wazirs and Chief Officers and acquainted them with the matter; whereat they rejoiced with great joy and wondered at the happy chance.	As soon as he had ended his tale, the Wazir sent for the Emirs and Wazirs and Chief Officers and acquainted them with the matter; whereat they rejoiced with great joy and wondered at the happy chance.	false	510.69	529.59	23.302387
2033_164916_000003_000004	Then they gathered in a body and went in to the Chamberlain and did their service to him, kissing the ground between his hands; and the Wazir Dandan also rose and went out to meet him and stood before him in honour.	Then they gathered in a body and went in to the Chamberlain and did their service to him, kissing the ground between his hands; and the Wazir Dandan also rose and went out to meet him and stood before him in honour.	false	529.59	550.71	22.454313
2033_164916_000003_000005	After this, the Chamberlain held on that day a Divan council; and he and the Wazir sat upon a throne, whilst all the Emirs and Grandees and Officers of State took their places before them, according to their several ranks.[FN#324] Then they melted sugar in rose water and drank, after which the Emirs sat down to hold council and permitted the rest of the host to mount and ride forward leisurely, till they should make an end of their debate and overtake them.	After this, the Chamberlain held on that day a Divan council; and he and the Wazir sat upon a throne, whilst all the Emirs and Grandees and Officers of State took their places before them, according to their several ranks.[f n # three hundred twenty four] Then they melted sugar in rose water and drank, after which the Emirs sat down to hold council and permitted the rest of the host to mount and ride forward leisurely, till they should make an end of their debate and overtake them.	false	550.71	590.37	22.198013
2033_164916_000003_000006	So the officers kissed the ground between their hands and mounting, rode onwards, preceded by the standards of war.	So the officers kissed the ground between their hands and mounting, rode onwards, preceded by the standards of war.	false	590.37	603.45	21.28966
2033_164916_000003_000007	When the grandees had finished their conference, they took horse and rejoined the host; and the Chamberlain approached the Wazir Dandan and said, "I deem it well to ride on before you, and precede you, that I may get ready a place for the Sultan and notify him of your coming and of your choosing him as Sultan over the head of his brother Sharrkan." "Aright thou reckest," answered the Wazir Then the Chamberlain rose up in haste and Dandan also stood up to do him honour and brought him presents, which he conjured him to accept.	When the grandees had finished their conference, they took horse and rejoined the host; and the Chamberlain approached the Wazir Dandan and said, "I deem it well to ride on before you, and precede you, that I may get ready a place for the Sultan and notify him of your coming and of your choosing him as Sultan over the head of his brother Sharrkan." "Aright thou reckest," answered the Wazir Then the Chamberlain rose up in haste and Dandan also stood up to do him honour and brought him presents, which he conjured him to accept.	false	603.45	662.73	22.602348
2033_164916_000003_000008	In similar guise did all the Emirs and Grandees and Officers of State, bringing him gifts and calling down blessings on him and saying to him, "Haply thou wilt mention our case to Sultan Zau al-Makan and speak to him to continue us in our dignities."[FN#325] The Chamberlain promised all they required and bade his pages be ready to march, whereupon the Wazir Dandan sent with him tents and bade the tent pitchers set them up at a day's journey from the city.	In similar guise did all the Emirs and Grandees and Officers of State, bringing him gifts and calling down blessings on him and saying to him, "Haply thou wilt mention our case to Sultan Zau al Makan and speak to him to continue us in our dignities."[f n # three hundred twenty five] The Chamberlain promised all they required and bade his pages be ready to march, whereupon the Wazir Dandan sent with him tents and bade the tent pitchers set them up at a day's journey from the city.	false	662.73	710.235	23.317375
2033_164916_000003_000009	And they did his bidding.	And they did his bidding.	false	710.235	712.02	17.63424
2033_164916_000003_000010	Then the Chamberlain mounted and rode forward, full of joy and saying to himself, "How blessed is this gurney!", and indeed his wife was exalted in his eyes, she and her brother Zau al-Makan.	Then the Chamberlain mounted and rode forward, full of joy and saying to himself, "How blessed is this gurney!", and indeed his wife was exalted in his eyes, she and her brother Zau al Makan.	false	712.02	724.05	24.318586
2033_164916_000003_000011	They made all haste over their wayfare, till they reached a place distant a day's journey from Baghdad, where the Chamberlain called a halt for rest, and bade his men alight and make ready a sitting place for the Sultan Zau al-Makan, son of King Omar bin al-Nu'uman, while he rode forward with his Mamelukes and, alighting at a distance from Nuzhat al-Zaman's litter, commanded the eunuchs to ask leave of admission to the presence.	They made all haste over their wayfare, till they reached a place distant a day's journey from Baghdad, where the Chamberlain called a halt for rest, and bade his men alight and make ready a sitting place for the Sultan Zau al Makan, son of King Omar bin al Nu'uman, while he rode forward with his Mamelukes and, alighting at a distance from Nuzhat al Zaman's litter, commanded the eunuchs to ask leave of admission to the presence.	false	724.05	750.87	22.380415
2033_164916_000003_000012	They did so and she gave permission; whereupon he went in to her and conversed with her and her brother; and told them of the death of their father; and of Zau al-Makan, how the heads of the people had made him King over them in the stead of his sire; and he gave them joy of the kingdom.	They did so and she gave permission; whereupon he went in to her and conversed with her and her brother; and told them of the death of their father; and of Zau al Makan, how the heads of the people had made him King over them in the stead of his sire; and he gave them joy of the kingdom.	false	750.87	773.31	21.715105
2033_164916_000003_000013	They both wept for their father and asked the manner of his being killed; but the Chamberlain answered, "The news rests with the Wazir Dandan who will be here tomorrow leading all the host; and it only remaineth for thee, O King, to do what they counsel, since they have unanimously chosen thee Sultan; for if thou do not this, they will choose some one else and thou canst not be sure of thy life with another Sultan.	They both wept for their father and asked the manner of his being killed; but the Chamberlain answered, "The news rests with the Wazir Dandan who will be here tomorrow leading all the host; and it only remaineth for thee, O King, to do what they counsel, since they have unanimously chosen thee Sultan; for if thou do not this, they will choose some one else and thou canst not be sure of thy life with another Sultan.	false	773.31	801.6	22.713093
2033_164916_000003_000014	Haply he will kill thee, or discord may befal between you twain and the kingdom pass out of the hands of both." Zau al-Makan bowed his head awhile and then said, "I accept this position;" for indeed there was no refusing; and he was certified that the Chamberlain had counselled him well and wisely and set him on the right way.	Haply he will kill thee, or discord may befal between you twain and the kingdom pass out of the hands of both." Zau al Makan bowed his head awhile and then said, "I accept this position;" for indeed there was no refusing; and he was certified that the Chamberlain had counselled him well and wisely and set him on the right way.	false	801.6	819.27	23.006151
2033_164916_000003_000015	Then he added, "O my uncle, how shall I do with my brother Sharrkan?" "O my son," replied the Chamberlain, "thy brother will be Sultan of Damascus and thou Sultan of Baghdad; so take heart of grace and get ready thy case." Zau al-Makan accepted this and the Chamberlain presented him with a suit of royal raiment and a dagger[FN#326] of state, which the Wazir Dandan had brought with him; then leaving him he bade the tent pitchers choose a spot of rising ground and set up thereon a spacious pavilion, wherein the Sultan might sit to receive the Emirs and Grandees.	Then he added, "O my uncle, how shall I do with my brother Sharrkan?" "O my son," replied the Chamberlain, "thy brother will be Sultan of Damascus and thou Sultan of Baghdad; so take heart of grace and get ready thy case." Zau al Makan accepted this and the Chamberlain presented him with a suit of royal raiment and a dagger[f n # three hundred twenty six] of state, which the Wazir Dandan had brought with him; then leaving him he bade the tent pitchers choose a spot of rising ground and set up thereon a spacious pavilion, wherein the Sultan might sit to receive the Emirs and Grandees.	false	819.27	856.2	22.685385
2033_164916_000003_000016	Moreover he ordered the kitcheners to cook rich viands and serve them and he commanded the water carriers to dispose the water troughs.	Moreover he ordered the kitcheners to cook rich viands and serve them and he commanded the water carriers to dispose the water troughs.	false	856.2	862.38	27.557753
2033_164916_000003_000017	They did as he bade them and presently arose a cloud of dust from the ground and spread till it walled the horizon round.	They did as he bade them and presently arose a cloud of dust from the ground and spread till it walled the horizon round.	false	862.38	872.04	21.432974
2033_164916_000003_000018	After awhile, the dust dispersed and there appeared under it the army of Baghdad and Khorasan, a conquering host like the full tide sea.--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	After awhile, the dust dispersed and there appeared under it the army of Baghdad and Khorasan, a conquering host like the full tide sea.--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	false	872.04	884.43	22.349564
2033_164916_000004_000000	When it was the Seventy-eighth Night,	When it was the Seventy eighth Night,	false	884.43	888.21	21.675926
2033_164916_000005_000000	She said, It hath reached me, O auspicious King, that when the Chamberlain bade the tent pitchers set up a pavilion spacious enough to receive the subjects flocking to their Sultan, they planted a splendid Shahmiyanah[FN#327] befitting Kings.	She said, It hath reached me, O auspicious King, that when the Chamberlain bade the tent pitchers set up a pavilion spacious enough to receive the subjects flocking to their Sultan, they planted a splendid Shahmiyanah[f n # three hundred twenty seven] befitting Kings.	false	888.21	903.6	22.693935
2033_164916_000005_000001	And as they ended their labours behold, a dust cloud spired aloft and the breeze made it lift and beneath it showed a conquering host; and presently it appeared that this was the army of Baghdad and Khorasan preceded by the Wazir Dandan.	And as they ended their labours behold, a dust cloud spired aloft and the breeze made it lift and beneath it showed a conquering host; and presently it appeared that this was the army of Baghdad and Khorasan preceded by the Wazir Dandan.	false	903.6	903.6	
2033_164916_000005_000002	And in it all rejoiced at the accession of the "Light of the Place." Now Zau al-Makan had donned robes of royal estate and girt himself with the sword of state: so the Chamberlain brought him a steed and he mounted surrounded by the Mamelukes and all the company from the tents on foot, to do him service, and he rode on until he came to the great pavilion, where he sat down and he laid the royal dagger across his thighs, whilst the Chamberlain stood in attendance on him and his armed slaves stationed themselves under the entrance awning of the Shahmiyanah, with drawn swords in their hands.	And in it all rejoiced at the accession of the "Light of the Place." Now Zau al Makan had donned robes of royal estate and girt himself with the sword of state: so the Chamberlain brought him a steed and he mounted surrounded by the Mamelukes and all the company from the tents on foot, to do him service, and he rode on until he came to the great pavilion, where he sat down and he laid the royal dagger across his thighs, whilst the Chamberlain stood in attendance on him and his armed slaves stationed themselves under the entrance awning of the Shahmiyanah, with drawn swords in their hands.	false	903.6	903.6	
2033_164916_000005_000003	Presently, up came the troops and the host and craved admission so the Chamberlain went in to Zau al-Makan and asked his leave whereupon he bade admit them, ten by ten.	Presently, up came the troops and the host and craved admission so the Chamberlain went in to Zau al Makan and asked his leave whereupon he bade admit them, ten by ten.	false	903.6	903.6	
2033_164916_000005_000004	The Chamberlain acquainted them with the King's commands, to which they replied, "We hear and we obey;" and all drew up before the pavilion entrance.	The Chamberlain acquainted them with the King's commands, to which they replied, "We hear and we obey;" and all drew up before the pavilion entrance.	false	903.6	903.6	
2033_164916_000005_000005	Then he took ten of them and carried them through the vestibule into the presence of Sultan Zau al-Makan, whom when they saw, they were awed; but he received them with most gracious kindness and promised them all good.	Then he took ten of them and carried them through the vestibule into the presence of Sultan Zau al Makan, whom when they saw, they were awed; but he received them with most gracious kindness and promised them all good.	false	903.6	903.6	
2033_164916_000005_000006	So they gave him joy of his safe return and invoked Allah's blessings upon him after which they took the oath of fealty never to gainsay him in aught and they kissed ground before him and withdrew.	So they gave him joy of his safe return and invoked Allah's blessings upon him after which they took the oath of fealty never to gainsay him in aught and they kissed ground before him and withdrew.	false	903.6	903.6	
2033_164916_000005_000007	Then other ten entered and he entreated them as he had entreated the ethers; and they ceased not to enter, ten by ten, till none was left but the Wazir Dandan.	Then other ten entered and he entreated them as he had entreated the ethers; and they ceased not to enter, ten by ten, till none was left but the Wazir Dandan.	false	903.6	903.6	
2033_164916_000005_000008	Lastly the Minister went in and kissed the ground before Zau al-Makan, who rose to meet him, saying, "Welcome, O Wazir and sire sans peer!	Lastly the Minister went in and kissed the ground before Zau al Makan, who rose to meet him, saying, "Welcome, O Wazir and sire sans peer!	false	903.6	903.6	
2033_164916_000005_000009	Verily, thine acts are those of a counsellor right dear, and judgement and foreseeing clear are in the hands of the Subtle of Lere." Then bade he the Chamberlain forthwith go out and cause the tables to be spread and order all the troops thereto.	Verily, thine acts are those of a counsellor right dear, and judgement and foreseeing clear are in the hands of the Subtle of Lere." Then bade he the Chamberlain forthwith go out and cause the tables to be spread and order all the troops thereto.	false	903.6	903.6	
2033_164916_000005_000010	So they came and ate and drank.	So they came and ate and drank.	false	903.6	903.6	
2033_164916_000005_000011	Moreover the Sultan commanded his Wazir Dandan call a ten days' halt of the army, that he might be private with him and learn from him how and wherefore his father had been slain.	Moreover the Sultan commanded his Wazir Dandan call a ten days' halt of the army, that he might be private with him and learn from him how and wherefore his father had been slain.	false	903.6	903.6	
2033_164916_000005_000012	The Wazir obeyed the commands of the Sultan with submission and wished him eternity of glory and said, "This needs must be!" He then repaired to the heart of the encampment and ordered the host to halt ten days.	The Wazir obeyed the commands of the Sultan with submission and wished him eternity of glory and said, "This needs must be!" He then repaired to the heart of the encampment and ordered the host to halt ten days.	false	903.6	903.6	
2033_164916_000005_000013	They did as he bade them and, moreover, he gave them leave to divert themselves and ordered that none of the lords in waiting should attend upon the King for service during the space of three days.	They did as he bade them and, moreover, he gave them leave to divert themselves and ordered that none of the lords in waiting should attend upon the King for service during the space of three days.	false	903.6	903.6	
2033_164916_000005_000014	Then the Wazir went to the Sultan and reported all to him, and Zau al-Makan waited until nightfall, when he went in to his sister Nuzhat al-Zaman and asked her, "Dost thou know the cause of my father's murder or not?"	Then the Wazir went to the Sultan and reported all to him, and Zau al Makan waited until nightfall, when he went in to his sister Nuzhat al Zaman and asked her, "Dost thou know the cause of my father's murder or not?"	false	903.6	903.6	
2033_164916_000005_000015	"I have no knowledge of the cause," she answered, and drew a silken curtain before herself, whilst Zau al-Makan seated himself without the curtain and commanded the Wazir to the presence and, when he came, said to him, "I desire thou relate to me in detail the cause of the killing of my sire, King Omar bin al-Nu'uman!" "Know then, O King," replied Dandan, "that King Omar bin al- Nu'uman, when he returned to Baghdad from his chasing and hunting and entered the city, enquired for thee and thy sister, but could not find you and knew that you twain had gone on the Pilgrimage; whereat he was greatly grieved and much angered, and his breast was straitened and he abode thus half a year, seeking news of you from all who came and went but none could give him any tidings.	"I have no knowledge of the cause," she answered, and drew a silken curtain before herself, whilst Zau al Makan seated himself without the curtain and commanded the Wazir to the presence and, when he came, said to him, "I desire thou relate to me in detail the cause of the killing of my sire, King Omar bin al Nu'uman!" "Know then, O King," replied Dandan, "that King Omar bin al Nu'uman, when he returned to Baghdad from his chasing and hunting and entered the city, enquired for thee and thy sister, but could not find you and knew that you twain had gone on the Pilgrimage; whereat he was greatly grieved and much angered, and his breast was straitened and he abode thus half a year, seeking news of you from all who came and went but none could give him any tidings.	false	903.6	903.6	
2033_164916_000005_000016	Now while we were in attendance upon him one day, after a whole year had sped since ye were lost to his sight, lo! there came to us an ancient dame with signs of being a devotee, accompanied by five damsels, high bosomed virgins like moons, endowed with such beauty and loveliness as tongue faileth to describe; and, to crown their perfections of comeliness, they could read the Koran and were versed in various kinds of learning and in the histories of bygone peoples.	Now while we were in attendance upon him one day, after a whole year had sped since ye were lost to his sight, lo! there came to us an ancient dame with signs of being a devotee, accompanied by five damsels, high bosomed virgins like moons, endowed with such beauty and loveliness as tongue faileth to describe; and, to crown their perfections of comeliness, they could read the Koran and were versed in various kinds of learning and in the histories of bygone peoples.	false	903.6	914.17	22.21095
2033_164916_000005_000017	Then that old woman sought audience of the King, and he bade admit her; whereupon she entered the presence and kissed the ground between his hands.	Then that old woman sought audience of the King, and he bade admit her; whereupon she entered the presence and kissed the ground between his hands.	false	915.5	927.82	20.330841
2033_164916_000005_000018	I was then sitting by his side and he, seeing in her the signs of asceticism and devoutness, made her draw near and take seat hard by him.	I was then sitting by his side and he, seeing in her the signs of asceticism and devoutness, made her draw near and take seat hard by him.	true	928.64	941.56	22.437765
2033_164916_000005_000019	And when she had sat down she addressed him and said, 'Know, O King, that with me are five damsels, whose like no King among the Kings possesseth; for they are endowed with wit and beauty and loveliness and perfection.	And when she had sat down she addressed him and said, 'Know, O King, that with me are five damsels, whose like no King among the Kings possesseth; for they are endowed with wit and beauty and loveliness and perfection.	true	942.83	962.95	22.297804
2033_164916_000005_000020	They read the Koran--and the Traditions and are skilled in all manner of learning and in the history of bygone races.	They read the Koran-and the Traditions and are skilled in all manner of learning and in the history of bygone races.	true	964.25	973.42	20.779928
2033_164916_000005_000021	They stand here between thy hands to do thee service, O King of the Age, and it is by trial that folk are prized or despised.	They stand here between thy hands to do thee service, O King of the Age, and it is by trial that folk are prized or despised.	true	974.09	985.21	22.195436
2033_164916_000005_000022	'Thy father, who hath found mercy;[FN#328] looked at the damsels and their favour pleased him; so he said to them, Let each and every of you make me hear something of what she knoweth anent the history of the folk of yore and of peoples long gone before!'--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	'Thy father, who hath found mercy;[f n # three hundred twenty eight] looked at the damsels and their favour pleased him; so he said to them, Let each and every of you make me hear something of what she knoweth anent the history of the folk of yore and of peoples long gone before!'--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	false	987.05	1031.1	22.680965
