6070_63485_000003_000000	CHAPTER VII.	CHAPTER seven.
6070_63485_000039_000000	"Be it so; to-morrow at one."	"Be it so; to morrow at one."
6070_63485_000040_000000	"At one o'clock."	"At one o'clock."
6070_63485_000044_000000	"Agreed."	"Agreed."
6070_63485_000045_000000	"I will bring your pocketbook."	"I will bring your pocketbook."
6070_63485_000046_000000	"And you shall have the five hundred francs I promised you, and we will agree in the other matter, if you are reasonable."	"And you shall have the five hundred francs I promised you, and we will agree in the other matter, if you are reasonable."
6070_63485_000047_000001	Do not follow us, or else--"	Do not follow us, or else-"
6070_63485_000049_000000	A concealed witness had been present at this transaction; it was the Chourineur, who had entered the cellars of the house to get shelter from the rain.	A concealed witness had been present at this transaction; it was the Chourineur, who had entered the cellars of the house to get shelter from the rain.
6070_63485_000049_000001	The proposal which Sarah made to the brigand respecting Rodolph deeply interested the Chourineur, who, alarmed for the perils which appeared about to beset his new friend, regretted that he could not warn him of them.	The proposal which Sarah made to the brigand respecting Rodolph deeply interested the Chourineur, who, alarmed for the perils which appeared about to beset his new friend, regretted that he could not warn him of them.
6070_63485_000049_000002	Perhaps his detestation of the Schoolmaster and the Chouette might have something to do with this feeling.	Perhaps his detestation of the Schoolmaster and the Chouette might have something to do with this feeling.
6070_63485_000050_000000	The Chourineur resolved to inform Rodolph of the danger which threatened him; but how?	The Chourineur resolved to inform Rodolph of the danger which threatened him; but how?
6070_63485_000050_000001	He had forgotten the address of the self-styled fan-painter.	He had forgotten the address of the self styled fan painter.
6070_63485_000051_000001	The Chourineur got up behind, and at one o'clock it stopped on the Boulevard de l'Observatoire, and Thomas and Sarah went down a narrow entrance, which was close at hand.	The Chourineur got up behind, and at one o'clock it stopped on the Boulevard de l'Observatoire, and Thomas and Sarah went down a narrow entrance, which was close at hand.
