6070_63485_000000_000000	The Schoolmaster and the Chouette then went towards the door.	The Schoolmaster and the Chouette then went towards the door.	false	0	3.78	19.268213
6070_63485_000008_000000	"You are right,--always right; let us tread like cats, my old darling."	"You are right,--always right; let us tread like cats, my old darling."	false	101.33	107.02	14
6070_63485_000009_000000	The two monsters took off their shoes, and moved stealthily along, keeping in the shadows of the houses.	The two monsters took off their shoes, and moved stealthily along, keeping in the shadows of the houses.	true	107.69	115.15	16
6070_63485_000009_000001	By means of this stratagem they followed so closely, that, although within a few steps of Sarah and Tom, they did not hear them.	By means of this stratagem they followed so closely, that, although within a few steps of Sarah and Tom, they did not hear them.	true	115.67	125.77	17.381144
6070_63485_000010_000000	"Fortunately our hackney-coach is at the end of the street; the rain falls in torrents.	"Fortunately our hackney coach is at the end of the street; the rain falls in torrents.	false	127.28	133.77	15
6070_63485_000010_000001	Are you not cold, Sarah?"	Are you not cold, Sarah?"	true	133.77	135.49	18
6070_63485_000011_000000	"Perhaps we shall glean something from this smuggler,--this Bras Rouge," said Sarah, in a thoughtful tone, and not replying to her brother's inquiry.	"Perhaps we shall glean something from this smuggler,--this Bras Rouge," said Sarah, in a thoughtful tone, and not replying to her brother's inquiry.	true	136.25	146.47	12
6070_63485_000012_000000	He suddenly stopped, and said, "I have taken a wrong turning; I ought to have gone to the right when I left the tavern; we must pass by a house in ruins to reach the _fiacre_.	He suddenly stopped, and said, "I have taken a wrong turning; I ought to have gone to the right when I left the tavern; we must pass by a house in ruins to reach the underscore fiacre underscore.	false	147.41	160.71	16
6070_63485_000012_000001	We must turn back."	We must turn back."	true	160.71	162.19	19.590242
6070_63485_000013_000000	The Schoolmaster and the Chouette, who followed on the heels of their intended victims, retreated into the dark porch of a house close at hand, so that they might not be perceived by Tom and Sarah, who, in passing, almost touched them with their elbows.	The Schoolmaster and the Chouette, who followed on the heels of their intended victims, retreated into the dark porch of a house close at hand, so that they might not be perceived by Tom and Sarah, who, in passing, almost touched them with their elbows.	false	162.86	180.64	15
6070_63485_000014_000000	"I am glad they have gone that way," said the Schoolmaster, "for if the 'cove' resists, I have my own idea."	"I am glad they have gone that way," said the Schoolmaster, "for if the 'cove' resists, I have my own idea."	true	181.31	189.04	15
6070_63485_000015_000000	Sarah and her brother, having again passed by the _tapis-franc_, arrived close to the dilapidated house, which was partly in ruins, and its opened cellars formed a kind of gulf, along which the street ran in that direction.	Sarah and her brother, having again passed by the underscore tapis franc underscore, arrived close to the dilapidated house, which was partly in ruins, and its opened cellars formed a kind of gulf, along which the street ran in that direction.	false	189.41	205.84	16
6070_63485_000015_000001	In an instant, the Schoolmaster, with a leap resembling in strength and agility the spring of a tiger, seized Seyton with one hand by the throat, and exclaimed, "Your money, or I will fling you into this hole!"	In an instant, the Schoolmaster, with a leap resembling in strength and agility the spring of a tiger, seized Seyton with one hand by the throat, and exclaimed, "Your money, or I will fling you into this hole!"	true	206.45	222.7	17
6070_63485_000016_000000	Then the brigand, pushing Seyton backwards, shoved him off his balance, and with one hand held him suspended over the mouth of the deep excavation; whilst, with his other hand, he grasped the arm of Sarah, as if in a vice.	Then the brigand, pushing Seyton backwards, shoved him off his balance, and with one hand held him suspended over the mouth of the deep excavation; whilst, with his other hand, he grasped the arm of Sarah, as if in a vice.	true	223.7	241.57	17
6070_63485_000016_000001	Before Tom could make the slightest struggle, the Chouette had emptied his pockets with singular dexterity.	Before Tom could make the slightest struggle, the Chouette had emptied his pockets with singular dexterity.	true	242.09	249.16	18
6070_63485_000016_000002	Sarah did not utter a cry, nor try to resist; she only said, in a calm tone, "Give up your purse, brother;" and then accosting the robber, "We will make no noise; do not do us any injury."	Sarah did not utter a cry, nor try to resist; she only said, in a calm tone, "Give up your purse, brother;" and then accosting the robber, "We will make no noise; do not do us any injury."	false	249.62	263.71	17.219355
6070_63485_000017_000000	The Chouette, having carefully searched the pockets of the two victims of this ambush, said to Sarah, "Let's see your hands, if you've got any rings.	The Chouette, having carefully searched the pockets of the two victims of this ambush, said to Sarah, "Let's see your hands, if you've got any rings.	false	264.83	276.16	14
6070_63485_000017_000001	No," said the old brute, grumblingly, "no, not one ring.	No," said the old brute, grumblingly, "no, not one ring.	true	276.53	282.615	16.0784
6070_63485_000017_000002	What a shame!"	What a shame!"	true	282.615	283.81	8
6070_63485_000018_000000	Tom Seyton did not lose his presence of mind during this scene, rapidly and unexpectedly as it had occurred.	Tom Seyton did not lose his presence of mind during this scene, rapidly and unexpectedly as it had occurred.	true	284.33	292.45	14
6070_63485_000019_000000	"Will you strike a bargain?	"Will you strike a bargain?	true	293.03	294.49	15
6070_63485_000019_000001	My pocketbook contains papers quite useless to you; return it to me, and to-morrow I will give you twenty-five louis d'ors," said Tom to the Schoolmaster, whose hand relaxed something of its fierce gripe.	My pocketbook contains papers quite useless to you; return it to me, and to morrow I will give you twenty five louis d'ors," said Tom to the Schoolmaster, whose hand relaxed something of its fierce gripe.	true	294.92	310.5	16
6070_63485_000020_000000	"Oh! ah! to lay a trap to catch us," replied the thief.	"Oh! ah! to lay a trap to catch us," replied the thief.	false	310.5	316.21	17.99419
6070_63485_000020_000001	"Be off, without looking behind you, and be thankful that you have escaped so well."	"Be off, without looking behind you, and be thankful that you have escaped so well."	true	316.58	322.3	16
6070_63485_000021_000000	"One moment," said the Chouette; "if he behaves well, he shall have his pocketbook.	"One moment," said the Chouette; "if he behaves well, he shall have his pocketbook.	true	323	329.29	17.303339
6070_63485_000021_000001	There is a way." Then, addressing Thomas Seyton, "You know the plain of St. Denis?"	There is a way." Then, addressing Thomas Seyton, "You know the plain of st Denis?"	false	329.3	336.07	17.21956
6070_63485_000022_000000	"I do."	"I do."	true	336.95	337.87	17
6070_63485_000023_000000	"Do you know where St. Ouen is?"	"Do you know where saint Ouen is?"	false	339.11	341.02	16
6070_63485_000024_000000	"Yes."	"Yes."	true	341.51	342.4	9
6070_63485_000025_000000	"Opposite St. Ouen, at the end of the road of La Revolte, the plain is wide and open.	"Opposite saint Ouen, at the end of the road of La Revolte, the plain is wide and open.	true	343.01	349.36	16.420063
6070_63485_000025_000001	Across the fields, one may see a long way.	Across the fields, one may see a long way.	true	349.88	353.26	16.353569
6070_63485_000025_000002	Come there to-morrow, quite alone, with your money in your hand; you will find me and the pocketbook ready.	Come there to morrow, quite alone, with your money in your hand; you will find me and the pocketbook ready.	false	353.48	360.79	16.144793
6070_63485_000025_000003	Hand me the cash, and I will hand you the pocketbook."	Hand me the cash, and I will hand you the pocketbook."	true	361.16	364.39	17
6070_63485_000026_000000	"But he'll trap you, Chouette."	"But he'll trap you, Chouette."	true	365.18	367.15	17
6070_63485_000027_000000	"Oh, no, he won't; I'm up to him or any of his dodges.	"Oh, no, he won't; I'm up to him or any of his dodges.	true	367.25	372.1	16
6070_63485_000027_000001	We can see a long way off.	We can see a long way off.	true	372.92	375.165	18.029112
6070_63485_000027_000002	I have only one eye, but that is a piercer; and if the 'cove' comes with a companion, he won't find anybody; I shall have 'mizzled.'"	I have only one eye, but that is a piercer; and if the 'cove' comes with a companion, he won't find anybody; I shall have 'mizzled.'"	true	375.165	384.91	17
6070_63485_000028_000000	A sudden idea seemed to strike Sarah, and she said to the brigand, "Will you like to gain some money?"	A sudden idea seemed to strike Sarah, and she said to the brigand, "Will you like to gain some money?"	true	385.49	392.8	15
6070_63485_000029_000000	"Yes."	"Yes."	true	393.47	394.33	17.914371
6070_63485_000030_000000	"Did you see, in the cabaret we have just left--for I know you again--the man whom the charcoal-man came to seek?"	"Did you see, in the cabaret we have just left-for I know you again-the man whom the charcoal man came to seek?"	false	395	402.43	16
6070_63485_000031_000000	"A dandy with moustaches?	"A dandy with moustaches?	true	403.73	405.66	18
6070_63485_000031_000001	Yes, I would have stuck it into the fellow, but he did not give me time.	Yes, I would have stuck it into the fellow, but he did not give me time.	true	405.66	410.95	15
6070_63485_000031_000002	He stunned me with two blows of his fists, and upset me on the table,--for the first time that any man ever did so. Curses on him! but I will be revenged."	He stunned me with two blows of his fists, and upset me on the table,--for the first time that any man ever did so. Curses on him! but I will be revenged."	true	411.08	423.43	17
6070_63485_000032_000000	"He is the man I mean," said Sarah.	"He is the man I mean," said Sarah.	false	424.76	427.39	14
6070_63485_000033_000000	"He?" cried the Schoolmaster, "a thousand francs, and I'll kill him."	"He?" cried the Schoolmaster, "a thousand francs, and I'll kill him."	false	427.58	433.44	17.921654
6070_63485_000034_000000	"Wretch!	"Wretch!	true	433.44	433.86	19
6070_63485_000034_000001	I do not seek his life," replied Sarah to the Schoolmaster.	I do not seek his life," replied Sarah to the Schoolmaster.	true	433.86	437.53	10
6070_63485_000035_000000	"What, then, would you have?"	"What, then, would you have?"	true	438.53	440.14	18
6070_63485_000036_000000	"Come to-morrow to the plain of St. Denis; you will there find my companion," she replied; "you will see that he is alone, and he will tell you what to do.	"Come to morrow to the plain of st Denis; you will there find my companion," she replied; "you will see that he is alone, and he will tell you what to do.	false	440.75	450.94	18
6070_63485_000036_000001	I will not give you one thousand, but two thousand, francs, if you succeed."	I will not give you one thousand, but two thousand, francs, if you succeed."	true	451.4	456.18	15
6070_63485_000037_000000	"_Fourline_," said the Chouette, in a low tone, to the Schoolmaster, "there's 'blunt' to be had; these are a 'swell' lot, who want to be revenged on an enemy, and that enemy is the beggar that you wished to 'floor.' Let's go and meet him.	"underscore Fourline underscore," said the Chouette, in a low tone, to the Schoolmaster, "there's 'blunt' to be had; these are a 'swell' lot, who want to be revenged on an enemy, and that enemy is the beggar that you wished to 'floor.' Let's go and meet him.	false	456.18	474.55	17.33792
6070_63485_000037_000001	I would go, if I were you.	I would go, if I were you.	true	475.04	476.83	13
6070_63485_000037_000002	Fire and smoke!	Fire and smoke!	true	477.14	478.725	14
6070_63485_000037_000003	Old boy, it will pay for looking after."	Old boy, it will pay for looking after."	true	478.725	482.2	15
6070_63485_000038_000000	"Well, my wife shall be there," said the Schoolmaster; "you will tell her what you want, and I shall see--"	"Well, my wife shall be there," said the Schoolmaster; "you will tell her what you want, and I shall see-"	false	482.36	489.64	16
6070_63485_000039_000000	"Be it so; to-morrow at one."	"Be it so; to morrow at one."	true	491.27	493.75	17.807697
6070_63485_000040_000000	"At one o'clock."	"At one o'clock."	true	494.48	495.79	16.196344
6070_63485_000041_000000	"In the plain of St. Denis?"	"In the plain of st Denis?"	false	496.52	498.19	16
6070_63485_000042_000000	"In the plain of St. Denis."	"In the plain of st Denis."	false	498.56	500.32	13
6070_63485_000043_000000	"Between St. Ouen and the road of La Revolte, at the end of the road?"	"Between saint Ouen and the road of La Revolte, at the end of the road?"	false	502.01	506.02	16
6070_63485_000044_000000	"Agreed."	"Agreed."	true	506.18	507.13	16.876072
6070_63485_000045_000000	"I will bring your pocketbook."	"I will bring your pocketbook."	true	507.68	509.65	15.569272
6070_63485_000046_000000	"And you shall have the five hundred francs I promised you, and we will agree in the other matter, if you are reasonable."	"And you shall have the five hundred francs I promised you, and we will agree in the other matter, if you are reasonable."	true	510.86	517.99	15
6070_63485_000047_000000	"Now, you go to the right, and we to the left hand.	"Now, you go to the right, and we to the left hand.	false	518.66	522.04	13
6070_63485_000047_000001	Do not follow us, or else--"	Do not follow us, or else-"	true	522.23	524.11	17
6070_63485_000048_000000	The Schoolmaster and the Chouette hurried off, whilst Tom and the countess went in the other direction, towards Notre Dame.	The Schoolmaster and the Chouette hurried off, whilst Tom and the countess went in the other direction, towards Notre Dame.	false	525.44	534.69	15
6070_63485_000049_000000	A concealed witness had been present at this transaction; it was the Chourineur, who had entered the cellars of the house to get shelter from the rain.	A concealed witness had been present at this transaction; it was the Chourineur, who had entered the cellars of the house to get shelter from the rain.	true	534.69	544.42	19
6070_63485_000049_000001	The proposal which Sarah made to the brigand respecting Rodolph deeply interested the Chourineur, who, alarmed for the perils which appeared about to beset his new friend, regretted that he could not warn him of them.	The proposal which Sarah made to the brigand respecting Rodolph deeply interested the Chourineur, who, alarmed for the perils which appeared about to beset his new friend, regretted that he could not warn him of them.	true	545.21	560.23	18
6070_63485_000049_000002	Perhaps his detestation of the Schoolmaster and the Chouette might have something to do with this feeling.	Perhaps his detestation of the Schoolmaster and the Chouette might have something to do with this feeling.	true	561.11	567.37	15
6070_63485_000050_000000	The Chourineur resolved to inform Rodolph of the danger which threatened him; but how?	The Chourineur resolved to inform Rodolph of the danger which threatened him; but how?	true	568.25	573.97	16.712008
6070_63485_000050_000001	He had forgotten the address of the self-styled fan-painter.	He had forgotten the address of the self styled fan painter.	true	574.19	578.23	16
6070_63485_000050_000002	Perhaps Rodolph would never again come to the _tapis-franc_, and then how could he warn him?	Perhaps Rodolph would never again come to the underscore tapis franc underscore, and then how could he warn him?	false	578.57	584.65	18.70537
6070_63485_000050_000003	Whilst he was conning all this over in his mind, the Chourineur had mechanically followed Tom and Sarah, and saw them get into a coach which awaited them near Notre Dame.	Whilst he was conning all this over in his mind, the Chourineur had mechanically followed Tom and Sarah, and saw them get into a coach which awaited them near Notre Dame.	false	585.38	597.735	18.792244
6070_63485_000051_000000	The _fiacre_ started.	The underscore fiacre underscore started.	false	597.735	599.65	21.932276
6070_63485_000051_000001	The Chourineur got up behind, and at one o'clock it stopped on the Boulevard de l'Observatoire, and Thomas and Sarah went down a narrow entrance, which was close at hand.	The Chourineur got up behind, and at one o'clock it stopped on the Boulevard de l'Observatoire, and Thomas and Sarah went down a narrow entrance, which was close at hand.	true	600.14	611.71	18
6070_63485_000051_000002	The night was pitch dark, and the Chourineur, that he might know the next day the place where he then was, drew from his pocket his clasp-knife, and cut a deep notch in one of the trees at the corner of the entrance, and then returned to his resting-place, which was at a considerable distance.	The night was pitch dark, and the Chourineur, that he might know the next day the place where he then was, drew from his pocket his clasp knife, and cut a deep notch in one of the trees at the corner of the entrance, and then returned to his resting place, which was at a considerable distance.	false	612.26	632.86	19.6512
6070_63485_000052_000000	For the first time for a very long while, the Chourineur enjoyed in his den a comfortable sleep, which was not once interrupted by the horrible vision of the "Sergeant's slaughter-house," as, in his coarse language, he styled it.	For the first time for a very long while, the Chourineur enjoyed in his den a comfortable sleep, which was not once interrupted by the horrible vision of the "Sergeant's slaughter house," as, in his coarse language, he styled it.	false	633.14	653.82	19.199993
