8461_278226_000000_000000	CHAPTER XXXV.	CHAPTER thirty five.	false	0.84	22.125	24.18387
8461_278226_000016_000000	"Ah, but yes, monsieur!" the painter answered, with animated politeness; "it is the work of one of my friends; a young Englishman, of a renown almost universal in Paris."	"Ah, but yes, monsieur!" the painter answered, with animated politeness; "it is the work of one of my friends; a young Englishman, of a renown almost universal in Paris."	false	431.85	445.24	22.301212
8461_278226_000017_000000	"And his name, monsieur?"	"And his name, monsieur?"	true	445.88	447.34	23.970852
8461_278226_000018_000000	"He calls himself Kerstall--Frederick Kerstall; he is the son of an old monsieur, who calls himself also Kerstall, and who had much of celebrity in England it is many years."	"He calls himself Kerstall-Frederick Kerstall; he is the son of an old monsieur, who calls himself also Kerstall, and who had much of celebrity in England it is many years."	true	448.04	459.94	24.0338
8461_278226_000019_000000	"Kerstall!" exclaimed Laura, suddenly; "Mr.	"Kerstall!" exclaimed Laura, suddenly; "mr	true	460.64	464.4	21.812021
8461_278226_000019_000001	Kerstall! why, it was a Mr. Kerstall who painted papa's portrait; I have heard grandpapa say so again and again; and he took it away to Italy with him, promising to bring it back to London when he returned, after a year or two of study. And, oh, Philip, I should so like to see this old Mr. Kerstall; because, you know, he may have kept papa's portrait until this very day, and I should so like to have a picture of my father as he was when he was young, and before the troubles of a long life altered him," Laura said, rather mournfully.	Kerstall! why, it was a mr Kerstall who painted papa's portrait; I have heard grandpapa say so again and again; and he took it away to Italy with him, promising to bring it back to London when he returned, after a year or two of study. And, oh, Philip, I should so like to see this old mr Kerstall; because, you know, he may have kept papa's portrait until this very day, and I should so like to have a picture of my father as he was when he was young, and before the troubles of a long life altered him," Laura said, rather mournfully.	false	464.4	499.57	23.819538
8461_278226_000020_000000	She turned to the French artist presently, and asked him where the elder Mr. Kerstall lived, and if there was any possibility of seeing him.	She turned to the French artist presently, and asked him where the elder mr Kerstall lived, and if there was any possibility of seeing him.	true	501.86	509.71	23.498459
8461_278226_000021_000000	The painter shrugged up his shoulders, and pursed up his mouth, thoughtfully.	The painter shrugged up his shoulders, and pursed up his mouth, thoughtfully.	true	510.8	515.26	23.435595
8461_278226_000022_000000	"But, madame," he said, "this Monsieur Kerstall's father is very old, and he has ceased to paint it is a long time.	"But, madame," he said, "this Monsieur Kerstall's father is very old, and he has ceased to paint it is a long time.	true	515.72	524.32	20.47831
8461_278226_000022_000001	They have said that he is even a little imbecile, that he does not remember himself of the most common events of his life.	They have said that he is even a little imbecile, that he does not remember himself of the most common events of his life.	true	524.96	532.45	22.466864
8461_278226_000022_000002	But there are some others who say that his memory has not altogether failed, and that he is still enough harshly critical towards the works of others."	But there are some others who say that his memory has not altogether failed, and that he is still enough harshly critical towards the works of others."	true	533.45	541.21	22.12254
8461_278226_000023_000000	The Frenchman might have run on much longer upon this subject, but Laura was too impatient to be polite.	The Frenchman might have run on much longer upon this subject, but Laura was too impatient to be polite.	true	542.18	548.05	20
8461_278226_000023_000001	She interrupted him by asking for Mr. Kerstall's address.	She interrupted him by asking for mr Kerstall's address.	false	548.51	551.86	22
8461_278226_000024_000000	The artist took out one of his own cards, and wrote the required address in pencil.	The artist took out one of his own cards, and wrote the required address in pencil.	true	553.28	557.77	26.43358
8461_278226_000025_000000	"It is in the neighbourhood of Notre Dame, madame, in the Rue Cailoux, over the office of a Parisian journal," he said, as he handed the card to Laura.	"It is in the neighbourhood of Notre Dame, madame, in the Rue Cailoux, over the office of a Parisian journal," he said, as he handed the card to Laura.	false	558.71	567.76	24.711172
8461_278226_000025_000001	"I don't think you will have any difficulty in finding the house."	"I don't think you will have any difficulty in finding the house."	true	568.04	571.9	22.142908
8461_278226_000026_000000	Laura thanked the French artist and then took her husband's arm and walked away with him.	Laura thanked the French artist and then took her husband's arm and walked away with him.	true	572.54	577.69	24.213516
8461_278226_000027_000000	"I don't care about looking at any more pictures to-day, Philip," she said; "but, oh, I do wish you would take me to this Mr. Kerstall's studio at once!	"I don't care about looking at any more pictures to day, Philip," she said; "but, oh, I do wish you would take me to this mr Kerstall's studio at once!	false	578.63	587.62	23.13358
8461_278226_000027_000001	You will be doing me such a favour, Philip, if you'll say yes."	You will be doing me such a favour, Philip, if you'll say yes."	true	587.99	591.64	19
8461_278226_000028_000000	"When did I ever say no to anything you asked me, Laura?	"When did I ever say no to anything you asked me, Laura?	true	592.76	596.35	19
8461_278226_000028_000001	We'll go to Mr. Kerstall immediately, if you like.	We'll go to mr Kerstall immediately, if you like.	true	596.66	599.89	24.438747
8461_278226_000028_000002	But why are you so anxious to see this old portrait of your father, my dear?"	But why are you so anxious to see this old portrait of your father, my dear?"	true	600.47	604.72	21
8461_278226_000029_000000	"Because I want to see what he was before he went to India.	"Because I want to see what he was before he went to India.	true	605.6	609.79	19.576889
8461_278226_000029_000001	I want to see what he was when he was bright and young before the world had hardened him.	I want to see what he was when he was bright and young before the world had hardened him.	true	609.95	615.52	22.526737
8461_278226_000029_000002	Ah, Philip, since we have known and loved each other, it seems to me as if I had no thought or care for any one in all this wide world except yourself.	Ah, Philip, since we have known and loved each other, it seems to me as if I had no thought or care for any one in all this wide world except yourself.	true	616.07	626.05	22.905586
8461_278226_000029_000003	But before that time I was very unhappy about my father.	But before that time I was very unhappy about my father.	true	626.84	631.48	23.917685
8461_278226_000029_000004	I had expected that he would be so fond of me.	I had expected that he would be so fond of me.	true	632.39	635.92	22.547688
8461_278226_000029_000005	I had so built upon his return to England, thinking that we should be nearer and dearer to each other than any father and daughter ever were before.	I had so built upon his return to England, thinking that we should be nearer and dearer to each other than any father and daughter ever were before.	false	636.44	646.6	21.985615
8461_278226_000029_000006	I had thought all this, Philip; night after night I had dreamt the same dream,--the bright happy dream in which my father came home to me, the fond foolish dream in which I felt his strong arms folded round me, and his true heart beating against my own.	I had thought all this, Philip; night after night I had dreamt the same dream,--the bright happy dream in which my father came home to me, the fond foolish dream in which I felt his strong arms folded round me, and his true heart beating against my own.	true	647.84	665.01	22
8461_278226_000029_000007	But when he did come at last, it seemed to me as if this father was a man of stone; his white fixed face repelled me; his cold hard voice turned my blood to ice.	But when he did come at last, it seemed to me as if this father was a man of stone; his white fixed face repelled me; his cold hard voice turned my blood to ice.	false	665.01	679.42	24.635628
8461_278226_000029_000008	I was frightened of him, Philip; I was frightened of my own father; and little by little we grew to shun each other, till at last we met like strangers, or something worse than strangers; for I have seen my father look at me with an expression of absolute horror in his stern cruel eyes.	I was frightened of him, Philip; I was frightened of my own father; and little by little we grew to shun each other, till at last we met like strangers, or something worse than strangers; for I have seen my father look at me with an expression of absolute horror in his stern cruel eyes.	false	680.27	701.14	22.793344
8461_278226_000029_000009	Can you wonder, then, that I want to see what he was in his youth? I shall learn to love him, perhaps, if I can see the smiling image of his lost youth."	Can you wonder, then, that I want to see what he was in his youth? I shall learn to love him, perhaps, if I can see the smiling image of his lost youth."	false	702.08	714.06	20.481756
8461_278226_000030_000000	Laura said all this in a very low voice as she walked with her husband through the garden of the Luxembourg.	Laura said all this in a very low voice as she walked with her husband through the garden of the Luxembourg.	true	714.06	720.4	21.243406
8461_278226_000030_000001	She walked very fast; for she was as eager as a child who is intent upon some scheme of pleasure.	She walked very fast; for she was as eager as a child who is intent upon some scheme of pleasure.	false	720.5	740.88	23.044722
