367_130732_000000_000000	Lobsters and Lobsters	Lobsters and Lobsters	true	20.295	22.09	19
367_130732_000005_000002	Heat the butter and stir in with the lobster and wine, then place this in a stewpan, or chafing dish, and cook for eight minutes.	Heat the butter and stir in with the lobster and wine, then place this in a stewpan, or chafing dish, and cook for eight minutes.	false	138.2	145.84	19.879068
367_130732_000005_000003	Have the yolks of eggs well beaten and add to them the cream and lobster fat, stir well and then stir in a teaspoonful of flour.	Have the yolks of eggs well beaten and add to them the cream and lobster fat, stir well and then stir in a teaspoonful of flour.	false	146.09	153.4	22.879902
367_130732_000005_000004	Put this in a double boiler and let cook until thick, stirring constantly.	Put this in a double boiler and let cook until thick, stirring constantly.	true	153.53	157.72	20
367_130732_000005_000005	When this is cooked pour it over the lobster and let all cook together for three minutes.	When this is cooked pour it over the lobster and let all cook together for three minutes.	true	157.82	162.49	21.253773
367_130732_000005_000006	Serve in a chafing dish with thin slices of dry toast.	Serve in a chafing dish with thin slices of dry toast.	true	162.56	165.94	20.772171
367_130732_000006_000000	King of Shell Fish	King of Shell Fish	true	166.97	168.49	24.338264
367_130732_000007_000000	One has to come to San Francisco to partake of the king of shell fish-- the mammoth Pacific crab.	One has to come to San Francisco to partake of the king of shell fish- the mammoth Pacific crab.	true	168.62	174.36	23.302572
367_130732_000007_000001	I say "come to San Francisco" advisedly, for while the crab is found all along the coast it is prepared nowhere so deliciously as in San Francisco.	I say "come to San Francisco" advisedly, for while the crab is found all along the coast it is prepared nowhere so deliciously as in San Francisco.	true	174.36	182.65	21.0807
367_130732_000007_000002	Of course our friends in Portland will take exception to this, but the fact remains that nowhere except in San Francisco have so many restaurants become famous because of the way they prepare the crab.	Of course our friends in Portland will take exception to this, but the fact remains that nowhere except in San Francisco have so many restaurants become famous because of the way they prepare the crab.	false	182.81	192.55	21.66337
367_130732_000007_000003	The Pacific crab is peculiar, and while it has not the gigantic claws such as are to be seen on those in the Parisian and London markets, its meat is much more delicate in flavor, and the dishes of crab prepared by artists of the gastronomic profession in San Francisco are more savory than those found elsewhere.	The Pacific crab is peculiar, and while it has not the gigantic claws such as are to be seen on those in the Parisian and London markets, its meat is much more delicate in flavor, and the dishes of crab prepared by artists of the gastronomic profession in San Francisco are more savory than those found elsewhere.	false	193.01	209.68	22.394934
367_130732_000008_000000	In the pre-fire days there were many places which paid especial attention to the cooking of the crab, among them being the Cobweb Palace, previously mentioned, and Gobey's.	In the pre fire days there were many places which paid especial attention to the cooking of the crab, among them being the Cobweb Palace, previously mentioned, and Gobey's.	false	210.56	219.52	21.968592
367_130732_000008_000001	Gobey ran one of those places which was not in good repute, consequently when ladies went there they were usually veiled and slipped in through an alley, but the enticement of Gobey's crab stew was too much for conventionality and his little private rooms were always full.	Gobey ran one of those places which was not in good repute, consequently when ladies went there they were usually veiled and slipped in through an alley, but the enticement of Gobey's crab stew was too much for conventionality and his little private rooms were always full.	true	219.77	235.15	20.53076
367_130732_000009_000000	Gobey's passed with the fire, and the little restaurant bearing his name, and in charge of his widow, in Union Square avenue, has not attained the fame of the old place.	Gobey's passed with the fire, and the little restaurant bearing his name, and in charge of his widow, in Union Square avenue, has not attained the fame of the old place.	true	236.21	244.45	21.981834
367_130732_000009_000001	It is possible that she knows the secret of preparing crab as it was prepared in the Gobey's of before the fire, but his prestige did not descend to her.	It is possible that she knows the secret of preparing crab as it was prepared in the Gobey's of before the fire, but his prestige did not descend to her.	true	244.61	252.85	24
367_130732_000010_000000	Almost all of the Italian restaurants will give you crab in many forms, and all of them are good; many restaurants use crab meat for flavoring other, dishes, but of all the recipes for cooking crab we have found none that we consider so good as that of Gobey's.	Almost all of the Italian restaurants will give you crab in many forms, and all of them are good; many restaurants use crab meat for flavoring other, dishes, but of all the recipes for cooking crab we have found none that we consider so good as that of Gobey's.	false	253.61	267.46	21.343742
367_130732_000010_000001	It is as follows:	It is as follows:	true	267.47	268.84	25.615286
367_130732_000011_000000	Gobey's Crab Stew	Gobey's Crab Stew	true	269.93	271.57	27.49979
367_130732_000012_000000	Take the meat of one large crab, scraping out all of the fat from the shell.	Take the meat of one large crab, scraping out all of the fat from the shell.	false	272.18	276.37	26.151516
367_130732_000012_000001	One good-sized onion, one tomato, one sweet pepper, one teaspoonful of butter, one teaspoonful of flour, half a glass of sherry, a pinch of rosemary, one clove of garlic, paprika, salt and minionette pepper.	One good sized onion, one tomato, one sweet pepper, one teaspoonful of butter, one teaspoonful of flour, half a glass of sherry, a pinch of rosemary, one clove of garlic, paprika, salt and minionette pepper.	false	276.71	290.77	21.613132
367_130732_000012_000002	Soak the crab meat in the sherry two hours before cooking.	Soak the crab meat in the sherry two hours before cooking.	true	291.44	294.67	23.046509
367_130732_000012_000003	Chop fine the onion, sweet pepper and tomato with the rosemary.	Chop fine the onion, sweet pepper and tomato with the rosemary.	true	295.04	298.9	22.393429
367_130732_000012_000004	Mash the clove of garlic, rubbing thoroughly in a mortar and on this put the butter and flour, mixing well together, and gradually adding the salt and minionette pepper, and stir in two tablespoonfuls of cream.	Mash the clove of garlic, rubbing thoroughly in a mortar and on this put the butter and flour, mixing well together, and gradually adding the salt and minionette pepper, and stir in two tablespoonfuls of cream.	false	299.18	310.96	22
367_130732_000012_000005	Heat this in a stewpan and when simmering add the sherry and crab meat and let all cook together with a slow fire for eight minutes.	Heat this in a stewpan and when simmering add the sherry and crab meat and let all cook together with a slow fire for eight minutes.	true	311.36	318.67	21.971815
367_130732_000012_000006	Serve in a chafing dish with toasted crackers or thin slices of toasted bread.	Serve in a chafing dish with toasted crackers or thin slices of toasted bread.	true	319.01	323.32	22
367_130732_000012_000007	A dash of Worcestershire sauce just before it is taken up adds to the flavor.	A dash of Worcestershire sauce just before it is taken up adds to the flavor.	true	323.54	328.6	21.95971
367_130732_000013_000000	Lobster in Miniature	Lobster in Miniature	true	329.54	331.36	22.541021
367_130732_000014_000000	Crawfish, or ecravisse, has never been very popular in San Francisco, probably because there are so many other delicate crustaceans that are more easily handled, yet the crawfish grows to perfection in Pacific waters, and importation's of them from Portland, Oregon, are becoming quite an industry.	Crawfish, or ecravisse, has never been very popular in San Francisco, probably because there are so many other delicate crustaceans that are more easily handled, yet the crawfish grows to perfection in Pacific waters, and importation's of them from portland oregon, are becoming quite an industry.	false	332	348.91	22.375374
367_130732_000014_000001	So far it has been used mostly for garnishment of other dishes, and it is only recently that the Hof Brau has been making a specialty of them.	So far it has been used mostly for garnishment of other dishes, and it is only recently that the Hof Brau has been making a specialty of them.	false	349.19	356.38	20.745646
367_130732_000014_000002	All of the better class restaurants, however, will serve them if you order them.	All of the better class restaurants, however, will serve them if you order them.	false	356.69	360.49	19.814919
367_130732_000015_000000	The full flavor of the crawfish is best obtained in a bisque, and the best recipe for this is by the famous chef Francatelli, who boasts having been the head of the cuisine of Queen Victoria.	The full flavor of the crawfish is best obtained in a bisque, and the best recipe for this is by the famous chef Francatelli, who boasts having been the head of the cuisine of Queen Victoria.	false	361.67	372.225	21.867186
367_130732_000015_000001	His recipe is long, and its preparation requires much patience, but the result is such a gastronomic marvel that one never regrets the time spent in its accomplishment.	His recipe is long, and its preparation requires much patience, but the result is such a gastronomic marvel that one never regrets the time spent in its accomplishment.	false	372.225	381.7	21.925064
367_130732_000015_000002	This is the recipe for eight people, and it is well worth trying if you are giving a dinner of importance:	This is the recipe for eight people, and it is well worth trying if you are giving a dinner of importance:	true	381.86	387.52	22.310272
367_130732_000016_000000	Bisque of Crawfish	Bisque of Crawfish	true	388.61	390.19	26.138983
367_130732_000017_000000	Take thirty crawfish, from which remove the gut containing the gall in the following manner: Take firm hold of the crawfish with the left hand so as to avoid being pinched by its claws; with the thumb and forefinger of the right hand pinch the extreme end of the central fin of the tail, and, with a sudden jerk, the gut will be withdrawn.	Take thirty crawfish, from which remove the gut containing the gall in the following manner: Take firm hold of the crawfish with the left hand so as to avoid being pinched by its claws; with the thumb and forefinger of the right hand pinch the extreme end of the central fin of the tail, and, with a sudden jerk, the gut will be withdrawn.	true	390.56	408.64	20.870535
367_130732_000018_000000	Mince or cut into small dice a carrot, an onion, one head of celery and a few parsley roots, and to these add a bay leaf, a sprig of thyme, a little minionette pepper and two ounces of butter.	Mince or cut into small dice a carrot, an onion, one head of celery and a few parsley roots, and to these add a bay leaf, a sprig of thyme, a little minionette pepper and two ounces of butter.	false	409.82	422.44	22.476475
367_130732_000018_000001	Put these ingredients into a stewpan and fry them ten minutes, then throw in the crawfish and pour on them half a bottle of French white wine.	Put these ingredients into a stewpan and fry them ten minutes, then throw in the crawfish and pour on them half a bottle of French white wine.	true	422.96	431.17	21.322468
367_130732_000018_000002	Allow this to boil and then add a quart of strong consomme and let all continue boiling for half an hour.	Allow this to boil and then add a quart of strong consomme and let all continue boiling for half an hour.	true	431.39	437.38	23.359186
367_130732_000018_000003	Pick out the crawfish and strain the broth through a napkin by pressure into a basin in order to extract all the essence from the vegetables.	Pick out the crawfish and strain the broth through a napkin by pressure into a basin in order to extract all the essence from the vegetables.	true	437.75	445.3	21.661427
367_130732_000019_000000	Pick the shells off twenty-five of the crawfish tails, trim them neatly and set them aside until wanted.	Pick the shells off twenty five of the crawfish tails, trim them neatly and set them aside until wanted.	false	446.81	453.16	20.868597
367_130732_000019_000001	Reserve some of the spawn, also half of the body shells with which to make the crawfish butter to finish the soup.	Reserve some of the spawn, also half of the body shells with which to make the crawfish butter to finish the soup.	true	453.38	459.94	21.41895
367_130732_000019_000002	This butter is made as follows: Place the shells on a baking sheet in the oven to dry; let the shells cool and then pound them in a mortar with a little lobster coral and four ounces of fresh butter, thoroughly bruising the whole together so as to make a fine paste.	This butter is made as follows: Place the shells on a baking sheet in the oven to dry; let the shells cool and then pound them in a mortar with a little lobster coral and four ounces of fresh butter, thoroughly bruising the whole together so as to make a fine paste.	true	460.1	475.69	21.167576
367_130732_000019_000003	Put this in a stewpan and set it over a slow fire to simmer for about five minutes, then rub it through a sieve with considerable pressure into a basin containing ice water.	Put this in a stewpan and set it over a slow fire to simmer for about five minutes, then rub it through a sieve with considerable pressure into a basin containing ice water.	true	475.97	486.04	21.889408
367_130732_000019_000004	As soon as the colored crawfish butter is become firmly set, through the coldness of the water, take it out and put it into a small basin and set in the refrigerator until wanted.	As soon as the colored crawfish butter is become firmly set, through the coldness of the water, take it out and put it into a small basin and set in the refrigerator until wanted.	false	486.53	497.14	21.341944
367_130732_000020_000000	Reverting to the original recipe: Take the remainder of the crawfish and add thereto three anchovies, washed for the purpose, and also the crusts of French rolls, fried to a light brown color in butter.	Reverting to the original recipe: Take the remainder of the crawfish and add thereto three anchovies, washed for the purpose, and also the crusts of French rolls, fried to a light brown color in butter.	true	498.8	511.33	22.11292
367_130732_000020_000001	Pound all these thoroughly together and then put them into a stewpan with the broth that has been reserved in a basin, and having warmed the bisque thus prepared rub it through a sieve into a fine puree.	Pound all these thoroughly together and then put them into a stewpan with the broth that has been reserved in a basin, and having warmed the bisque thus prepared rub it through a sieve into a fine puree.	true	511.64	522.67	21.290354
367_130732_000020_000002	Put this puree into a soup pot and finish by incorporating therewith the crawfish butter and season with a little cayenne pepper and the juice of half a lemon.	Put this puree into a soup pot and finish by incorporating therewith the crawfish butter and season with a little cayenne pepper and the juice of half a lemon.	true	523.01	531.91	21
367_130732_000020_000003	Pour the bisque quite hot into the tureen in which have been placed the crawfish tails, and send to the table.	Pour the bisque quite hot into the tureen in which have been placed the crawfish tails, and send to the table.	true	532.31	538.27	20.92176
367_130732_000021_000000	This is not so difficult as it appears when you are reading it and if you wish to have something extra fine take the necessary time and patience and prepare it.	This is not so difficult as it appears when you are reading it and if you wish to have something extra fine take the necessary time and patience and prepare it.	false	538.76	547.77	21.022297
367_130732_000022_000000	Clams and Abalone's	Clams and Abalone's	false	547.77	549.03	18.275377
367_130732_000023_000000	We cannot dispose of the shell fish of San Francisco without a word or two about clams, for certainly there is no place where they are in greater variety and better flavor.	We cannot dispose of the shell fish of San Francisco without a word or two about clams, for certainly there is no place where they are in greater variety and better flavor.	false	549.03	550.44	17
367_130732_000023_000001	In fact the clam is the only bivalve of this part of the coast that has a distinctive and good flavor. Several varieties are to be found in the markets, the best and rarest being the little rock clams that come from around Drake's Bay, just above the entrance to Golden Gate.	In fact the clam is the only bivalve of this part of the coast that has a distinctive and good flavor. Several varieties are to be found in the markets, the best and rarest being the little rock clams that come from around Drake's Bay, just above the entrance to Golden Gate.	false	550.44	552.72	8
367_130732_000023_000002	These are most delicious in flavor and should never be eaten otherwise than raw.	These are most delicious in flavor and should never be eaten otherwise than raw.	false	552.72	553.32	-20
367_130732_000023_000003	The sand, or hard shell, or as they are sometimes called little necks, are next in choiceness, and then come the Pismo beach clams, noted for their flavor and enormous size.	The sand, or hard shell, or as they are sometimes called little necks, are next in choiceness, and then come the Pismo beach clams, noted for their flavor and enormous size.	false	553.32	554.67	1
367_130732_000023_000004	The mud clam is good for chowder but not so good as either of the other varieties mentioned.	The mud clam is good for chowder but not so good as either of the other varieties mentioned.	false	554.67	555.45	-20
