367_130732_000000_000000	Lobsters and Lobsters	Lobsters and Lobsters
367_130732_000009_000000	Gobey's passed with the fire, and the little restaurant bearing his name, and in charge of his widow, in Union Square avenue, has not attained the fame of the old place.	Gobey's passed with the fire, and the little restaurant bearing his name, and in charge of his widow, in Union Square avenue, has not attained the fame of the old place.
367_130732_000009_000001	It is possible that she knows the secret of preparing crab as it was prepared in the Gobey's of before the fire, but his prestige did not descend to her.	It is possible that she knows the secret of preparing crab as it was prepared in the Gobey's of before the fire, but his prestige did not descend to her.
367_130732_000010_000001	It is as follows:	It is as follows:
367_130732_000011_000000	Gobey's Crab Stew	Gobey's Crab Stew
367_130732_000012_000002	Soak the crab meat in the sherry two hours before cooking.	Soak the crab meat in the sherry two hours before cooking.
367_130732_000012_000003	Chop fine the onion, sweet pepper and tomato with the rosemary.	Chop fine the onion, sweet pepper and tomato with the rosemary.
367_130732_000012_000005	Heat this in a stewpan and when simmering add the sherry and crab meat and let all cook together with a slow fire for eight minutes.	Heat this in a stewpan and when simmering add the sherry and crab meat and let all cook together with a slow fire for eight minutes.
367_130732_000012_000006	Serve in a chafing dish with toasted crackers or thin slices of toasted bread.	Serve in a chafing dish with toasted crackers or thin slices of toasted bread.
367_130732_000012_000007	A dash of Worcestershire sauce just before it is taken up adds to the flavor.	A dash of Worcestershire sauce just before it is taken up adds to the flavor.
367_130732_000013_000000	Lobster in Miniature	Lobster in Miniature
367_130732_000015_000002	This is the recipe for eight people, and it is well worth trying if you are giving a dinner of importance:	This is the recipe for eight people, and it is well worth trying if you are giving a dinner of importance:
367_130732_000016_000000	Bisque of Crawfish	Bisque of Crawfish
367_130732_000017_000000	Take thirty crawfish, from which remove the gut containing the gall in the following manner: Take firm hold of the crawfish with the left hand so as to avoid being pinched by its claws; with the thumb and forefinger of the right hand pinch the extreme end of the central fin of the tail, and, with a sudden jerk, the gut will be withdrawn.	Take thirty crawfish, from which remove the gut containing the gall in the following manner: Take firm hold of the crawfish with the left hand so as to avoid being pinched by its claws; with the thumb and forefinger of the right hand pinch the extreme end of the central fin of the tail, and, with a sudden jerk, the gut will be withdrawn.
367_130732_000018_000001	Put these ingredients into a stewpan and fry them ten minutes, then throw in the crawfish and pour on them half a bottle of French white wine.	Put these ingredients into a stewpan and fry them ten minutes, then throw in the crawfish and pour on them half a bottle of French white wine.
367_130732_000018_000002	Allow this to boil and then add a quart of strong consomme and let all continue boiling for half an hour.	Allow this to boil and then add a quart of strong consomme and let all continue boiling for half an hour.
367_130732_000018_000003	Pick out the crawfish and strain the broth through a napkin by pressure into a basin in order to extract all the essence from the vegetables.	Pick out the crawfish and strain the broth through a napkin by pressure into a basin in order to extract all the essence from the vegetables.
367_130732_000019_000001	Reserve some of the spawn, also half of the body shells with which to make the crawfish butter to finish the soup.	Reserve some of the spawn, also half of the body shells with which to make the crawfish butter to finish the soup.
367_130732_000019_000002	This butter is made as follows: Place the shells on a baking sheet in the oven to dry; let the shells cool and then pound them in a mortar with a little lobster coral and four ounces of fresh butter, thoroughly bruising the whole together so as to make a fine paste.	This butter is made as follows: Place the shells on a baking sheet in the oven to dry; let the shells cool and then pound them in a mortar with a little lobster coral and four ounces of fresh butter, thoroughly bruising the whole together so as to make a fine paste.
367_130732_000019_000003	Put this in a stewpan and set it over a slow fire to simmer for about five minutes, then rub it through a sieve with considerable pressure into a basin containing ice water.	Put this in a stewpan and set it over a slow fire to simmer for about five minutes, then rub it through a sieve with considerable pressure into a basin containing ice water.
367_130732_000020_000000	Reverting to the original recipe: Take the remainder of the crawfish and add thereto three anchovies, washed for the purpose, and also the crusts of French rolls, fried to a light brown color in butter.	Reverting to the original recipe: Take the remainder of the crawfish and add thereto three anchovies, washed for the purpose, and also the crusts of French rolls, fried to a light brown color in butter.
367_130732_000020_000001	Pound all these thoroughly together and then put them into a stewpan with the broth that has been reserved in a basin, and having warmed the bisque thus prepared rub it through a sieve into a fine puree.	Pound all these thoroughly together and then put them into a stewpan with the broth that has been reserved in a basin, and having warmed the bisque thus prepared rub it through a sieve into a fine puree.
367_130732_000020_000002	Put this puree into a soup pot and finish by incorporating therewith the crawfish butter and season with a little cayenne pepper and the juice of half a lemon.	Put this puree into a soup pot and finish by incorporating therewith the crawfish butter and season with a little cayenne pepper and the juice of half a lemon.
367_130732_000020_000003	Pour the bisque quite hot into the tureen in which have been placed the crawfish tails, and send to the table.	Pour the bisque quite hot into the tureen in which have been placed the crawfish tails, and send to the table.
