7975_280084_000000_000001	THE NORTHFIELD RAID	THE NORTHFIELD RAID
7975_280084_000016_000000	"With a flourish of his revolver one of the robbers pointed to Joseph L. Heywood, head bookkeeper, who was acting as cashier in the absence of that official, and asked:"	"With a flourish of his revolver one of the robbers pointed to Joseph l Heywood, head bookkeeper, who was acting as cashier in the absence of that official, and asked:"
7975_280084_000017_000000	" 'Are you the cashier?' "	" 'Are you the cashier?' "
7975_280084_000018_000000	" 'No,' " replied Heywood, and the same question was put to A. E. Bunker, teller, and Frank J. Wilcox, assistant bookkeeper, each of whom made the same reply.	" 'No,' " replied Heywood, and the same question was put to a e Bunker, teller, and Frank j Wilcox, assistant bookkeeper, each of whom made the same reply.
7975_280084_000019_000000	" 'You are the cashier,' said the robber, turning upon Heywood, who was sitting at the cashier's desk.	" 'You are the cashier,' said the robber, turning upon Heywood, who was sitting at the cashier's desk.
7975_280084_000019_000001	'Open that safe--quick or I'll blow your head off.' "	'Open that safe-quick or I'll blow your head off.' "
7975_280084_000020_000000	"Pitts then ran to the vault and stepped inside, whereupon Heywood followed him and tried to shut him in."	"Pitts then ran to the vault and stepped inside, whereupon Heywood followed him and tried to shut him in."
7975_280084_000025_000000	Bunker tried to get a pistol that lay near him, but Pitts saw his movement and beat him to it.	Bunker tried to get a pistol that lay near him, but Pitts saw his movement and beat him to it.
7975_280084_000027_000001	The shutters were closed, and this caused Bunker an instant's delay that was almost fatal.	The shutters were closed, and this caused Bunker an instant's delay that was almost fatal.
7975_280084_000027_000002	Pitts chased him with a bullet.	Pitts chased him with a bullet.
7975_280084_000027_000003	The first one missed him, but the second went through his right shoulder.	The first one missed him, but the second went through his right shoulder.
7975_280084_000028_000000	As the men left the bank Heywood clambered to his feet and Pitts, in his liquor, shot him through the head, inflicting the wound that killed him.	As the men left the bank Heywood clambered to his feet and Pitts, in his liquor, shot him through the head, inflicting the wound that killed him.
7975_280084_000029_000000	We had no time to wreck the telegraph office, and the alarm was soon sent throughout the country.	We had no time to wreck the telegraph office, and the alarm was soon sent throughout the country.
7975_280084_000030_000000	Gov. John S. Pillsbury first offered $1,000 reward for the arrest of the six who had escaped, and this he changed afterward to $1,000 for each of them, dead or alive.	governor John s Pillsbury first offered one thousand dollars reward for the arrest of the six who had escaped, and this he changed afterward to one thousand dollars for each of them, dead or alive.
