7018_75789_000000_000000	When it was the Five Hundred and Sixty-first Night,	When it was the Five Hundred and Sixty first Night,	true	19.98	22.51	15
7018_75789_000003_000004	As soon as these blackamoors[FN#80] saw that I was awake, they came up to me and bespoke me in their speech; but I understood not what they said and thought that this was a dream and a vision which had betided me for stress of concern and chagrin.	As soon as these blackamoors[f n # eighty] saw that I was awake, they came up to me and bespoke me in their speech; but I understood not what they said and thought that this was a dream and a vision which had betided me for stress of concern and chagrin.	false	295.52	310.42	22.567265
7018_75789_000003_000005	But I was delighted at my escape from the river.	But I was delighted at my escape from the river.	true	311.06	313.87	23.089619
7018_75789_000003_000006	When they saw I understood them not and made them no answer, one of them came forward and said to me in Arabic, "Peace be with thee, O my brother!	When they saw I understood them not and made them no answer, one of them came forward and said to me in Arabic, "Peace be with thee, O my brother!	true	313.91	322.93	20.134403
7018_75789_000003_000007	Who art thou and whence faredst thou thither?	Who art thou and whence faredst thou thither?	false	322.97	326.67	23.073479
7018_75789_000003_000008	How camest thou into this river and what manner of land lies behind yonder mountains, for never knew we any one make his way thence to us?" Quoth I, "And upon thee be peace and the ruth of Allah and his blessing!	How camest thou into this river and what manner of land lies behind yonder mountains, for never knew we any one make his way thence to us?" Quoth I, "And upon thee be peace and the ruth of Allah and his blessing!	false	326.67	342.55	22.556118
7018_75789_000003_000009	Who are ye and what country is this?" "O my brother," answered he, "we are husbandmen and tillers of the soil, who came out to water our fields and plantations; and, finding thee asleep on this raft, laid hold of it and made it fast by us, against thou shouldst awake at thy leisure.	Who are ye and what country is this?" "O my brother," answered he, "we are husbandmen and tillers of the soil, who came out to water our fields and plantations; and, finding thee asleep on this raft, laid hold of it and made it fast by us, against thou shouldst awake at thy leisure.	true	343.43	363.13	21.386929
7018_75789_000003_000010	So tell us how thou camest hither?" I answered, "For Allah's sake, O my lord, ere I speak give me somewhat to eat, for I am starving, and after ask me what thou wilt." So he hastened to fetch me food and I ate my fill, till I was refreshed and my fear was calmed by a good belly-full and my life returned to me.	So tell us how thou camest hither?" I answered, "For Allah's sake, O my lord, ere I speak give me somewhat to eat, for I am starving, and after ask me what thou wilt." So he hastened to fetch me food and I ate my fill, till I was refreshed and my fear was calmed by a good belly full and my life returned to me.	false	364.4	388.03	22.46758
7018_75789_000003_000011	Then I rendered thanks to the Most High for mercies great and small, glad to be out of the river and rejoicing to be amongst them, and I told them all my adventures from first to last, especially my troubles in the narrow channel.--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	Then I rendered thanks to the Most High for mercies great and small, glad to be out of the river and rejoicing to be amongst them, and I told them all my adventures from first to last, especially my troubles in the narrow channel.--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	false	389.39	411.55	22.5527
7018_75789_000004_000000	When it was the Five Hundred and Sixty-second Night,	When it was the Five Hundred and Sixty second Night,	true	414.23	417.19	20
7018_75789_000005_000000	She said, It hath reached me, O auspicious King, that Sindbad the Seaman continued:--When I landed and found myself amongst the Indians and Abyssinians and had taken some rest, they consulted among themselves and said to one another, "There is no help for it but we carry him with us and present him to our King, that he may acquaint him with his adventures." So they took me, together with the raft-boat and its lading of monies and merchandise; jewels, minerals and golden gear, and brought me to their King, who was King of Sarandib,[FN#81] telling him what had happened; whereupon he saluted me and bade me welcome.	She said, It hath reached me, O auspicious King, that Sindbad the Seaman continued:--When I landed and found myself amongst the Indians and Abyssinians and had taken some rest, they consulted among themselves and said to one another, "There is no help for it but we carry him with us and present him to our King, that he may acquaint him with his adventures." So they took me, together with the raft boat and its lading of monies and merchandise; jewels, minerals and golden gear, and brought me to their King, who was King of Sarandib,[f n # eighty one] telling him what had happened; whereupon he saluted me and bade me welcome.	false	417.95	458.23	21.122898
7018_75789_000005_000001	Then he questioned me of my condition and adventures through the man who had spoken Arabic and I repeated to him my story from beginning to end, whereat he marvelled exceedingly and gave me joy of my deliverance; after which I arose and fetched from the raft great store of precious ores and jewels and ambergris and lign-aloes and presented them to the King, who accepted them and entreated me with the utmost honour, appointing me a lodging in his own palace.	Then he questioned me of my condition and adventures through the man who had spoken Arabic and I repeated to him my story from beginning to end, whereat he marvelled exceedingly and gave me joy of my deliverance; after which I arose and fetched from the raft great store of precious ores and jewels and ambergris and l i g n aloes and presented them to the King, who accepted them and entreated me with the utmost honour, appointing me a lodging in his own palace.	false	458.75	487.09	21.810354
7018_75789_000005_000002	So I consorted with the chief of the islanders, and they paid me the utmost respect.	So I consorted with the chief of the islanders, and they paid me the utmost respect.	true	488.09	493	22.643682
7018_75789_000005_000003	And I quitted not the royal palace. Now the Island Sarandib lieth under the equinoctial line, its night and day both numbering twelve house.	And I quitted not the royal palace. Now the Island Sarandib lieth under the equinoctial line, its night and day both numbering twelve house.	false	493.34	503.49	21.294712
7018_75789_000005_000004	It measureth eighty leagues long by a breadth of thirty and its wideth is bounded by a lofty mountain[FN#82] and a deep valley, The mountain is conspicuous from a distance of three days and it containeth many kinds of rubies and other minerals, and spice-trees of all sorts. The surface is covered with emery wherewith gems are cut and fashioned; diamonds are in its rivers and pearls are in its valleys.	It measureth eighty leagues long by a breadth of thirty and its wideth is bounded by a lofty mountain[f n # eighty two] and a deep valley, The mountain is conspicuous from a distance of three days and it containeth many kinds of rubies and other minerals, and spice trees of all sorts. The surface is covered with emery wherewith gems are cut and fashioned; diamonds are in its rivers and pearls are in its valleys.	false	503.49	529.36	22.126574
7018_75789_000005_000005	I ascended that mountain and solaced myself with a view of its marvels which are indescribable and afterwards I returned to the King.[FN#83] Thereupon, all the travellers and merchants who came to the place questioned me of the affairs of my native land and of the Caliph Harun al-Rashid and his rule and I told them of him and of that wherefor he was renowned, and they praised him because of this; whilst I in turn questioned them of the manners and customers of their own countries and got the knowledge I desired.	I ascended that mountain and solaced myself with a view of its marvels which are indescribable and afterwards I returned to the King.[f n # eighty three] Thereupon, all the travellers and merchants who came to the place questioned me of the affairs of my native land and of the Caliph Harun al Rashid and his rule and I told them of him and of that wherefor he was renowned, and they praised him because of this; whilst I in turn questioned them of the manners and customers of their own countries and got the knowledge I desired.	false	529.88	561.22	21.39857
7018_75789_000005_000006	One day, the King himself asked me of the fashions and form of government of my country, and I acquainted him with the circumstance of the Caliph's sway in the city of Baghdad and the justice of his rule.	One day, the King himself asked me of the fashions and form of government of my country, and I acquainted him with the circumstance of the Caliph's sway in the city of Baghdad and the justice of his rule.	true	562.01	573.82	21.225626
7018_75789_000005_000007	The King marvelled at my account of his appointments and said, "By Allah, the Caliph's ordinances are indeed wise and his fashions of praiseworthy guise and thou hast made me love him by what thou tellest me; wherefore I have a mind to make him a present and send it by thee." Quoth I, "Hearkening and obedience, O my lord; I will bear thy gift to him and inform him that thou art his sincere lover and true friend." Then I abode with the King in great honour and regard and consideration for a long while till, one day, as I sat in his palace, I heard news of a company of merchants, that were fitting out a ship for Bassorah, and said to myself, "I cannot do better than voyage with these men." So I rose without stay or delay and kissed the King's hand and acquainted him with my longing to set out with the merchants, for that I pined after my people and mine own land.	The King marvelled at my account of his appointments and said, "By Allah, the Caliph's ordinances are indeed wise and his fashions of praiseworthy guise and thou hast made me love him by what thou tellest me; wherefore I have a mind to make him a present and send it by thee." Quoth I, "Hearkening and obedience, O my lord; I will bear thy gift to him and inform him that thou art his sincere lover and true friend." Then I abode with the King in great honour and regard and consideration for a long while till, one day, as I sat in his palace, I heard news of a company of merchants, that were fitting out a ship for Bassorah, and said to myself, "I cannot do better than voyage with these men." So I rose without stay or delay and kissed the King's hand and acquainted him with my longing to set out with the merchants, for that I pined after my people and mine own land.	false	574.55	634.54	21.05442
7018_75789_000005_000008	Quoth he, "Thou art thine own master; yet, if it be thy will to abide with us, on our head and eyes be it, for thou gladdenest us with thy company." "By Allah, O my lord," answered I, "thou hast indeed overwhelmed me with thy favours and well- doings; but I weary for a sight of my friends and family and native country." When he heard this, he summoned the merchants in question and commended me to their care, paying my freight and passage-money.	Quoth he, "Thou art thine own master; yet, if it be thy will to abide with us, on our head and eyes be it, for thou gladdenest us with thy company." "By Allah, O my lord," answered I, "thou hast indeed overwhelmed me with thy favours and well doings; but I weary for a sight of my friends and family and native country." When he heard this, he summoned the merchants in question and commended me to their care, paying my freight and passage money.	true	635.12	668.56	21.348663
7018_75789_000005_000009	Then he bestowed on me great riches from his treasuries and charged me with a magnificent present for the Caliph Harun al-Rashid.	Then he bestowed on me great riches from his treasuries and charged me with a magnificent present for the Caliph Harun al Rashid.	true	669.68	677.02	21.443796
7018_75789_000005_000010	Moreover he gave me a sealed letter, saying, "Carry this with thine own hand to the Commander of the Faithful and give him many salutations from us!" "Hearing and obedience," I replied.	Moreover he gave me a sealed letter, saying, "Carry this with thine own hand to the Commander of the Faithful and give him many salutations from us!" "Hearing and obedience," I replied.	true	677.96	691.99	20.316978
7018_75789_000005_000011	The missive was written on the skin of the Kh wi[FN#84] (which is finer than lamb-parchment and of yellow colour), with ink of ultramarine and the contents were as follows.	The missive was written on the skin of the k h wi[f n # eighty four] (which is finer than lamb parchment and of yellow colour), with ink of ultramarine and the contents were as follows.	false	692.78	703	20.711658
7018_75789_000005_000012	"Peace be with thee from the King of Al-Hind, before whom are a thousand elephants and upon whose palace-crenelles are a thousand jewels.	"Peace be with thee from the King of Al Hind, before whom are a thousand elephants and upon whose palace crenelles are a thousand jewels.	false	703.7	715.12	22.205753
7018_75789_000005_000013	But after (laud to the Lord and praises to His Prophet!): we send thee a trifling gift which be thou pleased to accept.	But after (laud to the Lord and praises to His Prophet!): we send thee a trifling gift which be thou pleased to accept.	false	715.73	724.3	22.6106
7018_75789_000005_000014	Thou art to us a brother and a sincere friend; and great is the love we bear for thee in heart; favour us therefore with a reply.	Thou art to us a brother and a sincere friend; and great is the love we bear for thee in heart; favour us therefore with a reply.	false	724.67	733.36	22.223309
7018_75789_000005_000015	The gift besitteth not thy dignity: but we beg of thee, O our brother, graciously to accept it and peace be with thee." And the present was a cup of ruby a span high[FN#85] the inside of which was adorned with precious pearls; and a bed covered with the skin of the serpent which swalloweth the elephant, which skin hath spots each like a dinar and whoso sitteth upon it never sickeneth;[FN#86] and an hundred thousand miskals of Indian lign- aloes and a slave-girl like a shining moon.	The gift besitteth not thy dignity: but we beg of thee, O our brother, graciously to accept it and peace be with thee." And the present was a cup of ruby a span high[f n # eighty five] the inside of which was adorned with precious pearls; and a bed covered with the skin of the serpent which swalloweth the elephant, which skin hath spots each like a dinar and whoso sitteth upon it never sickeneth;[f n # eighty six] and an hundred thousand miskals of Indian l i g n aloes and a slave girl like a shining moon.	false	734.27	768.76	22.797098
7018_75789_000005_000016	Then I took leave of him and of all my intimates and acquaintances in the island and embarked with the merchants aforesaid.	Then I took leave of him and of all my intimates and acquaintances in the island and embarked with the merchants aforesaid.	true	769.46	776.77	21.784746
7018_75789_000005_000017	We sailed with a fair wind, committing ourselves to the care of Allah (be He extolled and exalted!) and by His permission arrived at Bassorah, where I passed a few days and nights equipping myself and packing up my bales.	We sailed with a fair wind, committing ourselves to the care of Allah (be He extolled and exalted!) and by His permission arrived at Bassorah, where I passed a few days and nights equipping myself and packing up my bales.	true	777.44	791.68	21.343567
7018_75789_000005_000018	Then I went on to Baghdad-city, the House of Peace, where I sought an audience of the Caliph and laid the King's presents before him.	Then I went on to Baghdad city, the House of Peace, where I sought an audience of the Caliph and laid the King's presents before him.	false	792.62	801.79	22.009151
7018_75789_000005_000019	He asked me whence they came and I said to him, "By Allah, O Commander of the Faithful, I know not the name of the city nor the way thither!" He then asked me, "O Sindbad, is this true which the King writeth?"; and I answered, after kissing the ground, "O my lord, I saw in his kingdom much more than he hath written in his letter.	He asked me whence they came and I said to him, "By Allah, O Commander of the Faithful, I know not the name of the city nor the way thither!" He then asked me, "O Sindbad, is this true which the King writeth?"; and I answered, after kissing the ground, "O my lord, I saw in his kingdom much more than he hath written in his letter.	false	802.25	825.7	21.335165
7018_75789_000005_000020	For state processions a throne is set for him upon a huge elephant, eleven cubits high: and upon this he sitteth having his great lords and officers and guests standing in two ranks, on his right hand and on his left.	For state processions a throne is set for him upon a huge elephant, eleven cubits high: and upon this he sitteth having his great lords and officers and guests standing in two ranks, on his right hand and on his left.	true	826.55	841.03	21.414984
7018_75789_000005_000021	At his head is a man hending in hand a golden javelin and behind him another with a great mace of gold whose head is an emerald[FN#87] a span long and as thick as a man's thumb.	At his head is a man hending in hand a golden javelin and behind him another with a great mace of gold whose head is an emerald[f n # eighty seven] a span long and as thick as a man's thumb.	false	841.73	853.21	19.21795
7018_75789_000005_000022	And when he mounteth horse there mount with him a thousand horsemen clad in gold brocade and silk; and as the King proceedeth a man precedeth him, crying, 'This is the King of great dignity, of high authority!' And he continueth to repeat his praises in words I remember not, saying at the end of his panegyric, 'This is the King owning the crown whose like nor Solomon nor the Mihraj[FN#88] ever possessed.' Then he is silent and one behind him proclaimeth, saying, 'He will die! Again I say he will die!;' and the other addeth, 'Extolled be the perfection of the Living who dieth not!'[FN#89] Moreover by reason of his justice and ordinance and intelligence, there is no Kazi in his city, and all his lieges distinguish between Truth and Falsehood." Quoth the Caliph, "How great is this King!	And when he mounteth horse there mount with him a thousand horsemen clad in gold brocade and silk; and as the King proceedeth a man precedeth him, crying, 'This is the King of great dignity, of high authority!' And he continueth to repeat his praises in words I remember not, saying at the end of his panegyric, 'This is the King owning the crown whose like nor Solomon nor the Mihraj[f n # eighty eight] ever possessed.' Then he is silent and one behind him proclaimeth, saying, 'He will die! Again I say he will die!;' and the other addeth, 'Extolled be the perfection of the Living who dieth not!'[f n # eighty nine] Moreover by reason of his justice and ordinance and intelligence, there is no Kazi in his city, and all his lieges distinguish between Truth and Falsehood." Quoth the Caliph, "How great is this King!	false	854.21	912.4	20.458138
7018_75789_000005_000023	His letter hath shown me this; and as for the mightiness of his dominion thou hast told us what thou hast eye-witnessed.	His letter hath shown me this; and as for the mightiness of his dominion thou hast told us what thou hast eye witnessed.	false	912.47	919.93	19.880493
7018_75789_000005_000024	By Allah, he hath been endowed with wisdom as with wide rule." Then I related to the Commander of the Faithful all that had befallen me in my last voyage; at which he wondered exceedingly and bade his historians record my story and store it up in his treasuries, for the edification of all who might see it.	By Allah, he hath been endowed with wisdom as with wide rule." Then I related to the Commander of the Faithful all that had befallen me in my last voyage; at which he wondered exceedingly and bade his historians record my story and store it up in his treasuries, for the edification of all who might see it.	false	920.36	940.99	20.512964
7018_75789_000005_000025	Then he conferred on me exceeding great favours, and I repaired to my quarter and entered my home, where I warehoused all my goods and possessions. Presently, my friends came to me and I distributed presents among my family and gave alms and largesse; after which I yielded myself to joyance and enjoyment, mirth and merry-making, and forgot all that I had suffered.	Then he conferred on me exceeding great favours, and I repaired to my quarter and entered my home, where I warehoused all my goods and possessions. Presently, my friends came to me and I distributed presents among my family and gave alms and largesse; after which I yielded myself to joyance and enjoyment, mirth and merry making, and forgot all that I had suffered.	true	941.84	965.35	20.317188
7018_75789_000005_000026	"Such, then, O my brothers, is the history of what befel me in my sixth voyage, and to-morrow, Inshallah!	"Such, then, O my brothers, is the history of what befel me in my sixth voyage, and to morrow, Inshallah!	false	966.02	973.75	21.516745
7018_75789_000005_000027	I will tell you the story of my seventh and last voyage, which is still more wondrous and marvellous than that of the first six." (Saith he who telleth the tale), Then he bade lay the table, and the company supped with him; after which he gave the Porter an hundred dinars, as of wont, and they all went their ways, marvelling beyond measure at that which they had heard.-- And Shahrazad perceived the dawn of day and ceased saying her permitted say.	I will tell you the story of my seventh and last voyage, which is still more wondrous and marvellous than that of the first six." (Saith he who telleth the tale), Then he bade lay the table, and the company supped with him; after which he gave the Porter an hundred dinars, as of wont, and they all went their ways, marvelling beyond measure at that which they had heard.-- And Shahrazad perceived the dawn of day and ceased saying her permitted say.	false	973.82	1006.87	20.375666
7018_75789_000006_000000	When it was the Five Hundred and Sixty-third Night,	When it was the Five Hundred and Sixty third Night,	true	1006.88	1009.69	22
7018_75789_000007_000000	She said, It hath reached me, O auspicious King, that when Sindbad the Seaman had related the history of what befel him in his sixth voyage, and all the company had dispersed, Sindbad the Landsman went home and slept as of wont.	She said, It hath reached me, O auspicious King, that when Sindbad the Seaman had related the history of what befel him in his sixth voyage, and all the company had dispersed, Sindbad the Landsman went home and slept as of wont.	true	1010.42	1024.21	22.115786
7018_75789_000007_000001	Next day he rose and prayed the dawn-prayer and repaired to his namesake's house where, after the company was all assembled, the host began to relate	Next day he rose and prayed the dawn prayer and repaired to his namesake's house where, after the company was all assembled, the host began to relate	true	1024.88	1034.68	21.923306
7018_75789_000008_000000	The Seventh Voyage of Sindbad the Seaman.	The Seventh Voyage of Sindbad the Seaman.	true	1035.53	1038.04	22.977694
7018_75789_000009_000000	Know, O company, that after my return from my sixth voyage, which brought me abundant profit, I resumed my former life in all possible joyance and enjoyment and mirth and making merry day and night; and I tarried some time in this solace and satisfaction till my soul began once more to long to sail the seas and see foreign countries and company with merchants and hear new things. So having made up my mind, I packed up in bales a quantity of precious stuffs suited for sea-trade and repaired with them from Baghdad-city to Bassorah-town, where I found a ship ready for sea, and in her a company of considerable merchants.	Know, O company, that after my return from my sixth voyage, which brought me abundant profit, I resumed my former life in all possible joyance and enjoyment and mirth and making merry day and night; and I tarried some time in this solace and satisfaction till my soul began once more to long to sail the seas and see foreign countries and company with merchants and hear new things. So having made up my mind, I packed up in bales a quantity of precious stuffs suited for sea trade and repaired with them from Baghdad city to Bassorah town, where I found a ship ready for sea, and in her a company of considerable merchants.	true	1039.76	1081.93	21.369736
7018_75789_000009_000001	I shipped with them and becoming friends, we set forth on our venture, in health and safety; and sailed with a fair wind, till we came to a city called Mad nat-al-S n; but after we had left it, as we fared on in all cheer and confidence, devising of traffic and travel, behold, there sprang up a violent head-wind and a tempest of rain fell on us and drenched us and our goods.	I shipped with them and becoming friends, we set forth on our venture, in health and safety; and sailed with a fair wind, till we came to a city called Mad nat al S n; but after we had left it, as we fared on in all cheer and confidence, devising of traffic and travel, behold, there sprang up a violent head wind and a tempest of rain fell on us and drenched us and our goods.	false	1082.48	1110.1	21.464178
7018_75789_000009_000002	So we covered the bales with our cloaks and garments and drugget and canvas, lest they be spoiled by the rain, and betook ourselves to prayer and supplication to Almighty Allah and humbled ourselves before Him for deliverance from the peril that was upon us.	So we covered the bales with our cloaks and garments and drugget and canvas, lest they be spoiled by the rain, and betook ourselves to prayer and supplication to Almighty Allah and humbled ourselves before Him for deliverance from the peril that was upon us.	true	1110.83	1126.51	20.354282
7018_75789_000009_000003	But the captain arose and tightening his girdle tucked up his skirts and, after taking refuge with Allah from Satan the Stoned, clomb to the mast-head, whence he looked out right and left and gazing at the passengers and crew fell to buffeting his face and plucking out his beard.	But the captain arose and tightening his girdle tucked up his skirts and, after taking refuge with Allah from Satan the Stoned, clomb to the mast head, whence he looked out right and left and gazing at the passengers and crew fell to buffeting his face and plucking out his beard.	false	1127.78	1145.14	23.655306
7018_75789_000009_000004	So we cried to him, "O Rais, what is the matter?"; and he replied saying, "Seek ye deliverance of the Most High from the strait into which we have fallen and bemoan yourselves and take leave of one another; for know that the wind hath gotten the mastery of us and hath driven us into the uttermost of the seas of the world." Then he came down from the mast-head and opening his sea-chest, pulled out a bag of blue cotton, from which he took a powder like ashes.	So we cried to him, "O Rais, what is the matter?"; and he replied saying, "Seek ye deliverance of the Most High from the strait into which we have fallen and bemoan yourselves and take leave of one another; for know that the wind hath gotten the mastery of us and hath driven us into the uttermost of the seas of the world." Then he came down from the mast head and opening his sea chest, pulled out a bag of blue cotton, from which he took a powder like ashes.	false	1145.9	1176.22	21.034262
7018_75789_000009_000005	This he set in a saucer wetted with a little water and, after waiting a short time, smelt and tasted it; and then he took out of the chest a booklet, wherein he read awhile and said weeping, "Know, O ye passengers, that in this book is a marvellous matter, denoting that whoso cometh hither shall surely die, without hope of escape; for that this ocean is called the Sea of the Clime of the King, wherein is the sepulchre of our lord Solomon, son of David (on both be peace!) and therein are serpents of vast bulk and fearsome aspect: and what ship soever cometh to these climes there riseth to her a great fish[FN#90] out of the sea and swalloweth her up with all and everything on board her." Hearing these words from the captain great was our wonder, but hardly had he made an end of speaking, when the ship was lifted out of the water and let fall again and we applied to praying the death-prayer[FN#91] and committing our souls to Allah.	This he set in a saucer wetted with a little water and, after waiting a short time, smelt and tasted it; and then he took out of the chest a booklet, wherein he read awhile and said weeping, "Know, O ye passengers, that in this book is a marvellous matter, denoting that whoso cometh hither shall surely die, without hope of escape; for that this ocean is called the Sea of the Clime of the King, wherein is the sepulchre of our lord Solomon, son of David (on both be peace!) and therein are serpents of vast bulk and fearsome aspect: and what ship soever cometh to these climes there riseth to her a great fish[f n # ninety] out of the sea and swalloweth her up with all and everything on board her." Hearing these words from the captain great was our wonder, but hardly had he made an end of speaking, when the ship was lifted out of the water and let fall again and we applied to praying the death prayer[f n # ninety one] and committing our souls to Allah.	false	1176.95	1239.43	20.538235
7018_75789_000009_000006	Presently we heard a terrible great cry like the loud-pealing thunder, whereat we were terror-struck and became as dead men, giving ourselves up for lost.	Presently we heard a terrible great cry like the loud pealing thunder, whereat we were terror struck and became as dead men, giving ourselves up for lost.	true	1240.37	1250.44	22.047333
7018_75789_000009_000007	Then behold, there came up to us a huge fish, as big as a tall mountain, at whose sight we became wild for affight and, weeping sore, made ready for death, marvelling at its vast size and gruesome semblance; when lo! a second fish made its appearance than which we had seen naught more monstrous.	Then behold, there came up to us a huge fish, as big as a tall mountain, at whose sight we became wild for affight and, weeping sore, made ready for death, marvelling at its vast size and gruesome semblance; when lo! a second fish made its appearance than which we had seen naught more monstrous.	false	1251.29	1273.96	20.558388
