3538_142836_000002_000000	CHAPTER XXX.	CHAPTER thirty.
3538_142836_000021_000003	However, as late as the reigns of our two last Georges, fabulous sums were often expended upon fanciful desserts.	However, as late as the reigns of our two last Georges, fabulous sums were often expended upon fanciful desserts.
3538_142836_000021_000006	The shape of the dishes varies at different periods, the prevailing fashion at present being oval and circular dishes on stems.	The shape of the dishes varies at different periods, the prevailing fashion at present being oval and circular dishes on stems.
3538_142836_000021_000007	The patterns and colours are also subject to changes of fashion; some persons selecting china, chaste in pattern and colour; others, elegantly-shaped glass dishes on stems, with gilt edges.	The patterns and colours are also subject to changes of fashion; some persons selecting china, chaste in pattern and colour; others, elegantly shaped glass dishes on stems, with gilt edges.
3538_142836_000021_000010	The garnishing needs especial attention, as the contrast of the brilliant-coloured fruits with nicely-arranged foliage is very charming.	The garnishing needs especial attention, as the contrast of the brilliant coloured fruits with nicely arranged foliage is very charming.
3538_142836_000021_000015	A dessert would not now be considered complete without candied and preserved fruits and confections.	A dessert would not now be considered complete without candied and preserved fruits and confections.
3538_142836_000021_000017	They are preserved abroad in most ornamental and elegant forms.	They are preserved abroad in most ornamental and elegant forms.
3538_142836_000022_000000	ICES.	ICES.
3538_142836_000023_000001	Ices are composed, it is scarcely necessary to say, of congealed cream or water, combined sometimes with liqueurs or other flavouring ingredients, or more generally with the juices of fruits.	Ices are composed, it is scarcely necessary to say, of congealed cream or water, combined sometimes with liqueurs or other flavouring ingredients, or more generally with the juices of fruits.
3538_142836_000023_000002	At desserts, or at some evening parties, ices are scarcely to be dispensed with.	At desserts, or at some evening parties, ices are scarcely to be dispensed with.
3538_142836_000023_000003	The principal utensils required for making ice-creams are ice-tubs, freezing-pots, spaddles, and a cellaret.	The principal utensils required for making ice creams are ice tubs, freezing pots, spaddles, and a cellaret.
3538_142836_000023_000006	The spaddle is generally made of copper, kept bright and clean.	The spaddle is generally made of copper, kept bright and clean.
3538_142836_000023_000008	The method to be pursued in the freezing process must be attended to.	The method to be pursued in the freezing process must be attended to.
3538_142836_000023_000009	When the ice-tub is prepared with fresh-pounded ice and salt, the freezing-pot is put into it up to its cover.	When the ice tub is prepared with fresh pounded ice and salt, the freezing pot is put into it up to its cover.
3538_142836_000023_000012	The use of the spaddle is to stir up and remove from the sides of the freezing pot the cream, which in the shaking may have washed against it, and by stirring it in with the rest, to prevent waste of it occurring.	The use of the spaddle is to stir up and remove from the sides of the freezing pot the cream, which in the shaking may have washed against it, and by stirring it in with the rest, to prevent waste of it occurring.
3538_142836_000024_000001	The aged, the delicate, and children should abstain from ices or iced beverages; even the strong and healthy should partake of them in moderation.	The aged, the delicate, and children should abstain from ices or iced beverages; even the strong and healthy should partake of them in moderation.
3538_142836_000024_000003	It is necessary, then, that this function should have scarcely commenced, or that it should be completely finished, before partaking of ices.	It is necessary, then, that this function should have scarcely commenced, or that it should be completely finished, before partaking of ices.
