6128_63240_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.
6128_63240_000024_000000	"Oh, murder!" murmured the young man vaguely, sinking back in his chair with his arms folded.	"Oh, murder!" murmured the young man vaguely, sinking back in his chair with his arms folded.
6128_63240_000024_000003	She was attractive and impertinent, especially the latter.	She was attractive and impertinent, especially the latter.
6128_63240_000024_000006	"Well, I suppose I might have known that," he continued, at last.	"Well, I suppose I might have known that," he continued, at last.
6128_63240_000025_000000	"You might have known what?"	"You might have known what?"
6128_63240_000026_000000	"Well, that Miss Chancellor would be all that you say.	"Well, that Miss Chancellor would be all that you say.
6128_63240_000026_000001	She was brought up in the city of reform."	She was brought up in the city of reform."
6128_63240_000027_000003	That's the way I found her when I returned from Europe."	That's the way I found her when I returned from Europe."
6128_63240_000028_000000	"Have you been in Europe?" Ransom asked.	"Have you been in Europe?" Ransom asked.
6128_63240_000029_000000	"Mercy, yes!	"Mercy, yes!
6128_63240_000030_000000	"No, I haven't been anywhere.	"No, I haven't been anywhere.
6128_63240_000030_000001	Has your sister?"	Has your sister?"
6128_63240_000031_000001	She hates it; she would like to abolish it.	She hates it; she would like to abolish it.
6128_63240_000032_000001	This last remark he made at a venture, for he had, naturally, not devoted any supposition whatever to Mrs. Luna.	This last remark he made at a venture, for he had, naturally, not devoted any supposition whatever to mrs Luna.
6128_63240_000032_000002	His dishonesty, however, only exposed him the more.	His dishonesty, however, only exposed him the more.
6128_63240_000033_000000	"If you thought I lived in New York, why in the world didn't you come and see me?" the lady inquired.	"If you thought I lived in New York, why in the world didn't you come and see me?" the lady inquired.
6128_63240_000034_000000	"Well, you see, I don't go out much, except to the courts."	"Well, you see, I don't go out much, except to the courts."
6128_63240_000035_000000	"Do you mean the law-courts?	"Do you mean the law courts?
6128_63240_000035_000002	Are you very ambitious?	Are you very ambitious?
6128_63240_000035_000003	You look as if you were."	You look as if you were."
6128_63240_000036_000000	"Yes, very," Basil Ransom replied, with a smile, and the curious feminine softness with which Southern gentlemen enunciate that adverb.	"Yes, very," Basil Ransom replied, with a smile, and the curious feminine softness with which Southern gentlemen enunciate that adverb.
6128_63240_000037_000001	"But it isn't the same," she said.	"But it isn't the same," she said.
6128_63240_000038_000000	"While you and your little boy don't," the young man remarked.	"While you and your little boy don't," the young man remarked.
6128_63240_000039_000000	"Oh no, I never differ from Newton!" And Mrs. Luna added that now she was back she didn't know what she should do.	"Oh no, I never differ from Newton!" And mrs Luna added that now she was back she didn't know what she should do.
6128_63240_000039_000003	They had invented it while she was away.	They had invented it while she was away.
6128_63240_000040_000000	Basil Ransom had got up just as Mrs. Luna made this last declaration; for a young lady had glided into the room, who stopped short as it fell upon her ears.	Basil Ransom had got up just as mrs Luna made this last declaration; for a young lady had glided into the room, who stopped short as it fell upon her ears.
6128_63240_000040_000001	She stood there looking, consciously and rather seriously, at Mr. Ransom; a smile of exceeding faintness played about her lips--it was just perceptible enough to light up the native gravity of her face.	She stood there looking, consciously and rather seriously, at mr Ransom; a smile of exceeding faintness played about her lips-it was just perceptible enough to light up the native gravity of her face.
6128_63240_000040_000002	It might have been likened to a thin ray of moonlight resting upon the wall of a prison.	It might have been likened to a thin ray of moonlight resting upon the wall of a prison.
6128_63240_000042_000002	Mrs. Luna explained to her sister that her freedom of speech was caused by his being a relation--though, indeed, he didn't seem to know much about them.	mrs Luna explained to her sister that her freedom of speech was caused by his being a relation-though, indeed, he didn't seem to know much about them.
6128_63240_000042_000003	She didn't believe he had ever heard of her, Mrs. Luna, though he pretended, with his Southern chivalry, that he had.	She didn't believe he had ever heard of her, mrs Luna, though he pretended, with his Southern chivalry, that he had.
6128_63240_000043_000001	Try to reform him; a person from Mississippi is sure to be all wrong.	Try to reform him; a person from Mississippi is sure to be all wrong.
6128_63240_000043_000003	Good-bye, Mr. Ransom," Mrs. Luna continued, gathering up the feathery white shawl which added to the volume of her fairness.	Good bye, mr Ransom," mrs Luna continued, gathering up the feathery white shawl which added to the volume of her fairness.
6128_63240_000043_000006	You only stay to-morrow?	You only stay to morrow?
6128_63240_000043_000007	Why, what's the use of that?	Why, what's the use of that?
6128_63240_000043_000008	Well, mind you come and see me in New York; I shall be sure to be part of the winter there.	Well, mind you come and see me in New York; I shall be sure to be part of the winter there.
6128_63240_000043_000010	Don't come out; my sister has the first claim.	Don't come out; my sister has the first claim.
6128_63240_000043_000012	"I am glad I haven't opinions that prevent my dressing in the evening!" she declared from the doorway.	"I am glad I haven't opinions that prevent my dressing in the evening!" she declared from the doorway.
