7105_2340_000000_000000	"I'll never open your letters again," she promised.	"I'll never open your letters again," she promised.	false	0	4.56	22.043293
7105_2340_000017_000000	"Let me see; did you give me back the mustard-pot?	"Let me see; did you give me back the mustard pot?	false	374.79	377.73	25.253176
7105_2340_000017_000001	This is its place here," piped Mrs. Peter.	This is its place here," piped mrs peter.	false	377.73	380.47	24.051249
7105_2340_000018_000000	"Sorry.	"Sorry.	true	380.57	381.49	22.967457
7105_2340_000018_000001	I put it down by the claret-jug," said Wilfrid, busy with another object.	I put it down by the claret jug," said Wilfrid, busy with another object.	false	381.77	387.67	22.883602
7105_2340_000019_000000	"Oh, just let me have the sugar-sifter again," asked Mrs. Peter, dogged determination showing through her nervousness; "I must label it who it comes from before I forget."	"Oh, just let me have the sugar sifter again," asked mrs peter, dogged determination showing through her nervousness; "I must label it who it comes from before I forget."	false	387.89	399.61	21.682901
7105_2340_000020_000000	Vigilance was not completely crowned with a sense of victory.	Vigilance was not completely crowned with a sense of victory.	true	399.86	404.26	20
7105_2340_000020_000001	After they had said "Good-night" to their visitor, Mrs. Peter expressed her conviction that he had taken something.	After they had said "Good night" to their visitor, mrs peter expressed her conviction that he had taken something.	true	404.63	412.75	21
7105_2340_000021_000000	"I fancy, by his manner, that there was something up," corroborated her husband; "do you miss anything?"	"I fancy, by his manner, that there was something up," corroborated her husband; "do you miss anything?"	true	413.24	420.31	19.355307
7105_2340_000022_000000	Mrs. Peters hastily counted the array of gifts.	mrs Peters hastily counted the array of gifts.	false	420.32	423.94	20
7105_2340_000023_000000	"I can only make it thirty-four, and I think it should be thirty-five," she announced; "I can't remember if thirty-five includes the Archdeacon's cruet-stand that hasn't arrived yet."	"I can only make it thirty four, and I think it should be thirty five," she announced; "I can't remember if thirty five includes the Archdeacon's cruet stand that hasn't arrived yet."	false	424.07	435.7	23.258272
7105_2340_000024_000000	"How on earth are we to know?" said Peter.	"How on earth are we to know?" said peter.	true	435.86	438.735	22
7105_2340_000024_000001	"The mean pig hasn't brought us a present, and I'm hanged if he shall carry one off."	"The mean pig hasn't brought us a present, and I'm hanged if he shall carry one off."	true	438.735	444.46	20
7105_2340_000025_000000	"To-morrow, when's he having his bath," said Mrs. Peter excitedly, "he's sure to leave his keys somewhere, and we can go through his portmanteau. It's the only thing to do."	"To morrow, when's he having his bath," said mrs peter excitedly, "he's sure to leave his keys somewhere, and we can go through his portmanteau. It's the only thing to do."	false	444.62	456.19	19
7105_2340_000026_000000	On the morrow an alert watch was kept by the conspirators behind half- closed doors, and when Wilfrid, clad in a gorgeous bath-robe, had made his way to the bath-room, there was a swift and furtive rush by two excited individuals towards the principal guest-chamber.	On the morrow an alert watch was kept by the conspirators behind half closed doors, and when Wilfrid, clad in a gorgeous bath robe, had made his way to the bath room, there was a swift and furtive rush by two excited individuals towards the principal guest chamber.	false	456.29	474.735	19
7105_2340_000026_000001	Mrs. Peter kept guard outside, while her husband first made a hurried and successful search for the keys, and then plunged at the portmanteau with the air of a disagreeably conscientious Customs official.	mrs peter kept guard outside, while her husband first made a hurried and successful search for the keys, and then plunged at the portmanteau with the air of a disagreeably conscientious Customs official.	true	474.735	487.98	14
7105_2340_000026_000002	The quest was a brief one; a silver cream jug lay embedded in the folds of some zephyr shirts.	The quest was a brief one; a silver cream jug lay embedded in the folds of some zephyr shirts.	false	487.98	495.67	21.349419
7105_2340_000027_000000	"The cunning brute," said Mrs. Peters; "he took a cream jug because there were so many; he thought one wouldn't be missed.	"The cunning brute," said mrs Peters; "he took a cream jug because there were so many; he thought one wouldn't be missed.	false	495.68	504.045	21.77385
7105_2340_000027_000001	Quick, fly down with it and put it back among the others."	Quick, fly down with it and put it back among the others."	true	504.045	506.98	18
7105_2340_000028_000000	Wilfrid was late in coming down to breakfast, and his manner showed plainly that something was amiss.	Wilfrid was late in coming down to breakfast, and his manner showed plainly that something was amiss.	true	507.11	513.27	17
7105_2340_000029_000000	"It's an unpleasant thing to have to say," he blurted out presently, "but I'm afraid you must have a thief among your servants.	"It's an unpleasant thing to have to say," he blurted out presently, "but I'm afraid you must have a thief among your servants.	false	513.27	522.12	18.874352
7105_2340_000029_000001	Something's been taken out of my portmanteau.	Something's been taken out of my portmanteau.	true	522.12	525.435	17
7105_2340_000029_000002	It was a little present from my mother and myself for your silver wedding.	It was a little present from my mother and myself for your silver wedding.	true	525.435	530.05	16
7105_2340_000029_000003	I should have given it to you last night after dinner, only it happened to be a cream jug, and you seemed annoyed at having so many duplicates, so I felt rather awkward about giving you another.	I should have given it to you last night after dinner, only it happened to be a cream jug, and you seemed annoyed at having so many duplicates, so I felt rather awkward about giving you another.	false	530.27	543.07	18
7105_2340_000029_000004	I thought I'd get it changed for something else, and now it's gone."	I thought I'd get it changed for something else, and now it's gone."	true	543.41	547.92	20
7105_2340_000030_000000	"Did you say it was from your _mother_ and yourself?" asked Mr. and Mrs. Peter almost in unison.	"Did you say it was from your underscore mother underscore and yourself?" asked mr and mrs peter almost in unison.	false	547.92	555.67	21.655916
7105_2340_000030_000001	The Snatcher had been an orphan these many years.	The Snatcher had been an orphan these many years.	true	555.89	559.09	19.426815
7105_2340_000031_000000	"Yes, my mother's at Cairo just now, and she wrote to me at Dresden to try and get you something quaint and pretty in the old silver line, and I pitched on this cream jug."	"Yes, my mother's at Cairo just now, and she wrote to me at Dresden to try and get you something quaint and pretty in the old silver line, and I pitched on this cream jug."	true	559.52	572.11	21.812172
7105_2340_000032_000000	Both the Pigeoncotes had turned deadly pale.	Both the Pigeoncotes had turned deadly pale.	true	572.54	575.85	19
7105_2340_000032_000001	The mention of Dresden had thrown a sudden light on the situation.	The mention of Dresden had thrown a sudden light on the situation.	true	575.85	579.825	10
7105_2340_000032_000002	It was Wilfrid the Attache, a very superior young man, who rarely came within their social horizon, whom they had been entertaining unawares in the supposed character of Wilfrid the Snatcher.	It was Wilfrid the Attache, a very superior young man, who rarely came within their social horizon, whom they had been entertaining unawares in the supposed character of Wilfrid the Snatcher.	false	579.825	594.21	20.636923
7105_2340_000032_000003	Lady Ernestine Pigeoncote, his mother, moved in circles which were entirely beyond their compass or ambitions, and the son would probably one day be an Ambassador.	Lady Ernestine Pigeoncote, his mother, moved in circles which were entirely beyond their compass or ambitions, and the son would probably one day be an Ambassador.	false	594.21	605.74	14
7105_2340_000032_000004	And they had rifled and despoiled his portmanteau!	And they had rifled and despoiled his portmanteau!	true	606.08	609.84	20.670021
7105_2340_000032_000005	Husband and wife looked blankly and desperately at one another.	Husband and wife looked blankly and desperately at one another.	true	609.84	614.02	19
7105_2340_000032_000006	It was Mrs. Peter who arrived first at an inspiration.	It was mrs peter who arrived first at an inspiration.	true	614.33	619.03	19.050825
7105_2340_000033_000000	"How dreadful to think there are thieves in the house!	"How dreadful to think there are thieves in the house!	false	619.79	622.995	21
7105_2340_000033_000001	We keep the drawing-room locked up at night, of course, but anything might be carried off while we are at breakfast."	We keep the drawing room locked up at night, of course, but anything might be carried off while we are at breakfast."	true	622.995	629.865	21
7105_2340_000034_000000	She rose and went out hurriedly, as though to assure herself that the drawing-room was not being stripped of its silverware, and returned a moment later, bearing a cream jug in her hands.	She rose and went out hurriedly, as though to assure herself that the drawing room was not being stripped of its silverware, and returned a moment later, bearing a cream jug in her hands.	false	629.865	642.19	16
7105_2340_000035_000000	"There are eight cream jugs now, instead of seven," she cried; "this one wasn't there before.	"There are eight cream jugs now, instead of seven," she cried; "this one wasn't there before.	true	642.53	649.665	21.170729
7105_2340_000035_000001	What a curious trick of memory, Mr. Wilfrid!	What a curious trick of memory, mr Wilfrid!	true	649.665	652.485	15
7105_2340_000035_000002	You must have slipped downstairs with it last night and put it there before we locked up, and forgotten all about having done it in the morning."	You must have slipped downstairs with it last night and put it there before we locked up, and forgotten all about having done it in the morning."	true	652.485	659.74	20
7105_2340_000036_000000	"One's mind often plays one little tricks like that," said Mr. Peter, with desperate heartiness.	"One's mind often plays one little tricks like that," said mr peter, with desperate heartiness.	false	660.08	666.915	18
7105_2340_000036_000001	"Only the other day I went into the town to pay a bill, and went in again next day, having clean forgotten that I'd--"	"Only the other day I went into the town to pay a bill, and went in again next day, having clean forgotten that I'd-"	true	666.915	674.29	14
7105_2340_000037_000000	"It is certainly the jug I bought for you," said Wilfrid, looking closely at it; "it was in my portmanteau when I got my bath-robe out this morning, before going to my bath, and it was not there when I unlocked the portmanteau on my return.	"It is certainly the jug I bought for you," said Wilfrid, looking closely at it; "it was in my portmanteau when I got my bath robe out this morning, before going to my bath, and it was not there when I unlocked the portmanteau on my return.	false	674.51	691.18	21.639025
7105_2340_000037_000001	Some one had taken it while I was away from the room."	Some one had taken it while I was away from the room."	true	691.19	694.87	19
7105_2340_000038_000000	The Pigeoncotes had turned paler than ever.	The Pigeoncotes had turned paler than ever.	true	695.78	699.075	18
7105_2340_000038_000001	Mrs. Peter had a final inspiration.	mrs peter had a final inspiration.	true	699.075	702.04	16
7105_2340_000039_000000	"Get me my smelling-salts, dear," she said to her husband; "I think they're in the dressing-room."	"Get me my smelling salts, dear," she said to her husband; "I think they're in the dressing room."	false	702.5	708.39	17
7105_2340_000040_000000	Peter dashed out of the room with glad relief; he had lived so long during the last few minutes that a golden wedding seemed within measurable distance.	peter dashed out of the room with glad relief; he had lived so long during the last few minutes that a golden wedding seemed within measurable distance.	false	708.39	719.28	17.371313
7105_2340_000041_000000	Mrs. Peter turned to her guest with confidential coyness.	mrs peter turned to her guest with confidential coyness.	true	719.28	723.33	19
7105_2340_000042_000000	"A diplomat like you will know how to treat this as if it hadn't happened.	"A diplomat like you will know how to treat this as if it hadn't happened.	true	723.33	728.32	22
7105_2340_000042_000001	Peter's little weakness; it runs in the family."	Peter's little weakness; it runs in the family."	false	728.45	732.01	21
7105_2340_000043_000000	"Good Lord!	"Good Lord!	true	732.89	734.08	25.738403
7105_2340_000043_000001	Do you mean to say he's a kleptomaniac, like Cousin Snatcher?"	Do you mean to say he's a kleptomaniac, like Cousin Snatcher?"	false	734.24	738.55	22.486517
7105_2340_000044_000000	"Oh, not exactly," said Mrs. Peter, anxious to whitewash her husband a little greyer than she was painting him.	"Oh, not exactly," said mrs peter, anxious to whitewash her husband a little greyer than she was painting him.	false	738.8	747.4	16
7105_2340_000044_000001	"He would never touch anything he found lying about, but he can't resist making a raid on things that are locked up.	"He would never touch anything he found lying about, but he can't resist making a raid on things that are locked up.	false	747.5	755.08	17
7105_2340_000044_000002	The doctors have a special name for it.	The doctors have a special name for it.	true	755.3	758.085	21
7105_2340_000044_000003	He must have pounced on your portmanteau the moment you went to your bath, and taken the first thing he came across.	He must have pounced on your portmanteau the moment you went to your bath, and taken the first thing he came across.	true	758.085	765.555	18
7105_2340_000044_000004	Of course, he had no motive for taking a cream jug; we've already got _seven_, as you know--not, of course, that we don't value the kind of gift you and your mother--hush here's Peter coming."	Of course, he had no motive for taking a cream jug; we've already got underscore seven underscore, as you know-not, of course, that we don't value the kind of gift you and your mother-hush here's peter coming."	false	765.555	779.17	24
7105_2340_000045_000000	Mrs. Peter broke off in some confusion, and tripped out to meet her husband in the hall.	mrs peter broke off in some confusion, and tripped out to meet her husband in the hall.	true	780.35	786.255	17
7105_2340_000046_000000	"It's all right," she whispered to him; "I've explained everything.	"It's all right," she whispered to him; "I've explained everything.	true	786.255	790.065	18
7105_2340_000046_000001	Don't say anything more about it."	Don't say anything more about it."	true	790.065	791.95	21.16157
7105_2340_000047_000000	"Brave little woman," said Peter, with a gasp of relief; "I could never have done it."	"Brave little woman," said peter, with a gasp of relief; "I could never have done it."	true	792.32	798.58	22.763916
7105_2340_000048_000000	Diplomatic reticence does not necessarily extend to family affairs.	Diplomatic reticence does not necessarily extend to family affairs.	true	799.43	804.36	18
7105_2340_000048_000001	Peter Pigeoncote was never able to understand why Mrs. Consuelo van Bullyon, who stayed with them in the spring, always carried two very obvious jewel- cases with her to the bath-room, explaining them to any one she chanced to meet in the corridor as her manicure and face-massage set.	peter Pigeoncote was never able to understand why mrs Consuelo van Bullyon, who stayed with them in the spring, always carried two very obvious jewel cases with her to the bath room, explaining them to any one she chanced to meet in the corridor as her manicure and face massage set.	false	804.36	824.58	16
7105_2340_000049_000000	THE OCCASIONAL GARDEN	THE OCCASIONAL GARDEN	false	824.58	824.64	-20
7105_2340_000050_000000	"Don't talk to me about town gardens," said Elinor Rapsley; "which means, of course, that I want you to listen to me for an hour or so while I talk about nothing else.	"Don't talk to me about town gardens," said Elinor Rapsley; "which means, of course, that I want you to listen to me for an hour or so while I talk about nothing else.	false	824.64	825.33	1
7105_2340_000050_000001	'What a nice-sized garden you've got,' people said to us when we first moved here.	'What a nice sized garden you've got,' people said to us when we first moved here.	false	825.33	825.69	-20
7105_2340_000050_000002	What I suppose they meant to say was what a nice-sized site for a garden we'd got.	What I suppose they meant to say was what a nice sized site for a garden we'd got.	false	825.69	826.08	-9
7105_2340_000050_000003	As a matter of fact, the size is all against it; it's too large to be ignored altogether and treated as a yard, and it's too small to keep giraffes in.	As a matter of fact, the size is all against it; it's too large to be ignored altogether and treated as a yard, and it's too small to keep giraffes in.	false	826.08	826.77	100
7105_2340_000050_000004	You see, if we could keep giraffes or reindeer or some other species of browsing animal there we could explain the general absence of vegetation by a reference to the fauna of the garden: 'You can't have wapiti _and_ Darwin tulips, you know, so we didn't put down any bulbs last year.' As it is, we haven't got the wapiti, and the Darwin tulips haven't survived the fact that most of the cats of the neighbourhood hold a parliament in the centre of the tulip bed; that rather forlorn looking strip that we intended to be a border of alternating geranium and spiraea has been utilised by the cat-parliament as a division lobby.	You see, if we could keep giraffes or reindeer or some other species of browsing animal there we could explain the general absence of vegetation by a reference to the fauna of the garden: 'You can't have wapiti underscore and underscore Darwin tulips, you know, so we didn't put down any bulbs last year.' As it is, we haven't got the wapiti, and the Darwin tulips haven't survived the fact that most of the cats of the neighbourhood hold a parliament in the centre of the tulip bed; that rather forlorn looking strip that we intended to be a border of alternating geranium and spiraea has been utilised by the cat parliament as a division lobby.	false	826.77	837.48	17.122982
7105_2340_000050_000005	Snap divisions seem to have been rather frequent of late, far more frequent than the geranium blooms are likely to be.	Snap divisions seem to have been rather frequent of late, far more frequent than the geranium blooms are likely to be.	false	837.48	837.48	
7105_2340_000050_000006	I shouldn't object so much to ordinary cats, but I do complain of having a congress of vegetarian cats in my garden; they must be vegetarians, my dear, because, whatever ravages they may commit among the sweet pea seedlings, they never seem to touch the sparrows; there are always just as many adult sparrows in the garden on Saturday as there were on Monday, not to mention newly-fledged additions. There seems to have been an irreconcilable difference of opinion between sparrows and Providence since the beginning of time as to whether a crocus looks best standing upright with its roots in the earth or in a recumbent posture with its stem neatly severed; the sparrows always have the last word in the matter, at least in our garden they do.	I shouldn't object so much to ordinary cats, but I do complain of having a congress of vegetarian cats in my garden; they must be vegetarians, my dear, because, whatever ravages they may commit among the sweet pea seedlings, they never seem to touch the sparrows; there are always just as many adult sparrows in the garden on Saturday as there were on Monday, not to mention newly fledged additions. There seems to have been an irreconcilable difference of opinion between sparrows and Providence since the beginning of time as to whether a crocus looks best standing upright with its roots in the earth or in a recumbent posture with its stem neatly severed; the sparrows always have the last word in the matter, at least in our garden they do.	false	837.48	837.48	
7105_2340_000050_000007	I fancy that Providence must have originally intended to bring in an amending Act, or whatever it's called, providing either for a less destructive sparrow or a more indestructible crocus.	I fancy that Providence must have originally intended to bring in an amending Act, or whatever it's called, providing either for a less destructive sparrow or a more indestructible crocus.	false	837.48	837.48	
7105_2340_000050_000008	The one consoling point about our garden is that it's not visible from the drawing-room or the smoking- room, so unless people are dinning or lunching with us they can't spy out the nakedness of the land.	The one consoling point about our garden is that it's not visible from the drawing room or the smoking room, so unless people are dinning or lunching with us they can't spy out the nakedness of the land.	false	837.48	837.48	
7105_2340_000050_000009	That is why I am so furious with Gwenda Pottingdon, who has practically forced herself on me for lunch on Wednesday next; she heard me offer the Paulcote girl lunch if she was up shopping on that day, and, of course, she asked if she might come too. She is only coming to gloat over my bedraggled and flowerless borders and to sing the praises of her own detestably over-cultivated garden.	That is why I am so furious with Gwenda Pottingdon, who has practically forced herself on me for lunch on Wednesday next; she heard me offer the Paulcote girl lunch if she was up shopping on that day, and, of course, she asked if she might come too. She is only coming to gloat over my bedraggled and flowerless borders and to sing the praises of her own detestably over cultivated garden.	false	837.48	837.48	
7105_2340_000050_000010	I'm sick of being told that it's the envy of the neighbourhood; it's like everything else that belongs to her--her car, her dinner-parties, even her headaches, they are all superlative; no one else ever had anything like them.	I'm sick of being told that it's the envy of the neighbourhood; it's like everything else that belongs to her-her car, her dinner parties, even her headaches, they are all superlative; no one else ever had anything like them.	false	837.48	837.48	
7105_2340_000050_000011	When her eldest child was confirmed it was such a sensational event, according to her account of it, that one almost expected questions to be asked about it in the House of Commons, and now she's coming on purpose to stare at my few miserable pansies and the gaps in my sweet-pea border, and to give me a glowing, full-length description of the rare and sumptuous blooms in her rose-garden."	When her eldest child was confirmed it was such a sensational event, according to her account of it, that one almost expected questions to be asked about it in the House of Commons, and now she's coming on purpose to stare at my few miserable pansies and the gaps in my sweet pea border, and to give me a glowing, full length description of the rare and sumptuous blooms in her rose garden."	false	837.48	837.48	
